date,count,package
2020-01-01,0,tsapp
2020-01-02,0,tsapp
2020-01-03,0,tsapp
2020-01-04,0,tsapp
2020-01-05,0,tsapp
2020-01-06,0,tsapp
2020-01-07,0,tsapp
2020-01-08,0,tsapp
2020-01-09,0,tsapp
2020-01-10,0,tsapp
2020-01-11,0,tsapp
2020-01-12,0,tsapp
2020-01-13,0,tsapp
2020-01-14,0,tsapp
2020-01-15,0,tsapp
2020-01-16,0,tsapp
2020-01-17,0,tsapp
2020-01-18,0,tsapp
2020-01-19,0,tsapp
2020-01-20,0,tsapp
2020-01-21,0,tsapp
2020-01-22,0,tsapp
2020-01-23,0,tsapp
2020-01-24,0,tsapp
2020-01-25,0,tsapp
2020-01-26,0,tsapp
2020-01-27,0,tsapp
2020-01-28,0,tsapp
2020-01-29,0,tsapp
2020-01-30,0,tsapp
2020-01-31,0,tsapp
2020-02-01,0,tsapp
2020-02-02,0,tsapp
2020-02-03,0,tsapp
2020-02-04,0,tsapp
2020-02-05,0,tsapp
2020-02-06,0,tsapp
2020-02-07,0,tsapp
2020-02-08,0,tsapp
2020-02-09,0,tsapp
2020-02-10,0,tsapp
2020-02-11,0,tsapp
2020-02-12,0,tsapp
2020-02-13,0,tsapp
2020-02-14,0,tsapp
2020-02-15,0,tsapp
2020-02-16,0,tsapp
2020-02-17,0,tsapp
2020-02-18,0,tsapp
2020-02-19,0,tsapp
2020-02-20,0,tsapp
2020-02-21,0,tsapp
2020-02-22,0,tsapp
2020-02-23,0,tsapp
2020-02-24,0,tsapp
2020-02-25,0,tsapp
2020-02-26,0,tsapp
2020-02-27,0,tsapp
2020-02-28,0,tsapp
2020-02-29,0,tsapp
2020-03-01,0,tsapp
2020-03-02,0,tsapp
2020-03-03,0,tsapp
2020-03-04,0,tsapp
2020-03-05,0,tsapp
2020-03-06,0,tsapp
2020-03-07,0,tsapp
2020-03-08,0,tsapp
2020-03-09,0,tsapp
2020-03-10,0,tsapp
2020-03-11,0,tsapp
2020-03-12,0,tsapp
2020-03-13,0,tsapp
2020-03-14,0,tsapp
2020-03-15,0,tsapp
2020-03-16,0,tsapp
2020-03-17,0,tsapp
2020-03-18,0,tsapp
2020-03-19,0,tsapp
2020-03-20,8,tsapp
2020-03-21,5,tsapp
2020-03-22,10,tsapp
2020-03-23,6,tsapp
2020-03-24,13,tsapp
2020-03-25,13,tsapp
2020-03-26,11,tsapp
2020-03-27,7,tsapp
2020-03-28,14,tsapp
2020-03-29,13,tsapp
2020-03-30,17,tsapp
2020-03-31,12,tsapp
2020-04-01,10,tsapp
2020-04-02,7,tsapp
2020-04-03,11,tsapp
2020-04-04,15,tsapp
2020-04-05,16,tsapp
2020-04-06,22,tsapp
2020-04-07,20,tsapp
2020-04-08,21,tsapp
2020-04-09,19,tsapp
2020-04-10,10,tsapp
2020-04-11,6,tsapp
2020-04-12,9,tsapp
2020-04-13,5,tsapp
2020-04-14,10,tsapp
2020-04-15,18,tsapp
2020-04-16,15,tsapp
2020-04-17,16,tsapp
2020-04-18,5,tsapp
2020-04-19,11,tsapp
2020-04-20,8,tsapp
2020-04-21,8,tsapp
2020-04-22,18,tsapp
2020-04-23,6,tsapp
2020-04-24,12,tsapp
2020-04-25,24,tsapp
2020-04-26,18,tsapp
2020-04-27,17,tsapp
2020-04-28,19,tsapp
2020-04-29,30,tsapp
2020-04-30,12,tsapp
2020-05-01,17,tsapp
2020-05-02,28,tsapp
2020-05-03,22,tsapp
2020-05-04,22,tsapp
2020-05-05,53,tsapp
2020-05-06,32,tsapp
2020-05-07,31,tsapp
2020-05-08,19,tsapp
2020-05-09,37,tsapp
2020-05-10,56,tsapp
2020-05-11,52,tsapp
2020-05-12,32,tsapp
2020-05-13,27,tsapp
2020-05-14,25,tsapp
2020-05-15,19,tsapp
2020-05-16,18,tsapp
2020-05-17,26,tsapp
2020-05-18,31,tsapp
2020-05-19,31,tsapp
2020-05-20,23,tsapp
2020-05-21,12,tsapp
2020-05-22,15,tsapp
2020-05-23,10,tsapp
2020-05-24,9,tsapp
2020-05-25,27,tsapp
2020-05-26,33,tsapp
2020-05-27,21,tsapp
2020-05-28,33,tsapp
2020-05-29,19,tsapp
2020-05-30,14,tsapp
2020-05-31,37,tsapp
2020-06-01,24,tsapp
2020-06-02,23,tsapp
2020-06-03,27,tsapp
2020-06-04,29,tsapp
2020-06-05,27,tsapp
2020-06-06,13,tsapp
2020-06-07,24,tsapp
2020-06-08,19,tsapp
2020-06-09,21,tsapp
2020-06-10,24,tsapp
2020-06-11,15,tsapp
2020-06-12,18,tsapp
2020-06-13,23,tsapp
2020-06-14,21,tsapp
2020-06-15,27,tsapp
2020-06-16,20,tsapp
2020-06-17,21,tsapp
2020-06-18,39,tsapp
2020-06-19,25,tsapp
2020-06-20,14,tsapp
2020-06-21,18,tsapp
2020-06-22,13,tsapp
2020-06-23,27,tsapp
2020-06-24,12,tsapp
2020-06-25,15,tsapp
2020-06-26,13,tsapp
2020-06-27,18,tsapp
2020-06-28,12,tsapp
2020-06-29,23,tsapp
2020-06-30,19,tsapp
2020-07-01,31,tsapp
2020-07-02,15,tsapp
2020-07-03,21,tsapp
2020-07-04,12,tsapp
2020-07-05,7,tsapp
2020-07-06,13,tsapp
2020-07-07,15,tsapp
2020-07-08,12,tsapp
2020-07-09,14,tsapp
2020-07-10,14,tsapp
2020-07-11,16,tsapp
2020-07-12,18,tsapp
2020-07-13,32,tsapp
2020-07-14,9,tsapp
2020-07-15,12,tsapp
2020-07-16,20,tsapp
2020-07-17,19,tsapp
2020-07-18,13,tsapp
2020-07-19,23,tsapp
2020-07-20,20,tsapp
2020-07-21,18,tsapp
2020-07-22,17,tsapp
2020-07-23,22,tsapp
2020-07-24,9,tsapp
2020-07-25,25,tsapp
2020-07-26,39,tsapp
2020-07-27,7,tsapp
2020-07-28,9,tsapp
2020-07-29,14,tsapp
2020-07-30,15,tsapp
2020-07-31,9,tsapp
2020-08-01,6,tsapp
