date,count,package
2020-01-01,0,tune
2020-01-02,0,tune
2020-01-03,0,tune
2020-01-04,0,tune
2020-01-05,0,tune
2020-01-06,0,tune
2020-01-07,0,tune
2020-01-08,0,tune
2020-01-09,0,tune
2020-01-10,0,tune
2020-01-11,0,tune
2020-01-12,0,tune
2020-01-13,0,tune
2020-01-14,0,tune
2020-01-15,0,tune
2020-01-16,0,tune
2020-01-17,0,tune
2020-01-18,0,tune
2020-01-19,0,tune
2020-01-20,0,tune
2020-01-21,0,tune
2020-01-22,0,tune
2020-01-23,0,tune
2020-01-24,0,tune
2020-01-25,0,tune
2020-01-26,0,tune
2020-01-27,0,tune
2020-01-28,0,tune
2020-01-29,0,tune
2020-01-30,0,tune
2020-01-31,0,tune
2020-02-01,0,tune
2020-02-02,0,tune
2020-02-03,0,tune
2020-02-04,0,tune
2020-02-05,0,tune
2020-02-06,0,tune
2020-02-07,0,tune
2020-02-08,0,tune
2020-02-09,0,tune
2020-02-10,0,tune
2020-02-11,45,tune
2020-02-12,76,tune
2020-02-13,54,tune
2020-02-14,47,tune
2020-02-15,34,tune
2020-02-16,89,tune
2020-02-17,664,tune
2020-02-18,466,tune
2020-02-19,417,tune
2020-02-20,421,tune
2020-02-21,369,tune
2020-02-22,288,tune
2020-02-23,288,tune
2020-02-24,426,tune
2020-02-25,381,tune
2020-02-26,415,tune
2020-02-27,397,tune
2020-02-28,318,tune
2020-02-29,78,tune
2020-03-01,265,tune
2020-03-02,369,tune
2020-03-03,316,tune
2020-03-04,352,tune
2020-03-05,339,tune
2020-03-06,363,tune
2020-03-07,254,tune
2020-03-08,277,tune
2020-03-09,356,tune
2020-03-10,344,tune
2020-03-11,316,tune
2020-03-12,307,tune
2020-03-13,274,tune
2020-03-14,217,tune
2020-03-15,229,tune
2020-03-16,262,tune
2020-03-17,262,tune
2020-03-18,290,tune
2020-03-19,316,tune
2020-03-20,330,tune
2020-03-21,245,tune
2020-03-22,273,tune
2020-03-23,306,tune
2020-03-24,297,tune
2020-03-25,287,tune
2020-03-26,329,tune
2020-03-27,293,tune
2020-03-28,251,tune
2020-03-29,237,tune
2020-03-30,295,tune
2020-03-31,296,tune
2020-04-01,284,tune
2020-04-02,490,tune
2020-04-03,482,tune
2020-04-04,390,tune
2020-04-05,374,tune
2020-04-06,454,tune
2020-04-07,428,tune
2020-04-08,391,tune
2020-04-09,434,tune
2020-04-10,346,tune
2020-04-11,297,tune
2020-04-12,314,tune
2020-04-13,367,tune
2020-04-14,499,tune
2020-04-15,459,tune
2020-04-16,410,tune
2020-04-17,412,tune
2020-04-18,292,tune
2020-04-19,299,tune
2020-04-20,377,tune
2020-04-21,545,tune
2020-04-22,632,tune
2020-04-23,551,tune
2020-04-24,632,tune
2020-04-25,565,tune
2020-04-26,440,tune
2020-04-27,625,tune
2020-04-28,570,tune
2020-04-29,566,tune
2020-04-30,521,tune
2020-05-01,491,tune
2020-05-02,390,tune
2020-05-03,383,tune
2020-05-04,532,tune
2020-05-05,491,tune
2020-05-06,502,tune
2020-05-07,405,tune
2020-05-08,392,tune
2020-05-09,354,tune
2020-05-10,352,tune
2020-05-11,454,tune
2020-05-12,446,tune
2020-05-13,494,tune
2020-05-14,559,tune
2020-05-15,464,tune
2020-05-16,361,tune
2020-05-17,315,tune
2020-05-18,482,tune
2020-05-19,515,tune
2020-05-20,532,tune
2020-05-21,429,tune
2020-05-22,498,tune
2020-05-23,316,tune
2020-05-24,300,tune
2020-05-25,429,tune
2020-05-26,458,tune
2020-05-27,449,tune
2020-05-28,444,tune
2020-05-29,426,tune
2020-05-30,307,tune
2020-05-31,306,tune
2020-06-01,394,tune
2020-06-02,449,tune
2020-06-03,440,tune
2020-06-04,448,tune
2020-06-05,419,tune
2020-06-06,300,tune
2020-06-07,295,tune
2020-06-08,382,tune
2020-06-09,405,tune
2020-06-10,364,tune
2020-06-11,401,tune
2020-06-12,363,tune
2020-06-13,271,tune
2020-06-14,294,tune
2020-06-15,404,tune
2020-06-16,389,tune
2020-06-17,610,tune
2020-06-18,557,tune
2020-06-19,545,tune
2020-06-20,333,tune
2020-06-21,249,tune
2020-06-22,360,tune
2020-06-23,379,tune
2020-06-24,328,tune
2020-06-25,359,tune
2020-06-26,380,tune
2020-06-27,284,tune
2020-06-28,268,tune
2020-06-29,396,tune
2020-06-30,518,tune
2020-07-01,425,tune
2020-07-02,392,tune
2020-07-03,369,tune
2020-07-04,255,tune
2020-07-05,289,tune
2020-07-06,446,tune
2020-07-07,412,tune
2020-07-08,587,tune
2020-07-09,923,tune
2020-07-10,666,tune
2020-07-11,445,tune
2020-07-12,417,tune
2020-07-13,588,tune
2020-07-14,723,tune
2020-07-15,617,tune
2020-07-16,551,tune
2020-07-17,579,tune
2020-07-18,394,tune
2020-07-19,382,tune
2020-07-20,535,tune
2020-07-21,635,tune
2020-07-22,522,tune
