date,count,package
2020-01-01,0,unheadr
2020-01-02,0,unheadr
2020-01-03,0,unheadr
2020-01-04,0,unheadr
2020-01-05,0,unheadr
2020-01-06,0,unheadr
2020-01-07,0,unheadr
2020-01-08,0,unheadr
2020-01-09,0,unheadr
2020-01-10,0,unheadr
2020-01-11,0,unheadr
2020-01-12,0,unheadr
2020-01-13,0,unheadr
2020-01-14,0,unheadr
2020-01-15,0,unheadr
2020-01-16,0,unheadr
2020-01-17,0,unheadr
2020-01-18,0,unheadr
2020-01-19,0,unheadr
2020-01-20,0,unheadr
2020-01-21,0,unheadr
2020-01-22,0,unheadr
2020-01-23,0,unheadr
2020-01-24,0,unheadr
2020-01-25,0,unheadr
2020-01-26,0,unheadr
2020-01-27,0,unheadr
2020-01-28,0,unheadr
2020-01-29,0,unheadr
2020-01-30,0,unheadr
2020-01-31,0,unheadr
2020-02-01,0,unheadr
2020-02-02,0,unheadr
2020-02-03,0,unheadr
2020-02-04,0,unheadr
2020-02-05,0,unheadr
2020-02-06,0,unheadr
2020-02-07,0,unheadr
2020-02-08,0,unheadr
2020-02-09,4,unheadr
2020-02-10,13,unheadr
2020-02-11,20,unheadr
2020-02-12,18,unheadr
2020-02-13,20,unheadr
2020-02-14,23,unheadr
2020-02-15,22,unheadr
2020-02-16,30,unheadr
2020-02-17,28,unheadr
2020-02-18,28,unheadr
2020-02-19,28,unheadr
2020-02-20,21,unheadr
2020-02-21,30,unheadr
2020-02-22,23,unheadr
2020-02-23,16,unheadr
2020-02-24,21,unheadr
2020-02-25,14,unheadr
2020-02-26,22,unheadr
2020-02-27,14,unheadr
2020-02-28,14,unheadr
2020-02-29,4,unheadr
2020-03-01,13,unheadr
2020-03-02,10,unheadr
2020-03-03,13,unheadr
2020-03-04,37,unheadr
2020-03-05,30,unheadr
2020-03-06,27,unheadr
2020-03-07,13,unheadr
2020-03-08,12,unheadr
2020-03-09,10,unheadr
2020-03-10,19,unheadr
2020-03-11,5,unheadr
2020-03-12,39,unheadr
2020-03-13,31,unheadr
2020-03-14,25,unheadr
2020-03-15,19,unheadr
2020-03-16,33,unheadr
2020-03-17,24,unheadr
2020-03-18,6,unheadr
2020-03-19,21,unheadr
2020-03-20,18,unheadr
2020-03-21,11,unheadr
2020-03-22,12,unheadr
2020-03-23,19,unheadr
2020-03-24,10,unheadr
2020-03-25,13,unheadr
2020-03-26,9,unheadr
2020-03-27,5,unheadr
2020-03-28,10,unheadr
2020-03-29,16,unheadr
2020-03-30,20,unheadr
2020-03-31,19,unheadr
2020-04-01,15,unheadr
2020-04-02,11,unheadr
2020-04-03,15,unheadr
2020-04-04,8,unheadr
2020-04-05,14,unheadr
2020-04-06,19,unheadr
2020-04-07,18,unheadr
2020-04-08,19,unheadr
2020-04-09,18,unheadr
2020-04-10,9,unheadr
2020-04-11,6,unheadr
2020-04-12,13,unheadr
2020-04-13,9,unheadr
2020-04-14,12,unheadr
2020-04-15,31,unheadr
2020-04-16,9,unheadr
2020-04-17,27,unheadr
2020-04-18,9,unheadr
2020-04-19,2,unheadr
2020-04-20,8,unheadr
2020-04-21,9,unheadr
2020-04-22,26,unheadr
2020-04-23,10,unheadr
2020-04-24,18,unheadr
2020-04-25,21,unheadr
2020-04-26,21,unheadr
2020-04-27,16,unheadr
2020-04-28,19,unheadr
2020-04-29,35,unheadr
2020-04-30,16,unheadr
2020-05-01,19,unheadr
2020-05-02,30,unheadr
2020-05-03,25,unheadr
2020-05-04,30,unheadr
2020-05-05,50,unheadr
2020-05-06,23,unheadr
2020-05-07,25,unheadr
2020-05-08,11,unheadr
2020-05-09,22,unheadr
2020-05-10,45,unheadr
2020-05-11,38,unheadr
2020-05-12,17,unheadr
2020-05-13,17,unheadr
2020-05-14,16,unheadr
2020-05-15,14,unheadr
2020-05-16,13,unheadr
2020-05-17,16,unheadr
2020-05-18,18,unheadr
2020-05-19,18,unheadr
2020-05-20,17,unheadr
2020-05-21,8,unheadr
2020-05-22,11,unheadr
2020-05-23,8,unheadr
2020-05-24,3,unheadr
2020-05-25,10,unheadr
2020-05-26,18,unheadr
2020-05-27,16,unheadr
2020-05-28,20,unheadr
2020-05-29,21,unheadr
2020-05-30,10,unheadr
2020-05-31,16,unheadr
2020-06-01,11,unheadr
2020-06-02,12,unheadr
2020-06-03,12,unheadr
2020-06-04,10,unheadr
2020-06-05,10,unheadr
2020-06-06,8,unheadr
2020-06-07,12,unheadr
2020-06-08,13,unheadr
2020-06-09,13,unheadr
2020-06-10,21,unheadr
2020-06-11,19,unheadr
2020-06-12,10,unheadr
2020-06-13,11,unheadr
2020-06-14,14,unheadr
2020-06-15,9,unheadr
2020-06-16,12,unheadr
2020-06-17,13,unheadr
2020-06-18,28,unheadr
2020-06-19,14,unheadr
2020-06-20,8,unheadr
2020-06-21,13,unheadr
2020-06-22,17,unheadr
2020-06-23,18,unheadr
2020-06-24,13,unheadr
2020-06-25,21,unheadr
2020-06-26,18,unheadr
2020-06-27,11,unheadr
2020-06-28,11,unheadr
2020-06-29,13,unheadr
2020-06-30,9,unheadr
2020-07-01,14,unheadr
2020-07-02,14,unheadr
2020-07-03,13,unheadr
2020-07-04,12,unheadr
2020-07-05,10,unheadr
2020-07-06,19,unheadr
2020-07-07,26,unheadr
2020-07-08,22,unheadr
2020-07-09,20,unheadr
2020-07-10,9,unheadr
2020-07-11,8,unheadr
2020-07-12,11,unheadr
2020-07-13,12,unheadr
2020-07-14,14,unheadr
2020-07-15,15,unheadr
2020-07-16,13,unheadr
2020-07-17,13,unheadr
2020-07-18,14,unheadr
2020-07-19,13,unheadr
2020-07-20,9,unheadr
2020-07-21,17,unheadr
2020-07-22,14,unheadr
2020-07-23,15,unheadr
2020-07-24,10,unheadr
2020-07-25,10,unheadr
2020-07-26,12,unheadr
2020-07-27,8,unheadr
2020-07-28,12,unheadr
2020-07-29,9,unheadr
2020-07-30,8,unheadr
2020-07-31,6,unheadr
2020-08-01,0,unheadr
2020-08-02,7,unheadr
2020-08-03,12,unheadr
2020-08-04,12,unheadr
2020-08-05,17,unheadr
2020-08-06,19,unheadr
2020-08-07,18,unheadr
2020-08-08,11,unheadr
2020-08-09,12,unheadr
2020-08-10,18,unheadr
2020-08-11,11,unheadr
2020-08-12,12,unheadr
2020-08-13,13,unheadr
2020-08-14,13,unheadr
2020-08-15,8,unheadr
2020-08-16,7,unheadr
2020-08-17,12,unheadr
2020-08-18,23,unheadr
2020-08-19,25,unheadr
2020-08-20,8,unheadr
2020-08-21,20,unheadr
2020-08-22,9,unheadr
2020-08-23,7,unheadr
2020-08-24,12,unheadr
2020-08-25,10,unheadr
2020-08-26,11,unheadr
2020-08-27,13,unheadr
2020-08-28,9,unheadr
2020-08-29,11,unheadr
2020-08-30,10,unheadr
2020-08-31,17,unheadr
2020-09-01,15,unheadr
2020-09-02,12,unheadr
2020-09-03,13,unheadr
2020-09-04,17,unheadr
2020-09-05,12,unheadr
2020-09-06,15,unheadr
2020-09-07,28,unheadr
2020-09-08,17,unheadr
2020-09-09,18,unheadr
2020-09-10,14,unheadr
2020-09-11,18,unheadr
2020-09-12,18,unheadr
2020-09-13,16,unheadr
2020-09-14,25,unheadr
2020-09-15,17,unheadr
2020-09-16,12,unheadr
2020-09-17,31,unheadr
2020-09-18,19,unheadr
2020-09-19,9,unheadr
2020-09-20,12,unheadr
2020-09-21,15,unheadr
2020-09-22,17,unheadr
2020-09-23,19,unheadr
2020-09-24,10,unheadr
2020-09-25,8,unheadr
2020-09-26,8,unheadr
2020-09-27,14,unheadr
2020-09-28,16,unheadr
2020-09-29,15,unheadr
2020-09-30,27,unheadr
2020-10-01,78,unheadr
2020-10-02,16,unheadr
2020-10-03,15,unheadr
2020-10-04,14,unheadr
2020-10-05,9,unheadr
2020-10-06,10,unheadr
2020-10-07,12,unheadr
2020-10-08,11,unheadr
2020-10-09,9,unheadr
2020-10-10,12,unheadr
2020-10-11,9,unheadr
2020-10-12,8,unheadr
2020-10-13,12,unheadr
2020-10-14,14,unheadr
2020-10-15,10,unheadr
2020-10-16,11,unheadr
2020-10-17,4,unheadr
2020-10-18,6,unheadr
2020-10-19,15,unheadr
2020-10-20,12,unheadr
2020-10-21,14,unheadr
2020-10-22,12,unheadr
2020-10-23,16,unheadr
2020-10-24,10,unheadr
2020-10-25,13,unheadr
2020-10-26,26,unheadr
2020-10-27,20,unheadr
2020-10-28,40,unheadr
2020-10-29,40,unheadr
2020-10-30,30,unheadr
2020-10-31,15,unheadr
2020-11-01,31,unheadr
2020-11-02,15,unheadr
2020-11-03,36,unheadr
2020-11-04,11,unheadr
2020-11-05,34,unheadr
2020-11-06,26,unheadr
2020-11-07,19,unheadr
2020-11-08,24,unheadr
2020-11-09,29,unheadr
2020-11-10,23,unheadr
2020-11-11,38,unheadr
2020-11-12,23,unheadr
2020-11-13,17,unheadr
2020-11-14,13,unheadr
2020-11-15,13,unheadr
2020-11-16,15,unheadr
2020-11-17,25,unheadr
2020-11-18,31,unheadr
2020-11-19,18,unheadr
2020-11-20,22,unheadr
2020-11-21,10,unheadr
2020-11-22,12,unheadr
2020-11-23,13,unheadr
2020-11-24,15,unheadr
2020-11-25,19,unheadr
2020-11-26,14,unheadr
2020-11-27,14,unheadr
2020-11-28,13,unheadr
2020-11-29,14,unheadr
2020-11-30,19,unheadr
2020-12-01,19,unheadr
2020-12-02,21,unheadr
2020-12-03,17,unheadr
2020-12-04,16,unheadr
2020-12-05,14,unheadr
2020-12-06,10,unheadr
2020-12-07,14,unheadr
2020-12-08,4,unheadr
2020-12-09,23,unheadr
2020-12-10,18,unheadr
2020-12-11,20,unheadr
2020-12-12,16,unheadr
2020-12-13,15,unheadr
2020-12-14,14,unheadr
2020-12-15,12,unheadr
2020-12-16,18,unheadr
2020-12-17,21,unheadr
2020-12-18,15,unheadr
2020-12-19,10,unheadr
2020-12-20,16,unheadr
2020-12-21,12,unheadr
2020-12-22,15,unheadr
2020-12-23,16,unheadr
2020-12-24,15,unheadr
2020-12-25,10,unheadr
2020-12-26,11,unheadr
2020-12-27,9,unheadr
2020-12-28,17,unheadr
2020-12-29,13,unheadr
2020-12-30,17,unheadr
2020-12-31,18,unheadr
2021-01-01,13,unheadr
2021-01-02,12,unheadr
2021-01-03,12,unheadr
2021-01-04,15,unheadr
2021-01-05,10,unheadr
2021-01-06,20,unheadr
2021-01-07,13,unheadr
2021-01-08,14,unheadr
2021-01-09,15,unheadr
2021-01-10,11,unheadr
2021-01-11,16,unheadr
2021-01-12,15,unheadr
2021-01-13,18,unheadr
2021-01-14,22,unheadr
2021-01-15,14,unheadr
2021-01-16,11,unheadr
2021-01-17,11,unheadr
2021-01-18,9,unheadr
2021-01-19,13,unheadr
2021-01-20,21,unheadr
2021-01-21,16,unheadr
2021-01-22,5,unheadr
2021-01-23,11,unheadr
2021-01-24,6,unheadr
2021-01-25,18,unheadr
2021-01-26,7,unheadr
2021-01-27,23,unheadr
2021-01-28,6,unheadr
2021-01-29,14,unheadr
2021-01-30,15,unheadr
2021-01-31,14,unheadr
2021-02-01,13,unheadr
2021-02-02,18,unheadr
2021-02-03,16,unheadr
2021-02-04,14,unheadr
2021-02-05,11,unheadr
2021-02-06,17,unheadr
2021-02-07,37,unheadr
2021-02-08,38,unheadr
2021-02-09,37,unheadr
2021-02-10,35,unheadr
2021-02-11,36,unheadr
2021-02-12,39,unheadr
2021-02-13,26,unheadr
2021-02-14,6,unheadr
2021-02-15,26,unheadr
2021-02-16,14,unheadr
2021-02-17,33,unheadr
2021-02-18,33,unheadr
2021-02-19,31,unheadr
2021-02-20,21,unheadr
2021-02-21,25,unheadr
2021-02-22,32,unheadr
2021-02-23,8,unheadr
2021-02-24,35,unheadr
2021-02-25,32,unheadr
2021-02-26,35,unheadr
2021-02-27,24,unheadr
2021-02-28,22,unheadr
2021-03-01,29,unheadr
2021-03-02,27,unheadr
2021-03-03,35,unheadr
2021-03-04,25,unheadr
2021-03-05,26,unheadr
2021-03-06,19,unheadr
2021-03-07,16,unheadr
2021-03-08,25,unheadr
2021-03-09,18,unheadr
2021-03-10,31,unheadr
2021-03-11,20,unheadr
2021-03-12,15,unheadr
2021-03-13,17,unheadr
2021-03-14,16,unheadr
2021-03-15,18,unheadr
2021-03-16,15,unheadr
2021-03-17,28,unheadr
2021-03-18,22,unheadr
2021-03-19,8,unheadr
