date,count,package
2020-01-01,0,universals
2020-01-02,0,universals
2020-01-03,0,universals
2020-01-04,0,universals
2020-01-05,0,universals
2020-01-06,0,universals
2020-01-07,0,universals
2020-01-08,0,universals
2020-01-09,0,universals
2020-01-10,0,universals
2020-01-11,0,universals
2020-01-12,0,universals
2020-01-13,0,universals
2020-01-14,0,universals
2020-01-15,0,universals
2020-01-16,0,universals
2020-01-17,0,universals
2020-01-18,0,universals
2020-01-19,0,universals
2020-01-20,0,universals
2020-01-21,0,universals
2020-01-22,0,universals
2020-01-23,0,universals
2020-01-24,0,universals
2020-01-25,0,universals
2020-01-26,0,universals
2020-01-27,0,universals
2020-01-28,0,universals
2020-01-29,0,universals
2020-01-30,0,universals
2020-01-31,0,universals
2020-02-01,0,universals
2020-02-02,0,universals
2020-02-03,0,universals
2020-02-04,0,universals
2020-02-05,0,universals
2020-02-06,0,universals
2020-02-07,0,universals
2020-02-08,0,universals
2020-02-09,0,universals
2020-02-10,0,universals
2020-02-11,0,universals
2020-02-12,0,universals
2020-02-13,0,universals
2020-02-14,0,universals
2020-02-15,0,universals
2020-02-16,0,universals
2020-02-17,0,universals
2020-02-18,0,universals
2020-02-19,0,universals
2020-02-20,0,universals
2020-02-21,0,universals
2020-02-22,0,universals
2020-02-23,0,universals
2020-02-24,0,universals
2020-02-25,0,universals
2020-02-26,0,universals
2020-02-27,0,universals
2020-02-28,0,universals
2020-02-29,0,universals
2020-03-01,0,universals
2020-03-02,0,universals
2020-03-03,0,universals
2020-03-04,0,universals
2020-03-05,0,universals
2020-03-06,0,universals
2020-03-07,0,universals
2020-03-08,0,universals
2020-03-09,0,universals
2020-03-10,0,universals
2020-03-11,0,universals
2020-03-12,0,universals
2020-03-13,0,universals
2020-03-14,0,universals
2020-03-15,0,universals
2020-03-16,0,universals
2020-03-17,0,universals
2020-03-18,0,universals
2020-03-19,0,universals
2020-03-20,0,universals
2020-03-21,0,universals
2020-03-22,0,universals
2020-03-23,0,universals
2020-03-24,0,universals
2020-03-25,0,universals
2020-03-26,0,universals
2020-03-27,0,universals
2020-03-28,0,universals
2020-03-29,0,universals
2020-03-30,0,universals
2020-03-31,0,universals
2020-04-01,0,universals
2020-04-02,0,universals
2020-04-03,0,universals
2020-04-04,0,universals
2020-04-05,0,universals
2020-04-06,0,universals
2020-04-07,0,universals
2020-04-08,0,universals
2020-04-09,0,universals
2020-04-10,0,universals
2020-04-11,0,universals
2020-04-12,0,universals
2020-04-13,0,universals
2020-04-14,0,universals
2020-04-15,0,universals
2020-04-16,0,universals
2020-04-17,0,universals
2020-04-18,0,universals
2020-04-19,0,universals
2020-04-20,0,universals
2020-04-21,0,universals
2020-04-22,0,universals
2020-04-23,0,universals
2020-04-24,0,universals
2020-04-25,0,universals
2020-04-26,0,universals
2020-04-27,0,universals
2020-04-28,0,universals
2020-04-29,0,universals
2020-04-30,0,universals
2020-05-01,0,universals
2020-05-02,0,universals
2020-05-03,0,universals
2020-05-04,0,universals
2020-05-05,0,universals
2020-05-06,0,universals
2020-05-07,0,universals
2020-05-08,0,universals
2020-05-09,0,universals
2020-05-10,0,universals
2020-05-11,0,universals
2020-05-12,0,universals
2020-05-13,0,universals
2020-05-14,0,universals
2020-05-15,0,universals
2020-05-16,0,universals
2020-05-17,0,universals
2020-05-18,0,universals
2020-05-19,0,universals
2020-05-20,0,universals
2020-05-21,0,universals
2020-05-22,0,universals
2020-05-23,0,universals
2020-05-24,0,universals
2020-05-25,0,universals
2020-05-26,0,universals
2020-05-27,0,universals
2020-05-28,0,universals
2020-05-29,0,universals
2020-05-30,0,universals
2020-05-31,6,universals
2020-06-01,37,universals
2020-06-02,55,universals
2020-06-03,51,universals
2020-06-04,30,universals
2020-06-05,21,universals
2020-06-06,23,universals
2020-06-07,19,universals
2020-06-08,23,universals
2020-06-09,25,universals
2020-06-10,30,universals
2020-06-11,27,universals
2020-06-12,43,universals
2020-06-13,49,universals
2020-06-14,34,universals
2020-06-15,45,universals
2020-06-16,59,universals
2020-06-17,52,universals
2020-06-18,51,universals
2020-06-19,52,universals
2020-06-20,35,universals
2020-06-21,36,universals
2020-06-22,44,universals
2020-06-23,51,universals
2020-06-24,42,universals
2020-06-25,77,universals
2020-06-26,53,universals
2020-06-27,44,universals
2020-06-28,47,universals
2020-06-29,47,universals
2020-06-30,40,universals
2020-07-01,43,universals
2020-07-02,45,universals
2020-07-03,43,universals
2020-07-04,42,universals
2020-07-05,44,universals
2020-07-06,44,universals
2020-07-07,76,universals
2020-07-08,173,universals
2020-07-09,134,universals
2020-07-10,223,universals
2020-07-11,92,universals
2020-07-12,101,universals
2020-07-13,79,universals
2020-07-14,97,universals
2020-07-15,74,universals
2020-07-16,96,universals
2020-07-17,75,universals
2020-07-18,24,universals
2020-07-19,64,universals
2020-07-20,56,universals
2020-07-21,69,universals
2020-07-22,49,universals
2020-07-23,47,universals
2020-07-24,46,universals
2020-07-25,44,universals
2020-07-26,44,universals
2020-07-27,36,universals
2020-07-28,43,universals
2020-07-29,43,universals
2020-07-30,44,universals
2020-07-31,40,universals
2020-08-01,31,universals
2020-08-02,46,universals
2020-08-03,46,universals
2020-08-04,42,universals
2020-08-05,48,universals
2020-08-06,45,universals
2020-08-07,50,universals
2020-08-08,42,universals
2020-08-09,39,universals
2020-08-10,48,universals
2020-08-11,50,universals
2020-08-12,78,universals
2020-08-13,53,universals
2020-08-14,61,universals
2020-08-15,46,universals
2020-08-16,45,universals
2020-08-17,53,universals
2020-08-18,56,universals
2020-08-19,68,universals
2020-08-20,60,universals
2020-08-21,51,universals
2020-08-22,49,universals
2020-08-23,46,universals
2020-08-24,49,universals
2020-08-25,60,universals
2020-08-26,70,universals
2020-08-27,54,universals
2020-08-28,68,universals
2020-08-29,49,universals
2020-08-30,45,universals
2020-08-31,56,universals
2020-09-01,54,universals
2020-09-02,56,universals
2020-09-03,54,universals
2020-09-04,50,universals
2020-09-05,51,universals
2020-09-06,53,universals
2020-09-07,74,universals
2020-09-08,52,universals
2020-09-09,54,universals
2020-09-10,54,universals
2020-09-11,51,universals
2020-09-12,51,universals
2020-09-13,47,universals
2020-09-14,62,universals
2020-09-15,52,universals
2020-09-16,50,universals
2020-09-17,38,universals
2020-09-18,30,universals
2020-09-19,45,universals
2020-09-20,54,universals
2020-09-21,65,universals
2020-09-22,49,universals
2020-09-23,65,universals
2020-09-24,113,universals
2020-09-25,90,universals
2020-09-26,86,universals
2020-09-27,92,universals
2020-09-28,94,universals
2020-09-29,88,universals
2020-09-30,87,universals
2020-10-01,87,universals
2020-10-02,101,universals
2020-10-03,67,universals
2020-10-04,77,universals
2020-10-05,65,universals
2020-10-06,68,universals
2020-10-07,72,universals
2020-10-08,69,universals
2020-10-09,65,universals
2020-10-10,67,universals
2020-10-11,65,universals
2020-10-12,59,universals
2020-10-13,76,universals
2020-10-14,65,universals
2020-10-15,56,universals
2020-10-16,70,universals
2020-10-17,51,universals
2020-10-18,56,universals
2020-10-19,61,universals
2020-10-20,60,universals
2020-10-21,68,universals
2020-10-22,68,universals
2020-10-23,59,universals
2020-10-24,57,universals
2020-10-25,60,universals
2020-10-26,60,universals
2020-10-27,60,universals
2020-10-28,62,universals
2020-10-29,64,universals
2020-10-30,76,universals
2020-10-31,73,universals
2020-11-01,51,universals
2020-11-02,44,universals
2020-11-03,57,universals
2020-11-04,45,universals
2020-11-05,58,universals
2020-11-06,55,universals
2020-11-07,49,universals
2020-11-08,51,universals
2020-11-09,51,universals
2020-11-10,71,universals
2020-11-11,62,universals
2020-11-12,47,universals
2020-11-13,60,universals
2020-11-14,44,universals
2020-11-15,51,universals
2020-11-16,54,universals
2020-11-17,50,universals
2020-11-18,60,universals
2020-11-19,48,universals
2020-11-20,44,universals
2020-11-21,57,universals
2020-11-22,48,universals
2020-11-23,54,universals
2020-11-24,48,universals
2020-11-25,48,universals
2020-11-26,38,universals
2020-11-27,36,universals
2020-11-28,38,universals
2020-11-29,39,universals
2020-11-30,41,universals
2020-12-01,39,universals
2020-12-02,45,universals
2020-12-03,27,universals
2020-12-04,25,universals
2020-12-05,22,universals
2020-12-06,26,universals
2020-12-07,29,universals
2020-12-08,23,universals
2020-12-09,32,universals
2020-12-10,28,universals
2020-12-11,31,universals
2020-12-12,27,universals
2020-12-13,35,universals
2020-12-14,25,universals
2020-12-15,24,universals
2020-12-16,29,universals
2020-12-17,29,universals
2020-12-18,30,universals
2020-12-19,23,universals
2020-12-20,31,universals
2020-12-21,23,universals
2020-12-22,29,universals
2020-12-23,33,universals
2020-12-24,21,universals
2020-12-25,23,universals
2020-12-26,21,universals
2020-12-27,26,universals
2020-12-28,31,universals
2020-12-29,28,universals
