date,count,package
2020-01-01,0,varTestnlme
2020-01-02,0,varTestnlme
2020-01-03,0,varTestnlme
2020-01-04,0,varTestnlme
2020-01-05,0,varTestnlme
2020-01-06,0,varTestnlme
2020-01-07,0,varTestnlme
2020-01-08,0,varTestnlme
2020-01-09,0,varTestnlme
2020-01-10,2,varTestnlme
2020-01-11,14,varTestnlme
2020-01-12,4,varTestnlme
2020-01-13,23,varTestnlme
2020-01-14,22,varTestnlme
2020-01-15,33,varTestnlme
2020-01-16,35,varTestnlme
2020-01-17,28,varTestnlme
2020-01-18,19,varTestnlme
2020-01-19,20,varTestnlme
2020-01-20,19,varTestnlme
2020-01-21,20,varTestnlme
2020-01-22,16,varTestnlme
2020-01-23,14,varTestnlme
2020-01-24,12,varTestnlme
2020-01-25,14,varTestnlme
2020-01-26,15,varTestnlme
2020-01-27,14,varTestnlme
2020-01-28,19,varTestnlme
2020-01-29,18,varTestnlme
2020-01-30,11,varTestnlme
2020-01-31,15,varTestnlme
2020-02-01,19,varTestnlme
2020-02-02,14,varTestnlme
2020-02-03,7,varTestnlme
2020-02-04,12,varTestnlme
2020-02-05,16,varTestnlme
2020-02-06,15,varTestnlme
2020-02-07,14,varTestnlme
2020-02-08,18,varTestnlme
2020-02-09,9,varTestnlme
2020-02-10,10,varTestnlme
2020-02-11,12,varTestnlme
2020-02-12,12,varTestnlme
2020-02-13,13,varTestnlme
2020-02-14,11,varTestnlme
2020-02-15,16,varTestnlme
2020-02-16,10,varTestnlme
2020-02-17,8,varTestnlme
2020-02-18,11,varTestnlme
2020-02-19,13,varTestnlme
2020-02-20,9,varTestnlme
2020-02-21,13,varTestnlme
2020-02-22,10,varTestnlme
2020-02-23,9,varTestnlme
2020-02-24,13,varTestnlme
2020-02-25,7,varTestnlme
2020-02-26,11,varTestnlme
2020-02-27,11,varTestnlme
2020-02-28,9,varTestnlme
2020-02-29,2,varTestnlme
2020-03-01,14,varTestnlme
2020-03-02,8,varTestnlme
2020-03-03,13,varTestnlme
2020-03-04,15,varTestnlme
2020-03-05,11,varTestnlme
2020-03-06,14,varTestnlme
2020-03-07,10,varTestnlme
2020-03-08,15,varTestnlme
2020-03-09,11,varTestnlme
2020-03-10,15,varTestnlme
2020-03-11,2,varTestnlme
2020-03-12,21,varTestnlme
2020-03-13,11,varTestnlme
2020-03-14,8,varTestnlme
2020-03-15,14,varTestnlme
2020-03-16,12,varTestnlme
2020-03-17,10,varTestnlme
2020-03-18,5,varTestnlme
2020-03-19,12,varTestnlme
2020-03-20,11,varTestnlme
2020-03-21,10,varTestnlme
2020-03-22,10,varTestnlme
2020-03-23,18,varTestnlme
2020-03-24,7,varTestnlme
2020-03-25,12,varTestnlme
2020-03-26,8,varTestnlme
2020-03-27,4,varTestnlme
2020-03-28,10,varTestnlme
2020-03-29,16,varTestnlme
2020-03-30,19,varTestnlme
2020-03-31,23,varTestnlme
2020-04-01,12,varTestnlme
2020-04-02,11,varTestnlme
2020-04-03,14,varTestnlme
2020-04-04,8,varTestnlme
2020-04-05,14,varTestnlme
2020-04-06,19,varTestnlme
2020-04-07,17,varTestnlme
2020-04-08,17,varTestnlme
2020-04-09,18,varTestnlme
2020-04-10,9,varTestnlme
2020-04-11,6,varTestnlme
2020-04-12,12,varTestnlme
2020-04-13,8,varTestnlme
2020-04-14,10,varTestnlme
2020-04-15,22,varTestnlme
2020-04-16,18,varTestnlme
2020-04-17,26,varTestnlme
2020-04-18,5,varTestnlme
2020-04-19,2,varTestnlme
2020-04-20,8,varTestnlme
2020-04-21,8,varTestnlme
2020-04-22,24,varTestnlme
2020-04-23,10,varTestnlme
2020-04-24,15,varTestnlme
2020-04-25,21,varTestnlme
2020-04-26,20,varTestnlme
2020-04-27,17,varTestnlme
2020-04-28,20,varTestnlme
2020-04-29,32,varTestnlme
2020-04-30,15,varTestnlme
2020-05-01,16,varTestnlme
2020-05-02,28,varTestnlme
2020-05-03,25,varTestnlme
2020-05-04,27,varTestnlme
2020-05-05,40,varTestnlme
2020-05-06,18,varTestnlme
2020-05-07,22,varTestnlme
2020-05-08,10,varTestnlme
2020-05-09,23,varTestnlme
2020-05-10,46,varTestnlme
2020-05-11,39,varTestnlme
2020-05-12,17,varTestnlme
2020-05-13,13,varTestnlme
2020-05-14,10,varTestnlme
2020-05-15,12,varTestnlme
2020-05-16,13,varTestnlme
2020-05-17,16,varTestnlme
2020-05-18,19,varTestnlme
2020-05-19,17,varTestnlme
2020-05-20,14,varTestnlme
2020-05-21,8,varTestnlme
2020-05-22,11,varTestnlme
2020-05-23,7,varTestnlme
2020-05-24,3,varTestnlme
2020-05-25,12,varTestnlme
2020-05-26,13,varTestnlme
2020-05-27,13,varTestnlme
2020-05-28,17,varTestnlme
2020-05-29,11,varTestnlme
2020-05-30,17,varTestnlme
2020-05-31,17,varTestnlme
2020-06-01,10,varTestnlme
2020-06-02,13,varTestnlme
2020-06-03,10,varTestnlme
2020-06-04,10,varTestnlme
2020-06-05,10,varTestnlme
2020-06-06,8,varTestnlme
2020-06-07,12,varTestnlme
2020-06-08,17,varTestnlme
2020-06-09,12,varTestnlme
2020-06-10,17,varTestnlme
2020-06-11,14,varTestnlme
2020-06-12,17,varTestnlme
2020-06-13,12,varTestnlme
2020-06-14,9,varTestnlme
2020-06-15,13,varTestnlme
2020-06-16,12,varTestnlme
2020-06-17,12,varTestnlme
2020-06-18,22,varTestnlme
2020-06-19,20,varTestnlme
2020-06-20,11,varTestnlme
2020-06-21,13,varTestnlme
2020-06-22,16,varTestnlme
2020-06-23,17,varTestnlme
2020-06-24,11,varTestnlme
2020-06-25,12,varTestnlme
2020-06-26,20,varTestnlme
2020-06-27,11,varTestnlme
2020-06-28,11,varTestnlme
2020-06-29,12,varTestnlme
2020-06-30,8,varTestnlme
2020-07-01,12,varTestnlme
2020-07-02,10,varTestnlme
2020-07-03,13,varTestnlme
2020-07-04,12,varTestnlme
2020-07-05,7,varTestnlme
2020-07-06,11,varTestnlme
2020-07-07,19,varTestnlme
2020-07-08,30,varTestnlme
2020-07-09,35,varTestnlme
2020-07-10,23,varTestnlme
2020-07-11,25,varTestnlme
2020-07-12,43,varTestnlme
2020-07-13,31,varTestnlme
2020-07-14,52,varTestnlme
2020-07-15,33,varTestnlme
2020-07-16,26,varTestnlme
2020-07-17,23,varTestnlme
2020-07-18,23,varTestnlme
2020-07-19,24,varTestnlme
2020-07-20,20,varTestnlme
2020-07-21,24,varTestnlme
2020-07-22,20,varTestnlme
2020-07-23,17,varTestnlme
2020-07-24,17,varTestnlme
2020-07-25,19,varTestnlme
2020-07-26,14,varTestnlme
2020-07-27,7,varTestnlme
2020-07-28,9,varTestnlme
2020-07-29,13,varTestnlme
2020-07-30,8,varTestnlme
2020-07-31,8,varTestnlme
2020-08-01,5,varTestnlme
2020-08-02,5,varTestnlme
2020-08-03,12,varTestnlme
2020-08-04,12,varTestnlme
2020-08-05,16,varTestnlme
2020-08-06,16,varTestnlme
2020-08-07,23,varTestnlme
2020-08-08,9,varTestnlme
2020-08-09,14,varTestnlme
2020-08-10,19,varTestnlme
2020-08-11,10,varTestnlme
2020-08-12,22,varTestnlme
2020-08-13,14,varTestnlme
2020-08-14,16,varTestnlme
2020-08-15,9,varTestnlme
2020-08-16,9,varTestnlme
2020-08-17,12,varTestnlme
2020-08-18,18,varTestnlme
2020-08-19,27,varTestnlme
2020-08-20,9,varTestnlme
2020-08-21,18,varTestnlme
2020-08-22,6,varTestnlme
2020-08-23,7,varTestnlme
2020-08-24,10,varTestnlme
2020-08-25,16,varTestnlme
2020-08-26,12,varTestnlme
2020-08-27,12,varTestnlme
2020-08-28,8,varTestnlme
2020-08-29,11,varTestnlme
2020-08-30,9,varTestnlme
2020-08-31,12,varTestnlme
2020-09-01,14,varTestnlme
2020-09-02,13,varTestnlme
2020-09-03,13,varTestnlme
2020-09-04,9,varTestnlme
2020-09-05,11,varTestnlme
2020-09-06,17,varTestnlme
2020-09-07,27,varTestnlme
2020-09-08,16,varTestnlme
2020-09-09,23,varTestnlme
2020-09-10,19,varTestnlme
2020-09-11,17,varTestnlme
2020-09-12,18,varTestnlme
2020-09-13,15,varTestnlme
2020-09-14,26,varTestnlme
2020-09-15,17,varTestnlme
2020-09-16,12,varTestnlme
2020-09-17,25,varTestnlme
2020-09-18,19,varTestnlme
2020-09-19,9,varTestnlme
2020-09-20,11,varTestnlme
2020-09-21,22,varTestnlme
2020-09-22,16,varTestnlme
2020-09-23,16,varTestnlme
2020-09-24,9,varTestnlme
2020-09-25,7,varTestnlme
2020-09-26,8,varTestnlme
2020-09-27,11,varTestnlme
2020-09-28,15,varTestnlme
2020-09-29,20,varTestnlme
2020-09-30,14,varTestnlme
2020-10-01,17,varTestnlme
2020-10-02,15,varTestnlme
2020-10-03,13,varTestnlme
2020-10-04,20,varTestnlme
2020-10-05,8,varTestnlme
2020-10-06,10,varTestnlme
2020-10-07,7,varTestnlme
2020-10-08,10,varTestnlme
2020-10-09,8,varTestnlme
2020-10-10,13,varTestnlme
2020-10-11,9,varTestnlme
2020-10-12,7,varTestnlme
2020-10-13,12,varTestnlme
2020-10-14,14,varTestnlme
2020-10-15,7,varTestnlme
2020-10-16,19,varTestnlme
2020-10-17,1,varTestnlme
2020-10-18,9,varTestnlme
2020-10-19,15,varTestnlme
2020-10-20,14,varTestnlme
2020-10-21,15,varTestnlme
2020-10-22,12,varTestnlme
2020-10-23,14,varTestnlme
