date,count,package
2020-01-01,0,varitas
2020-01-02,0,varitas
2020-01-03,0,varitas
2020-01-04,0,varitas
2020-01-05,0,varitas
2020-01-06,0,varitas
2020-01-07,0,varitas
2020-01-08,0,varitas
2020-01-09,0,varitas
2020-01-10,0,varitas
2020-01-11,0,varitas
2020-01-12,0,varitas
2020-01-13,0,varitas
2020-01-14,0,varitas
2020-01-15,0,varitas
2020-01-16,0,varitas
2020-01-17,0,varitas
2020-01-18,0,varitas
2020-01-19,0,varitas
2020-01-20,0,varitas
2020-01-21,0,varitas
2020-01-22,0,varitas
2020-01-23,0,varitas
2020-01-24,0,varitas
2020-01-25,0,varitas
2020-01-26,0,varitas
2020-01-27,0,varitas
2020-01-28,0,varitas
2020-01-29,0,varitas
2020-01-30,0,varitas
2020-01-31,0,varitas
2020-02-01,0,varitas
2020-02-02,0,varitas
2020-02-03,0,varitas
2020-02-04,0,varitas
2020-02-05,0,varitas
2020-02-06,0,varitas
2020-02-07,0,varitas
2020-02-08,0,varitas
2020-02-09,0,varitas
2020-02-10,0,varitas
2020-02-11,0,varitas
2020-02-12,0,varitas
2020-02-13,0,varitas
2020-02-14,0,varitas
2020-02-15,0,varitas
2020-02-16,0,varitas
2020-02-17,0,varitas
2020-02-18,0,varitas
2020-02-19,0,varitas
2020-02-20,0,varitas
2020-02-21,5,varitas
2020-02-22,17,varitas
2020-02-23,20,varitas
2020-02-24,20,varitas
2020-02-25,14,varitas
2020-02-26,29,varitas
2020-02-27,29,varitas
2020-02-28,24,varitas
2020-02-29,10,varitas
2020-03-01,29,varitas
2020-03-02,21,varitas
2020-03-03,25,varitas
2020-03-04,27,varitas
2020-03-05,26,varitas
2020-03-06,25,varitas
2020-03-07,19,varitas
2020-03-08,24,varitas
2020-03-09,21,varitas
2020-03-10,24,varitas
2020-03-11,2,varitas
2020-03-12,30,varitas
2020-03-13,17,varitas
2020-03-14,16,varitas
2020-03-15,10,varitas
2020-03-16,22,varitas
2020-03-17,14,varitas
2020-03-18,4,varitas
2020-03-19,14,varitas
2020-03-20,15,varitas
2020-03-21,8,varitas
2020-03-22,9,varitas
2020-03-23,18,varitas
2020-03-24,7,varitas
2020-03-25,12,varitas
2020-03-26,10,varitas
2020-03-27,5,varitas
2020-03-28,9,varitas
2020-03-29,16,varitas
2020-03-30,21,varitas
2020-03-31,17,varitas
2020-04-01,13,varitas
2020-04-02,9,varitas
2020-04-03,14,varitas
2020-04-04,10,varitas
2020-04-05,15,varitas
2020-04-06,19,varitas
2020-04-07,18,varitas
2020-04-08,17,varitas
2020-04-09,18,varitas
2020-04-10,9,varitas
2020-04-11,6,varitas
2020-04-12,12,varitas
2020-04-13,8,varitas
2020-04-14,10,varitas
2020-04-15,29,varitas
2020-04-16,16,varitas
2020-04-17,24,varitas
2020-04-18,5,varitas
2020-04-19,2,varitas
2020-04-20,7,varitas
2020-04-21,8,varitas
2020-04-22,23,varitas
2020-04-23,10,varitas
2020-04-24,14,varitas
2020-04-25,21,varitas
2020-04-26,18,varitas
2020-04-27,17,varitas
2020-04-28,19,varitas
2020-04-29,32,varitas
2020-04-30,16,varitas
2020-05-01,18,varitas
2020-05-02,28,varitas
2020-05-03,25,varitas
2020-05-04,28,varitas
2020-05-05,45,varitas
2020-05-06,20,varitas
2020-05-07,22,varitas
2020-05-08,11,varitas
2020-05-09,22,varitas
2020-05-10,49,varitas
2020-05-11,38,varitas
2020-05-12,17,varitas
2020-05-13,13,varitas
2020-05-14,10,varitas
