date,count,package
2020-01-01,0,violinplotter
2020-01-02,0,violinplotter
2020-01-03,0,violinplotter
2020-01-04,0,violinplotter
2020-01-05,0,violinplotter
2020-01-06,0,violinplotter
2020-01-07,0,violinplotter
2020-01-08,0,violinplotter
2020-01-09,0,violinplotter
2020-01-10,0,violinplotter
2020-01-11,0,violinplotter
2020-01-12,0,violinplotter
2020-01-13,0,violinplotter
2020-01-14,0,violinplotter
2020-01-15,0,violinplotter
2020-01-16,0,violinplotter
2020-01-17,0,violinplotter
2020-01-18,0,violinplotter
2020-01-19,0,violinplotter
2020-01-20,0,violinplotter
2020-01-21,0,violinplotter
2020-01-22,0,violinplotter
2020-01-23,0,violinplotter
2020-01-24,0,violinplotter
2020-01-25,0,violinplotter
2020-01-26,0,violinplotter
2020-01-27,0,violinplotter
2020-01-28,0,violinplotter
2020-01-29,0,violinplotter
2020-01-30,0,violinplotter
2020-01-31,0,violinplotter
2020-02-01,0,violinplotter
2020-02-02,0,violinplotter
2020-02-03,0,violinplotter
2020-02-04,0,violinplotter
2020-02-05,0,violinplotter
2020-02-06,0,violinplotter
2020-02-07,0,violinplotter
2020-02-08,0,violinplotter
2020-02-09,0,violinplotter
2020-02-10,0,violinplotter
2020-02-11,0,violinplotter
2020-02-12,0,violinplotter
2020-02-13,0,violinplotter
2020-02-14,0,violinplotter
2020-02-15,0,violinplotter
2020-02-16,0,violinplotter
2020-02-17,0,violinplotter
2020-02-18,0,violinplotter
2020-02-19,0,violinplotter
2020-02-20,0,violinplotter
2020-02-21,0,violinplotter
2020-02-22,0,violinplotter
2020-02-23,0,violinplotter
2020-02-24,0,violinplotter
2020-02-25,0,violinplotter
2020-02-26,0,violinplotter
2020-02-27,0,violinplotter
2020-02-28,0,violinplotter
2020-02-29,0,violinplotter
2020-03-01,0,violinplotter
2020-03-02,0,violinplotter
2020-03-03,0,violinplotter
2020-03-04,0,violinplotter
2020-03-05,0,violinplotter
2020-03-06,0,violinplotter
2020-03-07,0,violinplotter
2020-03-08,0,violinplotter
2020-03-09,0,violinplotter
2020-03-10,0,violinplotter
2020-03-11,0,violinplotter
2020-03-12,0,violinplotter
2020-03-13,0,violinplotter
2020-03-14,0,violinplotter
2020-03-15,0,violinplotter
2020-03-16,0,violinplotter
2020-03-17,0,violinplotter
2020-03-18,0,violinplotter
2020-03-19,0,violinplotter
2020-03-20,0,violinplotter
2020-03-21,0,violinplotter
2020-03-22,0,violinplotter
2020-03-23,0,violinplotter
2020-03-24,12,violinplotter
2020-03-25,25,violinplotter
2020-03-26,17,violinplotter
2020-03-27,4,violinplotter
2020-03-28,9,violinplotter
2020-03-29,15,violinplotter
2020-03-30,19,violinplotter
2020-03-31,22,violinplotter
2020-04-01,16,violinplotter
2020-04-02,7,violinplotter
2020-04-03,23,violinplotter
2020-04-04,25,violinplotter
2020-04-05,25,violinplotter
2020-04-06,31,violinplotter
2020-04-07,33,violinplotter
2020-04-08,31,violinplotter
2020-04-09,32,violinplotter
2020-04-10,21,violinplotter
2020-04-11,6,violinplotter
2020-04-12,26,violinplotter
2020-04-13,20,violinplotter
2020-04-14,22,violinplotter
2020-04-15,31,violinplotter
2020-04-16,12,violinplotter
2020-04-17,29,violinplotter
2020-04-18,7,violinplotter
2020-04-19,1,violinplotter
2020-04-20,6,violinplotter
2020-04-21,8,violinplotter
2020-04-22,38,violinplotter
2020-04-23,10,violinplotter
2020-04-24,26,violinplotter
2020-04-25,33,violinplotter
2020-04-26,20,violinplotter
2020-04-27,29,violinplotter
2020-04-28,32,violinplotter
2020-04-29,47,violinplotter
2020-04-30,24,violinplotter
2020-05-01,24,violinplotter
2020-05-02,35,violinplotter
2020-05-03,34,violinplotter
2020-05-04,38,violinplotter
2020-05-05,47,violinplotter
2020-05-06,31,violinplotter
2020-05-07,28,violinplotter
2020-05-08,19,violinplotter
2020-05-09,29,violinplotter
2020-05-10,55,violinplotter
2020-05-11,48,violinplotter
2020-05-12,23,violinplotter
2020-05-13,24,violinplotter
2020-05-14,21,violinplotter
2020-05-15,22,violinplotter
2020-05-16,22,violinplotter
2020-05-17,24,violinplotter
2020-05-18,27,violinplotter
2020-05-19,23,violinplotter
2020-05-20,23,violinplotter
2020-05-21,19,violinplotter
2020-05-22,18,violinplotter
2020-05-23,17,violinplotter
2020-05-24,15,violinplotter
2020-05-25,20,violinplotter
2020-05-26,25,violinplotter
2020-05-27,24,violinplotter
2020-05-28,23,violinplotter
2020-05-29,20,violinplotter
2020-05-30,19,violinplotter
2020-05-31,27,violinplotter
2020-06-01,19,violinplotter
2020-06-02,23,violinplotter
2020-06-03,28,violinplotter
2020-06-04,20,violinplotter
2020-06-05,18,violinplotter
2020-06-06,17,violinplotter
2020-06-07,25,violinplotter
2020-06-08,22,violinplotter
2020-06-09,22,violinplotter
2020-06-10,28,violinplotter
2020-06-11,25,violinplotter
2020-06-12,19,violinplotter
2020-06-13,20,violinplotter
2020-06-14,28,violinplotter
2020-06-15,17,violinplotter
2020-06-16,23,violinplotter
2020-06-17,18,violinplotter
2020-06-18,30,violinplotter
2020-06-19,23,violinplotter
2020-06-20,21,violinplotter
2020-06-21,20,violinplotter
2020-06-22,24,violinplotter
2020-06-23,26,violinplotter
2020-06-24,22,violinplotter
2020-06-25,19,violinplotter
2020-06-26,24,violinplotter
2020-06-27,19,violinplotter
2020-06-28,19,violinplotter
2020-06-29,21,violinplotter
2020-06-30,16,violinplotter
2020-07-01,21,violinplotter
2020-07-02,25,violinplotter
2020-07-03,22,violinplotter
2020-07-04,19,violinplotter
2020-07-05,16,violinplotter
2020-07-06,18,violinplotter
2020-07-07,25,violinplotter
2020-07-08,20,violinplotter
2020-07-09,18,violinplotter
2020-07-10,19,violinplotter
2020-07-11,16,violinplotter
2020-07-12,20,violinplotter
2020-07-13,21,violinplotter
2020-07-14,22,violinplotter
2020-07-15,27,violinplotter
2020-07-16,21,violinplotter
2020-07-17,21,violinplotter
2020-07-18,23,violinplotter
2020-07-19,21,violinplotter
2020-07-20,18,violinplotter
2020-07-21,25,violinplotter
2020-07-22,23,violinplotter
2020-07-23,20,violinplotter
2020-07-24,17,violinplotter
2020-07-25,20,violinplotter
2020-07-26,26,violinplotter
2020-07-27,16,violinplotter
2020-07-28,18,violinplotter
2020-07-29,8,violinplotter
2020-07-30,7,violinplotter
2020-07-31,5,violinplotter
2020-08-01,0,violinplotter
2020-08-02,4,violinplotter
2020-08-03,22,violinplotter
2020-08-04,20,violinplotter
2020-08-05,26,violinplotter
2020-08-06,22,violinplotter
2020-08-07,31,violinplotter
2020-08-08,19,violinplotter
2020-08-09,24,violinplotter
2020-08-10,25,violinplotter
2020-08-11,21,violinplotter
2020-08-12,23,violinplotter
2020-08-13,22,violinplotter
2020-08-14,21,violinplotter
2020-08-15,18,violinplotter
2020-08-16,16,violinplotter
2020-08-17,21,violinplotter
2020-08-18,25,violinplotter
2020-08-19,34,violinplotter
2020-08-20,23,violinplotter
2020-08-21,22,violinplotter
2020-08-22,18,violinplotter
2020-08-23,16,violinplotter
2020-08-24,19,violinplotter
2020-08-25,18,violinplotter
2020-08-26,20,violinplotter
2020-08-27,19,violinplotter
2020-08-28,16,violinplotter
2020-08-29,20,violinplotter
2020-08-30,18,violinplotter
2020-08-31,20,violinplotter
2020-09-01,29,violinplotter
2020-09-02,20,violinplotter
2020-09-03,24,violinplotter
2020-09-04,18,violinplotter
2020-09-05,20,violinplotter
2020-09-06,26,violinplotter
2020-09-07,29,violinplotter
2020-09-08,26,violinplotter
2020-09-09,26,violinplotter
2020-09-10,13,violinplotter
2020-09-11,26,violinplotter
2020-09-12,33,violinplotter
2020-09-13,24,violinplotter
2020-09-14,34,violinplotter
2020-09-15,26,violinplotter
2020-09-16,20,violinplotter
2020-09-17,34,violinplotter
2020-09-18,29,violinplotter
2020-09-19,20,violinplotter
2020-09-20,21,violinplotter
2020-09-21,25,violinplotter
2020-09-22,27,violinplotter
2020-09-23,29,violinplotter
2020-09-24,14,violinplotter
2020-09-25,16,violinplotter
2020-09-26,18,violinplotter
2020-09-27,20,violinplotter
2020-09-28,25,violinplotter
2020-09-29,25,violinplotter
2020-09-30,25,violinplotter
2020-10-01,23,violinplotter
2020-10-02,25,violinplotter
2020-10-03,20,violinplotter
2020-10-04,25,violinplotter
2020-10-05,18,violinplotter
2020-10-06,28,violinplotter
2020-10-07,20,violinplotter
2020-10-08,18,violinplotter
2020-10-09,18,violinplotter
2020-10-10,21,violinplotter
2020-10-11,18,violinplotter
