date,count,package
2020-01-01,0,xrnet
2020-01-02,0,xrnet
2020-01-03,0,xrnet
2020-01-04,0,xrnet
2020-01-05,0,xrnet
2020-01-06,0,xrnet
2020-01-07,0,xrnet
2020-01-08,0,xrnet
2020-01-09,0,xrnet
2020-01-10,0,xrnet
2020-01-11,0,xrnet
2020-01-12,0,xrnet
2020-01-13,0,xrnet
2020-01-14,0,xrnet
2020-01-15,0,xrnet
2020-01-16,0,xrnet
2020-01-17,0,xrnet
2020-01-18,0,xrnet
2020-01-19,0,xrnet
2020-01-20,0,xrnet
2020-01-21,0,xrnet
2020-01-22,0,xrnet
2020-01-23,0,xrnet
2020-01-24,0,xrnet
2020-01-25,0,xrnet
2020-01-26,0,xrnet
2020-01-27,0,xrnet
2020-01-28,0,xrnet
2020-01-29,0,xrnet
2020-01-30,0,xrnet
2020-01-31,0,xrnet
2020-02-01,0,xrnet
2020-02-02,0,xrnet
2020-02-03,0,xrnet
2020-02-04,0,xrnet
2020-02-05,0,xrnet
2020-02-06,0,xrnet
2020-02-07,0,xrnet
2020-02-08,0,xrnet
2020-02-09,0,xrnet
2020-02-10,0,xrnet
2020-02-11,0,xrnet
2020-02-12,0,xrnet
2020-02-13,0,xrnet
2020-02-14,0,xrnet
2020-02-15,0,xrnet
2020-02-16,0,xrnet
2020-02-17,0,xrnet
2020-02-18,0,xrnet
2020-02-19,0,xrnet
2020-02-20,0,xrnet
2020-02-21,0,xrnet
2020-02-22,0,xrnet
2020-02-23,0,xrnet
2020-02-24,0,xrnet
2020-02-25,0,xrnet
2020-02-26,0,xrnet
2020-02-27,0,xrnet
2020-02-28,1,xrnet
2020-02-29,4,xrnet
2020-03-01,52,xrnet
2020-03-02,26,xrnet
2020-03-03,35,xrnet
2020-03-04,33,xrnet
2020-03-05,25,xrnet
2020-03-06,32,xrnet
2020-03-07,19,xrnet
2020-03-08,21,xrnet
2020-03-09,17,xrnet
2020-03-10,20,xrnet
2020-03-11,4,xrnet
2020-03-12,35,xrnet
2020-03-13,21,xrnet
2020-03-14,18,xrnet
2020-03-15,19,xrnet
2020-03-16,19,xrnet
2020-03-17,16,xrnet
2020-03-18,5,xrnet
2020-03-19,14,xrnet
2020-03-20,12,xrnet
2020-03-21,9,xrnet
2020-03-22,11,xrnet
2020-03-23,18,xrnet
2020-03-24,7,xrnet
2020-03-25,12,xrnet
2020-03-26,10,xrnet
2020-03-27,6,xrnet
2020-03-28,9,xrnet
