date,count,package
2020-01-01,0,BRL
2020-01-02,0,BRL
2020-01-03,0,BRL
2020-01-04,0,BRL
2020-01-05,0,BRL
2020-01-06,0,BRL
2020-01-07,0,BRL
2020-01-08,0,BRL
2020-01-09,0,BRL
2020-01-10,0,BRL
2020-01-11,0,BRL
2020-01-12,0,BRL
2020-01-13,7,BRL
2020-01-14,4,BRL
2020-01-15,28,BRL
2020-01-16,38,BRL
2020-01-17,34,BRL
2020-01-18,23,BRL
2020-01-19,28,BRL
2020-01-20,33,BRL
2020-01-21,35,BRL
2020-01-22,35,BRL
2020-01-23,30,BRL
2020-01-24,30,BRL
2020-01-25,26,BRL
2020-01-26,27,BRL
2020-01-27,28,BRL
2020-01-28,39,BRL
2020-01-29,37,BRL
2020-01-30,28,BRL
2020-01-31,32,BRL
2020-02-01,25,BRL
2020-02-02,24,BRL
2020-02-03,20,BRL
2020-02-04,26,BRL
2020-02-05,26,BRL
2020-02-06,32,BRL
2020-02-07,30,BRL
2020-02-08,31,BRL
2020-02-09,17,BRL
2020-02-10,22,BRL
2020-02-11,26,BRL
2020-02-12,22,BRL
2020-02-13,23,BRL
2020-02-14,21,BRL
2020-02-15,20,BRL
2020-02-16,21,BRL
2020-02-17,19,BRL
2020-02-18,21,BRL
2020-02-19,25,BRL
2020-02-20,24,BRL
2020-02-21,23,BRL
2020-02-22,19,BRL
2020-02-23,21,BRL
2020-02-24,23,BRL
2020-02-25,20,BRL
2020-02-26,23,BRL
2020-02-27,24,BRL
2020-02-28,18,BRL
2020-02-29,7,BRL
2020-03-01,23,BRL
2020-03-02,20,BRL
2020-03-03,22,BRL
2020-03-04,23,BRL
2020-03-05,17,BRL
2020-03-06,22,BRL
2020-03-07,21,BRL
2020-03-08,26,BRL
2020-03-09,26,BRL
2020-03-10,23,BRL
2020-03-11,9,BRL
2020-03-12,24,BRL
2020-03-13,21,BRL
2020-03-14,19,BRL
2020-03-15,19,BRL
2020-03-16,23,BRL
2020-03-17,19,BRL
2020-03-18,4,BRL
2020-03-19,18,BRL
2020-03-20,21,BRL
2020-03-21,23,BRL
2020-03-22,20,BRL
2020-03-23,21,BRL
2020-03-24,11,BRL
2020-03-25,23,BRL
2020-03-26,18,BRL
2020-03-27,17,BRL
2020-03-28,20,BRL
2020-03-29,28,BRL
2020-03-30,26,BRL
2020-03-31,27,BRL
2020-04-01,15,BRL
2020-04-02,17,BRL
2020-04-03,24,BRL
2020-04-04,20,BRL
2020-04-05,23,BRL
2020-04-06,30,BRL
2020-04-07,33,BRL
2020-04-08,29,BRL
2020-04-09,29,BRL
2020-04-10,19,BRL
2020-04-11,6,BRL
2020-04-12,20,BRL
2020-04-13,21,BRL
2020-04-14,21,BRL
2020-04-15,29,BRL
2020-04-16,10,BRL
2020-04-17,33,BRL
2020-04-18,6,BRL
2020-04-19,5,BRL
2020-04-20,10,BRL
2020-04-21,7,BRL
2020-04-22,36,BRL
2020-04-23,8,BRL
2020-04-24,27,BRL
2020-04-25,43,BRL
2020-04-26,13,BRL
2020-04-27,23,BRL
2020-04-28,30,BRL
2020-04-29,42,BRL
2020-04-30,26,BRL
2020-05-01,32,BRL
2020-05-02,28,BRL
2020-05-03,26,BRL
2020-05-04,27,BRL
2020-05-05,22,BRL
2020-05-06,38,BRL
2020-05-07,34,BRL
2020-05-08,25,BRL
2020-05-09,34,BRL
2020-05-10,61,BRL
2020-05-11,55,BRL
2020-05-12,25,BRL
2020-05-13,24,BRL
2020-05-14,22,BRL
2020-05-15,22,BRL
2020-05-16,24,BRL
2020-05-17,24,BRL
2020-05-18,30,BRL
2020-05-19,24,BRL
2020-05-20,26,BRL
2020-05-21,20,BRL
2020-05-22,23,BRL
2020-05-23,17,BRL
2020-05-24,21,BRL
2020-05-25,21,BRL
2020-05-26,24,BRL
2020-05-27,25,BRL
2020-05-28,23,BRL
2020-05-29,18,BRL
2020-05-30,22,BRL
2020-05-31,24,BRL
2020-06-01,22,BRL
2020-06-02,28,BRL
2020-06-03,24,BRL
2020-06-04,19,BRL
2020-06-05,28,BRL
2020-06-06,22,BRL
2020-06-07,22,BRL
2020-06-08,25,BRL
2020-06-09,24,BRL
