date,count,package
2020-01-01,0,Boptbd
2020-01-02,0,Boptbd
2020-01-03,0,Boptbd
2020-01-04,0,Boptbd
2020-01-05,0,Boptbd
2020-01-06,0,Boptbd
2020-01-07,0,Boptbd
2020-01-08,0,Boptbd
2020-01-09,0,Boptbd
2020-01-10,0,Boptbd
2020-01-11,0,Boptbd
2020-01-12,0,Boptbd
2020-01-13,6,Boptbd
2020-01-14,4,Boptbd
2020-01-15,22,Boptbd
2020-01-16,35,Boptbd
2020-01-17,31,Boptbd
2020-01-18,15,Boptbd
2020-01-19,24,Boptbd
2020-01-20,29,Boptbd
2020-01-21,26,Boptbd
2020-01-22,22,Boptbd
2020-01-23,18,Boptbd
2020-01-24,14,Boptbd
2020-01-25,11,Boptbd
2020-01-26,12,Boptbd
2020-01-27,14,Boptbd
2020-01-28,24,Boptbd
2020-01-29,20,Boptbd
2020-01-30,9,Boptbd
2020-01-31,13,Boptbd
2020-02-01,8,Boptbd
2020-02-02,7,Boptbd
2020-02-03,1,Boptbd
2020-02-04,10,Boptbd
2020-02-05,11,Boptbd
2020-02-06,16,Boptbd
2020-02-07,14,Boptbd
2020-02-08,16,Boptbd
2020-02-09,6,Boptbd
2020-02-10,6,Boptbd
2020-02-11,9,Boptbd
2020-02-12,7,Boptbd
2020-02-13,6,Boptbd
2020-02-14,6,Boptbd
2020-02-15,5,Boptbd
2020-02-16,6,Boptbd
2020-02-17,8,Boptbd
2020-02-18,7,Boptbd
2020-02-19,10,Boptbd
2020-02-20,7,Boptbd
2020-02-21,8,Boptbd
2020-02-22,4,Boptbd
2020-02-23,7,Boptbd
2020-02-24,9,Boptbd
2020-02-25,3,Boptbd
2020-02-26,7,Boptbd
2020-02-27,7,Boptbd
2020-02-28,2,Boptbd
2020-02-29,1,Boptbd
2020-03-01,8,Boptbd
2020-03-02,6,Boptbd
2020-03-03,6,Boptbd
2020-03-04,12,Boptbd
2020-03-05,9,Boptbd
2020-03-06,9,Boptbd
2020-03-07,7,Boptbd
2020-03-08,6,Boptbd
2020-03-09,14,Boptbd
2020-03-10,8,Boptbd
2020-03-11,10,Boptbd
2020-03-12,10,Boptbd
2020-03-13,5,Boptbd
2020-03-14,5,Boptbd
2020-03-15,8,Boptbd
2020-03-16,9,Boptbd
2020-03-17,4,Boptbd
2020-03-18,4,Boptbd
2020-03-19,3,Boptbd
2020-03-20,8,Boptbd
2020-03-21,6,Boptbd
2020-03-22,6,Boptbd
2020-03-23,5,Boptbd
2020-03-24,10,Boptbd
2020-03-25,13,Boptbd
2020-03-26,10,Boptbd
2020-03-27,8,Boptbd
2020-03-28,2,Boptbd
2020-03-29,11,Boptbd
2020-03-30,11,Boptbd
2020-03-31,13,Boptbd
2020-04-01,13,Boptbd
2020-04-02,14,Boptbd
2020-04-03,8,Boptbd
2020-04-04,4,Boptbd
2020-04-05,7,Boptbd
2020-04-06,15,Boptbd
2020-04-07,17,Boptbd
2020-04-08,15,Boptbd
2020-04-09,14,Boptbd
2020-04-10,3,Boptbd
2020-04-11,6,Boptbd
2020-04-12,5,Boptbd
2020-04-13,3,Boptbd
2020-04-14,5,Boptbd
2020-04-15,15,Boptbd
2020-04-16,13,Boptbd
2020-04-17,14,Boptbd
2020-04-18,4,Boptbd
2020-04-19,4,Boptbd
2020-04-20,13,Boptbd
2020-04-21,8,Boptbd
2020-04-22,26,Boptbd
2020-04-23,9,Boptbd
2020-04-24,14,Boptbd
2020-04-25,30,Boptbd
2020-04-26,12,Boptbd
2020-04-27,13,Boptbd
2020-04-28,22,Boptbd
2020-04-29,34,Boptbd
2020-04-30,20,Boptbd
2020-05-01,24,Boptbd
2020-05-02,19,Boptbd
2020-05-03,17,Boptbd
2020-05-04,22,Boptbd
2020-05-05,18,Boptbd
2020-05-06,25,Boptbd
2020-05-07,23,Boptbd
2020-05-08,15,Boptbd
2020-05-09,23,Boptbd
2020-05-10,51,Boptbd
2020-05-11,45,Boptbd
2020-05-12,19,Boptbd
2020-05-13,17,Boptbd
2020-05-14,13,Boptbd
2020-05-15,15,Boptbd
2020-05-16,14,Boptbd
2020-05-17,15,Boptbd
2020-05-18,26,Boptbd
2020-05-19,16,Boptbd
2020-05-20,19,Boptbd
2020-05-21,10,Boptbd
2020-05-22,16,Boptbd
2020-05-23,11,Boptbd
2020-05-24,13,Boptbd
2020-05-25,12,Boptbd
2020-05-26,16,Boptbd
2020-05-27,15,Boptbd
2020-05-28,14,Boptbd
2020-05-29,15,Boptbd
2020-05-30,14,Boptbd
2020-05-31,15,Boptbd
2020-06-01,19,Boptbd
2020-06-02,14,Boptbd
2020-06-03,15,Boptbd
2020-06-04,13,Boptbd
2020-06-05,13,Boptbd
2020-06-06,12,Boptbd
2020-06-07,14,Boptbd
2020-06-08,16,Boptbd
2020-06-09,14,Boptbd
2020-06-10,26,Boptbd
2020-06-11,24,Boptbd
2020-06-12,11,Boptbd
2020-06-13,11,Boptbd
2020-06-14,9,Boptbd
2020-06-15,16,Boptbd
2020-06-16,15,Boptbd
2020-06-17,14,Boptbd
2020-06-18,26,Boptbd
2020-06-19,14,Boptbd
2020-06-20,14,Boptbd
2020-06-21,15,Boptbd
2020-06-22,15,Boptbd
2020-06-23,24,Boptbd
2020-06-24,13,Boptbd
2020-06-25,15,Boptbd
2020-06-26,13,Boptbd
2020-06-27,12,Boptbd
2020-06-28,12,Boptbd
2020-06-29,14,Boptbd
2020-06-30,8,Boptbd
2020-07-01,13,Boptbd
2020-07-02,12,Boptbd
2020-07-03,16,Boptbd
2020-07-04,12,Boptbd
2020-07-05,6,Boptbd
2020-07-06,18,Boptbd
2020-07-07,26,Boptbd
2020-07-08,10,Boptbd
2020-07-09,12,Boptbd
2020-07-10,14,Boptbd
2020-07-11,10,Boptbd
2020-07-12,14,Boptbd
2020-07-13,17,Boptbd
2020-07-14,14,Boptbd
2020-07-15,15,Boptbd
2020-07-16,13,Boptbd
2020-07-17,11,Boptbd
2020-07-18,22,Boptbd
2020-07-19,12,Boptbd
2020-07-20,12,Boptbd
2020-07-21,19,Boptbd
2020-07-22,17,Boptbd
2020-07-23,13,Boptbd
2020-07-24,20,Boptbd
2020-07-25,8,Boptbd
2020-07-26,14,Boptbd
2020-07-27,12,Boptbd
2020-07-28,12,Boptbd
2020-07-29,11,Boptbd
2020-07-30,17,Boptbd
2020-07-31,5,Boptbd
2020-08-01,3,Boptbd
2020-08-02,5,Boptbd
2020-08-03,13,Boptbd
2020-08-04,17,Boptbd
2020-08-05,17,Boptbd
2020-08-06,17,Boptbd
2020-08-07,19,Boptbd
2020-08-08,15,Boptbd
2020-08-09,14,Boptbd
2020-08-10,19,Boptbd
2020-08-11,24,Boptbd
2020-08-12,13,Boptbd
2020-08-13,18,Boptbd
2020-08-14,15,Boptbd
2020-08-15,9,Boptbd
2020-08-16,8,Boptbd
2020-08-17,12,Boptbd
2020-08-18,17,Boptbd
2020-08-19,15,Boptbd
2020-08-20,9,Boptbd
2020-08-21,12,Boptbd
2020-08-22,10,Boptbd
2020-08-23,17,Boptbd
2020-08-24,24,Boptbd
2020-08-25,12,Boptbd
2020-08-26,11,Boptbd
2020-08-27,11,Boptbd
2020-08-28,14,Boptbd
2020-08-29,11,Boptbd
2020-08-30,9,Boptbd
2020-08-31,14,Boptbd
2020-09-01,15,Boptbd
2020-09-02,19,Boptbd
2020-09-03,16,Boptbd
2020-09-04,11,Boptbd
2020-09-05,25,Boptbd
2020-09-06,16,Boptbd
2020-09-07,24,Boptbd
2020-09-08,23,Boptbd
2020-09-09,25,Boptbd
2020-09-10,17,Boptbd
2020-09-11,24,Boptbd
2020-09-12,21,Boptbd
2020-09-13,20,Boptbd
2020-09-14,36,Boptbd
2020-09-15,20,Boptbd
2020-09-16,16,Boptbd
2020-09-17,29,Boptbd
2020-09-18,21,Boptbd
2020-09-19,13,Boptbd
2020-09-20,16,Boptbd
2020-09-21,20,Boptbd
2020-09-22,24,Boptbd
2020-09-23,15,Boptbd
2020-09-24,12,Boptbd
2020-09-25,7,Boptbd
2020-09-26,11,Boptbd
2020-09-27,10,Boptbd
2020-09-28,23,Boptbd
2020-09-29,16,Boptbd
2020-09-30,17,Boptbd
2020-10-01,23,Boptbd
2020-10-02,19,Boptbd
2020-10-03,11,Boptbd
2020-10-04,15,Boptbd
2020-10-05,11,Boptbd
2020-10-06,12,Boptbd
2020-10-07,11,Boptbd
2020-10-08,10,Boptbd
2020-10-09,10,Boptbd
2020-10-10,20,Boptbd
2020-10-11,10,Boptbd
2020-10-12,13,Boptbd
2020-10-13,13,Boptbd
2020-10-14,13,Boptbd
2020-10-15,10,Boptbd
2020-10-16,13,Boptbd
2020-10-17,3,Boptbd
2020-10-18,8,Boptbd
2020-10-19,20,Boptbd
2020-10-20,17,Boptbd
2020-10-21,13,Boptbd
2020-10-22,18,Boptbd
2020-10-23,12,Boptbd
2020-10-24,14,Boptbd
2020-10-25,9,Boptbd
2020-10-26,14,Boptbd
2020-10-27,13,Boptbd
2020-10-28,14,Boptbd
2020-10-29,30,Boptbd
2020-10-30,13,Boptbd
2020-10-31,9,Boptbd
2020-11-01,9,Boptbd
2020-11-02,10,Boptbd
2020-11-03,22,Boptbd
2020-11-04,5,Boptbd
2020-11-05,26,Boptbd
2020-11-06,14,Boptbd
2020-11-07,18,Boptbd
2020-11-08,13,Boptbd
2020-11-09,17,Boptbd
2020-11-10,14,Boptbd
2020-11-11,19,Boptbd
2020-11-12,13,Boptbd
2020-11-13,13,Boptbd
2020-11-14,9,Boptbd
2020-11-15,14,Boptbd
2020-11-16,13,Boptbd
2020-11-17,14,Boptbd
2020-11-18,14,Boptbd
2020-11-19,11,Boptbd
2020-11-20,10,Boptbd
2020-11-21,10,Boptbd
2020-11-22,10,Boptbd
2020-11-23,11,Boptbd
2020-11-24,15,Boptbd
2020-11-25,18,Boptbd
2020-11-26,9,Boptbd
2020-11-27,13,Boptbd
2020-11-28,10,Boptbd
2020-11-29,14,Boptbd
2020-11-30,10,Boptbd
2020-12-01,13,Boptbd
2020-12-02,14,Boptbd
2020-12-03,14,Boptbd
2020-12-04,11,Boptbd
2020-12-05,11,Boptbd
2020-12-06,9,Boptbd
2020-12-07,10,Boptbd
2020-12-08,8,Boptbd
2020-12-09,17,Boptbd
2020-12-10,18,Boptbd
2020-12-11,14,Boptbd
2020-12-12,11,Boptbd
2020-12-13,10,Boptbd
2020-12-14,12,Boptbd
2020-12-15,9,Boptbd
2020-12-16,39,Boptbd
2020-12-17,12,Boptbd
2020-12-18,12,Boptbd
2020-12-19,11,Boptbd
2020-12-20,12,Boptbd
2020-12-21,15,Boptbd
2020-12-22,12,Boptbd
2020-12-23,12,Boptbd
2020-12-24,11,Boptbd
2020-12-25,8,Boptbd
2020-12-26,8,Boptbd
2020-12-27,10,Boptbd
2020-12-28,16,Boptbd
2020-12-29,13,Boptbd
2020-12-30,10,Boptbd
2020-12-31,8,Boptbd
2021-01-01,13,Boptbd
2021-01-02,8,Boptbd
2021-01-03,9,Boptbd
2021-01-04,8,Boptbd
2021-01-05,14,Boptbd
2021-01-06,18,Boptbd
2021-01-07,10,Boptbd
