date,count,package
2020-01-01,0,CBSr
2020-01-02,0,CBSr
2020-01-03,0,CBSr
2020-01-04,0,CBSr
2020-01-05,0,CBSr
2020-01-06,0,CBSr
2020-01-07,0,CBSr
2020-01-08,0,CBSr
2020-01-09,0,CBSr
2020-01-10,0,CBSr
2020-01-11,0,CBSr
2020-01-12,0,CBSr
2020-01-13,0,CBSr
2020-01-14,0,CBSr
2020-01-15,0,CBSr
2020-01-16,0,CBSr
2020-01-17,0,CBSr
2020-01-18,0,CBSr
2020-01-19,0,CBSr
2020-01-20,0,CBSr
2020-01-21,0,CBSr
2020-01-22,0,CBSr
2020-01-23,0,CBSr
2020-01-24,0,CBSr
2020-01-25,0,CBSr
2020-01-26,0,CBSr
2020-01-27,0,CBSr
2020-01-28,0,CBSr
2020-01-29,0,CBSr
2020-01-30,0,CBSr
2020-01-31,0,CBSr
2020-02-01,0,CBSr
2020-02-02,0,CBSr
2020-02-03,0,CBSr
2020-02-04,0,CBSr
2020-02-05,0,CBSr
2020-02-06,0,CBSr
2020-02-07,0,CBSr
2020-02-08,0,CBSr
2020-02-09,0,CBSr
2020-02-10,0,CBSr
2020-02-11,0,CBSr
2020-02-12,0,CBSr
2020-02-13,0,CBSr
2020-02-14,0,CBSr
2020-02-15,0,CBSr
2020-02-16,0,CBSr
2020-02-17,0,CBSr
2020-02-18,0,CBSr
2020-02-19,0,CBSr
2020-02-20,0,CBSr
2020-02-21,0,CBSr
2020-02-22,11,CBSr
2020-02-23,18,CBSr
2020-02-24,31,CBSr
2020-02-25,13,CBSr
2020-02-26,33,CBSr
2020-02-27,38,CBSr
2020-02-28,26,CBSr
2020-02-29,8,CBSr
2020-03-01,31,CBSr
2020-03-02,27,CBSr
2020-03-03,27,CBSr
2020-03-04,31,CBSr
2020-03-05,20,CBSr
2020-03-06,26,CBSr
2020-03-07,22,CBSr
2020-03-08,31,CBSr
2020-03-09,28,CBSr
2020-03-10,22,CBSr
2020-03-11,11,CBSr
2020-03-12,25,CBSr
2020-03-13,19,CBSr
2020-03-14,17,CBSr
2020-03-15,17,CBSr
2020-03-16,17,CBSr
2020-03-17,19,CBSr
2020-03-18,5,CBSr
2020-03-19,12,CBSr
2020-03-20,16,CBSr
2020-03-21,14,CBSr
2020-03-22,11,CBSr
2020-03-23,12,CBSr
2020-03-24,11,CBSr
2020-03-25,15,CBSr
2020-03-26,9,CBSr
2020-03-27,10,CBSr
2020-03-28,11,CBSr
2020-03-29,19,CBSr
2020-03-30,17,CBSr
2020-03-31,16,CBSr
2020-04-01,18,CBSr
2020-04-02,16,CBSr
2020-04-03,15,CBSr
2020-04-04,14,CBSr
2020-04-05,13,CBSr
2020-04-06,20,CBSr
2020-04-07,24,CBSr
2020-04-08,24,CBSr
2020-04-09,20,CBSr
2020-04-10,9,CBSr
2020-04-11,7,CBSr
2020-04-12,11,CBSr
2020-04-13,12,CBSr
2020-04-14,12,CBSr
2020-04-15,22,CBSr
2020-04-16,10,CBSr
2020-04-17,23,CBSr
2020-04-18,5,CBSr
2020-04-19,5,CBSr
2020-04-20,13,CBSr
2020-04-21,16,CBSr
2020-04-22,28,CBSr
2020-04-23,9,CBSr
2020-04-24,17,CBSr
2020-04-25,33,CBSr
2020-04-26,13,CBSr
2020-04-27,19,CBSr
2020-04-28,24,CBSr
2020-04-29,39,CBSr
2020-04-30,20,CBSr
2020-05-01,24,CBSr
2020-05-02,24,CBSr
2020-05-03,21,CBSr
2020-05-04,23,CBSr
2020-05-05,18,CBSr
2020-05-06,35,CBSr
2020-05-07,26,CBSr
2020-05-08,17,CBSr
2020-05-09,26,CBSr
2020-05-10,56,CBSr
2020-05-11,44,CBSr
2020-05-12,21,CBSr
2020-05-13,21,CBSr
2020-05-14,14,CBSr
2020-05-15,21,CBSr
2020-05-16,16,CBSr
2020-05-17,17,CBSr
2020-05-18,25,CBSr
2020-05-19,24,CBSr
2020-05-20,22,CBSr
2020-05-21,12,CBSr
2020-05-22,18,CBSr
2020-05-23,10,CBSr
2020-05-24,14,CBSr
2020-05-25,15,CBSr
2020-05-26,30,CBSr
2020-05-27,21,CBSr
2020-05-28,17,CBSr
2020-05-29,13,CBSr
2020-05-30,16,CBSr
2020-05-31,17,CBSr
2020-06-01,23,CBSr
2020-06-02,16,CBSr
2020-06-03,17,CBSr
2020-06-04,16,CBSr
2020-06-05,21,CBSr
2020-06-06,15,CBSr
2020-06-07,21,CBSr
2020-06-08,24,CBSr
2020-06-09,19,CBSr
2020-06-10,27,CBSr
2020-06-11,21,CBSr
2020-06-12,15,CBSr
2020-06-13,21,CBSr
2020-06-14,17,CBSr
2020-06-15,16,CBSr
2020-06-16,18,CBSr
2020-06-17,17,CBSr
2020-06-18,30,CBSr
2020-06-19,21,CBSr
2020-06-20,19,CBSr
2020-06-21,16,CBSr
2020-06-22,18,CBSr
2020-06-23,22,CBSr
2020-06-24,18,CBSr
2020-06-25,17,CBSr
2020-06-26,15,CBSr
2020-06-27,15,CBSr
2020-06-28,14,CBSr
2020-06-29,17,CBSr
2020-06-30,19,CBSr
2020-07-01,22,CBSr
2020-07-02,22,CBSr
2020-07-03,17,CBSr
2020-07-04,21,CBSr
2020-07-05,9,CBSr
2020-07-06,16,CBSr
2020-07-07,24,CBSr
2020-07-08,15,CBSr
2020-07-09,15,CBSr
2020-07-10,16,CBSr
2020-07-11,12,CBSr
2020-07-12,16,CBSr
2020-07-13,26,CBSr
2020-07-14,21,CBSr
2020-07-15,18,CBSr
2020-07-16,17,CBSr
2020-07-17,14,CBSr
2020-07-18,26,CBSr
2020-07-19,15,CBSr
