date,count,package
2020-01-01,0,CSMES
2020-01-02,0,CSMES
2020-01-03,0,CSMES
2020-01-04,0,CSMES
2020-01-05,0,CSMES
2020-01-06,0,CSMES
2020-01-07,0,CSMES
2020-01-08,0,CSMES
2020-01-09,0,CSMES
2020-01-10,0,CSMES
2020-01-11,0,CSMES
2020-01-12,0,CSMES
2020-01-13,0,CSMES
2020-01-14,0,CSMES
2020-01-15,0,CSMES
2020-01-16,0,CSMES
2020-01-17,0,CSMES
2020-01-18,0,CSMES
2020-01-19,0,CSMES
2020-01-20,0,CSMES
2020-01-21,0,CSMES
2020-01-22,0,CSMES
2020-01-23,0,CSMES
2020-01-24,0,CSMES
2020-01-25,0,CSMES
2020-01-26,0,CSMES
2020-01-27,0,CSMES
2020-01-28,0,CSMES
2020-01-29,0,CSMES
2020-01-30,0,CSMES
2020-01-31,0,CSMES
2020-02-01,0,CSMES
2020-02-02,0,CSMES
2020-02-03,0,CSMES
2020-02-04,0,CSMES
2020-02-05,0,CSMES
2020-02-06,0,CSMES
2020-02-07,0,CSMES
2020-02-08,0,CSMES
2020-02-09,0,CSMES
2020-02-10,0,CSMES
2020-02-11,0,CSMES
2020-02-12,0,CSMES
2020-02-13,0,CSMES
2020-02-14,0,CSMES
2020-02-15,0,CSMES
2020-02-16,0,CSMES
2020-02-17,0,CSMES
2020-02-18,0,CSMES
2020-02-19,0,CSMES
2020-02-20,0,CSMES
2020-02-21,0,CSMES
2020-02-22,11,CSMES
2020-02-23,5,CSMES
2020-02-24,22,CSMES
2020-02-25,11,CSMES
2020-02-26,15,CSMES
2020-02-27,19,CSMES
2020-02-28,14,CSMES
2020-02-29,3,CSMES
2020-03-01,23,CSMES
2020-03-02,17,CSMES
2020-03-03,22,CSMES
2020-03-04,24,CSMES
2020-03-05,17,CSMES
2020-03-06,27,CSMES
2020-03-07,19,CSMES
2020-03-08,18,CSMES
2020-03-09,19,CSMES
2020-03-10,19,CSMES
2020-03-11,6,CSMES
2020-03-12,22,CSMES
2020-03-13,14,CSMES
2020-03-14,16,CSMES
2020-03-15,12,CSMES
2020-03-16,17,CSMES
2020-03-17,16,CSMES
2020-03-18,5,CSMES
2020-03-19,13,CSMES
2020-03-20,14,CSMES
2020-03-21,14,CSMES
2020-03-22,7,CSMES
2020-03-23,9,CSMES
2020-03-24,16,CSMES
2020-03-25,12,CSMES
2020-03-26,11,CSMES
2020-03-27,9,CSMES
2020-03-28,8,CSMES
2020-03-29,17,CSMES
2020-03-30,17,CSMES
2020-03-31,14,CSMES
2020-04-01,17,CSMES
2020-04-02,15,CSMES
2020-04-03,11,CSMES
2020-04-04,8,CSMES
2020-04-05,12,CSMES
2020-04-06,14,CSMES
2020-04-07,20,CSMES
2020-04-08,17,CSMES
2020-04-09,19,CSMES
2020-04-10,7,CSMES
2020-04-11,9,CSMES
2020-04-12,9,CSMES
2020-04-13,7,CSMES
2020-04-14,10,CSMES
2020-04-15,24,CSMES
2020-04-16,13,CSMES
2020-04-17,18,CSMES
2020-04-18,7,CSMES
2020-04-19,11,CSMES
2020-04-20,7,CSMES
2020-04-21,9,CSMES
2020-04-22,22,CSMES
2020-04-23,10,CSMES
2020-04-24,15,CSMES
2020-04-25,40,CSMES
2020-04-26,12,CSMES
2020-04-27,17,CSMES
2020-04-28,25,CSMES
2020-04-29,36,CSMES
2020-04-30,31,CSMES
2020-05-01,20,CSMES
2020-05-02,22,CSMES
2020-05-03,18,CSMES
2020-05-04,16,CSMES
2020-05-05,14,CSMES
2020-05-06,26,CSMES
2020-05-07,24,CSMES
2020-05-08,13,CSMES
2020-05-09,24,CSMES
2020-05-10,53,CSMES
2020-05-11,40,CSMES
2020-05-12,17,CSMES
2020-05-13,12,CSMES
2020-05-14,12,CSMES
2020-05-15,16,CSMES
2020-05-16,14,CSMES
2020-05-17,18,CSMES
2020-05-18,21,CSMES
2020-05-19,17,CSMES
2020-05-20,16,CSMES
2020-05-21,11,CSMES
2020-05-22,14,CSMES
2020-05-23,9,CSMES
2020-05-24,12,CSMES
2020-05-25,24,CSMES
2020-05-26,14,CSMES
2020-05-27,15,CSMES
2020-05-28,15,CSMES
2020-05-29,10,CSMES
2020-05-30,13,CSMES
2020-05-31,12,CSMES
2020-06-01,18,CSMES
2020-06-02,13,CSMES
2020-06-03,11,CSMES
2020-06-04,18,CSMES
2020-06-05,15,CSMES
2020-06-06,10,CSMES
2020-06-07,17,CSMES
2020-06-08,14,CSMES
2020-06-09,13,CSMES
2020-06-10,21,CSMES
2020-06-11,17,CSMES
2020-06-12,12,CSMES
2020-06-13,19,CSMES
2020-06-14,13,CSMES
2020-06-15,11,CSMES
2020-06-16,13,CSMES
2020-06-17,12,CSMES
2020-06-18,24,CSMES
2020-06-19,15,CSMES
2020-06-20,14,CSMES
2020-06-21,13,CSMES
2020-06-22,14,CSMES
2020-06-23,17,CSMES
2020-06-24,13,CSMES
2020-06-25,12,CSMES
2020-06-26,13,CSMES
2020-06-27,11,CSMES
2020-06-28,14,CSMES
2020-06-29,11,CSMES
2020-06-30,8,CSMES
2020-07-01,17,CSMES
2020-07-02,17,CSMES
2020-07-03,14,CSMES
2020-07-04,10,CSMES
2020-07-05,6,CSMES
2020-07-06,18,CSMES
2020-07-07,25,CSMES
2020-07-08,9,CSMES
2020-07-09,11,CSMES
2020-07-10,10,CSMES
2020-07-11,9,CSMES
2020-07-12,12,CSMES
2020-07-13,21,CSMES
2020-07-14,13,CSMES
2020-07-15,14,CSMES
2020-07-16,13,CSMES
2020-07-17,11,CSMES
2020-07-18,15,CSMES
2020-07-19,18,CSMES
2020-07-20,9,CSMES
2020-07-21,17,CSMES
2020-07-22,14,CSMES
2020-07-23,13,CSMES
2020-07-24,11,CSMES
2020-07-25,20,CSMES
2020-07-26,12,CSMES
2020-07-27,9,CSMES
2020-07-28,13,CSMES
2020-07-29,9,CSMES
2020-07-30,10,CSMES
2020-07-31,6,CSMES
2020-08-01,2,CSMES
2020-08-02,6,CSMES
2020-08-03,13,CSMES
2020-08-04,17,CSMES
2020-08-05,15,CSMES
2020-08-06,23,CSMES
2020-08-07,26,CSMES
2020-08-08,19,CSMES
2020-08-09,14,CSMES
2020-08-10,19,CSMES
2020-08-11,9,CSMES
2020-08-12,11,CSMES
2020-08-13,16,CSMES
2020-08-14,15,CSMES
2020-08-15,8,CSMES
2020-08-16,8,CSMES
2020-08-17,11,CSMES
2020-08-18,13,CSMES
2020-08-19,12,CSMES
2020-08-20,14,CSMES
2020-08-21,13,CSMES
2020-08-22,9,CSMES
2020-08-23,7,CSMES
2020-08-24,13,CSMES
2020-08-25,17,CSMES
2020-08-26,13,CSMES
2020-08-27,12,CSMES
2020-08-28,9,CSMES
2020-08-29,11,CSMES
2020-08-30,10,CSMES
2020-08-31,12,CSMES
2020-09-01,19,CSMES
2020-09-02,16,CSMES
2020-09-03,17,CSMES
2020-09-04,10,CSMES
2020-09-05,16,CSMES
2020-09-06,15,CSMES
2020-09-07,20,CSMES
2020-09-08,22,CSMES
2020-09-09,23,CSMES
2020-09-10,12,CSMES
2020-09-11,22,CSMES
2020-09-12,22,CSMES
2020-09-13,29,CSMES
2020-09-14,30,CSMES
2020-09-15,18,CSMES
2020-09-16,10,CSMES
2020-09-17,29,CSMES
2020-09-18,20,CSMES
2020-09-19,15,CSMES
2020-09-20,15,CSMES
2020-09-21,25,CSMES
2020-09-22,22,CSMES
2020-09-23,15,CSMES
2020-09-24,12,CSMES
2020-09-25,13,CSMES
2020-09-26,11,CSMES
2020-09-27,10,CSMES
2020-09-28,16,CSMES
2020-09-29,17,CSMES
2020-09-30,17,CSMES
2020-10-01,23,CSMES
2020-10-02,17,CSMES
2020-10-03,13,CSMES
2020-10-04,12,CSMES
2020-10-05,10,CSMES
2020-10-06,10,CSMES
2020-10-07,17,CSMES
2020-10-08,10,CSMES
2020-10-09,11,CSMES
2020-10-10,13,CSMES
2020-10-11,9,CSMES
2020-10-12,11,CSMES
2020-10-13,12,CSMES
2020-10-14,12,CSMES
2020-10-15,9,CSMES
2020-10-16,13,CSMES
2020-10-17,4,CSMES
2020-10-18,8,CSMES
2020-10-19,19,CSMES
2020-10-20,16,CSMES
2020-10-21,17,CSMES
2020-10-22,19,CSMES
2020-10-23,12,CSMES
2020-10-24,15,CSMES
2020-10-25,7,CSMES
2020-10-26,14,CSMES
2020-10-27,12,CSMES
2020-10-28,15,CSMES
2020-10-29,26,CSMES
2020-10-30,7,CSMES
2020-10-31,13,CSMES
2020-11-01,10,CSMES
2020-11-02,9,CSMES
2020-11-03,17,CSMES
2020-11-04,6,CSMES
2020-11-05,22,CSMES
2020-11-06,14,CSMES
2020-11-07,20,CSMES
2020-11-08,14,CSMES
2020-11-09,17,CSMES
2020-11-10,11,CSMES
2020-11-11,20,CSMES
2020-11-12,13,CSMES
2020-11-13,16,CSMES
2020-11-14,12,CSMES
2020-11-15,10,CSMES
2020-11-16,12,CSMES
2020-11-17,15,CSMES
2020-11-18,11,CSMES
2020-11-19,11,CSMES
2020-11-20,9,CSMES
2020-11-21,8,CSMES
2020-11-22,8,CSMES
2020-11-23,8,CSMES
2020-11-24,15,CSMES
2020-11-25,14,CSMES
2020-11-26,7,CSMES
2020-11-27,15,CSMES
2020-11-28,9,CSMES
2020-11-29,10,CSMES
2020-11-30,10,CSMES
2020-12-01,13,CSMES
2020-12-02,15,CSMES
2020-12-03,16,CSMES
2020-12-04,11,CSMES
2020-12-05,12,CSMES
2020-12-06,8,CSMES
2020-12-07,13,CSMES
2020-12-08,6,CSMES
2020-12-09,14,CSMES
2020-12-10,13,CSMES
2020-12-11,13,CSMES
2020-12-12,11,CSMES
2020-12-13,11,CSMES
2020-12-14,11,CSMES
2020-12-15,8,CSMES
2020-12-16,34,CSMES
2020-12-17,12,CSMES
2020-12-18,15,CSMES
2020-12-19,12,CSMES
2020-12-20,10,CSMES
2020-12-21,13,CSMES
2020-12-22,10,CSMES
2020-12-23,10,CSMES
2020-12-24,11,CSMES
2020-12-25,8,CSMES
2020-12-26,9,CSMES
2020-12-27,7,CSMES
2020-12-28,17,CSMES
2020-12-29,11,CSMES
2020-12-30,11,CSMES
2020-12-31,11,CSMES
2021-01-01,10,CSMES
2021-01-02,13,CSMES
2021-01-03,10,CSMES
2021-01-04,9,CSMES
2021-01-05,15,CSMES
2021-01-06,12,CSMES
