date,count,package
2020-01-01,0,DSI
2020-01-02,0,DSI
2020-01-03,0,DSI
2020-01-04,0,DSI
2020-01-05,0,DSI
2020-01-06,0,DSI
2020-01-07,0,DSI
2020-01-08,0,DSI
2020-01-09,0,DSI
2020-01-10,0,DSI
2020-01-11,0,DSI
2020-01-12,0,DSI
2020-01-13,0,DSI
2020-01-14,0,DSI
2020-01-15,0,DSI
2020-01-16,0,DSI
2020-01-17,0,DSI
2020-01-18,0,DSI
2020-01-19,0,DSI
2020-01-20,0,DSI
2020-01-21,0,DSI
2020-01-22,0,DSI
2020-01-23,0,DSI
2020-01-24,0,DSI
2020-01-25,0,DSI
2020-01-26,0,DSI
2020-01-27,0,DSI
2020-01-28,0,DSI
2020-01-29,0,DSI
2020-01-30,0,DSI
2020-01-31,0,DSI
2020-02-01,0,DSI
2020-02-02,0,DSI
2020-02-03,0,DSI
2020-02-04,0,DSI
2020-02-05,0,DSI
2020-02-06,0,DSI
2020-02-07,0,DSI
2020-02-08,0,DSI
2020-02-09,0,DSI
2020-02-10,0,DSI
2020-02-11,0,DSI
2020-02-12,0,DSI
2020-02-13,0,DSI
2020-02-14,0,DSI
2020-02-15,0,DSI
2020-02-16,0,DSI
2020-02-17,0,DSI
2020-02-18,0,DSI
2020-02-19,0,DSI
2020-02-20,0,DSI
2020-02-21,0,DSI
2020-02-22,0,DSI
2020-02-23,0,DSI
2020-02-24,0,DSI
2020-02-25,0,DSI
2020-02-26,0,DSI
2020-02-27,0,DSI
2020-02-28,0,DSI
2020-02-29,0,DSI
2020-03-01,0,DSI
2020-03-02,0,DSI
2020-03-03,0,DSI
2020-03-04,0,DSI
2020-03-05,0,DSI
2020-03-06,0,DSI
2020-03-07,0,DSI
2020-03-08,0,DSI
2020-03-09,0,DSI
2020-03-10,0,DSI
2020-03-11,0,DSI
2020-03-12,0,DSI
2020-03-13,0,DSI
2020-03-14,0,DSI
2020-03-15,0,DSI
2020-03-16,0,DSI
2020-03-17,0,DSI
2020-03-18,0,DSI
2020-03-19,0,DSI
2020-03-20,0,DSI
2020-03-21,0,DSI
2020-03-22,0,DSI
2020-03-23,0,DSI
2020-03-24,0,DSI
2020-03-25,0,DSI
2020-03-26,0,DSI
2020-03-27,0,DSI
2020-03-28,0,DSI
2020-03-29,0,DSI
2020-03-30,0,DSI
2020-03-31,0,DSI
2020-04-01,0,DSI
2020-04-02,0,DSI
2020-04-03,6,DSI
2020-04-04,5,DSI
2020-04-05,7,DSI
2020-04-06,19,DSI
2020-04-07,23,DSI
2020-04-08,23,DSI
2020-04-09,22,DSI
2020-04-10,21,DSI
2020-04-11,10,DSI
2020-04-12,24,DSI
2020-04-13,19,DSI
2020-04-14,19,DSI
2020-04-15,40,DSI
2020-04-16,17,DSI
2020-04-17,35,DSI
2020-04-18,13,DSI
2020-04-19,4,DSI
2020-04-20,7,DSI
2020-04-21,6,DSI
2020-04-22,36,DSI
2020-04-23,12,DSI
2020-04-24,19,DSI
2020-04-25,31,DSI
2020-04-26,11,DSI
2020-04-27,15,DSI
2020-04-28,21,DSI
2020-04-29,34,DSI
2020-04-30,28,DSI
2020-05-01,24,DSI
2020-05-02,19,DSI
2020-05-03,28,DSI
2020-05-04,39,DSI
2020-05-05,32,DSI
2020-05-06,47,DSI
2020-05-07,33,DSI
2020-05-08,15,DSI
2020-05-09,21,DSI
2020-05-10,55,DSI
2020-05-11,43,DSI
2020-05-12,31,DSI
2020-05-13,26,DSI
2020-05-14,15,DSI
2020-05-15,20,DSI
2020-05-16,25,DSI
2020-05-17,15,DSI
2020-05-18,52,DSI
2020-05-19,54,DSI
2020-05-20,40,DSI
2020-05-21,39,DSI
2020-05-22,24,DSI
2020-05-23,23,DSI
2020-05-24,22,DSI
2020-05-25,32,DSI
2020-05-26,52,DSI
2020-05-27,34,DSI
2020-05-28,36,DSI
2020-05-29,40,DSI
2020-05-30,26,DSI
2020-05-31,24,DSI
2020-06-01,22,DSI
2020-06-02,40,DSI
2020-06-03,24,DSI
2020-06-04,19,DSI
2020-06-05,21,DSI
2020-06-06,15,DSI
2020-06-07,17,DSI
2020-06-08,34,DSI
2020-06-09,27,DSI
2020-06-10,38,DSI
2020-06-11,27,DSI
2020-06-12,22,DSI
2020-06-13,28,DSI
2020-06-14,26,DSI
2020-06-15,18,DSI
2020-06-16,20,DSI
2020-06-17,25,DSI
2020-06-18,30,DSI
2020-06-19,24,DSI
2020-06-20,15,DSI
2020-06-21,21,DSI
2020-06-22,27,DSI
2020-06-23,31,DSI
2020-06-24,36,DSI
2020-06-25,27,DSI
2020-06-26,30,DSI
2020-06-27,19,DSI
2020-06-28,35,DSI
2020-06-29,27,DSI
2020-06-30,20,DSI
2020-07-01,24,DSI
2020-07-02,22,DSI
2020-07-03,25,DSI
2020-07-04,22,DSI
2020-07-05,15,DSI
2020-07-06,47,DSI
2020-07-07,31,DSI
2020-07-08,20,DSI
2020-07-09,21,DSI
2020-07-10,16,DSI
2020-07-11,15,DSI
2020-07-12,26,DSI
2020-07-13,23,DSI
2020-07-14,26,DSI
2020-07-15,26,DSI
2020-07-16,34,DSI
2020-07-17,20,DSI
2020-07-18,17,DSI
2020-07-19,18,DSI
2020-07-20,19,DSI
2020-07-21,24,DSI
2020-07-22,23,DSI
2020-07-23,16,DSI
2020-07-24,21,DSI
2020-07-25,21,DSI
2020-07-26,18,DSI
2020-07-27,19,DSI
2020-07-28,20,DSI
2020-07-29,28,DSI
2020-07-30,16,DSI
2020-07-31,11,DSI
2020-08-01,9,DSI
2020-08-02,8,DSI
2020-08-03,19,DSI
2020-08-04,19,DSI
2020-08-05,21,DSI
2020-08-06,25,DSI
2020-08-07,26,DSI
2020-08-08,14,DSI
2020-08-09,17,DSI
2020-08-10,29,DSI
2020-08-11,17,DSI
2020-08-12,23,DSI
2020-08-13,27,DSI
2020-08-14,20,DSI
2020-08-15,11,DSI
2020-08-16,10,DSI
2020-08-17,13,DSI
2020-08-18,18,DSI
2020-08-19,31,DSI
2020-08-20,12,DSI
2020-08-21,18,DSI
2020-08-22,12,DSI
2020-08-23,19,DSI
2020-08-24,16,DSI
2020-08-25,24,DSI
2020-08-26,20,DSI
2020-08-27,29,DSI
2020-08-28,29,DSI
2020-08-29,23,DSI
2020-08-30,12,DSI
2020-08-31,20,DSI
2020-09-01,31,DSI
2020-09-02,25,DSI
2020-09-03,25,DSI
2020-09-04,29,DSI
2020-09-05,21,DSI
2020-09-06,17,DSI
2020-09-07,30,DSI
2020-09-08,26,DSI
2020-09-09,36,DSI
2020-09-10,33,DSI
2020-09-11,33,DSI
2020-09-12,25,DSI
2020-09-13,19,DSI
2020-09-14,40,DSI
2020-09-15,30,DSI
2020-09-16,32,DSI
2020-09-17,37,DSI
2020-09-18,29,DSI
2020-09-19,24,DSI
2020-09-20,24,DSI
2020-09-21,28,DSI
2020-09-22,33,DSI
2020-09-23,33,DSI
2020-09-24,23,DSI
2020-09-25,13,DSI
2020-09-26,16,DSI
2020-09-27,10,DSI
2020-09-28,24,DSI
2020-09-29,25,DSI
2020-09-30,26,DSI
2020-10-01,25,DSI
2020-10-02,35,DSI
2020-10-03,17,DSI
2020-10-04,20,DSI
2020-10-05,25,DSI
2020-10-06,34,DSI
2020-10-07,22,DSI
2020-10-08,21,DSI
2020-10-09,17,DSI
2020-10-10,16,DSI
2020-10-11,22,DSI
2020-10-12,14,DSI
2020-10-13,22,DSI
2020-10-14,19,DSI
2020-10-15,22,DSI
2020-10-16,16,DSI
2020-10-17,3,DSI
2020-10-18,11,DSI
2020-10-19,23,DSI
2020-10-20,28,DSI
2020-10-21,24,DSI
2020-10-22,21,DSI
2020-10-23,39,DSI
2020-10-24,23,DSI
2020-10-25,12,DSI
2020-10-26,22,DSI
2020-10-27,28,DSI
2020-10-28,19,DSI
2020-10-29,62,DSI
2020-10-30,26,DSI
2020-10-31,21,DSI
2020-11-01,14,DSI
2020-11-02,24,DSI
2020-11-03,26,DSI
