date,count,package
2020-01-01,0,DSLite
2020-01-02,0,DSLite
2020-01-03,0,DSLite
2020-01-04,0,DSLite
2020-01-05,0,DSLite
2020-01-06,0,DSLite
2020-01-07,0,DSLite
2020-01-08,0,DSLite
2020-01-09,0,DSLite
2020-01-10,0,DSLite
2020-01-11,0,DSLite
2020-01-12,0,DSLite
2020-01-13,0,DSLite
2020-01-14,0,DSLite
2020-01-15,0,DSLite
2020-01-16,0,DSLite
2020-01-17,0,DSLite
2020-01-18,0,DSLite
2020-01-19,0,DSLite
2020-01-20,0,DSLite
2020-01-21,0,DSLite
2020-01-22,0,DSLite
2020-01-23,0,DSLite
2020-01-24,0,DSLite
2020-01-25,0,DSLite
2020-01-26,0,DSLite
2020-01-27,0,DSLite
2020-01-28,0,DSLite
2020-01-29,0,DSLite
2020-01-30,0,DSLite
2020-01-31,0,DSLite
2020-02-01,0,DSLite
2020-02-02,0,DSLite
2020-02-03,0,DSLite
2020-02-04,0,DSLite
2020-02-05,0,DSLite
2020-02-06,0,DSLite
2020-02-07,0,DSLite
2020-02-08,0,DSLite
2020-02-09,0,DSLite
2020-02-10,0,DSLite
2020-02-11,0,DSLite
2020-02-12,0,DSLite
2020-02-13,0,DSLite
2020-02-14,0,DSLite
2020-02-15,0,DSLite
2020-02-16,0,DSLite
2020-02-17,0,DSLite
2020-02-18,0,DSLite
2020-02-19,0,DSLite
2020-02-20,0,DSLite
2020-02-21,0,DSLite
2020-02-22,0,DSLite
2020-02-23,0,DSLite
2020-02-24,0,DSLite
2020-02-25,0,DSLite
2020-02-26,0,DSLite
2020-02-27,0,DSLite
2020-02-28,0,DSLite
2020-02-29,0,DSLite
2020-03-01,0,DSLite
2020-03-02,0,DSLite
2020-03-03,0,DSLite
2020-03-04,0,DSLite
2020-03-05,0,DSLite
2020-03-06,0,DSLite
2020-03-07,0,DSLite
2020-03-08,0,DSLite
2020-03-09,0,DSLite
2020-03-10,0,DSLite
2020-03-11,0,DSLite
2020-03-12,0,DSLite
2020-03-13,0,DSLite
2020-03-14,0,DSLite
2020-03-15,0,DSLite
2020-03-16,0,DSLite
2020-03-17,0,DSLite
2020-03-18,0,DSLite
2020-03-19,0,DSLite
2020-03-20,0,DSLite
2020-03-21,0,DSLite
2020-03-22,0,DSLite
2020-03-23,0,DSLite
2020-03-24,0,DSLite
2020-03-25,0,DSLite
2020-03-26,0,DSLite
2020-03-27,0,DSLite
2020-03-28,0,DSLite
2020-03-29,0,DSLite
2020-03-30,0,DSLite
2020-03-31,0,DSLite
2020-04-01,0,DSLite
2020-04-02,0,DSLite
2020-04-03,0,DSLite
2020-04-04,0,DSLite
2020-04-05,0,DSLite
2020-04-06,0,DSLite
2020-04-07,0,DSLite
2020-04-08,0,DSLite
2020-04-09,0,DSLite
2020-04-10,6,DSLite
2020-04-11,11,DSLite
2020-04-12,10,DSLite
2020-04-13,8,DSLite
2020-04-14,5,DSLite
2020-04-15,18,DSLite
2020-04-16,9,DSLite
2020-04-17,25,DSLite
2020-04-18,7,DSLite
2020-04-19,1,DSLite
2020-04-20,6,DSLite
2020-04-21,10,DSLite
2020-04-22,44,DSLite
2020-04-23,8,DSLite
2020-04-24,25,DSLite
2020-04-25,40,DSLite
2020-04-26,11,DSLite
2020-04-27,23,DSLite
2020-04-28,30,DSLite
2020-04-29,41,DSLite
2020-04-30,38,DSLite
2020-05-01,24,DSLite
2020-05-02,22,DSLite
2020-05-03,31,DSLite
2020-05-04,44,DSLite
2020-05-05,34,DSLite
2020-05-06,47,DSLite
2020-05-07,33,DSLite
2020-05-08,12,DSLite
2020-05-09,22,DSLite
2020-05-10,54,DSLite
2020-05-11,42,DSLite
2020-05-12,31,DSLite
2020-05-13,27,DSLite
2020-05-14,14,DSLite
2020-05-15,21,DSLite
2020-05-16,25,DSLite
2020-05-17,15,DSLite
2020-05-18,45,DSLite
2020-05-19,59,DSLite
2020-05-20,40,DSLite
2020-05-21,36,DSLite
2020-05-22,25,DSLite
2020-05-23,24,DSLite
2020-05-24,22,DSLite
2020-05-25,32,DSLite
2020-05-26,51,DSLite
2020-05-27,27,DSLite
2020-05-28,33,DSLite
2020-05-29,40,DSLite
2020-05-30,25,DSLite
2020-05-31,25,DSLite
2020-06-01,21,DSLite
2020-06-02,40,DSLite
2020-06-03,23,DSLite
2020-06-04,18,DSLite
2020-06-05,21,DSLite
2020-06-06,15,DSLite
2020-06-07,17,DSLite
2020-06-08,18,DSLite
2020-06-09,29,DSLite
2020-06-10,33,DSLite
2020-06-11,24,DSLite
2020-06-12,17,DSLite
2020-06-13,29,DSLite
2020-06-14,26,DSLite
2020-06-15,13,DSLite
2020-06-16,20,DSLite
2020-06-17,28,DSLite
2020-06-18,29,DSLite
2020-06-19,24,DSLite
2020-06-20,13,DSLite
2020-06-21,18,DSLite
2020-06-22,29,DSLite
2020-06-23,35,DSLite
2020-06-24,27,DSLite
2020-06-25,29,DSLite
2020-06-26,26,DSLite
2020-06-27,19,DSLite
2020-06-28,33,DSLite
2020-06-29,23,DSLite
2020-06-30,18,DSLite
2020-07-01,24,DSLite
2020-07-02,20,DSLite
2020-07-03,27,DSLite
2020-07-04,19,DSLite
2020-07-05,15,DSLite
2020-07-06,42,DSLite
2020-07-07,32,DSLite
2020-07-08,16,DSLite
2020-07-09,19,DSLite
2020-07-10,16,DSLite
2020-07-11,15,DSLite
2020-07-12,26,DSLite
2020-07-13,21,DSLite
2020-07-14,26,DSLite
2020-07-15,17,DSLite
2020-07-16,15,DSLite
2020-07-17,16,DSLite
2020-07-18,20,DSLite
2020-07-19,18,DSLite
2020-07-20,18,DSLite
2020-07-21,21,DSLite
2020-07-22,22,DSLite
2020-07-23,19,DSLite
2020-07-24,20,DSLite
2020-07-25,15,DSLite
2020-07-26,17,DSLite
2020-07-27,17,DSLite
2020-07-28,19,DSLite
2020-07-29,20,DSLite
2020-07-30,22,DSLite
2020-07-31,17,DSLite
2020-08-01,4,DSLite
2020-08-02,7,DSLite
2020-08-03,16,DSLite
2020-08-04,18,DSLite
2020-08-05,21,DSLite
2020-08-06,22,DSLite
2020-08-07,24,DSLite
2020-08-08,14,DSLite
2020-08-09,16,DSLite
2020-08-10,28,DSLite
2020-08-11,20,DSLite
2020-08-12,17,DSLite
2020-08-13,21,DSLite
2020-08-14,21,DSLite
2020-08-15,10,DSLite
2020-08-16,10,DSLite
2020-08-17,14,DSLite
2020-08-18,18,DSLite
2020-08-19,26,DSLite
2020-08-20,12,DSLite
2020-08-21,15,DSLite
2020-08-22,11,DSLite
2020-08-23,9,DSLite
2020-08-24,14,DSLite
2020-08-25,29,DSLite
2020-08-26,20,DSLite
2020-08-27,25,DSLite
2020-08-28,22,DSLite
2020-08-29,29,DSLite
2020-08-30,12,DSLite
2020-08-31,14,DSLite
2020-09-01,31,DSLite
2020-09-02,21,DSLite
2020-09-03,18,DSLite
2020-09-04,18,DSLite
2020-09-05,21,DSLite
2020-09-06,24,DSLite
2020-09-07,29,DSLite
2020-09-08,24,DSLite
2020-09-09,36,DSLite
2020-09-10,33,DSLite
2020-09-11,29,DSLite
2020-09-12,24,DSLite
2020-09-13,19,DSLite
2020-09-14,37,DSLite
2020-09-15,29,DSLite
2020-09-16,28,DSLite
2020-09-17,35,DSLite
2020-09-18,34,DSLite
2020-09-19,24,DSLite
2020-09-20,22,DSLite
2020-09-21,24,DSLite
2020-09-22,34,DSLite
2020-09-23,34,DSLite
2020-09-24,18,DSLite
2020-09-25,16,DSLite
2020-09-26,13,DSLite
2020-09-27,12,DSLite
2020-09-28,18,DSLite
2020-09-29,20,DSLite
2020-09-30,24,DSLite
2020-10-01,32,DSLite
2020-10-02,30,DSLite
2020-10-03,17,DSLite
2020-10-04,19,DSLite
2020-10-05,27,DSLite
2020-10-06,23,DSLite
2020-10-07,15,DSLite
2020-10-08,19,DSLite
2020-10-09,13,DSLite
2020-10-10,15,DSLite
2020-10-11,13,DSLite
2020-10-12,13,DSLite
2020-10-13,16,DSLite
2020-10-14,24,DSLite
2020-10-15,21,DSLite
2020-10-16,17,DSLite
2020-10-17,3,DSLite
2020-10-18,11,DSLite
2020-10-19,25,DSLite
2020-10-20,26,DSLite
2020-10-21,21,DSLite
2020-10-22,19,DSLite
2020-10-23,24,DSLite
2020-10-24,19,DSLite
2020-10-25,16,DSLite
2020-10-26,21,DSLite
2020-10-27,26,DSLite
2020-10-28,17,DSLite
2020-10-29,29,DSLite
2020-10-30,18,DSLite
2020-10-31,17,DSLite
2020-11-01,18,DSLite
2020-11-02,16,DSLite
2020-11-03,26,DSLite
2020-11-04,11,DSLite
2020-11-05,23,DSLite
2020-11-06,16,DSLite
2020-11-07,21,DSLite
2020-11-08,15,DSLite
2020-11-09,23,DSLite
2020-11-10,17,DSLite
2020-11-11,24,DSLite
2020-11-12,20,DSLite
2020-11-13,20,DSLite
2020-11-14,14,DSLite
2020-11-15,15,DSLite
2020-11-16,16,DSLite
2020-11-17,23,DSLite
2020-11-18,22,DSLite
2020-11-19,16,DSLite
2020-11-20,15,DSLite
2020-11-21,8,DSLite
2020-11-22,14,DSLite
2020-11-23,8,DSLite
2020-11-24,17,DSLite
2020-11-25,15,DSLite
2020-11-26,20,DSLite
2020-11-27,15,DSLite
2020-11-28,11,DSLite
2020-11-29,14,DSLite
2020-11-30,15,DSLite
2020-12-01,25,DSLite
2020-12-02,27,DSLite
2020-12-03,17,DSLite
2020-12-04,16,DSLite
2020-12-05,18,DSLite
2020-12-06,14,DSLite
2020-12-07,16,DSLite
2020-12-08,9,DSLite
2020-12-09,17,DSLite
2020-12-10,28,DSLite
2020-12-11,17,DSLite
2020-12-12,12,DSLite
2020-12-13,14,DSLite
2020-12-14,16,DSLite
2020-12-15,13,DSLite
2020-12-16,10,DSLite
2020-12-17,63,DSLite
2020-12-18,14,DSLite
2020-12-19,16,DSLite
2020-12-20,15,DSLite
2020-12-21,21,DSLite
2020-12-22,15,DSLite
2020-12-23,14,DSLite
2020-12-24,12,DSLite
2020-12-25,12,DSLite
2020-12-26,10,DSLite
2020-12-27,11,DSLite
2020-12-28,18,DSLite
2020-12-29,15,DSLite
2020-12-30,15,DSLite
2020-12-31,10,DSLite
2021-01-01,15,DSLite
2021-01-02,12,DSLite
2021-01-03,14,DSLite
2021-01-04,11,DSLite
2021-01-05,30,DSLite
2021-01-06,26,DSLite
2021-01-07,17,DSLite
2021-01-08,21,DSLite
2021-01-09,16,DSLite
2021-01-10,14,DSLite
2021-01-11,15,DSLite
2021-01-12,15,DSLite
2021-01-13,25,DSLite
2021-01-14,26,DSLite
2021-01-15,16,DSLite
2021-01-16,9,DSLite
2021-01-17,13,DSLite
2021-01-18,7,DSLite
2021-01-19,12,DSLite
2021-01-20,16,DSLite
2021-01-21,11,DSLite
2021-01-22,14,DSLite
2021-01-23,12,DSLite
2021-01-24,10,DSLite
2021-01-25,20,DSLite
2021-01-26,12,DSLite
2021-01-27,32,DSLite
2021-01-28,7,DSLite
2021-01-29,12,DSLite
2021-01-30,13,DSLite
2021-01-31,13,DSLite
2021-02-01,15,DSLite
2021-02-02,13,DSLite
2021-02-03,16,DSLite
2021-02-04,17,DSLite
2021-02-05,11,DSLite
2021-02-06,17,DSLite
2021-02-07,17,DSLite
2021-02-08,9,DSLite
