date,count,package
2020-01-01,0,EWS
2020-01-02,0,EWS
2020-01-03,0,EWS
2020-01-04,0,EWS
2020-01-05,0,EWS
2020-01-06,0,EWS
2020-01-07,0,EWS
2020-01-08,0,EWS
2020-01-09,0,EWS
2020-01-10,0,EWS
2020-01-11,0,EWS
2020-01-12,0,EWS
2020-01-13,0,EWS
2020-01-14,0,EWS
2020-01-15,0,EWS
2020-01-16,0,EWS
2020-01-17,0,EWS
2020-01-18,0,EWS
2020-01-19,0,EWS
2020-01-20,0,EWS
2020-01-21,0,EWS
2020-01-22,0,EWS
2020-01-23,0,EWS
2020-01-24,0,EWS
2020-01-25,0,EWS
2020-01-26,0,EWS
2020-01-27,0,EWS
2020-01-28,0,EWS
2020-01-29,0,EWS
2020-01-30,0,EWS
2020-01-31,0,EWS
2020-02-01,0,EWS
2020-02-02,0,EWS
2020-02-03,0,EWS
2020-02-04,0,EWS
2020-02-05,0,EWS
2020-02-06,0,EWS
2020-02-07,0,EWS
2020-02-08,0,EWS
2020-02-09,0,EWS
2020-02-10,0,EWS
2020-02-11,0,EWS
2020-02-12,0,EWS
2020-02-13,0,EWS
2020-02-14,0,EWS
2020-02-15,0,EWS
2020-02-16,0,EWS
2020-02-17,0,EWS
2020-02-18,0,EWS
2020-02-19,0,EWS
2020-02-20,0,EWS
2020-02-21,0,EWS
2020-02-22,0,EWS
2020-02-23,0,EWS
2020-02-24,0,EWS
2020-02-25,0,EWS
2020-02-26,0,EWS
2020-02-27,0,EWS
2020-02-28,0,EWS
2020-02-29,0,EWS
2020-03-01,0,EWS
2020-03-02,0,EWS
2020-03-03,0,EWS
2020-03-04,0,EWS
2020-03-05,0,EWS
2020-03-06,0,EWS
2020-03-07,0,EWS
2020-03-08,0,EWS
2020-03-09,0,EWS
2020-03-10,0,EWS
2020-03-11,0,EWS
2020-03-12,0,EWS
2020-03-13,0,EWS
2020-03-14,0,EWS
2020-03-15,0,EWS
2020-03-16,0,EWS
2020-03-17,0,EWS
2020-03-18,0,EWS
2020-03-19,0,EWS
2020-03-20,0,EWS
2020-03-21,0,EWS
2020-03-22,0,EWS
2020-03-23,0,EWS
2020-03-24,0,EWS
2020-03-25,0,EWS
2020-03-26,0,EWS
2020-03-27,0,EWS
2020-03-28,0,EWS
2020-03-29,0,EWS
2020-03-30,0,EWS
2020-03-31,0,EWS
2020-04-01,0,EWS
2020-04-02,0,EWS
2020-04-03,0,EWS
2020-04-04,0,EWS
2020-04-05,0,EWS
2020-04-06,0,EWS
2020-04-07,8,EWS
2020-04-08,25,EWS
2020-04-09,14,EWS
2020-04-10,14,EWS
2020-04-11,9,EWS
2020-04-12,20,EWS
2020-04-13,15,EWS
2020-04-14,15,EWS
2020-04-15,31,EWS
2020-04-16,8,EWS
2020-04-17,27,EWS
2020-04-18,6,EWS
2020-04-19,6,EWS
2020-04-20,10,EWS
2020-04-21,7,EWS
2020-04-22,42,EWS
2020-04-23,9,EWS
2020-04-24,24,EWS
2020-04-25,39,EWS
2020-04-26,12,EWS
2020-04-27,23,EWS
2020-04-28,29,EWS
2020-04-29,39,EWS
2020-04-30,28,EWS
2020-05-01,30,EWS
2020-05-02,28,EWS
2020-05-03,28,EWS
2020-05-04,26,EWS
2020-05-05,22,EWS
2020-05-06,31,EWS
2020-05-07,35,EWS
2020-05-08,22,EWS
2020-05-09,30,EWS
2020-05-10,58,EWS
2020-05-11,48,EWS
2020-05-12,22,EWS
2020-05-13,22,EWS
2020-05-14,20,EWS
2020-05-15,20,EWS
2020-05-16,23,EWS
2020-05-17,21,EWS
2020-05-18,30,EWS
2020-05-19,29,EWS
2020-05-20,25,EWS
2020-05-21,18,EWS
2020-05-22,22,EWS
2020-05-23,18,EWS
2020-05-24,19,EWS
2020-05-25,26,EWS
2020-05-26,23,EWS
2020-05-27,23,EWS
2020-05-28,23,EWS
2020-05-29,25,EWS
2020-05-30,21,EWS
2020-05-31,26,EWS
2020-06-01,21,EWS
2020-06-02,22,EWS
2020-06-03,20,EWS
2020-06-04,20,EWS
2020-06-05,21,EWS
2020-06-06,21,EWS
2020-06-07,19,EWS
2020-06-08,25,EWS
2020-06-09,22,EWS
2020-06-10,29,EWS
2020-06-11,31,EWS
2020-06-12,20,EWS
2020-06-13,19,EWS
2020-06-14,23,EWS
2020-06-15,17,EWS
2020-06-16,22,EWS
2020-06-17,19,EWS
2020-06-18,33,EWS
2020-06-19,27,EWS
2020-06-20,17,EWS
2020-06-21,34,EWS
2020-06-22,28,EWS
2020-06-23,27,EWS
2020-06-24,21,EWS
2020-06-25,21,EWS
2020-06-26,22,EWS
2020-06-27,19,EWS
2020-06-28,22,EWS
2020-06-29,20,EWS
2020-06-30,16,EWS
2020-07-01,19,EWS
2020-07-02,21,EWS
2020-07-03,30,EWS
2020-07-04,19,EWS
2020-07-05,15,EWS
2020-07-06,20,EWS
2020-07-07,28,EWS
2020-07-08,25,EWS
2020-07-09,19,EWS
2020-07-10,18,EWS
2020-07-11,16,EWS
2020-07-12,21,EWS
2020-07-13,21,EWS
2020-07-14,23,EWS
2020-07-15,28,EWS
2020-07-16,22,EWS
2020-07-17,19,EWS
2020-07-18,24,EWS
2020-07-19,20,EWS
2020-07-20,17,EWS
2020-07-21,28,EWS
2020-07-22,24,EWS
2020-07-23,19,EWS
2020-07-24,20,EWS
2020-07-25,19,EWS
2020-07-26,33,EWS
2020-07-27,18,EWS
2020-07-28,19,EWS
2020-07-29,10,EWS
2020-07-30,10,EWS
2020-07-31,6,EWS
2020-08-01,1,EWS
2020-08-02,4,EWS
2020-08-03,21,EWS
2020-08-04,22,EWS
2020-08-05,26,EWS
2020-08-06,24,EWS
2020-08-07,29,EWS
2020-08-08,27,EWS
2020-08-09,22,EWS
2020-08-10,26,EWS
2020-08-11,22,EWS
2020-08-12,19,EWS
2020-08-13,25,EWS
2020-08-14,29,EWS
2020-08-15,17,EWS
2020-08-16,17,EWS
2020-08-17,19,EWS
2020-08-18,24,EWS
2020-08-19,21,EWS
2020-08-20,20,EWS
2020-08-21,28,EWS
2020-08-22,18,EWS
2020-08-23,16,EWS
2020-08-24,21,EWS
2020-08-25,20,EWS
2020-08-26,22,EWS
2020-08-27,19,EWS
2020-08-28,17,EWS
2020-08-29,20,EWS
2020-08-30,19,EWS
2020-08-31,21,EWS
2020-09-01,30,EWS
2020-09-02,28,EWS
2020-09-03,25,EWS
2020-09-04,19,EWS
2020-09-05,25,EWS
2020-09-06,24,EWS
2020-09-07,29,EWS
2020-09-08,30,EWS
2020-09-09,33,EWS
2020-09-10,12,EWS
2020-09-11,31,EWS
2020-09-12,29,EWS
2020-09-13,32,EWS
2020-09-14,45,EWS
2020-09-15,26,EWS
2020-09-16,19,EWS
2020-09-17,38,EWS
2020-09-18,30,EWS
2020-09-19,21,EWS
2020-09-20,30,EWS
2020-09-21,29,EWS
2020-09-22,32,EWS
2020-09-23,24,EWS
2020-09-24,10,EWS
2020-09-25,22,EWS
2020-09-26,19,EWS
2020-09-27,19,EWS
2020-09-28,27,EWS
2020-09-29,26,EWS
2020-09-30,25,EWS
2020-10-01,23,EWS
2020-10-02,25,EWS
2020-10-03,21,EWS
2020-10-04,23,EWS
2020-10-05,21,EWS
2020-10-06,19,EWS
2020-10-07,32,EWS
2020-10-08,18,EWS
2020-10-09,21,EWS
2020-10-10,21,EWS
2020-10-11,18,EWS
2020-10-12,18,EWS
2020-10-13,20,EWS
2020-10-14,21,EWS
2020-10-15,17,EWS
2020-10-16,19,EWS
2020-10-17,1,EWS
2020-10-18,17,EWS
2020-10-19,26,EWS
2020-10-20,25,EWS
2020-10-21,22,EWS
2020-10-22,22,EWS
2020-10-23,24,EWS
2020-10-24,26,EWS
2020-10-25,18,EWS
2020-10-26,20,EWS
2020-10-27,22,EWS
2020-10-28,22,EWS
2020-10-29,35,EWS
2020-10-30,16,EWS
2020-10-31,16,EWS
2020-11-01,15,EWS
2020-11-02,10,EWS
2020-11-03,21,EWS
2020-11-04,6,EWS
2020-11-05,29,EWS
2020-11-06,23,EWS
2020-11-07,27,EWS
2020-11-08,22,EWS
2020-11-09,25,EWS
2020-11-10,21,EWS
2020-11-11,34,EWS
2020-11-12,24,EWS
2020-11-13,22,EWS
2020-11-14,16,EWS
2020-11-15,21,EWS
2020-11-16,19,EWS
2020-11-17,26,EWS
2020-11-18,22,EWS
2020-11-19,20,EWS
2020-11-20,19,EWS
2020-11-21,17,EWS
2020-11-22,18,EWS
2020-11-23,20,EWS
2020-11-24,24,EWS
2020-11-25,24,EWS
2020-11-26,6,EWS
2020-11-27,20,EWS
2020-11-28,21,EWS
2020-11-29,20,EWS
2020-11-30,20,EWS
2020-12-01,30,EWS
2020-12-02,22,EWS
2020-12-03,23,EWS
2020-12-04,20,EWS
2020-12-05,23,EWS
2020-12-06,18,EWS
2020-12-07,19,EWS
2020-12-08,4,EWS
2020-12-09,24,EWS
2020-12-10,22,EWS
2020-12-11,23,EWS
2020-12-12,20,EWS
2020-12-13,19,EWS
2020-12-14,20,EWS
2020-12-15,18,EWS
2020-12-16,29,EWS
2020-12-17,27,EWS
2020-12-18,26,EWS
2020-12-19,20,EWS
2020-12-20,23,EWS
2020-12-21,25,EWS
2020-12-22,23,EWS
2020-12-23,22,EWS
2020-12-24,22,EWS
2020-12-25,21,EWS
2020-12-26,22,EWS
2020-12-27,19,EWS
2020-12-28,27,EWS
2020-12-29,26,EWS
2020-12-30,22,EWS
2020-12-31,21,EWS
2021-01-01,20,EWS
2021-01-02,23,EWS
2021-01-03,23,EWS
2021-01-04,24,EWS
2021-01-05,21,EWS
2021-01-06,24,EWS
2021-01-07,22,EWS
2021-01-08,19,EWS
2021-01-09,22,EWS
2021-01-10,23,EWS
2021-01-11,25,EWS
2021-01-12,23,EWS
2021-01-13,23,EWS
2021-01-14,28,EWS
2021-01-15,22,EWS
2021-01-16,16,EWS
2021-01-17,20,EWS
2021-01-18,21,EWS
2021-01-19,21,EWS
2021-01-20,28,EWS
2021-01-21,23,EWS
2021-01-22,8,EWS
2021-01-23,22,EWS
2021-01-24,8,EWS
2021-01-25,27,EWS
2021-01-26,7,EWS
2021-01-27,28,EWS
2021-01-28,3,EWS
2021-01-29,25,EWS
2021-01-30,24,EWS
2021-01-31,22,EWS
2021-02-01,22,EWS
2021-02-02,26,EWS
2021-02-03,24,EWS
2021-02-04,25,EWS
2021-02-05,9,EWS
2021-02-06,27,EWS
2021-02-07,26,EWS
2021-02-08,22,EWS
2021-02-09,27,EWS
2021-02-10,21,EWS
2021-02-11,27,EWS
2021-02-12,25,EWS
2021-02-13,29,EWS
2021-02-14,6,EWS
2021-02-15,25,EWS
2021-02-16,11,EWS
2021-02-17,20,EWS
2021-02-18,28,EWS
2021-02-19,26,EWS
2021-02-20,24,EWS
2021-02-21,27,EWS
2021-02-22,37,EWS
2021-02-23,6,EWS
2021-02-24,50,EWS
2021-02-25,46,EWS
2021-02-26,40,EWS
2021-02-27,30,EWS
2021-02-28,26,EWS
2021-03-01,34,EWS
2021-03-02,32,EWS
2021-03-03,42,EWS
2021-03-04,28,EWS
2021-03-05,31,EWS
2021-03-06,25,EWS
2021-03-07,23,EWS
2021-03-08,36,EWS
2021-03-09,26,EWS
2021-03-10,34,EWS
2021-03-11,31,EWS
2021-03-12,30,EWS
2021-03-13,30,EWS
2021-03-14,26,EWS
