date,count,package
2020-01-01,0,IPV
2020-01-02,0,IPV
2020-01-03,0,IPV
2020-01-04,0,IPV
2020-01-05,0,IPV
2020-01-06,0,IPV
2020-01-07,0,IPV
2020-01-08,0,IPV
2020-01-09,0,IPV
2020-01-10,0,IPV
2020-01-11,0,IPV
2020-01-12,0,IPV
2020-01-13,0,IPV
2020-01-14,0,IPV
2020-01-15,0,IPV
2020-01-16,0,IPV
2020-01-17,0,IPV
2020-01-18,0,IPV
2020-01-19,0,IPV
2020-01-20,0,IPV
2020-01-21,0,IPV
2020-01-22,0,IPV
2020-01-23,0,IPV
2020-01-24,0,IPV
2020-01-25,0,IPV
2020-01-26,0,IPV
2020-01-27,0,IPV
2020-01-28,0,IPV
2020-01-29,0,IPV
2020-01-30,0,IPV
2020-01-31,0,IPV
2020-02-01,0,IPV
2020-02-02,0,IPV
2020-02-03,0,IPV
2020-02-04,0,IPV
2020-02-05,0,IPV
2020-02-06,0,IPV
2020-02-07,0,IPV
2020-02-08,0,IPV
2020-02-09,0,IPV
2020-02-10,4,IPV
2020-02-11,14,IPV
2020-02-12,11,IPV
2020-02-13,24,IPV
2020-02-14,18,IPV
2020-02-15,13,IPV
2020-02-16,21,IPV
2020-02-17,21,IPV
2020-02-18,30,IPV
2020-02-19,28,IPV
2020-02-20,27,IPV
2020-02-21,30,IPV
2020-02-22,23,IPV
2020-02-23,27,IPV
2020-02-24,21,IPV
2020-02-25,19,IPV
2020-02-26,23,IPV
2020-02-27,19,IPV
2020-02-28,14,IPV
2020-02-29,0,IPV
2020-03-01,16,IPV
2020-03-02,7,IPV
2020-03-03,13,IPV
2020-03-04,29,IPV
2020-03-05,21,IPV
2020-03-06,31,IPV
2020-03-07,14,IPV
2020-03-08,13,IPV
2020-03-09,11,IPV
2020-03-10,17,IPV
2020-03-11,5,IPV
2020-03-12,38,IPV
2020-03-13,29,IPV
2020-03-14,23,IPV
2020-03-15,20,IPV
2020-03-16,33,IPV
2020-03-17,22,IPV
2020-03-18,5,IPV
2020-03-19,18,IPV
2020-03-20,18,IPV
2020-03-21,17,IPV
2020-03-22,12,IPV
2020-03-23,12,IPV
2020-03-24,14,IPV
2020-03-25,15,IPV
2020-03-26,9,IPV
2020-03-27,11,IPV
2020-03-28,9,IPV
2020-03-29,17,IPV
2020-03-30,18,IPV
2020-03-31,16,IPV
2020-04-01,16,IPV
2020-04-02,12,IPV
2020-04-03,15,IPV
2020-04-04,8,IPV
2020-04-05,15,IPV
2020-04-06,18,IPV
2020-04-07,21,IPV
2020-04-08,20,IPV
2020-04-09,18,IPV
2020-04-10,10,IPV
2020-04-11,6,IPV
2020-04-12,11,IPV
2020-04-13,10,IPV
2020-04-14,12,IPV
2020-04-15,28,IPV
2020-04-16,24,IPV
2020-04-17,21,IPV
2020-04-18,6,IPV
2020-04-19,4,IPV
2020-04-20,8,IPV
2020-04-21,8,IPV
2020-04-22,27,IPV
2020-04-23,8,IPV
2020-04-24,18,IPV
2020-04-25,29,IPV
2020-04-26,12,IPV
2020-04-27,18,IPV
2020-04-28,22,IPV
2020-04-29,34,IPV
2020-04-30,28,IPV
2020-05-01,23,IPV
2020-05-02,24,IPV
2020-05-03,22,IPV
2020-05-04,23,IPV
2020-05-05,16,IPV
2020-05-06,29,IPV
2020-05-07,23,IPV
2020-05-08,16,IPV
2020-05-09,26,IPV
2020-05-10,51,IPV
2020-05-11,41,IPV
2020-05-12,20,IPV
2020-05-13,18,IPV
2020-05-14,17,IPV
2020-05-15,14,IPV
2020-05-16,16,IPV
2020-05-17,15,IPV
2020-05-18,29,IPV
2020-05-19,23,IPV
2020-05-20,21,IPV
2020-05-21,12,IPV
2020-05-22,17,IPV
2020-05-23,12,IPV
2020-05-24,13,IPV
2020-05-25,13,IPV
2020-05-26,25,IPV
2020-05-27,24,IPV
2020-05-28,17,IPV
2020-05-29,12,IPV
2020-05-30,15,IPV
2020-05-31,15,IPV
2020-06-01,16,IPV
2020-06-02,16,IPV
2020-06-03,16,IPV
2020-06-04,13,IPV
2020-06-05,13,IPV
2020-06-06,15,IPV
2020-06-07,13,IPV
2020-06-08,25,IPV
2020-06-09,25,IPV
2020-06-10,24,IPV
2020-06-11,24,IPV
2020-06-12,13,IPV
2020-06-13,13,IPV
2020-06-14,16,IPV
2020-06-15,19,IPV
2020-06-16,16,IPV
2020-06-17,14,IPV
2020-06-18,27,IPV
2020-06-19,17,IPV
2020-06-20,13,IPV
2020-06-21,23,IPV
2020-06-22,18,IPV
2020-06-23,21,IPV
2020-06-24,19,IPV
2020-06-25,14,IPV
2020-06-26,16,IPV
2020-06-27,13,IPV
2020-06-28,15,IPV
2020-06-29,14,IPV
2020-06-30,11,IPV
2020-07-01,15,IPV
2020-07-02,15,IPV
2020-07-03,19,IPV
2020-07-04,23,IPV
2020-07-05,11,IPV
2020-07-06,14,IPV
2020-07-07,23,IPV
2020-07-08,14,IPV
2020-07-09,13,IPV
2020-07-10,11,IPV
2020-07-11,11,IPV
2020-07-12,15,IPV
2020-07-13,15,IPV
2020-07-14,17,IPV
2020-07-15,17,IPV
2020-07-16,17,IPV
2020-07-17,18,IPV
2020-07-18,18,IPV
2020-07-19,14,IPV
2020-07-20,12,IPV
2020-07-21,25,IPV
2020-07-22,19,IPV
2020-07-23,12,IPV
2020-07-24,13,IPV
2020-07-25,16,IPV
2020-07-26,15,IPV
2020-07-27,11,IPV
2020-07-28,15,IPV
2020-07-29,10,IPV
2020-07-30,16,IPV
2020-07-31,3,IPV
2020-08-01,1,IPV
2020-08-02,5,IPV
2020-08-03,14,IPV
2020-08-04,18,IPV
2020-08-05,21,IPV
2020-08-06,19,IPV
2020-08-07,21,IPV
2020-08-08,21,IPV
2020-08-09,16,IPV
2020-08-10,22,IPV
2020-08-11,12,IPV
2020-08-12,15,IPV
2020-08-13,23,IPV
2020-08-14,15,IPV
2020-08-15,11,IPV
2020-08-16,11,IPV
2020-08-17,15,IPV
2020-08-18,18,IPV
2020-08-19,17,IPV
2020-08-20,13,IPV
2020-08-21,16,IPV
2020-08-22,12,IPV
2020-08-23,10,IPV
2020-08-24,14,IPV
2020-08-25,14,IPV
2020-08-26,23,IPV
2020-08-27,19,IPV
2020-08-28,11,IPV
2020-08-29,14,IPV
2020-08-30,12,IPV
2020-08-31,21,IPV
2020-09-01,18,IPV
2020-09-02,17,IPV
2020-09-03,16,IPV
2020-09-04,13,IPV
2020-09-05,18,IPV
2020-09-06,18,IPV
2020-09-07,22,IPV
2020-09-08,28,IPV
2020-09-09,25,IPV
2020-09-10,13,IPV
2020-09-11,24,IPV
2020-09-12,23,IPV
2020-09-13,20,IPV
2020-09-14,30,IPV
2020-09-15,25,IPV
2020-09-16,14,IPV
2020-09-17,30,IPV
2020-09-18,23,IPV
2020-09-19,13,IPV
2020-09-20,25,IPV
2020-09-21,19,IPV
2020-09-22,23,IPV
2020-09-23,19,IPV
2020-09-24,7,IPV
2020-09-25,11,IPV
2020-09-26,12,IPV
2020-09-27,12,IPV
2020-09-28,20,IPV
2020-09-29,20,IPV
2020-09-30,19,IPV
2020-10-01,17,IPV
2020-10-02,17,IPV
2020-10-03,27,IPV
2020-10-04,18,IPV
2020-10-05,13,IPV
2020-10-06,13,IPV
2020-10-07,14,IPV
2020-10-08,13,IPV
2020-10-09,14,IPV
2020-10-10,14,IPV
2020-10-11,12,IPV
2020-10-12,11,IPV
2020-10-13,14,IPV
2020-10-14,17,IPV
2020-10-15,14,IPV
2020-10-16,12,IPV
2020-10-17,1,IPV
2020-10-18,11,IPV
2020-10-19,18,IPV
2020-10-20,17,IPV
2020-10-21,16,IPV
2020-10-22,19,IPV
2020-10-23,15,IPV
2020-10-24,17,IPV
2020-10-25,10,IPV
2020-10-26,15,IPV
2020-10-27,13,IPV
2020-10-28,21,IPV
2020-10-29,25,IPV
2020-10-30,10,IPV
2020-10-31,12,IPV
2020-11-01,9,IPV
2020-11-02,7,IPV
2020-11-03,18,IPV
2020-11-04,8,IPV
2020-11-05,21,IPV
2020-11-06,16,IPV
2020-11-07,22,IPV
2020-11-08,13,IPV
2020-11-09,19,IPV
2020-11-10,21,IPV
2020-11-11,23,IPV
2020-11-12,17,IPV
2020-11-13,14,IPV
2020-11-14,10,IPV
2020-11-15,12,IPV
2020-11-16,12,IPV
2020-11-17,18,IPV
2020-11-18,18,IPV
2020-11-19,14,IPV
2020-11-20,12,IPV
2020-11-21,12,IPV
2020-11-22,15,IPV
2020-11-23,11,IPV
2020-11-24,15,IPV
2020-11-25,18,IPV
2020-11-26,6,IPV
2020-11-27,14,IPV
2020-11-28,14,IPV
2020-11-29,16,IPV
2020-11-30,13,IPV
2020-12-01,17,IPV
2020-12-02,19,IPV
2020-12-03,17,IPV
2020-12-04,15,IPV
2020-12-05,16,IPV
2020-12-06,11,IPV
2020-12-07,12,IPV
2020-12-08,6,IPV
2020-12-09,18,IPV
2020-12-10,17,IPV
2020-12-11,18,IPV
2020-12-12,13,IPV
2020-12-13,13,IPV
2020-12-14,13,IPV
2020-12-15,13,IPV
2020-12-16,41,IPV
2020-12-17,14,IPV
2020-12-18,15,IPV
2020-12-19,15,IPV
2020-12-20,15,IPV
2020-12-21,13,IPV
2020-12-22,15,IPV
2020-12-23,15,IPV
2020-12-24,14,IPV
2020-12-25,15,IPV
2020-12-26,10,IPV
2020-12-27,12,IPV
2020-12-28,17,IPV
2020-12-29,16,IPV
2020-12-30,20,IPV
2020-12-31,14,IPV
2021-01-01,16,IPV
2021-01-02,13,IPV
2021-01-03,11,IPV
2021-01-04,10,IPV
2021-01-05,11,IPV
2021-01-06,15,IPV
2021-01-07,11,IPV
2021-01-08,14,IPV
2021-01-09,10,IPV
2021-01-10,11,IPV
2021-01-11,13,IPV
2021-01-12,16,IPV
2021-01-13,14,IPV
2021-01-14,20,IPV
2021-01-15,11,IPV
2021-01-16,9,IPV
2021-01-17,10,IPV
2021-01-18,11,IPV
2021-01-19,14,IPV
2021-01-20,14,IPV
2021-01-21,10,IPV
2021-01-22,4,IPV
2021-01-23,12,IPV
2021-01-24,8,IPV
2021-01-25,16,IPV
2021-01-26,10,IPV
2021-01-27,22,IPV
2021-01-28,2,IPV
2021-01-29,14,IPV
2021-01-30,13,IPV
2021-01-31,13,IPV
2021-02-01,13,IPV
2021-02-02,14,IPV
2021-02-03,15,IPV
2021-02-04,15,IPV
2021-02-05,2,IPV
2021-02-06,16,IPV
2021-02-07,18,IPV
2021-02-08,12,IPV
2021-02-09,16,IPV
2021-02-10,18,IPV
2021-02-11,20,IPV
2021-02-12,16,IPV
2021-02-13,18,IPV
2021-02-14,8,IPV
2021-02-15,18,IPV
2021-02-16,11,IPV
2021-02-17,18,IPV
2021-02-18,19,IPV
2021-02-19,21,IPV
2021-02-20,19,IPV
2021-02-21,16,IPV
2021-02-22,29,IPV
2021-02-23,8,IPV
2021-02-24,29,IPV
2021-02-25,22,IPV
2021-02-26,23,IPV
2021-02-27,11,IPV
2021-02-28,10,IPV
2021-03-01,14,IPV
2021-03-02,15,IPV
2021-03-03,22,IPV
2021-03-04,20,IPV
2021-03-05,17,IPV
2021-03-06,14,IPV
2021-03-07,10,IPV
2021-03-08,20,IPV
2021-03-09,12,IPV
2021-03-10,21,IPV
2021-03-11,11,IPV
2021-03-12,14,IPV
2021-03-13,16,IPV
2021-03-14,12,IPV
2021-03-15,14,IPV
2021-03-16,14,IPV
2021-03-17,18,IPV
2021-03-18,15,IPV
2021-03-19,4,IPV
2021-03-20,16,IPV
2021-03-21,4,IPV
2021-03-22,15,IPV
2021-03-23,8,IPV
2021-03-24,21,IPV
2021-03-25,8,IPV
2021-03-26,13,IPV
2021-03-27,3,IPV
2021-03-28,12,IPV
2021-03-29,7,IPV
2021-03-30,15,IPV
2021-03-31,10,IPV
2021-04-01,11,IPV
2021-04-02,4,IPV
2021-04-03,9,IPV
2021-04-04,7,IPV
2021-04-05,11,IPV
2021-04-06,7,IPV
2021-04-07,16,IPV
2021-04-08,18,IPV
2021-04-09,11,IPV
2021-04-10,13,IPV
2021-04-11,13,IPV
2021-04-12,16,IPV
2021-04-13,8,IPV
2021-04-14,18,IPV
2021-04-15,4,IPV
2021-04-16,12,IPV
2021-04-17,5,IPV
2021-04-18,14,IPV
2021-04-19,10,IPV
2021-04-20,17,IPV
2021-04-21,11,IPV
2021-04-22,21,IPV
2021-04-23,11,IPV
2021-04-24,17,IPV
2021-04-25,5,IPV
2021-04-26,15,IPV
2021-04-27,15,IPV
2021-04-28,14,IPV
2021-04-29,9,IPV
2021-04-30,9,IPV
2021-05-01,13,IPV
2021-05-02,10,IPV
2021-05-03,16,IPV
2021-05-04,19,IPV
2021-05-05,6,IPV
2021-05-06,16,IPV
2021-05-07,6,IPV
2021-05-08,10,IPV
2021-05-09,1,IPV
2021-05-10,14,IPV
2021-05-11,10,IPV
2021-05-12,23,IPV
2021-05-13,12,IPV
2021-05-14,12,IPV
2021-05-15,8,IPV
2021-05-16,17,IPV
2021-05-17,8,IPV
2021-05-18,22,IPV
2021-05-19,15,IPV
2021-05-20,24,IPV
2021-05-21,16,IPV
2021-05-22,13,IPV
2021-05-23,13,IPV
2021-05-24,7,IPV
2021-05-25,19,IPV
2021-05-26,9,IPV
2021-05-27,6,IPV
2021-05-28,11,IPV
2021-05-29,6,IPV
2021-05-30,12,IPV
2021-05-31,6,IPV
2021-06-01,9,IPV
2021-06-02,8,IPV
2021-06-03,10,IPV
2021-06-04,3,IPV
2021-06-05,3,IPV
2021-06-06,10,IPV
2021-06-07,5,IPV
2021-06-08,12,IPV
2021-06-09,8,IPV
