date,count,package
2020-01-01,0,JoF
2020-01-02,0,JoF
2020-01-03,0,JoF
2020-01-04,0,JoF
2020-01-05,0,JoF
2020-01-06,0,JoF
2020-01-07,0,JoF
2020-01-08,0,JoF
2020-01-09,0,JoF
2020-01-10,0,JoF
2020-01-11,0,JoF
2020-01-12,0,JoF
2020-01-13,0,JoF
2020-01-14,0,JoF
2020-01-15,0,JoF
2020-01-16,0,JoF
2020-01-17,0,JoF
2020-01-18,0,JoF
2020-01-19,0,JoF
2020-01-20,0,JoF
2020-01-21,0,JoF
2020-01-22,0,JoF
2020-01-23,0,JoF
2020-01-24,0,JoF
2020-01-25,0,JoF
2020-01-26,0,JoF
2020-01-27,0,JoF
2020-01-28,0,JoF
2020-01-29,0,JoF
2020-01-30,0,JoF
2020-01-31,0,JoF
2020-02-01,0,JoF
2020-02-02,0,JoF
2020-02-03,0,JoF
2020-02-04,0,JoF
2020-02-05,0,JoF
2020-02-06,0,JoF
2020-02-07,0,JoF
2020-02-08,0,JoF
2020-02-09,0,JoF
2020-02-10,0,JoF
2020-02-11,0,JoF
2020-02-12,0,JoF
2020-02-13,0,JoF
2020-02-14,0,JoF
2020-02-15,0,JoF
2020-02-16,0,JoF
2020-02-17,0,JoF
2020-02-18,0,JoF
2020-02-19,0,JoF
2020-02-20,0,JoF
2020-02-21,0,JoF
2020-02-22,0,JoF
2020-02-23,0,JoF
2020-02-24,0,JoF
2020-02-25,0,JoF
2020-02-26,0,JoF
2020-02-27,0,JoF
2020-02-28,0,JoF
2020-02-29,0,JoF
2020-03-01,0,JoF
2020-03-02,0,JoF
2020-03-03,0,JoF
2020-03-04,0,JoF
2020-03-05,0,JoF
2020-03-06,0,JoF
2020-03-07,0,JoF
2020-03-08,0,JoF
2020-03-09,0,JoF
2020-03-10,0,JoF
2020-03-11,0,JoF
2020-03-12,0,JoF
2020-03-13,0,JoF
2020-03-14,0,JoF
2020-03-15,0,JoF
2020-03-16,0,JoF
2020-03-17,0,JoF
2020-03-18,0,JoF
2020-03-19,0,JoF
2020-03-20,0,JoF
2020-03-21,0,JoF
2020-03-22,0,JoF
2020-03-23,0,JoF
2020-03-24,0,JoF
2020-03-25,0,JoF
2020-03-26,0,JoF
2020-03-27,0,JoF
2020-03-28,0,JoF
2020-03-29,0,JoF
2020-03-30,0,JoF
2020-03-31,0,JoF
2020-04-01,0,JoF
2020-04-02,0,JoF
2020-04-03,3,JoF
2020-04-04,6,JoF
2020-04-05,6,JoF
2020-04-06,18,JoF
2020-04-07,14,JoF
2020-04-08,18,JoF
2020-04-09,13,JoF
2020-04-10,15,JoF
2020-04-11,7,JoF
2020-04-12,19,JoF
2020-04-13,15,JoF
2020-04-14,15,JoF
2020-04-15,30,JoF
2020-04-16,9,JoF
2020-04-17,23,JoF
2020-04-18,10,JoF
2020-04-19,3,JoF
2020-04-20,8,JoF
2020-04-21,8,JoF
2020-04-22,26,JoF
2020-04-23,7,JoF
2020-04-24,12,JoF
2020-04-25,31,JoF
2020-04-26,11,JoF
2020-04-27,17,JoF
2020-04-28,23,JoF
2020-04-29,32,JoF
2020-04-30,20,JoF
2020-05-01,20,JoF
2020-05-02,20,JoF
2020-05-03,18,JoF
2020-05-04,16,JoF
2020-05-05,17,JoF
2020-05-06,23,JoF
2020-05-07,19,JoF
2020-05-08,13,JoF
2020-05-09,21,JoF
2020-05-10,50,JoF
2020-05-11,38,JoF
2020-05-12,13,JoF
2020-05-13,18,JoF
2020-05-14,13,JoF
2020-05-15,11,JoF
2020-05-16,13,JoF
2020-05-17,12,JoF
2020-05-18,25,JoF
2020-05-19,18,JoF
2020-05-20,14,JoF
2020-05-21,9,JoF
2020-05-22,13,JoF
2020-05-23,8,JoF
2020-05-24,10,JoF
2020-05-25,9,JoF
2020-05-26,14,JoF
2020-05-27,13,JoF
2020-05-28,14,JoF
2020-05-29,15,JoF
2020-05-30,12,JoF
2020-05-31,19,JoF
2020-06-01,12,JoF
2020-06-02,13,JoF
2020-06-03,11,JoF
2020-06-04,9,JoF
2020-06-05,10,JoF
2020-06-06,11,JoF
2020-06-07,10,JoF
2020-06-08,15,JoF
2020-06-09,12,JoF
2020-06-10,19,JoF
2020-06-11,16,JoF
2020-06-12,18,JoF
2020-06-13,10,JoF
2020-06-14,13,JoF
2020-06-15,10,JoF
2020-06-16,13,JoF
2020-06-17,9,JoF
2020-06-18,23,JoF
2020-06-19,20,JoF
2020-06-20,8,JoF
2020-06-21,11,JoF
2020-06-22,14,JoF
2020-06-23,17,JoF
2020-06-24,20,JoF
2020-06-25,12,JoF
2020-06-26,13,JoF
2020-06-27,10,JoF
2020-06-28,12,JoF
2020-06-29,11,JoF
2020-06-30,7,JoF
2020-07-01,11,JoF
2020-07-02,12,JoF
2020-07-03,15,JoF
2020-07-04,9,JoF
2020-07-05,6,JoF
2020-07-06,16,JoF
2020-07-07,22,JoF
2020-07-08,15,JoF
2020-07-09,12,JoF
2020-07-10,8,JoF
2020-07-11,7,JoF
2020-07-12,12,JoF
2020-07-13,13,JoF
2020-07-14,13,JoF
2020-07-15,12,JoF
2020-07-16,13,JoF
2020-07-17,9,JoF
2020-07-18,14,JoF
2020-07-19,17,JoF
2020-07-20,9,JoF
2020-07-21,15,JoF
2020-07-22,14,JoF
2020-07-23,9,JoF
2020-07-24,9,JoF
2020-07-25,13,JoF
2020-07-26,18,JoF
2020-07-27,9,JoF
2020-07-28,10,JoF
2020-07-29,7,JoF
2020-07-30,8,JoF
2020-07-31,3,JoF
2020-08-01,8,JoF
2020-08-02,4,JoF
2020-08-03,12,JoF
2020-08-04,13,JoF
2020-08-05,15,JoF
2020-08-06,15,JoF
2020-08-07,18,JoF
2020-08-08,11,JoF
2020-08-09,13,JoF
2020-08-10,19,JoF
2020-08-11,11,JoF
2020-08-12,16,JoF
2020-08-13,19,JoF
2020-08-14,13,JoF
2020-08-15,8,JoF
2020-08-16,7,JoF
2020-08-17,12,JoF
2020-08-18,12,JoF
2020-08-19,12,JoF
2020-08-20,9,JoF
2020-08-21,13,JoF
2020-08-22,9,JoF
2020-08-23,7,JoF
2020-08-24,10,JoF
2020-08-25,16,JoF
2020-08-26,13,JoF
2020-08-27,13,JoF
2020-08-28,10,JoF
2020-08-29,17,JoF
2020-08-30,9,JoF
2020-08-31,12,JoF
2020-09-01,13,JoF
2020-09-02,11,JoF
2020-09-03,16,JoF
2020-09-04,10,JoF
2020-09-05,15,JoF
2020-09-06,20,JoF
2020-09-07,21,JoF
2020-09-08,20,JoF
2020-09-09,20,JoF
2020-09-10,14,JoF
2020-09-11,19,JoF
2020-09-12,22,JoF
2020-09-13,18,JoF
2020-09-14,27,JoF
2020-09-15,16,JoF
2020-09-16,10,JoF
2020-09-17,33,JoF
2020-09-18,19,JoF
2020-09-19,16,JoF
2020-09-20,16,JoF
2020-09-21,16,JoF
2020-09-22,21,JoF
2020-09-23,13,JoF
2020-09-24,7,JoF
2020-09-25,8,JoF
2020-09-26,9,JoF
2020-09-27,9,JoF
2020-09-28,16,JoF
2020-09-29,17,JoF
2020-09-30,15,JoF
2020-10-01,20,JoF
2020-10-02,14,JoF
2020-10-03,11,JoF
2020-10-04,21,JoF
2020-10-05,10,JoF
2020-10-06,10,JoF
2020-10-07,10,JoF
2020-10-08,10,JoF
2020-10-09,11,JoF
2020-10-10,11,JoF
2020-10-11,9,JoF
2020-10-12,14,JoF
2020-10-13,11,JoF
2020-10-14,11,JoF
2020-10-15,8,JoF
2020-10-16,9,JoF
2020-10-17,1,JoF
2020-10-18,8,JoF
2020-10-19,14,JoF
2020-10-20,13,JoF
2020-10-21,10,JoF
