date,count,package
2020-01-01,0,KOBT
2020-01-02,0,KOBT
2020-01-03,0,KOBT
2020-01-04,0,KOBT
2020-01-05,0,KOBT
2020-01-06,0,KOBT
2020-01-07,0,KOBT
2020-01-08,0,KOBT
2020-01-09,0,KOBT
2020-01-10,0,KOBT
2020-01-11,0,KOBT
2020-01-12,0,KOBT
2020-01-13,0,KOBT
2020-01-14,0,KOBT
2020-01-15,0,KOBT
2020-01-16,0,KOBT
2020-01-17,0,KOBT
2020-01-18,0,KOBT
2020-01-19,0,KOBT
2020-01-20,0,KOBT
2020-01-21,0,KOBT
2020-01-22,0,KOBT
2020-01-23,0,KOBT
2020-01-24,0,KOBT
2020-01-25,0,KOBT
2020-01-26,0,KOBT
2020-01-27,0,KOBT
2020-01-28,0,KOBT
2020-01-29,0,KOBT
2020-01-30,0,KOBT
2020-01-31,0,KOBT
2020-02-01,0,KOBT
2020-02-02,0,KOBT
2020-02-03,0,KOBT
2020-02-04,0,KOBT
2020-02-05,0,KOBT
2020-02-06,0,KOBT
2020-02-07,0,KOBT
2020-02-08,0,KOBT
2020-02-09,0,KOBT
2020-02-10,0,KOBT
2020-02-11,0,KOBT
2020-02-12,0,KOBT
2020-02-13,0,KOBT
2020-02-14,0,KOBT
2020-02-15,0,KOBT
2020-02-16,0,KOBT
2020-02-17,0,KOBT
2020-02-18,0,KOBT
2020-02-19,0,KOBT
2020-02-20,2,KOBT
2020-02-21,10,KOBT
2020-02-22,26,KOBT
2020-02-23,15,KOBT
2020-02-24,21,KOBT
2020-02-25,18,KOBT
2020-02-26,33,KOBT
2020-02-27,32,KOBT
2020-02-28,25,KOBT
2020-02-29,14,KOBT
2020-03-01,31,KOBT
2020-03-02,19,KOBT
2020-03-03,27,KOBT
2020-03-04,28,KOBT
2020-03-05,19,KOBT
2020-03-06,26,KOBT
2020-03-07,22,KOBT
2020-03-08,24,KOBT
2020-03-09,22,KOBT
2020-03-10,22,KOBT
2020-03-11,4,KOBT
2020-03-12,28,KOBT
2020-03-13,16,KOBT
2020-03-14,16,KOBT
2020-03-15,11,KOBT
2020-03-16,23,KOBT
2020-03-17,14,KOBT
2020-03-18,6,KOBT
2020-03-19,13,KOBT
2020-03-20,16,KOBT
2020-03-21,14,KOBT
2020-03-22,8,KOBT
2020-03-23,12,KOBT
2020-03-24,10,KOBT
2020-03-25,18,KOBT
2020-03-26,8,KOBT
2020-03-27,6,KOBT
2020-03-28,8,KOBT
2020-03-29,19,KOBT
2020-03-30,18,KOBT
2020-03-31,15,KOBT
2020-04-01,11,KOBT
2020-04-02,12,KOBT
2020-04-03,15,KOBT
2020-04-04,8,KOBT
2020-04-05,15,KOBT
2020-04-06,18,KOBT
2020-04-07,21,KOBT
2020-04-08,18,KOBT
2020-04-09,16,KOBT
2020-04-10,9,KOBT
2020-04-11,6,KOBT
2020-04-12,11,KOBT
2020-04-13,10,KOBT
2020-04-14,11,KOBT
2020-04-15,19,KOBT
2020-04-16,18,KOBT
2020-04-17,19,KOBT
2020-04-18,6,KOBT
2020-04-19,3,KOBT
2020-04-20,7,KOBT
2020-04-21,9,KOBT
2020-04-22,24,KOBT
2020-04-23,8,KOBT
2020-04-24,16,KOBT
2020-04-25,28,KOBT
2020-04-26,11,KOBT
2020-04-27,17,KOBT
2020-04-28,22,KOBT
2020-04-29,32,KOBT
2020-04-30,22,KOBT
2020-05-01,24,KOBT
2020-05-02,24,KOBT
2020-05-03,21,KOBT
2020-05-04,21,KOBT
2020-05-05,14,KOBT
2020-05-06,33,KOBT
2020-05-07,24,KOBT
2020-05-08,17,KOBT
2020-05-09,27,KOBT
2020-05-10,52,KOBT
2020-05-11,42,KOBT
2020-05-12,18,KOBT
2020-05-13,15,KOBT
2020-05-14,16,KOBT
2020-05-15,15,KOBT
2020-05-16,16,KOBT
2020-05-17,16,KOBT
2020-05-18,25,KOBT
2020-05-19,22,KOBT
2020-05-20,18,KOBT
2020-05-21,13,KOBT
2020-05-22,17,KOBT
2020-05-23,11,KOBT
2020-05-24,15,KOBT
2020-05-25,15,KOBT
2020-05-26,18,KOBT
2020-05-27,29,KOBT
2020-05-28,16,KOBT
2020-05-29,13,KOBT
2020-05-30,18,KOBT
2020-05-31,16,KOBT
2020-06-01,15,KOBT
2020-06-02,15,KOBT
2020-06-03,15,KOBT
2020-06-04,13,KOBT
2020-06-05,14,KOBT
2020-06-06,13,KOBT
2020-06-07,13,KOBT
2020-06-08,21,KOBT
2020-06-09,21,KOBT
2020-06-10,28,KOBT
2020-06-11,17,KOBT
2020-06-12,14,KOBT
2020-06-13,13,KOBT
2020-06-14,16,KOBT
2020-06-15,20,KOBT
2020-06-16,17,KOBT
2020-06-17,13,KOBT
2020-06-18,28,KOBT
2020-06-19,17,KOBT
2020-06-20,13,KOBT
2020-06-21,16,KOBT
2020-06-22,24,KOBT
2020-06-23,20,KOBT
2020-06-24,16,KOBT
2020-06-25,14,KOBT
2020-06-26,16,KOBT
2020-06-27,13,KOBT
2020-06-28,15,KOBT
2020-06-29,13,KOBT
2020-06-30,11,KOBT
2020-07-01,13,KOBT
2020-07-02,15,KOBT
2020-07-03,18,KOBT
2020-07-04,18,KOBT
2020-07-05,16,KOBT
2020-07-06,13,KOBT
2020-07-07,23,KOBT
2020-07-08,13,KOBT
2020-07-09,13,KOBT
2020-07-10,11,KOBT
2020-07-11,11,KOBT
2020-07-12,15,KOBT
2020-07-13,15,KOBT
2020-07-14,16,KOBT
2020-07-15,15,KOBT
2020-07-16,15,KOBT
2020-07-17,18,KOBT
2020-07-18,18,KOBT
2020-07-19,15,KOBT
2020-07-20,12,KOBT
2020-07-21,19,KOBT
2020-07-22,18,KOBT
2020-07-23,12,KOBT
2020-07-24,20,KOBT
2020-07-25,16,KOBT
2020-07-26,15,KOBT
2020-07-27,11,KOBT
2020-07-28,12,KOBT
2020-07-29,8,KOBT
2020-07-30,13,KOBT
2020-07-31,3,KOBT
2020-08-01,1,KOBT
2020-08-02,8,KOBT
2020-08-03,15,KOBT
2020-08-04,16,KOBT
2020-08-05,18,KOBT
2020-08-06,18,KOBT
2020-08-07,21,KOBT
2020-08-08,15,KOBT
2020-08-09,22,KOBT
2020-08-10,23,KOBT
2020-08-11,18,KOBT
2020-08-12,19,KOBT
2020-08-13,17,KOBT
2020-08-14,15,KOBT
2020-08-15,11,KOBT
2020-08-16,10,KOBT
2020-08-17,15,KOBT
2020-08-18,18,KOBT
2020-08-19,15,KOBT
2020-08-20,12,KOBT
2020-08-21,16,KOBT
2020-08-22,13,KOBT
2020-08-23,10,KOBT
2020-08-24,14,KOBT
2020-08-25,19,KOBT
2020-08-26,15,KOBT
2020-08-27,13,KOBT
2020-08-28,11,KOBT
2020-08-29,14,KOBT
2020-08-30,12,KOBT
2020-08-31,22,KOBT
2020-09-01,19,KOBT
2020-09-02,16,KOBT
2020-09-03,17,KOBT
2020-09-04,15,KOBT
2020-09-05,19,KOBT
2020-09-06,24,KOBT
2020-09-07,24,KOBT
2020-09-08,25,KOBT
2020-09-09,24,KOBT
2020-09-10,13,KOBT
2020-09-11,24,KOBT
2020-09-12,25,KOBT
2020-09-13,20,KOBT
2020-09-14,30,KOBT
2020-09-15,19,KOBT
2020-09-16,13,KOBT
2020-09-17,30,KOBT
2020-09-18,24,KOBT
2020-09-19,19,KOBT
2020-09-20,25,KOBT
2020-09-21,19,KOBT
2020-09-22,23,KOBT
2020-09-23,19,KOBT
2020-09-24,9,KOBT
2020-09-25,11,KOBT
2020-09-26,12,KOBT
2020-09-27,13,KOBT
2020-09-28,20,KOBT
2020-09-29,21,KOBT
2020-09-30,17,KOBT
2020-10-01,23,KOBT
2020-10-02,17,KOBT
2020-10-03,13,KOBT
2020-10-04,20,KOBT
2020-10-05,12,KOBT
2020-10-06,13,KOBT
2020-10-07,13,KOBT
2020-10-08,19,KOBT
2020-10-09,11,KOBT
2020-10-10,14,KOBT
2020-10-11,12,KOBT
2020-10-12,11,KOBT
2020-10-13,14,KOBT
2020-10-14,21,KOBT
2020-10-15,11,KOBT
2020-10-16,12,KOBT
2020-10-17,1,KOBT
2020-10-18,12,KOBT
2020-10-19,17,KOBT
2020-10-20,17,KOBT
2020-10-21,13,KOBT
2020-10-22,17,KOBT
2020-10-23,15,KOBT
2020-10-24,17,KOBT
2020-10-25,10,KOBT
2020-10-26,17,KOBT
2020-10-27,14,KOBT
2020-10-28,19,KOBT
2020-10-29,28,KOBT
2020-10-30,10,KOBT
2020-10-31,12,KOBT
2020-11-01,9,KOBT
2020-11-02,7,KOBT
2020-11-03,18,KOBT
2020-11-04,8,KOBT
2020-11-05,21,KOBT
2020-11-06,16,KOBT
2020-11-07,21,KOBT
2020-11-08,16,KOBT
2020-11-09,19,KOBT
2020-11-10,17,KOBT
2020-11-11,20,KOBT
2020-11-12,18,KOBT
2020-11-13,14,KOBT
2020-11-14,9,KOBT
2020-11-15,13,KOBT
2020-11-16,12,KOBT
2020-11-17,20,KOBT
2020-11-18,16,KOBT
2020-11-19,14,KOBT
2020-11-20,14,KOBT
2020-11-21,15,KOBT
2020-11-22,12,KOBT
2020-11-23,12,KOBT
2020-11-24,15,KOBT
2020-11-25,15,KOBT
2020-11-26,7,KOBT
2020-11-27,13,KOBT
2020-11-28,15,KOBT
2020-11-29,13,KOBT
2020-11-30,13,KOBT
2020-12-01,17,KOBT
2020-12-02,16,KOBT
2020-12-03,16,KOBT
2020-12-04,19,KOBT
2020-12-05,13,KOBT
2020-12-06,15,KOBT
2020-12-07,11,KOBT
2020-12-08,4,KOBT
2020-12-09,16,KOBT
2020-12-10,17,KOBT
2020-12-11,15,KOBT
2020-12-12,13,KOBT
2020-12-13,14,KOBT
2020-12-14,13,KOBT
2020-12-15,12,KOBT
2020-12-16,38,KOBT
2020-12-17,14,KOBT
2020-12-18,15,KOBT
2020-12-19,12,KOBT
2020-12-20,12,KOBT
2020-12-21,13,KOBT
2020-12-22,15,KOBT
2020-12-23,13,KOBT
2020-12-24,12,KOBT
2020-12-25,11,KOBT
2020-12-26,13,KOBT
2020-12-27,11,KOBT
2020-12-28,18,KOBT
2020-12-29,17,KOBT
2020-12-30,14,KOBT
2020-12-31,12,KOBT
2021-01-01,19,KOBT
2021-01-02,14,KOBT
2021-01-03,11,KOBT
2021-01-04,10,KOBT
2021-01-05,11,KOBT
2021-01-06,13,KOBT
2021-01-07,12,KOBT
2021-01-08,11,KOBT
2021-01-09,10,KOBT
2021-01-10,12,KOBT
2021-01-11,16,KOBT
2021-01-12,16,KOBT
2021-01-13,13,KOBT
2021-01-14,18,KOBT
2021-01-15,14,KOBT
2021-01-16,8,KOBT
2021-01-17,10,KOBT
2021-01-18,6,KOBT
2021-01-19,14,KOBT
2021-01-20,13,KOBT
2021-01-21,12,KOBT
2021-01-22,3,KOBT
2021-01-23,12,KOBT
2021-01-24,9,KOBT
2021-01-25,18,KOBT
2021-01-26,8,KOBT
2021-01-27,18,KOBT
2021-01-28,2,KOBT
2021-01-29,14,KOBT
2021-01-30,13,KOBT
2021-01-31,13,KOBT
2021-02-01,13,KOBT
2021-02-02,14,KOBT
2021-02-03,18,KOBT
2021-02-04,15,KOBT
2021-02-05,5,KOBT
2021-02-06,18,KOBT
2021-02-07,18,KOBT
2021-02-08,12,KOBT
2021-02-09,15,KOBT
2021-02-10,15,KOBT
2021-02-11,20,KOBT
2021-02-12,16,KOBT
2021-02-13,19,KOBT
2021-02-14,7,KOBT
2021-02-15,27,KOBT
2021-02-16,17,KOBT
2021-02-17,15,KOBT
2021-02-18,18,KOBT
2021-02-19,19,KOBT
2021-02-20,17,KOBT
2021-02-21,15,KOBT
2021-02-22,29,KOBT
2021-02-23,9,KOBT
2021-02-24,26,KOBT
2021-02-25,19,KOBT
2021-02-26,22,KOBT
2021-02-27,11,KOBT
2021-02-28,9,KOBT
2021-03-01,17,KOBT
2021-03-02,13,KOBT
2021-03-03,17,KOBT
2021-03-04,18,KOBT
2021-03-05,18,KOBT
2021-03-06,13,KOBT
2021-03-07,10,KOBT
2021-03-08,19,KOBT
2021-03-09,11,KOBT
2021-03-10,16,KOBT
2021-03-11,11,KOBT
2021-03-12,13,KOBT
2021-03-13,15,KOBT
2021-03-14,12,KOBT
2021-03-15,18,KOBT
2021-03-16,14,KOBT
2021-03-17,18,KOBT
2021-03-18,15,KOBT
2021-03-19,4,KOBT
2021-03-20,10,KOBT
2021-03-21,3,KOBT
2021-03-22,15,KOBT
2021-03-23,5,KOBT
2021-03-24,16,KOBT
2021-03-25,7,KOBT
2021-03-26,13,KOBT
2021-03-27,3,KOBT
2021-03-28,12,KOBT
2021-03-29,11,KOBT
2021-03-30,17,KOBT
2021-03-31,7,KOBT
2021-04-01,11,KOBT
2021-04-02,3,KOBT
2021-04-03,13,KOBT
2021-04-04,7,KOBT
2021-04-05,11,KOBT
2021-04-06,3,KOBT
2021-04-07,14,KOBT
2021-04-08,18,KOBT
2021-04-09,10,KOBT
2021-04-10,12,KOBT
2021-04-11,13,KOBT
2021-04-12,15,KOBT
2021-04-13,7,KOBT
2021-04-14,16,KOBT
2021-04-15,4,KOBT
2021-04-16,12,KOBT
2021-04-17,5,KOBT
2021-04-18,14,KOBT
2021-04-19,8,KOBT
2021-04-20,15,KOBT
2021-04-21,12,KOBT
2021-04-22,24,KOBT
2021-04-23,11,KOBT
2021-04-24,19,KOBT
2021-04-25,6,KOBT
2021-04-26,14,KOBT
2021-04-27,14,KOBT
2021-04-28,14,KOBT
2021-04-29,10,KOBT
2021-04-30,7,KOBT
2021-05-01,13,KOBT
2021-05-02,8,KOBT
2021-05-03,16,KOBT
2021-05-04,19,KOBT
2021-05-05,5,KOBT
2021-05-06,16,KOBT
2021-05-07,9,KOBT
2021-05-08,9,KOBT
2021-05-09,1,KOBT
2021-05-10,14,KOBT
2021-05-11,13,KOBT
2021-05-12,21,KOBT
2021-05-13,11,KOBT
2021-05-14,11,KOBT
2021-05-15,6,KOBT
2021-05-16,13,KOBT
2021-05-17,5,KOBT
2021-05-18,20,KOBT
2021-05-19,13,KOBT
2021-05-20,23,KOBT
2021-05-21,14,KOBT
2021-05-22,13,KOBT
2021-05-23,14,KOBT
2021-05-24,8,KOBT
2021-05-25,19,KOBT
2021-05-26,9,KOBT
2021-05-27,6,KOBT
2021-05-28,8,KOBT
2021-05-29,3,KOBT
2021-05-30,13,KOBT
2021-05-31,7,KOBT
2021-06-01,9,KOBT
2021-06-02,12,KOBT
2021-06-03,14,KOBT
2021-06-04,3,KOBT
2021-06-05,3,KOBT
2021-06-06,13,KOBT
2021-06-07,3,KOBT
2021-06-08,11,KOBT
2021-06-09,6,KOBT
