date,count,package
2020-01-01,0,ProbBayes
2020-01-02,0,ProbBayes
2020-01-03,0,ProbBayes
2020-01-04,0,ProbBayes
2020-01-05,0,ProbBayes
2020-01-06,0,ProbBayes
2020-01-07,0,ProbBayes
2020-01-08,0,ProbBayes
2020-01-09,0,ProbBayes
2020-01-10,0,ProbBayes
2020-01-11,0,ProbBayes
2020-01-12,0,ProbBayes
2020-01-13,0,ProbBayes
2020-01-14,0,ProbBayes
2020-01-15,0,ProbBayes
2020-01-16,0,ProbBayes
2020-01-17,0,ProbBayes
2020-01-18,0,ProbBayes
2020-01-19,0,ProbBayes
2020-01-20,0,ProbBayes
2020-01-21,0,ProbBayes
2020-01-22,0,ProbBayes
2020-01-23,0,ProbBayes
2020-01-24,0,ProbBayes
2020-01-25,0,ProbBayes
2020-01-26,0,ProbBayes
2020-01-27,0,ProbBayes
2020-01-28,0,ProbBayes
2020-01-29,0,ProbBayes
2020-01-30,0,ProbBayes
2020-01-31,0,ProbBayes
2020-02-01,0,ProbBayes
2020-02-02,0,ProbBayes
2020-02-03,0,ProbBayes
2020-02-04,0,ProbBayes
2020-02-05,0,ProbBayes
2020-02-06,0,ProbBayes
2020-02-07,0,ProbBayes
2020-02-08,0,ProbBayes
2020-02-09,0,ProbBayes
2020-02-10,0,ProbBayes
2020-02-11,0,ProbBayes
2020-02-12,0,ProbBayes
2020-02-13,0,ProbBayes
2020-02-14,0,ProbBayes
2020-02-15,0,ProbBayes
2020-02-16,0,ProbBayes
2020-02-17,0,ProbBayes
2020-02-18,0,ProbBayes
2020-02-19,0,ProbBayes
2020-02-20,0,ProbBayes
2020-02-21,0,ProbBayes
2020-02-22,0,ProbBayes
2020-02-23,0,ProbBayes
2020-02-24,0,ProbBayes
2020-02-25,0,ProbBayes
2020-02-26,0,ProbBayes
2020-02-27,0,ProbBayes
2020-02-28,0,ProbBayes
2020-02-29,0,ProbBayes
2020-03-01,0,ProbBayes
2020-03-02,0,ProbBayes
2020-03-03,0,ProbBayes
2020-03-04,0,ProbBayes
2020-03-05,0,ProbBayes
2020-03-06,13,ProbBayes
2020-03-07,4,ProbBayes
2020-03-08,22,ProbBayes
2020-03-09,18,ProbBayes
2020-03-10,20,ProbBayes
2020-03-11,3,ProbBayes
2020-03-12,34,ProbBayes
2020-03-13,31,ProbBayes
2020-03-14,27,ProbBayes
2020-03-15,19,ProbBayes
2020-03-16,31,ProbBayes
2020-03-17,27,ProbBayes
2020-03-18,8,ProbBayes
2020-03-19,21,ProbBayes
2020-03-20,19,ProbBayes
2020-03-21,14,ProbBayes
2020-03-22,11,ProbBayes
2020-03-23,16,ProbBayes
2020-03-24,7,ProbBayes
2020-03-25,15,ProbBayes
2020-03-26,10,ProbBayes
2020-03-27,8,ProbBayes
2020-03-28,16,ProbBayes
2020-03-29,20,ProbBayes
2020-03-30,26,ProbBayes
2020-03-31,16,ProbBayes
2020-04-01,23,ProbBayes
2020-04-02,8,ProbBayes
2020-04-03,14,ProbBayes
2020-04-04,9,ProbBayes
2020-04-05,13,ProbBayes
2020-04-06,18,ProbBayes
2020-04-07,19,ProbBayes
2020-04-08,19,ProbBayes
2020-04-09,17,ProbBayes
2020-04-10,10,ProbBayes
2020-04-11,7,ProbBayes
2020-04-12,13,ProbBayes
2020-04-13,10,ProbBayes
2020-04-14,12,ProbBayes
2020-04-15,28,ProbBayes
2020-04-16,20,ProbBayes
2020-04-17,21,ProbBayes
2020-04-18,8,ProbBayes
2020-04-19,1,ProbBayes
2020-04-20,8,ProbBayes
2020-04-21,9,ProbBayes
2020-04-22,25,ProbBayes
2020-04-23,10,ProbBayes
2020-04-24,15,ProbBayes
2020-04-25,23,ProbBayes
2020-04-26,18,ProbBayes
2020-04-27,15,ProbBayes
2020-04-28,18,ProbBayes
2020-04-29,32,ProbBayes
2020-04-30,16,ProbBayes
2020-05-01,18,ProbBayes
2020-05-02,27,ProbBayes
2020-05-03,16,ProbBayes
