date,count,package
2020-01-01,0,Superpower
2020-01-02,0,Superpower
2020-01-03,0,Superpower
2020-01-04,0,Superpower
2020-01-05,0,Superpower
2020-01-06,0,Superpower
2020-01-07,0,Superpower
2020-01-08,0,Superpower
2020-01-09,0,Superpower
2020-01-10,0,Superpower
2020-01-11,0,Superpower
2020-01-12,0,Superpower
2020-01-13,0,Superpower
2020-01-14,0,Superpower
2020-01-15,0,Superpower
2020-01-16,0,Superpower
2020-01-17,0,Superpower
2020-01-18,0,Superpower
2020-01-19,0,Superpower
2020-01-20,0,Superpower
2020-01-21,0,Superpower
2020-01-22,0,Superpower
2020-01-23,0,Superpower
2020-01-24,0,Superpower
2020-01-25,0,Superpower
2020-01-26,0,Superpower
2020-01-27,0,Superpower
2020-01-28,0,Superpower
2020-01-29,0,Superpower
2020-01-30,0,Superpower
2020-01-31,0,Superpower
2020-02-01,0,Superpower
2020-02-02,0,Superpower
2020-02-03,0,Superpower
2020-02-04,0,Superpower
2020-02-05,0,Superpower
2020-02-06,0,Superpower
2020-02-07,0,Superpower
2020-02-08,0,Superpower
2020-02-09,0,Superpower
2020-02-10,0,Superpower
2020-02-11,0,Superpower
2020-02-12,0,Superpower
2020-02-13,0,Superpower
2020-02-14,0,Superpower
2020-02-15,0,Superpower
2020-02-16,0,Superpower
2020-02-17,4,Superpower
2020-02-18,13,Superpower
2020-02-19,35,Superpower
2020-02-20,20,Superpower
2020-02-21,24,Superpower
2020-02-22,30,Superpower
2020-02-23,22,Superpower
2020-02-24,24,Superpower
2020-02-25,24,Superpower
2020-02-26,25,Superpower
2020-02-27,27,Superpower
2020-02-28,19,Superpower
2020-02-29,8,Superpower
2020-03-01,24,Superpower
2020-03-02,19,Superpower
2020-03-03,26,Superpower
2020-03-04,27,Superpower
2020-03-05,24,Superpower
2020-03-06,23,Superpower
2020-03-07,18,Superpower
2020-03-08,22,Superpower
2020-03-09,27,Superpower
2020-03-10,41,Superpower
2020-03-11,8,Superpower
2020-03-12,26,Superpower
2020-03-13,19,Superpower
2020-03-14,16,Superpower
2020-03-15,12,Superpower
2020-03-16,22,Superpower
2020-03-17,15,Superpower
2020-03-18,4,Superpower
2020-03-19,16,Superpower
2020-03-20,19,Superpower
2020-03-21,11,Superpower
2020-03-22,11,Superpower
2020-03-23,20,Superpower
2020-03-24,10,Superpower
2020-03-25,18,Superpower
2020-03-26,8,Superpower
2020-03-27,9,Superpower
2020-03-28,13,Superpower
2020-03-29,27,Superpower
2020-03-30,25,Superpower
2020-03-31,26,Superpower
2020-04-01,21,Superpower
2020-04-02,10,Superpower
