date,count,package
2020-01-01,0,abdiv
2020-01-02,0,abdiv
2020-01-03,0,abdiv
2020-01-04,0,abdiv
2020-01-05,0,abdiv
2020-01-06,0,abdiv
2020-01-07,0,abdiv
2020-01-08,0,abdiv
2020-01-09,0,abdiv
2020-01-10,0,abdiv
2020-01-11,0,abdiv
2020-01-12,0,abdiv
2020-01-13,0,abdiv
2020-01-14,0,abdiv
2020-01-15,0,abdiv
2020-01-16,0,abdiv
2020-01-17,0,abdiv
2020-01-18,0,abdiv
2020-01-19,0,abdiv
2020-01-20,6,abdiv
2020-01-21,27,abdiv
2020-01-22,34,abdiv
2020-01-23,24,abdiv
2020-01-24,33,abdiv
2020-01-25,27,abdiv
2020-01-26,27,abdiv
2020-01-27,36,abdiv
2020-01-28,41,abdiv
2020-01-29,37,abdiv
2020-01-30,30,abdiv
2020-01-31,31,abdiv
2020-02-01,26,abdiv
2020-02-02,20,abdiv
2020-02-03,11,abdiv
2020-02-04,24,abdiv
2020-02-05,19,abdiv
2020-02-06,29,abdiv
2020-02-07,37,abdiv
2020-02-08,27,abdiv
2020-02-09,10,abdiv
2020-02-10,30,abdiv
2020-02-11,23,abdiv
2020-02-12,20,abdiv
2020-02-13,17,abdiv
2020-02-14,15,abdiv
2020-02-15,16,abdiv
2020-02-16,11,abdiv
2020-02-17,13,abdiv
2020-02-18,15,abdiv
2020-02-19,23,abdiv
2020-02-20,20,abdiv
2020-02-21,15,abdiv
2020-02-22,21,abdiv
2020-02-23,17,abdiv
2020-02-24,25,abdiv
2020-02-25,13,abdiv
2020-02-26,20,abdiv
2020-02-27,23,abdiv
2020-02-28,15,abdiv
2020-02-29,7,abdiv
2020-03-01,18,abdiv
2020-03-02,18,abdiv
2020-03-03,14,abdiv
2020-03-04,23,abdiv
2020-03-05,17,abdiv
2020-03-06,21,abdiv
2020-03-07,18,abdiv
2020-03-08,18,abdiv
2020-03-09,19,abdiv
2020-03-10,18,abdiv
2020-03-11,17,abdiv
2020-03-12,21,abdiv
2020-03-13,14,abdiv
2020-03-14,16,abdiv
2020-03-15,9,abdiv
2020-03-16,28,abdiv
2020-03-17,10,abdiv
2020-03-18,7,abdiv
2020-03-19,14,abdiv
2020-03-20,18,abdiv
2020-03-21,20,abdiv
2020-03-22,10,abdiv
2020-03-23,14,abdiv
2020-03-24,15,abdiv
2020-03-25,24,abdiv
2020-03-26,11,abdiv
2020-03-27,11,abdiv
2020-03-28,15,abdiv
2020-03-29,22,abdiv
2020-03-30,25,abdiv
2020-03-31,26,abdiv
2020-04-01,18,abdiv
2020-04-02,16,abdiv
2020-04-03,20,abdiv
2020-04-04,19,abdiv
2020-04-05,16,abdiv
2020-04-06,28,abdiv
2020-04-07,33,abdiv
2020-04-08,33,abdiv
2020-04-09,22,abdiv
2020-04-10,12,abdiv
2020-04-11,8,abdiv
2020-04-12,12,abdiv
2020-04-13,13,abdiv
2020-04-14,12,abdiv
2020-04-15,23,abdiv
2020-04-16,20,abdiv
2020-04-17,25,abdiv
2020-04-18,21,abdiv
2020-04-19,8,abdiv
2020-04-20,13,abdiv
2020-04-21,13,abdiv
2020-04-22,32,abdiv
2020-04-23,14,abdiv
2020-04-24,24,abdiv
2020-04-25,40,abdiv
2020-04-26,13,abdiv
2020-04-27,23,abdiv
2020-04-28,30,abdiv
2020-04-29,41,abdiv
2020-04-30,33,abdiv
2020-05-01,27,abdiv
2020-05-02,23,abdiv
2020-05-03,27,abdiv
2020-05-04,31,abdiv
2020-05-05,21,abdiv
2020-05-06,32,abdiv
2020-05-07,33,abdiv
2020-05-08,22,abdiv
2020-05-09,31,abdiv
2020-05-10,59,abdiv
2020-05-11,51,abdiv
2020-05-12,27,abdiv
2020-05-13,31,abdiv
2020-05-14,21,abdiv
2020-05-15,22,abdiv
2020-05-16,22,abdiv
2020-05-17,29,abdiv
2020-05-18,31,abdiv
2020-05-19,20,abdiv
2020-05-20,30,abdiv
2020-05-21,13,abdiv
2020-05-22,22,abdiv
2020-05-23,13,abdiv
2020-05-24,17,abdiv
2020-05-25,17,abdiv
2020-05-26,20,abdiv
2020-05-27,20,abdiv
2020-05-28,31,abdiv
2020-05-29,19,abdiv
2020-05-30,21,abdiv
2020-05-31,27,abdiv
2020-06-01,22,abdiv
2020-06-02,60,abdiv
2020-06-03,24,abdiv
2020-06-04,23,abdiv
2020-06-05,20,abdiv
2020-06-06,21,abdiv
2020-06-07,33,abdiv
2020-06-08,29,abdiv
2020-06-09,19,abdiv
2020-06-10,39,abdiv
2020-06-11,28,abdiv
2020-06-12,19,abdiv
2020-06-13,15,abdiv
2020-06-14,16,abdiv
2020-06-15,24,abdiv
2020-06-16,21,abdiv
2020-06-17,23,abdiv
2020-06-18,29,abdiv
2020-06-19,33,abdiv
2020-06-20,13,abdiv
2020-06-21,21,abdiv
2020-06-22,33,abdiv
2020-06-23,25,abdiv
2020-06-24,21,abdiv
2020-06-25,17,abdiv
2020-06-26,24,abdiv
2020-06-27,19,abdiv
2020-06-28,17,abdiv
2020-06-29,24,abdiv
2020-06-30,15,abdiv
2020-07-01,21,abdiv
2020-07-02,18,abdiv
2020-07-03,22,abdiv
2020-07-04,18,abdiv
2020-07-05,17,abdiv
2020-07-06,18,abdiv
2020-07-07,28,abdiv
2020-07-08,23,abdiv
2020-07-09,22,abdiv
2020-07-10,16,abdiv
2020-07-11,14,abdiv
2020-07-12,18,abdiv
2020-07-13,28,abdiv
2020-07-14,27,abdiv
2020-07-15,23,abdiv
2020-07-16,18,abdiv
2020-07-17,27,abdiv
2020-07-18,22,abdiv
2020-07-19,18,abdiv
2020-07-20,20,abdiv
2020-07-21,26,abdiv
2020-07-22,22,abdiv
2020-07-23,18,abdiv
2020-07-24,27,abdiv
2020-07-25,19,abdiv
2020-07-26,23,abdiv
2020-07-27,20,abdiv
2020-07-28,18,abdiv
2020-07-29,23,abdiv
2020-07-30,14,abdiv
2020-07-31,14,abdiv
2020-08-01,8,abdiv
2020-08-02,9,abdiv
2020-08-03,19,abdiv
2020-08-04,25,abdiv
2020-08-05,23,abdiv
2020-08-06,26,abdiv
2020-08-07,21,abdiv
2020-08-08,21,abdiv
2020-08-09,18,abdiv
2020-08-10,27,abdiv
2020-08-11,24,abdiv
2020-08-12,26,abdiv
2020-08-13,33,abdiv
2020-08-14,24,abdiv
2020-08-15,12,abdiv
2020-08-16,33,abdiv
2020-08-17,19,abdiv
2020-08-18,23,abdiv
2020-08-19,20,abdiv
2020-08-20,23,abdiv
2020-08-21,15,abdiv
2020-08-22,13,abdiv
2020-08-23,13,abdiv
2020-08-24,24,abdiv
2020-08-25,21,abdiv
2020-08-26,19,abdiv
2020-08-27,18,abdiv
2020-08-28,14,abdiv
2020-08-29,19,abdiv
2020-08-30,15,abdiv
2020-08-31,19,abdiv
2020-09-01,27,abdiv
2020-09-02,21,abdiv
