date,count,package
2020-01-01,0,adventr
2020-01-02,0,adventr
2020-01-03,0,adventr
2020-01-04,0,adventr
2020-01-05,0,adventr
2020-01-06,0,adventr
2020-01-07,0,adventr
2020-01-08,0,adventr
2020-01-09,0,adventr
2020-01-10,0,adventr
2020-01-11,0,adventr
2020-01-12,0,adventr
2020-01-13,0,adventr
2020-01-14,0,adventr
2020-01-15,0,adventr
2020-01-16,0,adventr
2020-01-17,0,adventr
2020-01-18,0,adventr
2020-01-19,0,adventr
2020-01-20,0,adventr
2020-01-21,0,adventr
2020-01-22,0,adventr
2020-01-23,0,adventr
2020-01-24,0,adventr
2020-01-25,0,adventr
2020-01-26,0,adventr
2020-01-27,0,adventr
2020-01-28,0,adventr
2020-01-29,0,adventr
2020-01-30,0,adventr
2020-01-31,0,adventr
2020-02-01,0,adventr
2020-02-02,0,adventr
2020-02-03,0,adventr
2020-02-04,0,adventr
2020-02-05,0,adventr
2020-02-06,0,adventr
2020-02-07,0,adventr
2020-02-08,0,adventr
2020-02-09,0,adventr
2020-02-10,0,adventr
2020-02-11,0,adventr
2020-02-12,0,adventr
2020-02-13,0,adventr
2020-02-14,0,adventr
2020-02-15,0,adventr
2020-02-16,0,adventr
2020-02-17,0,adventr
2020-02-18,0,adventr
2020-02-19,0,adventr
2020-02-20,0,adventr
2020-02-21,0,adventr
2020-02-22,0,adventr
2020-02-23,0,adventr
2020-02-24,0,adventr
2020-02-25,0,adventr
2020-02-26,0,adventr
2020-02-27,0,adventr
2020-02-28,0,adventr
2020-02-29,0,adventr
2020-03-01,0,adventr
2020-03-02,0,adventr
2020-03-03,0,adventr
2020-03-04,0,adventr
2020-03-05,0,adventr
2020-03-06,0,adventr
2020-03-07,0,adventr
2020-03-08,0,adventr
2020-03-09,0,adventr
2020-03-10,0,adventr
2020-03-11,0,adventr
2020-03-12,0,adventr
2020-03-13,0,adventr
2020-03-14,0,adventr
2020-03-15,0,adventr
2020-03-16,0,adventr
2020-03-17,0,adventr
2020-03-18,0,adventr
2020-03-19,0,adventr
2020-03-20,0,adventr
2020-03-21,0,adventr
2020-03-22,0,adventr
2020-03-23,0,adventr
2020-03-24,0,adventr
2020-03-25,0,adventr
2020-03-26,0,adventr
2020-03-27,0,adventr
2020-03-28,0,adventr
2020-03-29,0,adventr
2020-03-30,0,adventr
2020-03-31,0,adventr
2020-04-01,0,adventr
2020-04-02,0,adventr
2020-04-03,0,adventr
2020-04-04,0,adventr
2020-04-05,0,adventr
2020-04-06,0,adventr
2020-04-07,0,adventr
2020-04-08,0,adventr
2020-04-09,0,adventr
2020-04-10,0,adventr
2020-04-11,0,adventr
2020-04-12,0,adventr
2020-04-13,0,adventr
2020-04-14,0,adventr
2020-04-15,0,adventr
2020-04-16,0,adventr
2020-04-17,0,adventr
2020-04-18,0,adventr
2020-04-19,0,adventr
2020-04-20,0,adventr
2020-04-21,0,adventr
2020-04-22,0,adventr
2020-04-23,0,adventr
2020-04-24,0,adventr
2020-04-25,0,adventr
2020-04-26,0,adventr
2020-04-27,0,adventr
2020-04-28,0,adventr
2020-04-29,0,adventr
2020-04-30,0,adventr
2020-05-01,0,adventr
2020-05-02,0,adventr
2020-05-03,0,adventr
2020-05-04,0,adventr
2020-05-05,6,adventr
2020-05-06,63,adventr
2020-05-07,55,adventr
2020-05-08,25,adventr
2020-05-09,41,adventr
2020-05-10,62,adventr
2020-05-11,61,adventr
2020-05-12,40,adventr
2020-05-13,40,adventr
2020-05-14,30,adventr
2020-05-15,36,adventr
2020-05-16,26,adventr
2020-05-17,25,adventr
2020-05-18,31,adventr
2020-05-19,27,adventr
2020-05-20,29,adventr
2020-05-21,18,adventr
2020-05-22,21,adventr
2020-05-23,10,adventr
2020-05-24,19,adventr
2020-05-25,12,adventr
2020-05-26,20,adventr
2020-05-27,20,adventr
2020-05-28,28,adventr
2020-05-29,23,adventr
2020-05-30,19,adventr
2020-05-31,16,adventr
2020-06-01,19,adventr
2020-06-02,175,adventr
2020-06-03,14,adventr
2020-06-04,14,adventr
2020-06-05,18,adventr
2020-06-06,16,adventr
2020-06-07,23,adventr
2020-06-08,26,adventr
2020-06-09,20,adventr
2020-06-10,35,adventr
2020-06-11,30,adventr
2020-06-12,19,adventr
2020-06-13,20,adventr
2020-06-14,16,adventr
2020-06-15,18,adventr
2020-06-16,17,adventr
2020-06-17,22,adventr
