date,count,package
2020-01-01,0,autokeras
2020-01-02,0,autokeras
2020-01-03,0,autokeras
2020-01-04,0,autokeras
2020-01-05,0,autokeras
2020-01-06,0,autokeras
2020-01-07,0,autokeras
2020-01-08,0,autokeras
2020-01-09,0,autokeras
2020-01-10,0,autokeras
2020-01-11,0,autokeras
2020-01-12,0,autokeras
2020-01-13,0,autokeras
2020-01-14,0,autokeras
2020-01-15,0,autokeras
2020-01-16,0,autokeras
2020-01-17,0,autokeras
2020-01-18,0,autokeras
2020-01-19,0,autokeras
2020-01-20,0,autokeras
2020-01-21,0,autokeras
2020-01-22,0,autokeras
2020-01-23,0,autokeras
2020-01-24,0,autokeras
2020-01-25,0,autokeras
2020-01-26,0,autokeras
2020-01-27,0,autokeras
2020-01-28,0,autokeras
2020-01-29,0,autokeras
2020-01-30,0,autokeras
2020-01-31,0,autokeras
2020-02-01,0,autokeras
2020-02-02,0,autokeras
2020-02-03,0,autokeras
2020-02-04,0,autokeras
2020-02-05,0,autokeras
2020-02-06,0,autokeras
2020-02-07,0,autokeras
2020-02-08,0,autokeras
2020-02-09,0,autokeras
2020-02-10,0,autokeras
2020-02-11,0,autokeras
2020-02-12,0,autokeras
2020-02-13,0,autokeras
2020-02-14,0,autokeras
2020-02-15,0,autokeras
2020-02-16,0,autokeras
2020-02-17,0,autokeras
2020-02-18,0,autokeras
2020-02-19,0,autokeras
2020-02-20,20,autokeras
2020-02-21,14,autokeras
2020-02-22,30,autokeras
2020-02-23,17,autokeras
2020-02-24,31,autokeras
2020-02-25,27,autokeras
2020-02-26,32,autokeras
2020-02-27,33,autokeras
2020-02-28,28,autokeras
2020-02-29,13,autokeras
2020-03-01,33,autokeras
2020-03-02,27,autokeras
2020-03-03,29,autokeras
2020-03-04,34,autokeras
2020-03-05,26,autokeras
2020-03-06,38,autokeras
2020-03-07,32,autokeras
2020-03-08,26,autokeras
2020-03-09,28,autokeras
2020-03-10,27,autokeras
2020-03-11,13,autokeras
2020-03-12,30,autokeras
2020-03-13,21,autokeras
2020-03-14,20,autokeras
2020-03-15,18,autokeras
2020-03-16,27,autokeras
2020-03-17,18,autokeras
2020-03-18,9,autokeras
2020-03-19,15,autokeras
