date,count,package
2020-01-01,0,baRulho
2020-01-02,0,baRulho
2020-01-03,0,baRulho
2020-01-04,0,baRulho
2020-01-05,0,baRulho
2020-01-06,0,baRulho
2020-01-07,0,baRulho
2020-01-08,0,baRulho
2020-01-09,0,baRulho
2020-01-10,0,baRulho
2020-01-11,0,baRulho
2020-01-12,0,baRulho
2020-01-13,0,baRulho
2020-01-14,0,baRulho
2020-01-15,0,baRulho
2020-01-16,0,baRulho
2020-01-17,0,baRulho
2020-01-18,0,baRulho
2020-01-19,0,baRulho
2020-01-20,0,baRulho
2020-01-21,0,baRulho
2020-01-22,0,baRulho
2020-01-23,0,baRulho
2020-01-24,0,baRulho
2020-01-25,0,baRulho
2020-01-26,0,baRulho
2020-01-27,0,baRulho
2020-01-28,0,baRulho
2020-01-29,0,baRulho
2020-01-30,0,baRulho
2020-01-31,0,baRulho
2020-02-01,0,baRulho
2020-02-02,0,baRulho
2020-02-03,0,baRulho
2020-02-04,0,baRulho
2020-02-05,0,baRulho
2020-02-06,0,baRulho
2020-02-07,0,baRulho
2020-02-08,0,baRulho
2020-02-09,0,baRulho
2020-02-10,0,baRulho
2020-02-11,0,baRulho
2020-02-12,0,baRulho
2020-02-13,0,baRulho
2020-02-14,0,baRulho
2020-02-15,0,baRulho
2020-02-16,0,baRulho
2020-02-17,0,baRulho
2020-02-18,0,baRulho
2020-02-19,0,baRulho
2020-02-20,0,baRulho
2020-02-21,0,baRulho
2020-02-22,11,baRulho
2020-02-23,8,baRulho
2020-02-24,27,baRulho
2020-02-25,15,baRulho
2020-02-26,30,baRulho
2020-02-27,40,baRulho
2020-02-28,27,baRulho
2020-02-29,8,baRulho
2020-03-01,32,baRulho
2020-03-02,28,baRulho
2020-03-03,27,baRulho
2020-03-04,35,baRulho
2020-03-05,26,baRulho
2020-03-06,29,baRulho
2020-03-07,26,baRulho
2020-03-08,27,baRulho
2020-03-09,30,baRulho
2020-03-10,33,baRulho
2020-03-11,15,baRulho
2020-03-12,43,baRulho
2020-03-13,34,baRulho
2020-03-14,29,baRulho
2020-03-15,24,baRulho
2020-03-16,36,baRulho
2020-03-17,32,baRulho
2020-03-18,6,baRulho
2020-03-19,20,baRulho
2020-03-20,20,baRulho
2020-03-21,16,baRulho
2020-03-22,14,baRulho
2020-03-23,19,baRulho
2020-03-24,15,baRulho
2020-03-25,16,baRulho
2020-03-26,10,baRulho
2020-03-27,12,baRulho
2020-03-28,20,baRulho
2020-03-29,23,baRulho
2020-03-30,23,baRulho
2020-03-31,20,baRulho
2020-04-01,19,baRulho
2020-04-02,21,baRulho
2020-04-03,16,baRulho
2020-04-04,13,baRulho
2020-04-05,15,baRulho
2020-04-06,23,baRulho
2020-04-07,25,baRulho
