date,count,package
2020-01-01,0,brickr
2020-01-02,0,brickr
2020-01-03,0,brickr
2020-01-04,0,brickr
2020-01-05,0,brickr
2020-01-06,0,brickr
2020-01-07,0,brickr
2020-01-08,0,brickr
2020-01-09,0,brickr
2020-01-10,0,brickr
2020-01-11,0,brickr
2020-01-12,0,brickr
2020-01-13,0,brickr
2020-01-14,0,brickr
2020-01-15,0,brickr
2020-01-16,0,brickr
2020-01-17,0,brickr
2020-01-18,0,brickr
2020-01-19,0,brickr
2020-01-20,0,brickr
2020-01-21,0,brickr
2020-01-22,0,brickr
2020-01-23,0,brickr
2020-01-24,0,brickr
2020-01-25,0,brickr
2020-01-26,0,brickr
2020-01-27,0,brickr
2020-01-28,0,brickr
2020-01-29,0,brickr
2020-01-30,0,brickr
2020-01-31,0,brickr
2020-02-01,0,brickr
2020-02-02,0,brickr
2020-02-03,0,brickr
2020-02-04,0,brickr
2020-02-05,0,brickr
2020-02-06,0,brickr
2020-02-07,0,brickr
2020-02-08,0,brickr
2020-02-09,0,brickr
2020-02-10,0,brickr
2020-02-11,0,brickr
2020-02-12,0,brickr
2020-02-13,0,brickr
2020-02-14,0,brickr
2020-02-15,0,brickr
2020-02-16,0,brickr
2020-02-17,0,brickr
2020-02-18,0,brickr
2020-02-19,0,brickr
2020-02-20,0,brickr
2020-02-21,0,brickr
2020-02-22,0,brickr
2020-02-23,0,brickr
2020-02-24,0,brickr
2020-02-25,0,brickr
2020-02-26,0,brickr
2020-02-27,0,brickr
2020-02-28,0,brickr
2020-02-29,0,brickr
2020-03-01,0,brickr
2020-03-02,0,brickr
2020-03-03,0,brickr
2020-03-04,0,brickr
2020-03-05,0,brickr
2020-03-06,0,brickr
2020-03-07,0,brickr
2020-03-08,0,brickr
2020-03-09,0,brickr
2020-03-10,0,brickr
2020-03-11,0,brickr
2020-03-12,0,brickr
2020-03-13,0,brickr
2020-03-14,0,brickr
2020-03-15,0,brickr
2020-03-16,0,brickr
2020-03-17,0,brickr
2020-03-18,0,brickr
2020-03-19,0,brickr
2020-03-20,0,brickr
2020-03-21,0,brickr
2020-03-22,0,brickr
2020-03-23,0,brickr
2020-03-24,0,brickr
2020-03-25,0,brickr
2020-03-26,0,brickr
2020-03-27,0,brickr
2020-03-28,0,brickr
2020-03-29,0,brickr
2020-03-30,0,brickr
2020-03-31,0,brickr
2020-04-01,0,brickr
2020-04-02,0,brickr
2020-04-03,0,brickr
2020-04-04,0,brickr
2020-04-05,0,brickr
2020-04-06,12,brickr
2020-04-07,27,brickr
2020-04-08,69,brickr
2020-04-09,85,brickr
2020-04-10,40,brickr
2020-04-11,58,brickr
2020-04-12,35,brickr
2020-04-13,31,brickr
2020-04-14,27,brickr
2020-04-15,46,brickr
2020-04-16,21,brickr
2020-04-17,40,brickr
2020-04-18,17,brickr
2020-04-19,13,brickr
2020-04-20,19,brickr
2020-04-21,14,brickr
2020-04-22,51,brickr
2020-04-23,28,brickr
2020-04-24,45,brickr
2020-04-25,49,brickr
2020-04-26,20,brickr
2020-04-27,27,brickr
2020-04-28,28,brickr
2020-04-29,57,brickr
2020-04-30,34,brickr
2020-05-01,44,brickr
2020-05-02,28,brickr
2020-05-03,22,brickr
2020-05-04,24,brickr
2020-05-05,32,brickr
2020-05-06,32,brickr
2020-05-07,34,brickr
2020-05-08,26,brickr
2020-05-09,34,brickr
2020-05-10,59,brickr
2020-05-11,60,brickr
2020-05-12,47,brickr
2020-05-13,57,brickr
2020-05-14,33,brickr
2020-05-15,41,brickr
2020-05-16,34,brickr
2020-05-17,32,brickr
2020-05-18,54,brickr
2020-05-19,34,brickr
2020-05-20,35,brickr
2020-05-21,32,brickr
2020-05-22,24,brickr
2020-05-23,16,brickr
2020-05-24,20,brickr
2020-05-25,25,brickr
2020-05-26,24,brickr
2020-05-27,32,brickr
2020-05-28,36,brickr
2020-05-29,36,brickr
2020-05-30,26,brickr
2020-05-31,23,brickr
2020-06-01,28,brickr
2020-06-02,21,brickr
2020-06-03,26,brickr
2020-06-04,24,brickr
2020-06-05,24,brickr
2020-06-06,23,brickr
2020-06-07,22,brickr
2020-06-08,22,brickr
2020-06-09,24,brickr
2020-06-10,37,brickr
2020-06-11,26,brickr
2020-06-12,32,brickr
2020-06-13,21,brickr
2020-06-14,23,brickr
2020-06-15,19,brickr
2020-06-16,34,brickr
2020-06-17,24,brickr
2020-06-18,38,brickr
2020-06-19,25,brickr
2020-06-20,22,brickr
2020-06-21,22,brickr
2020-06-22,22,brickr
2020-06-23,31,brickr
2020-06-24,32,brickr
2020-06-25,25,brickr
2020-06-26,30,brickr
2020-06-27,20,brickr
2020-06-28,27,brickr
2020-06-29,26,brickr
2020-06-30,16,brickr
2020-07-01,23,brickr
2020-07-02,28,brickr
2020-07-03,27,brickr
2020-07-04,18,brickr
2020-07-05,15,brickr
2020-07-06,22,brickr
2020-07-07,34,brickr
2020-07-08,23,brickr
2020-07-09,18,brickr
2020-07-10,33,brickr
2020-07-11,21,brickr
2020-07-12,21,brickr
