date,count,package
2020-01-01,0,chilemapas
2020-01-02,0,chilemapas
2020-01-03,0,chilemapas
2020-01-04,0,chilemapas
2020-01-05,0,chilemapas
2020-01-06,0,chilemapas
2020-01-07,0,chilemapas
2020-01-08,0,chilemapas
2020-01-09,0,chilemapas
2020-01-10,0,chilemapas
2020-01-11,0,chilemapas
2020-01-12,0,chilemapas
2020-01-13,0,chilemapas
2020-01-14,0,chilemapas
2020-01-15,0,chilemapas
2020-01-16,0,chilemapas
2020-01-17,0,chilemapas
2020-01-18,0,chilemapas
2020-01-19,0,chilemapas
2020-01-20,0,chilemapas
2020-01-21,0,chilemapas
2020-01-22,0,chilemapas
2020-01-23,0,chilemapas
2020-01-24,8,chilemapas
2020-01-25,7,chilemapas
2020-01-26,16,chilemapas
2020-01-27,16,chilemapas
2020-01-28,35,chilemapas
2020-01-29,39,chilemapas
2020-01-30,27,chilemapas
2020-01-31,44,chilemapas
2020-02-01,38,chilemapas
2020-02-02,29,chilemapas
2020-02-03,25,chilemapas
2020-02-04,27,chilemapas
2020-02-05,29,chilemapas
2020-02-06,33,chilemapas
2020-02-07,24,chilemapas
2020-02-08,29,chilemapas
2020-02-09,14,chilemapas
2020-02-10,23,chilemapas
2020-02-11,24,chilemapas
2020-02-12,17,chilemapas
2020-02-13,24,chilemapas
2020-02-14,15,chilemapas
2020-02-15,14,chilemapas
2020-02-16,16,chilemapas
2020-02-17,16,chilemapas
2020-02-18,18,chilemapas
2020-02-19,18,chilemapas
2020-02-20,16,chilemapas
2020-02-21,18,chilemapas
2020-02-22,20,chilemapas
2020-02-23,22,chilemapas
2020-02-24,19,chilemapas
2020-02-25,21,chilemapas
2020-02-26,20,chilemapas
2020-02-27,19,chilemapas
2020-02-28,9,chilemapas
2020-02-29,2,chilemapas
2020-03-01,15,chilemapas
2020-03-02,14,chilemapas
2020-03-03,14,chilemapas
2020-03-04,17,chilemapas
2020-03-05,9,chilemapas
2020-03-06,14,chilemapas
2020-03-07,14,chilemapas
2020-03-08,16,chilemapas
2020-03-09,19,chilemapas
2020-03-10,14,chilemapas
2020-03-11,8,chilemapas
2020-03-12,23,chilemapas
2020-03-13,15,chilemapas
2020-03-14,11,chilemapas
2020-03-15,12,chilemapas
