date,count,package
2020-01-01,0,climatrends
2020-01-02,0,climatrends
2020-01-03,0,climatrends
2020-01-04,0,climatrends
2020-01-05,0,climatrends
2020-01-06,0,climatrends
2020-01-07,0,climatrends
2020-01-08,0,climatrends
2020-01-09,0,climatrends
2020-01-10,0,climatrends
2020-01-11,0,climatrends
2020-01-12,0,climatrends
2020-01-13,0,climatrends
2020-01-14,0,climatrends
2020-01-15,0,climatrends
2020-01-16,0,climatrends
2020-01-17,0,climatrends
2020-01-18,0,climatrends
2020-01-19,0,climatrends
2020-01-20,0,climatrends
2020-01-21,0,climatrends
2020-01-22,0,climatrends
2020-01-23,0,climatrends
2020-01-24,0,climatrends
2020-01-25,0,climatrends
2020-01-26,0,climatrends
2020-01-27,0,climatrends
2020-01-28,0,climatrends
2020-01-29,0,climatrends
2020-01-30,0,climatrends
2020-01-31,0,climatrends
2020-02-01,0,climatrends
2020-02-02,0,climatrends
2020-02-03,0,climatrends
2020-02-04,0,climatrends
2020-02-05,0,climatrends
2020-02-06,0,climatrends
2020-02-07,0,climatrends
2020-02-08,0,climatrends
2020-02-09,0,climatrends
2020-02-10,0,climatrends
2020-02-11,0,climatrends
2020-02-12,0,climatrends
2020-02-13,0,climatrends
2020-02-14,0,climatrends
2020-02-15,0,climatrends
2020-02-16,0,climatrends
2020-02-17,0,climatrends
2020-02-18,0,climatrends
2020-02-19,0,climatrends
2020-02-20,0,climatrends
2020-02-21,0,climatrends
2020-02-22,0,climatrends
2020-02-23,0,climatrends
2020-02-24,0,climatrends
2020-02-25,0,climatrends
2020-02-26,0,climatrends
2020-02-27,0,climatrends
2020-02-28,5,climatrends
2020-02-29,3,climatrends
2020-03-01,25,climatrends
2020-03-02,19,climatrends
2020-03-03,27,climatrends
2020-03-04,33,climatrends
2020-03-05,29,climatrends
2020-03-06,27,climatrends
2020-03-07,33,climatrends
2020-03-08,24,climatrends
2020-03-09,22,climatrends
2020-03-10,22,climatrends
2020-03-11,8,climatrends
2020-03-12,32,climatrends
2020-03-13,29,climatrends
2020-03-14,21,climatrends
2020-03-15,17,climatrends
2020-03-16,42,climatrends
2020-03-17,31,climatrends
2020-03-18,15,climatrends
2020-03-19,15,climatrends
2020-03-20,18,climatrends
2020-03-21,18,climatrends
2020-03-22,10,climatrends
2020-03-23,16,climatrends
2020-03-24,18,climatrends
2020-03-25,14,climatrends
2020-03-26,12,climatrends
2020-03-27,11,climatrends
2020-03-28,18,climatrends
2020-03-29,22,climatrends
2020-03-30,24,climatrends
2020-03-31,20,climatrends
2020-04-01,19,climatrends
2020-04-02,23,climatrends
2020-04-03,18,climatrends
2020-04-04,17,climatrends
2020-04-05,17,climatrends
2020-04-06,20,climatrends
2020-04-07,27,climatrends
2020-04-08,26,climatrends
2020-04-09,21,climatrends
2020-04-10,11,climatrends
2020-04-11,7,climatrends
2020-04-12,14,climatrends
2020-04-13,23,climatrends
2020-04-14,14,climatrends
2020-04-15,27,climatrends
2020-04-16,29,climatrends
2020-04-17,25,climatrends
2020-04-18,5,climatrends
2020-04-19,8,climatrends
2020-04-20,8,climatrends
2020-04-21,23,climatrends
2020-04-22,29,climatrends
2020-04-23,12,climatrends
2020-04-24,22,climatrends
2020-04-25,39,climatrends
2020-04-26,16,climatrends
2020-04-27,26,climatrends
2020-04-28,30,climatrends
2020-04-29,41,climatrends
2020-04-30,25,climatrends
2020-05-01,25,climatrends
2020-05-02,27,climatrends
2020-05-03,22,climatrends
2020-05-04,27,climatrends
2020-05-05,18,climatrends
2020-05-06,29,climatrends
2020-05-07,30,climatrends
2020-05-08,22,climatrends
2020-05-09,30,climatrends
2020-05-10,55,climatrends
2020-05-11,45,climatrends
2020-05-12,24,climatrends
2020-05-13,16,climatrends
2020-05-14,18,climatrends
2020-05-15,18,climatrends
2020-05-16,17,climatrends
2020-05-17,16,climatrends
2020-05-18,27,climatrends
2020-05-19,20,climatrends
2020-05-20,50,climatrends
2020-05-21,27,climatrends
2020-05-22,33,climatrends
2020-05-23,48,climatrends
2020-05-24,36,climatrends
2020-05-25,46,climatrends
2020-05-26,28,climatrends
2020-05-27,55,climatrends
2020-05-28,26,climatrends
2020-05-29,35,climatrends
2020-05-30,30,climatrends
2020-05-31,31,climatrends
2020-06-01,32,climatrends
2020-06-02,29,climatrends
2020-06-03,28,climatrends
2020-06-04,25,climatrends
2020-06-05,27,climatrends
2020-06-06,21,climatrends
2020-06-07,26,climatrends
2020-06-08,26,climatrends
2020-06-09,27,climatrends
2020-06-10,37,climatrends
2020-06-11,26,climatrends
2020-06-12,23,climatrends
2020-06-13,18,climatrends
2020-06-14,22,climatrends
2020-06-15,25,climatrends
2020-06-16,25,climatrends
2020-06-17,23,climatrends
2020-06-18,42,climatrends
2020-06-19,27,climatrends
2020-06-20,18,climatrends
2020-06-21,20,climatrends
2020-06-22,26,climatrends
2020-06-23,25,climatrends
2020-06-24,35,climatrends
2020-06-25,29,climatrends
2020-06-26,20,climatrends
2020-06-27,22,climatrends
2020-06-28,25,climatrends
2020-06-29,23,climatrends
2020-06-30,26,climatrends
2020-07-01,20,climatrends
2020-07-02,35,climatrends
2020-07-03,24,climatrends
2020-07-04,25,climatrends
2020-07-05,15,climatrends
2020-07-06,20,climatrends
2020-07-07,32,climatrends
2020-07-08,21,climatrends
2020-07-09,22,climatrends
2020-07-10,19,climatrends
2020-07-11,21,climatrends
2020-07-12,26,climatrends
2020-07-13,29,climatrends
2020-07-14,22,climatrends
2020-07-15,22,climatrends
2020-07-16,19,climatrends
2020-07-17,16,climatrends
2020-07-18,18,climatrends
2020-07-19,23,climatrends
2020-07-20,26,climatrends
2020-07-21,23,climatrends
2020-07-22,29,climatrends
2020-07-23,17,climatrends
2020-07-24,26,climatrends
2020-07-25,18,climatrends
2020-07-26,21,climatrends
2020-07-27,19,climatrends
2020-07-28,22,climatrends
2020-07-29,18,climatrends
2020-07-30,16,climatrends
2020-07-31,12,climatrends
2020-08-01,7,climatrends
2020-08-02,5,climatrends
2020-08-03,22,climatrends
2020-08-04,23,climatrends
2020-08-05,23,climatrends
2020-08-06,22,climatrends
2020-08-07,26,climatrends
2020-08-08,25,climatrends
2020-08-09,19,climatrends
2020-08-10,26,climatrends
2020-08-11,25,climatrends
2020-08-12,23,climatrends
2020-08-13,25,climatrends
2020-08-14,21,climatrends
2020-08-15,14,climatrends
2020-08-16,13,climatrends
2020-08-17,19,climatrends
2020-08-18,23,climatrends
2020-08-19,23,climatrends
2020-08-20,15,climatrends
2020-08-21,19,climatrends
2020-08-22,9,climatrends
2020-08-23,10,climatrends
2020-08-24,17,climatrends
2020-08-25,16,climatrends
2020-08-26,22,climatrends
2020-08-27,20,climatrends
2020-08-28,13,climatrends
2020-08-29,15,climatrends
2020-08-30,17,climatrends
2020-08-31,17,climatrends
2020-09-01,16,climatrends
2020-09-02,34,climatrends
2020-09-03,19,climatrends
2020-09-04,15,climatrends
2020-09-05,22,climatrends
2020-09-06,20,climatrends
2020-09-07,31,climatrends
2020-09-08,28,climatrends
2020-09-09,30,climatrends
2020-09-10,17,climatrends
2020-09-11,27,climatrends
2020-09-12,27,climatrends
2020-09-13,21,climatrends
2020-09-14,37,climatrends
2020-09-15,25,climatrends
2020-09-16,24,climatrends
2020-09-17,41,climatrends
2020-09-18,38,climatrends
2020-09-19,24,climatrends
2020-09-20,15,climatrends
2020-09-21,33,climatrends
2020-09-22,28,climatrends
2020-09-23,25,climatrends
2020-09-24,15,climatrends
2020-09-25,11,climatrends
2020-09-26,17,climatrends
2020-09-27,17,climatrends
2020-09-28,19,climatrends
2020-09-29,24,climatrends
2020-09-30,23,climatrends
2020-10-01,25,climatrends
2020-10-02,25,climatrends
2020-10-03,20,climatrends
2020-10-04,18,climatrends
2020-10-05,13,climatrends
2020-10-06,14,climatrends
2020-10-07,19,climatrends
2020-10-08,14,climatrends
2020-10-09,13,climatrends
2020-10-10,18,climatrends
2020-10-11,16,climatrends
2020-10-12,14,climatrends
2020-10-13,25,climatrends
2020-10-14,22,climatrends
2020-10-15,15,climatrends
2020-10-16,15,climatrends
2020-10-17,4,climatrends
2020-10-18,11,climatrends
2020-10-19,24,climatrends
2020-10-20,19,climatrends
2020-10-21,23,climatrends
2020-10-22,20,climatrends
2020-10-23,17,climatrends
2020-10-24,19,climatrends
2020-10-25,12,climatrends
2020-10-26,17,climatrends
2020-10-27,19,climatrends
2020-10-28,27,climatrends
2020-10-29,33,climatrends
2020-10-30,15,climatrends
2020-10-31,12,climatrends
2020-11-01,13,climatrends
2020-11-02,12,climatrends
2020-11-03,15,climatrends
2020-11-04,12,climatrends
2020-11-05,26,climatrends
2020-11-06,19,climatrends
2020-11-07,25,climatrends
2020-11-08,14,climatrends
2020-11-09,21,climatrends
2020-11-10,18,climatrends
2020-11-11,28,climatrends
2020-11-12,19,climatrends
2020-11-13,18,climatrends
2020-11-14,13,climatrends
2020-11-15,18,climatrends
2020-11-16,22,climatrends
2020-11-17,20,climatrends
2020-11-18,22,climatrends
2020-11-19,18,climatrends
2020-11-20,16,climatrends
2020-11-21,14,climatrends
2020-11-22,12,climatrends
2020-11-23,14,climatrends
2020-11-24,19,climatrends
2020-11-25,21,climatrends
2020-11-26,10,climatrends
2020-11-27,20,climatrends
2020-11-28,14,climatrends
2020-11-29,14,climatrends
2020-11-30,14,climatrends
2020-12-01,16,climatrends
2020-12-02,22,climatrends
2020-12-03,18,climatrends
2020-12-04,21,climatrends
2020-12-05,14,climatrends
2020-12-06,14,climatrends
2020-12-07,18,climatrends
2020-12-08,15,climatrends
2020-12-09,24,climatrends
2020-12-10,17,climatrends
2020-12-11,19,climatrends
2020-12-12,21,climatrends
2020-12-13,17,climatrends
2020-12-14,18,climatrends
2020-12-15,13,climatrends
2020-12-16,16,climatrends
2020-12-17,50,climatrends
2020-12-18,19,climatrends
2020-12-19,15,climatrends
2020-12-20,12,climatrends
2020-12-21,18,climatrends
2020-12-22,15,climatrends
2020-12-23,19,climatrends
2020-12-24,14,climatrends
2020-12-25,11,climatrends
2020-12-26,12,climatrends
2020-12-27,12,climatrends
2020-12-28,19,climatrends
2020-12-29,17,climatrends
2020-12-30,22,climatrends
2020-12-31,12,climatrends
2021-01-01,13,climatrends
2021-01-02,12,climatrends
2021-01-03,13,climatrends
2021-01-04,14,climatrends
2021-01-05,16,climatrends
2021-01-06,22,climatrends
2021-01-07,16,climatrends
2021-01-08,12,climatrends
2021-01-09,13,climatrends
2021-01-10,15,climatrends
2021-01-11,15,climatrends
2021-01-12,25,climatrends
2021-01-13,21,climatrends
2021-01-14,22,climatrends
2021-01-15,13,climatrends
2021-01-16,7,climatrends
2021-01-17,13,climatrends
2021-01-18,12,climatrends
2021-01-19,19,climatrends
2021-01-20,25,climatrends
2021-01-21,12,climatrends
2021-01-22,6,climatrends
2021-01-23,12,climatrends
2021-01-24,7,climatrends
2021-01-25,24,climatrends
2021-01-26,8,climatrends
2021-01-27,33,climatrends
2021-01-28,8,climatrends
2021-01-29,18,climatrends
2021-01-30,19,climatrends
2021-01-31,15,climatrends
2021-02-01,16,climatrends
2021-02-02,16,climatrends
2021-02-03,18,climatrends
2021-02-04,16,climatrends
2021-02-05,10,climatrends
2021-02-06,18,climatrends
2021-02-07,21,climatrends
2021-02-08,12,climatrends
2021-02-09,22,climatrends
2021-02-10,20,climatrends
2021-02-11,21,climatrends
2021-02-12,19,climatrends
2021-02-13,22,climatrends
2021-02-14,7,climatrends
2021-02-15,17,climatrends
2021-02-16,16,climatrends
2021-02-17,21,climatrends
2021-02-18,18,climatrends
2021-02-19,22,climatrends
2021-02-20,20,climatrends
2021-02-21,18,climatrends
2021-02-22,28,climatrends
2021-02-23,13,climatrends
2021-02-24,35,climatrends
2021-02-25,23,climatrends
2021-02-26,27,climatrends
2021-02-27,17,climatrends
2021-02-28,10,climatrends
2021-03-01,17,climatrends
2021-03-02,19,climatrends
2021-03-03,20,climatrends
2021-03-04,16,climatrends
2021-03-05,15,climatrends
2021-03-06,11,climatrends
2021-03-07,12,climatrends
2021-03-08,25,climatrends
2021-03-09,14,climatrends
2021-03-10,25,climatrends
2021-03-11,20,climatrends
2021-03-12,15,climatrends
2021-03-13,15,climatrends
2021-03-14,11,climatrends
2021-03-15,26,climatrends
2021-03-16,21,climatrends
2021-03-17,25,climatrends
2021-03-18,18,climatrends
2021-03-19,10,climatrends
2021-03-20,11,climatrends
2021-03-21,3,climatrends
2021-03-22,20,climatrends
2021-03-23,7,climatrends
2021-03-24,26,climatrends
2021-03-25,11,climatrends
2021-03-26,15,climatrends
2021-03-27,4,climatrends
2021-03-28,15,climatrends
2021-03-29,9,climatrends
2021-03-30,21,climatrends
2021-03-31,8,climatrends
2021-04-01,14,climatrends
2021-04-02,7,climatrends
2021-04-03,11,climatrends
2021-04-04,7,climatrends
2021-04-05,14,climatrends
2021-04-06,12,climatrends
2021-04-07,27,climatrends
2021-04-08,17,climatrends
2021-04-09,9,climatrends
2021-04-10,18,climatrends
2021-04-11,9,climatrends
2021-04-12,18,climatrends
2021-04-13,14,climatrends
2021-04-14,20,climatrends
2021-04-15,7,climatrends
2021-04-16,16,climatrends
2021-04-17,8,climatrends
2021-04-18,17,climatrends
2021-04-19,13,climatrends
2021-04-20,21,climatrends
2021-04-21,17,climatrends
2021-04-22,26,climatrends
2021-04-23,14,climatrends
2021-04-24,23,climatrends
2021-04-25,3,climatrends
2021-04-26,14,climatrends
2021-04-27,21,climatrends
2021-04-28,20,climatrends
2021-04-29,10,climatrends
2021-04-30,10,climatrends
2021-05-01,16,climatrends
2021-05-02,8,climatrends
2021-05-03,18,climatrends
2021-05-04,25,climatrends
2021-05-05,13,climatrends
2021-05-06,24,climatrends
2021-05-07,5,climatrends
2021-05-08,11,climatrends
2021-05-09,3,climatrends
2021-05-10,19,climatrends
2021-05-11,11,climatrends
2021-05-12,25,climatrends
2021-05-13,12,climatrends
2021-05-14,15,climatrends
2021-05-15,6,climatrends
2021-05-16,16,climatrends
2021-05-17,8,climatrends
2021-05-18,32,climatrends
2021-05-19,21,climatrends
2021-05-20,30,climatrends
2021-05-21,15,climatrends
2021-05-22,15,climatrends
2021-05-23,10,climatrends
2021-05-24,14,climatrends
2021-05-25,24,climatrends
2021-05-26,14,climatrends
2021-05-27,8,climatrends
2021-05-28,15,climatrends
2021-05-29,3,climatrends
2021-05-30,15,climatrends
2021-05-31,10,climatrends
2021-06-01,13,climatrends
2021-06-02,12,climatrends
2021-06-03,13,climatrends
2021-06-04,7,climatrends
2021-06-05,4,climatrends
2021-06-06,12,climatrends
2021-06-07,5,climatrends
2021-06-08,15,climatrends
2021-06-09,10,climatrends
