date,count,package
2020-01-01,0,conflr
2020-01-02,0,conflr
2020-01-03,0,conflr
2020-01-04,0,conflr
2020-01-05,0,conflr
2020-01-06,0,conflr
2020-01-07,0,conflr
2020-01-08,0,conflr
2020-01-09,0,conflr
2020-01-10,0,conflr
2020-01-11,0,conflr
2020-01-12,0,conflr
2020-01-13,0,conflr
2020-01-14,0,conflr
2020-01-15,0,conflr
2020-01-16,0,conflr
2020-01-17,0,conflr
2020-01-18,0,conflr
2020-01-19,0,conflr
2020-01-20,0,conflr
2020-01-21,0,conflr
2020-01-22,0,conflr
2020-01-23,0,conflr
2020-01-24,0,conflr
2020-01-25,0,conflr
2020-01-26,0,conflr
2020-01-27,0,conflr
2020-01-28,0,conflr
2020-01-29,0,conflr
2020-01-30,0,conflr
2020-01-31,0,conflr
2020-02-01,0,conflr
2020-02-02,0,conflr
2020-02-03,0,conflr
2020-02-04,0,conflr
2020-02-05,0,conflr
2020-02-06,0,conflr
2020-02-07,0,conflr
2020-02-08,0,conflr
2020-02-09,0,conflr
2020-02-10,0,conflr
2020-02-11,0,conflr
2020-02-12,0,conflr
2020-02-13,0,conflr
2020-02-14,0,conflr
2020-02-15,0,conflr
2020-02-16,0,conflr
2020-02-17,0,conflr
2020-02-18,0,conflr
2020-02-19,0,conflr
2020-02-20,0,conflr
2020-02-21,0,conflr
2020-02-22,0,conflr
2020-02-23,0,conflr
2020-02-24,0,conflr
2020-02-25,0,conflr
2020-02-26,0,conflr
2020-02-27,0,conflr
2020-02-28,0,conflr
2020-02-29,0,conflr
2020-03-01,0,conflr
2020-03-02,0,conflr
2020-03-03,0,conflr
2020-03-04,0,conflr
2020-03-05,0,conflr
2020-03-06,0,conflr
2020-03-07,0,conflr
2020-03-08,0,conflr
2020-03-09,0,conflr
2020-03-10,0,conflr
2020-03-11,0,conflr
2020-03-12,0,conflr
2020-03-13,0,conflr
2020-03-14,0,conflr
2020-03-15,0,conflr
2020-03-16,7,conflr
2020-03-17,24,conflr
2020-03-18,9,conflr
2020-03-19,22,conflr
2020-03-20,24,conflr
2020-03-21,24,conflr
2020-03-22,24,conflr
2020-03-23,20,conflr
2020-03-24,16,conflr
2020-03-25,27,conflr
2020-03-26,26,conflr
2020-03-27,20,conflr
2020-03-28,19,conflr
2020-03-29,23,conflr
2020-03-30,24,conflr
2020-03-31,21,conflr
2020-04-01,25,conflr
2020-04-02,14,conflr
2020-04-03,23,conflr
2020-04-04,11,conflr
2020-04-05,12,conflr
2020-04-06,14,conflr
2020-04-07,23,conflr
2020-04-08,34,conflr
2020-04-09,23,conflr
2020-04-10,20,conflr
2020-04-11,13,conflr
2020-04-12,21,conflr
2020-04-13,24,conflr
2020-04-14,24,conflr
2020-04-15,38,conflr
2020-04-16,20,conflr
2020-04-17,34,conflr
2020-04-18,7,conflr
2020-04-19,4,conflr
2020-04-20,12,conflr
2020-04-21,20,conflr
2020-04-22,51,conflr
2020-04-23,16,conflr
2020-04-24,35,conflr
2020-04-25,41,conflr
2020-04-26,14,conflr
2020-04-27,32,conflr
2020-04-28,44,conflr
2020-04-29,49,conflr
2020-04-30,36,conflr
2020-05-01,34,conflr
2020-05-02,33,conflr
2020-05-03,23,conflr
2020-05-04,26,conflr
2020-05-05,18,conflr
2020-05-06,35,conflr
2020-05-07,30,conflr
2020-05-08,28,conflr
2020-05-09,28,conflr
2020-05-10,57,conflr
2020-05-11,50,conflr
2020-05-12,19,conflr
2020-05-13,34,conflr
2020-05-14,18,conflr
2020-05-15,25,conflr
2020-05-16,18,conflr
2020-05-17,17,conflr
2020-05-18,32,conflr
2020-05-19,21,conflr
2020-05-20,28,conflr
2020-05-21,19,conflr
2020-05-22,22,conflr
2020-05-23,15,conflr
2020-05-24,18,conflr
2020-05-25,22,conflr
2020-05-26,26,conflr
2020-05-27,27,conflr
2020-05-28,30,conflr
2020-05-29,24,conflr
2020-05-30,18,conflr
2020-05-31,20,conflr
2020-06-01,17,conflr
2020-06-02,20,conflr
2020-06-03,20,conflr
2020-06-04,23,conflr
2020-06-05,21,conflr
2020-06-06,22,conflr
2020-06-07,18,conflr
2020-06-08,21,conflr
2020-06-09,22,conflr
2020-06-10,29,conflr
2020-06-11,33,conflr
2020-06-12,21,conflr
2020-06-13,15,conflr
2020-06-14,20,conflr
2020-06-15,16,conflr
2020-06-16,22,conflr
2020-06-17,22,conflr
2020-06-18,32,conflr
2020-06-19,34,conflr
2020-06-20,13,conflr
2020-06-21,19,conflr
2020-06-22,25,conflr
2020-06-23,25,conflr
2020-06-24,26,conflr
2020-06-25,32,conflr
2020-06-26,21,conflr
2020-06-27,17,conflr
2020-06-28,18,conflr
2020-06-29,19,conflr
2020-06-30,15,conflr
2020-07-01,17,conflr
2020-07-02,26,conflr
2020-07-03,21,conflr
2020-07-04,15,conflr
2020-07-05,11,conflr
2020-07-06,24,conflr
2020-07-07,39,conflr
2020-07-08,30,conflr
2020-07-09,28,conflr
2020-07-10,18,conflr
2020-07-11,17,conflr
2020-07-12,25,conflr
2020-07-13,26,conflr
2020-07-14,22,conflr
2020-07-15,24,conflr
2020-07-16,26,conflr
2020-07-17,22,conflr
2020-07-18,22,conflr
2020-07-19,21,conflr
2020-07-20,19,conflr
2020-07-21,28,conflr
2020-07-22,28,conflr
2020-07-23,30,conflr
2020-07-24,26,conflr
2020-07-25,19,conflr
2020-07-26,19,conflr
2020-07-27,18,conflr
2020-07-28,24,conflr
2020-07-29,18,conflr
2020-07-30,18,conflr
2020-07-31,10,conflr
2020-08-01,14,conflr
2020-08-02,7,conflr
2020-08-03,24,conflr
2020-08-04,28,conflr
2020-08-05,27,conflr
2020-08-06,35,conflr
2020-08-07,29,conflr
2020-08-08,20,conflr
2020-08-09,20,conflr
2020-08-10,27,conflr
2020-08-11,19,conflr
2020-08-12,21,conflr
2020-08-13,24,conflr
2020-08-14,21,conflr
2020-08-15,14,conflr
2020-08-16,15,conflr
2020-08-17,30,conflr
