date,count,package
2020-01-01,0,edina
2020-01-02,0,edina
2020-01-03,0,edina
2020-01-04,0,edina
2020-01-05,0,edina
2020-01-06,0,edina
2020-01-07,0,edina
2020-01-08,0,edina
2020-01-09,0,edina
2020-01-10,0,edina
2020-01-11,0,edina
2020-01-12,0,edina
2020-01-13,0,edina
2020-01-14,0,edina
2020-01-15,0,edina
2020-01-16,0,edina
2020-01-17,0,edina
2020-01-18,0,edina
2020-01-19,0,edina
2020-01-20,0,edina
2020-01-21,0,edina
2020-01-22,0,edina
2020-01-23,0,edina
2020-01-24,0,edina
2020-01-25,0,edina
2020-01-26,0,edina
2020-01-27,0,edina
2020-01-28,0,edina
2020-01-29,0,edina
2020-01-30,0,edina
2020-01-31,0,edina
2020-02-01,0,edina
2020-02-02,0,edina
2020-02-03,0,edina
2020-02-04,0,edina
2020-02-05,0,edina
2020-02-06,0,edina
2020-02-07,0,edina
2020-02-08,0,edina
2020-02-09,0,edina
2020-02-10,0,edina
2020-02-11,0,edina
2020-02-12,0,edina
2020-02-13,0,edina
2020-02-14,0,edina
2020-02-15,0,edina
2020-02-16,0,edina
2020-02-17,0,edina
2020-02-18,0,edina
2020-02-19,0,edina
2020-02-20,0,edina
2020-02-21,0,edina
2020-02-22,0,edina
2020-02-23,0,edina
2020-02-24,0,edina
2020-02-25,0,edina
2020-02-26,0,edina
2020-02-27,0,edina
2020-02-28,0,edina
2020-02-29,0,edina
2020-03-01,0,edina
2020-03-02,0,edina
2020-03-03,0,edina
2020-03-04,0,edina
2020-03-05,0,edina
2020-03-06,0,edina
2020-03-07,0,edina
2020-03-08,0,edina
2020-03-09,0,edina
2020-03-10,0,edina
2020-03-11,0,edina
2020-03-12,0,edina
2020-03-13,0,edina
2020-03-14,0,edina
2020-03-15,0,edina
2020-03-16,0,edina
2020-03-17,0,edina
2020-03-18,0,edina
2020-03-19,0,edina
2020-03-20,0,edina
2020-03-21,0,edina
2020-03-22,0,edina
2020-03-23,7,edina
2020-03-24,19,edina
2020-03-25,37,edina
2020-03-26,28,edina
2020-03-27,15,edina
2020-03-28,19,edina
2020-03-29,34,edina
2020-03-30,30,edina
2020-03-31,26,edina
2020-04-01,31,edina
2020-04-02,11,edina
2020-04-03,25,edina
2020-04-04,23,edina
2020-04-05,27,edina
2020-04-06,26,edina
2020-04-07,30,edina
2020-04-08,30,edina
2020-04-09,26,edina
2020-04-10,11,edina
2020-04-11,7,edina
2020-04-12,12,edina
2020-04-13,11,edina
2020-04-14,10,edina
2020-04-15,22,edina
2020-04-16,15,edina
2020-04-17,20,edina
2020-04-18,5,edina
2020-04-19,10,edina
2020-04-20,6,edina
2020-04-21,6,edina
2020-04-22,29,edina
2020-04-23,8,edina
2020-04-24,13,edina
2020-04-25,30,edina
2020-04-26,11,edina
2020-04-27,13,edina
2020-04-28,20,edina
2020-04-29,31,edina
2020-04-30,16,edina
2020-05-01,20,edina
2020-05-02,21,edina
2020-05-03,19,edina
2020-05-04,15,edina
2020-05-05,14,edina
2020-05-06,25,edina
2020-05-07,22,edina
2020-05-08,14,edina
2020-05-09,22,edina
2020-05-10,51,edina
2020-05-11,43,edina
2020-05-12,14,edina
2020-05-13,14,edina
2020-05-14,12,edina
2020-05-15,12,edina
2020-05-16,14,edina
2020-05-17,12,edina
2020-05-18,21,edina
2020-05-19,17,edina
2020-05-20,20,edina
2020-05-21,10,edina
2020-05-22,14,edina
2020-05-23,8,edina
2020-05-24,10,edina
2020-05-25,11,edina
2020-05-26,14,edina
2020-05-27,21,edina
2020-05-28,12,edina
