date,count,package
2020-01-01,0,errum
2020-01-02,0,errum
2020-01-03,0,errum
2020-01-04,0,errum
2020-01-05,0,errum
2020-01-06,0,errum
2020-01-07,0,errum
2020-01-08,0,errum
2020-01-09,0,errum
2020-01-10,0,errum
2020-01-11,0,errum
2020-01-12,0,errum
2020-01-13,0,errum
2020-01-14,0,errum
2020-01-15,0,errum
2020-01-16,0,errum
2020-01-17,0,errum
2020-01-18,0,errum
2020-01-19,0,errum
2020-01-20,0,errum
2020-01-21,0,errum
2020-01-22,0,errum
2020-01-23,0,errum
2020-01-24,0,errum
2020-01-25,0,errum
2020-01-26,0,errum
2020-01-27,0,errum
2020-01-28,0,errum
2020-01-29,0,errum
2020-01-30,0,errum
2020-01-31,0,errum
2020-02-01,0,errum
2020-02-02,0,errum
2020-02-03,0,errum
2020-02-04,0,errum
2020-02-05,0,errum
2020-02-06,0,errum
2020-02-07,0,errum
2020-02-08,0,errum
2020-02-09,0,errum
2020-02-10,0,errum
2020-02-11,0,errum
2020-02-12,0,errum
2020-02-13,0,errum
2020-02-14,0,errum
2020-02-15,0,errum
2020-02-16,0,errum
2020-02-17,0,errum
2020-02-18,0,errum
2020-02-19,0,errum
2020-02-20,0,errum
2020-02-21,0,errum
2020-02-22,0,errum
2020-02-23,0,errum
2020-02-24,0,errum
2020-02-25,0,errum
2020-02-26,0,errum
2020-02-27,0,errum
2020-02-28,0,errum
2020-02-29,0,errum
2020-03-01,0,errum
2020-03-02,0,errum
2020-03-03,0,errum
2020-03-04,0,errum
2020-03-05,0,errum
2020-03-06,0,errum
2020-03-07,0,errum
2020-03-08,0,errum
2020-03-09,0,errum
2020-03-10,0,errum
2020-03-11,0,errum
2020-03-12,0,errum
2020-03-13,0,errum
2020-03-14,0,errum
2020-03-15,0,errum
2020-03-16,0,errum
2020-03-17,0,errum
2020-03-18,0,errum
2020-03-19,6,errum
2020-03-20,21,errum
2020-03-21,24,errum
2020-03-22,21,errum
2020-03-23,21,errum
2020-03-24,12,errum
2020-03-25,30,errum
2020-03-26,19,errum
2020-03-27,18,errum
2020-03-28,22,errum
2020-03-29,29,errum
2020-03-30,27,errum
2020-03-31,21,errum
2020-04-01,21,errum
2020-04-02,11,errum
2020-04-03,22,errum
2020-04-04,20,errum
2020-04-05,24,errum
2020-04-06,27,errum
2020-04-07,29,errum
2020-04-08,30,errum
2020-04-09,25,errum
2020-04-10,14,errum
2020-04-11,7,errum
2020-04-12,14,errum
2020-04-13,14,errum
2020-04-14,12,errum
2020-04-15,25,errum
2020-04-16,20,errum
2020-04-17,24,errum
2020-04-18,6,errum
2020-04-19,3,errum
2020-04-20,6,errum
2020-04-21,7,errum
2020-04-22,33,errum
2020-04-23,7,errum
2020-04-24,15,errum
2020-04-25,33,errum
2020-04-26,11,errum
2020-04-27,16,errum
2020-04-28,23,errum
2020-04-29,34,errum
2020-04-30,19,errum
2020-05-01,24,errum
2020-05-02,24,errum
2020-05-03,21,errum
2020-05-04,19,errum
2020-05-05,21,errum
2020-05-06,27,errum
2020-05-07,25,errum
2020-05-08,16,errum
2020-05-09,24,errum
2020-05-10,51,errum
2020-05-11,42,errum
2020-05-12,16,errum
2020-05-13,19,errum
2020-05-14,15,errum
2020-05-15,14,errum
2020-05-16,17,errum
2020-05-17,16,errum
2020-05-18,25,errum
2020-05-19,23,errum
2020-05-20,21,errum
2020-05-21,13,errum
2020-05-22,16,errum
2020-05-23,11,errum
2020-05-24,13,errum
2020-05-25,13,errum
2020-05-26,17,errum
2020-05-27,19,errum
2020-05-28,21,errum
2020-05-29,13,errum
2020-05-30,21,errum
2020-05-31,15,errum
2020-06-01,14,errum
2020-06-02,21,errum
2020-06-03,16,errum
2020-06-04,12,errum
2020-06-05,16,errum
2020-06-06,14,errum
2020-06-07,15,errum
2020-06-08,19,errum
2020-06-09,16,errum
2020-06-10,23,errum
2020-06-11,25,errum
2020-06-12,16,errum
2020-06-13,13,errum
2020-06-14,17,errum
2020-06-15,11,errum
2020-06-16,17,errum
2020-06-17,15,errum
2020-06-18,27,errum
2020-06-19,26,errum
2020-06-20,16,errum
2020-06-21,16,errum
2020-06-22,18,errum
2020-06-23,20,errum
2020-06-24,23,errum
2020-06-25,25,errum
2020-06-26,18,errum
2020-06-27,12,errum
2020-06-28,15,errum
2020-06-29,14,errum
2020-06-30,11,errum
2020-07-01,14,errum
2020-07-02,15,errum
2020-07-03,17,errum
2020-07-04,13,errum
2020-07-05,10,errum
2020-07-06,14,errum
2020-07-07,26,errum
2020-07-08,21,errum
2020-07-09,14,errum
2020-07-10,12,errum
2020-07-11,10,errum
2020-07-12,16,errum
2020-07-13,16,errum
2020-07-14,16,errum
2020-07-15,16,errum
2020-07-16,16,errum
2020-07-17,13,errum
2020-07-18,18,errum
2020-07-19,14,errum
2020-07-20,18,errum
2020-07-21,21,errum
2020-07-22,19,errum
2020-07-23,14,errum
2020-07-24,17,errum
2020-07-25,16,errum
2020-07-26,15,errum
2020-07-27,12,errum
2020-07-28,21,errum
2020-07-29,13,errum
2020-07-30,14,errum
2020-07-31,6,errum
2020-08-01,1,errum
2020-08-02,12,errum
2020-08-03,14,errum
2020-08-04,14,errum
2020-08-05,20,errum
2020-08-06,18,errum
2020-08-07,23,errum
2020-08-08,15,errum
2020-08-09,17,errum
2020-08-10,23,errum
2020-08-11,15,errum
2020-08-12,15,errum
2020-08-13,19,errum
2020-08-14,18,errum
2020-08-15,17,errum
2020-08-16,13,errum
2020-08-17,20,errum
2020-08-18,18,errum
2020-08-19,17,errum
2020-08-20,11,errum
2020-08-21,16,errum
2020-08-22,12,errum
2020-08-23,10,errum
2020-08-24,16,errum
2020-08-25,14,errum
2020-08-26,18,errum
2020-08-27,17,errum
2020-08-28,26,errum
2020-08-29,18,errum
2020-08-30,18,errum
2020-08-31,22,errum
2020-09-01,23,errum
2020-09-02,19,errum
2020-09-03,20,errum
2020-09-04,16,errum
2020-09-05,27,errum
2020-09-06,19,errum
2020-09-07,32,errum
2020-09-08,25,errum
2020-09-09,37,errum
2020-09-10,14,errum
2020-09-11,30,errum
2020-09-12,24,errum
2020-09-13,20,errum
2020-09-14,33,errum
2020-09-15,20,errum
2020-09-16,15,errum
2020-09-17,34,errum
2020-09-18,22,errum
2020-09-19,17,errum
2020-09-20,22,errum
2020-09-21,26,errum
2020-09-22,31,errum
2020-09-23,35,errum
2020-09-24,18,errum
2020-09-25,17,errum
2020-09-26,15,errum
2020-09-27,12,errum
2020-09-28,23,errum
2020-09-29,24,errum
2020-09-30,23,errum
2020-10-01,42,errum
2020-10-02,26,errum
2020-10-03,18,errum
2020-10-04,21,errum
2020-10-05,32,errum
2020-10-06,17,errum
2020-10-07,21,errum
2020-10-08,26,errum
2020-10-09,20,errum
2020-10-10,20,errum
2020-10-11,13,errum
2020-10-12,15,errum
2020-10-13,20,errum
2020-10-14,18,errum
2020-10-15,21,errum
2020-10-16,16,errum
2020-10-17,1,errum
2020-10-18,12,errum
