date,count,package
2020-01-01,0,evgam
2020-01-02,0,evgam
2020-01-03,0,evgam
2020-01-04,0,evgam
2020-01-05,0,evgam
2020-01-06,0,evgam
2020-01-07,0,evgam
2020-01-08,0,evgam
2020-01-09,0,evgam
2020-01-10,0,evgam
2020-01-11,0,evgam
2020-01-12,0,evgam
2020-01-13,0,evgam
2020-01-14,0,evgam
2020-01-15,0,evgam
2020-01-16,0,evgam
2020-01-17,0,evgam
2020-01-18,0,evgam
2020-01-19,0,evgam
2020-01-20,0,evgam
2020-01-21,0,evgam
2020-01-22,0,evgam
2020-01-23,0,evgam
2020-01-24,0,evgam
2020-01-25,0,evgam
2020-01-26,0,evgam
2020-01-27,0,evgam
2020-01-28,0,evgam
2020-01-29,0,evgam
2020-01-30,0,evgam
2020-01-31,0,evgam
2020-02-01,0,evgam
2020-02-02,0,evgam
2020-02-03,0,evgam
2020-02-04,0,evgam
2020-02-05,0,evgam
2020-02-06,0,evgam
2020-02-07,0,evgam
2020-02-08,0,evgam
2020-02-09,0,evgam
2020-02-10,0,evgam
2020-02-11,0,evgam
2020-02-12,0,evgam
2020-02-13,0,evgam
2020-02-14,0,evgam
2020-02-15,0,evgam
2020-02-16,0,evgam
2020-02-17,0,evgam
2020-02-18,0,evgam
2020-02-19,0,evgam
2020-02-20,0,evgam
2020-02-21,0,evgam
2020-02-22,0,evgam
2020-02-23,0,evgam
2020-02-24,0,evgam
2020-02-25,0,evgam
2020-02-26,0,evgam
2020-02-27,0,evgam
2020-02-28,0,evgam
2020-02-29,0,evgam
2020-03-01,0,evgam
2020-03-02,0,evgam
2020-03-03,0,evgam
2020-03-04,0,evgam
2020-03-05,0,evgam
2020-03-06,0,evgam
2020-03-07,0,evgam
2020-03-08,4,evgam
2020-03-09,8,evgam
2020-03-10,7,evgam
2020-03-11,8,evgam
2020-03-12,22,evgam
2020-03-13,24,evgam
2020-03-14,16,evgam
2020-03-15,23,evgam
2020-03-16,38,evgam
2020-03-17,24,evgam
2020-03-18,13,evgam
2020-03-19,22,evgam
2020-03-20,29,evgam
2020-03-21,31,evgam
2020-03-22,23,evgam
2020-03-23,28,evgam
2020-03-24,11,evgam
2020-03-25,29,evgam
2020-03-26,25,evgam
2020-03-27,18,evgam
2020-03-28,26,evgam
2020-03-29,34,evgam
2020-03-30,30,evgam
2020-03-31,24,evgam
2020-04-01,21,evgam
2020-04-02,13,evgam
2020-04-03,37,evgam
2020-04-04,14,evgam
2020-04-05,21,evgam
2020-04-06,23,evgam
2020-04-07,26,evgam
2020-04-08,25,evgam
2020-04-09,21,evgam
2020-04-10,9,evgam
2020-04-11,7,evgam
2020-04-12,12,evgam
2020-04-13,11,evgam
2020-04-14,12,evgam
2020-04-15,22,evgam
2020-04-16,15,evgam
2020-04-17,20,evgam
2020-04-18,6,evgam
2020-04-19,20,evgam
2020-04-20,16,evgam
2020-04-21,8,evgam
2020-04-22,68,evgam
2020-04-23,7,evgam
2020-04-24,37,evgam
2020-04-25,51,evgam
2020-04-26,12,evgam
2020-04-27,33,evgam
2020-04-28,44,evgam
2020-04-29,53,evgam
2020-04-30,34,evgam
2020-05-01,35,evgam
2020-05-02,36,evgam
2020-05-03,28,evgam
2020-05-04,25,evgam
2020-05-05,23,evgam
