date,count,package
2020-01-01,0,fdaACF
2020-01-02,0,fdaACF
2020-01-03,0,fdaACF
2020-01-04,0,fdaACF
2020-01-05,0,fdaACF
2020-01-06,0,fdaACF
2020-01-07,0,fdaACF
2020-01-08,0,fdaACF
2020-01-09,0,fdaACF
2020-01-10,0,fdaACF
2020-01-11,0,fdaACF
2020-01-12,0,fdaACF
2020-01-13,0,fdaACF
2020-01-14,0,fdaACF
2020-01-15,0,fdaACF
2020-01-16,0,fdaACF
2020-01-17,0,fdaACF
2020-01-18,0,fdaACF
2020-01-19,0,fdaACF
2020-01-20,0,fdaACF
2020-01-21,0,fdaACF
2020-01-22,0,fdaACF
2020-01-23,0,fdaACF
2020-01-24,5,fdaACF
2020-01-25,16,fdaACF
2020-01-26,17,fdaACF
2020-01-27,19,fdaACF
2020-01-28,37,fdaACF
2020-01-29,36,fdaACF
2020-01-30,27,fdaACF
2020-01-31,30,fdaACF
2020-02-01,25,fdaACF
2020-02-02,21,fdaACF
2020-02-03,15,fdaACF
2020-02-04,19,fdaACF
2020-02-05,21,fdaACF
2020-02-06,24,fdaACF
2020-02-07,14,fdaACF
2020-02-08,21,fdaACF
2020-02-09,9,fdaACF
2020-02-10,18,fdaACF
2020-02-11,11,fdaACF
2020-02-12,14,fdaACF
2020-02-13,14,fdaACF
2020-02-14,12,fdaACF
2020-02-15,10,fdaACF
2020-02-16,12,fdaACF
2020-02-17,10,fdaACF
2020-02-18,17,fdaACF
2020-02-19,17,fdaACF
2020-02-20,12,fdaACF
2020-02-21,13,fdaACF
2020-02-22,10,fdaACF
2020-02-23,19,fdaACF
2020-02-24,14,fdaACF
2020-02-25,13,fdaACF
2020-02-26,23,fdaACF
2020-02-27,13,fdaACF
2020-02-28,15,fdaACF
2020-02-29,7,fdaACF
2020-03-01,16,fdaACF
2020-03-02,8,fdaACF
2020-03-03,15,fdaACF
2020-03-04,22,fdaACF
2020-03-05,18,fdaACF
2020-03-06,13,fdaACF
2020-03-07,15,fdaACF
2020-03-08,17,fdaACF
2020-03-09,16,fdaACF
2020-03-10,13,fdaACF
2020-03-11,7,fdaACF
2020-03-12,16,fdaACF
2020-03-13,14,fdaACF
2020-03-14,16,fdaACF
2020-03-15,11,fdaACF
2020-03-16,19,fdaACF
2020-03-17,17,fdaACF
2020-03-18,6,fdaACF
2020-03-19,12,fdaACF
2020-03-20,14,fdaACF
2020-03-21,16,fdaACF
2020-03-22,9,fdaACF
2020-03-23,16,fdaACF
2020-03-24,12,fdaACF
2020-03-25,18,fdaACF
2020-03-26,11,fdaACF
2020-03-27,16,fdaACF
2020-03-28,8,fdaACF
2020-03-29,26,fdaACF
2020-03-30,21,fdaACF
2020-03-31,17,fdaACF
2020-04-01,14,fdaACF
2020-04-02,13,fdaACF
2020-04-03,20,fdaACF
2020-04-04,9,fdaACF
2020-04-05,17,fdaACF
2020-04-06,19,fdaACF
2020-04-07,22,fdaACF
2020-04-08,21,fdaACF
2020-04-09,23,fdaACF
2020-04-10,12,fdaACF
2020-04-11,7,fdaACF
2020-04-12,13,fdaACF
2020-04-13,13,fdaACF
2020-04-14,10,fdaACF
2020-04-15,30,fdaACF
2020-04-16,13,fdaACF
2020-04-17,23,fdaACF
2020-04-18,17,fdaACF
2020-04-19,4,fdaACF
2020-04-20,11,fdaACF
2020-04-21,9,fdaACF
2020-04-22,28,fdaACF
2020-04-23,8,fdaACF
2020-04-24,18,fdaACF
2020-04-25,34,fdaACF
2020-04-26,15,fdaACF
2020-04-27,23,fdaACF
2020-04-28,37,fdaACF
2020-04-29,30,fdaACF
2020-04-30,27,fdaACF
2020-05-01,29,fdaACF
2020-05-02,28,fdaACF
2020-05-03,25,fdaACF
2020-05-04,24,fdaACF
2020-05-05,22,fdaACF
2020-05-06,28,fdaACF
2020-05-07,27,fdaACF
2020-05-08,23,fdaACF
2020-05-09,27,fdaACF
2020-05-10,58,fdaACF
2020-05-11,56,fdaACF
2020-05-12,19,fdaACF
2020-05-13,21,fdaACF
2020-05-14,19,fdaACF
2020-05-15,18,fdaACF
2020-05-16,19,fdaACF
2020-05-17,25,fdaACF
2020-05-18,30,fdaACF
2020-05-19,36,fdaACF
2020-05-20,21,fdaACF
2020-05-21,12,fdaACF
2020-05-22,19,fdaACF
2020-05-23,16,fdaACF
2020-05-24,17,fdaACF
2020-05-25,16,fdaACF
2020-05-26,32,fdaACF
2020-05-27,23,fdaACF
2020-05-28,18,fdaACF
2020-05-29,15,fdaACF
2020-05-30,20,fdaACF
2020-05-31,24,fdaACF
2020-06-01,18,fdaACF
2020-06-02,25,fdaACF
2020-06-03,19,fdaACF
2020-06-04,15,fdaACF
2020-06-05,21,fdaACF
2020-06-06,21,fdaACF
2020-06-07,18,fdaACF
2020-06-08,30,fdaACF
2020-06-09,18,fdaACF
2020-06-10,22,fdaACF
2020-06-11,22,fdaACF
2020-06-12,18,fdaACF
2020-06-13,18,fdaACF
2020-06-14,23,fdaACF
2020-06-15,13,fdaACF
2020-06-16,21,fdaACF
2020-06-17,26,fdaACF
2020-06-18,29,fdaACF
2020-06-19,23,fdaACF
2020-06-20,27,fdaACF
2020-06-21,17,fdaACF
2020-06-22,18,fdaACF
2020-06-23,26,fdaACF
2020-06-24,16,fdaACF
2020-06-25,22,fdaACF
2020-06-26,21,fdaACF
2020-06-27,13,fdaACF
2020-06-28,18,fdaACF
2020-06-29,21,fdaACF
2020-06-30,13,fdaACF
2020-07-01,15,fdaACF
2020-07-02,21,fdaACF
2020-07-03,26,fdaACF
2020-07-04,16,fdaACF
2020-07-05,19,fdaACF
2020-07-06,14,fdaACF
2020-07-07,23,fdaACF
2020-07-08,15,fdaACF
2020-07-09,19,fdaACF
2020-07-10,15,fdaACF
2020-07-11,10,fdaACF
2020-07-12,16,fdaACF
2020-07-13,19,fdaACF
2020-07-14,19,fdaACF
2020-07-15,20,fdaACF
2020-07-16,21,fdaACF
2020-07-17,14,fdaACF
2020-07-18,24,fdaACF
2020-07-19,21,fdaACF
2020-07-20,20,fdaACF
2020-07-21,21,fdaACF
2020-07-22,20,fdaACF
2020-07-23,18,fdaACF
2020-07-24,16,fdaACF
2020-07-25,18,fdaACF
2020-07-26,18,fdaACF
2020-07-27,16,fdaACF
2020-07-28,18,fdaACF
2020-07-29,15,fdaACF
2020-07-30,11,fdaACF
2020-07-31,7,fdaACF
2020-08-01,4,fdaACF
2020-08-02,6,fdaACF
2020-08-03,16,fdaACF
2020-08-04,16,fdaACF
2020-08-05,19,fdaACF
2020-08-06,22,fdaACF
2020-08-07,25,fdaACF
2020-08-08,23,fdaACF
2020-08-09,19,fdaACF
2020-08-10,33,fdaACF
2020-08-11,36,fdaACF
2020-08-12,63,fdaACF
2020-08-13,41,fdaACF
2020-08-14,36,fdaACF
2020-08-15,29,fdaACF
2020-08-16,30,fdaACF
2020-08-17,32,fdaACF
2020-08-18,50,fdaACF
2020-08-19,38,fdaACF
2020-08-20,41,fdaACF
2020-08-21,33,fdaACF
2020-08-22,29,fdaACF
2020-08-23,23,fdaACF
2020-08-24,28,fdaACF
2020-08-25,25,fdaACF
2020-08-26,29,fdaACF
2020-08-27,29,fdaACF
2020-08-28,22,fdaACF
2020-08-29,25,fdaACF
2020-08-30,16,fdaACF
2020-08-31,24,fdaACF
2020-09-01,24,fdaACF
2020-09-02,30,fdaACF
2020-09-03,20,fdaACF
2020-09-04,28,fdaACF
2020-09-05,25,fdaACF
2020-09-06,25,fdaACF
2020-09-07,31,fdaACF
2020-09-08,34,fdaACF
2020-09-09,37,fdaACF
2020-09-10,22,fdaACF
2020-09-11,31,fdaACF
