date,count,package
2020-01-01,0,graphsim
2020-01-02,0,graphsim
2020-01-03,0,graphsim
2020-01-04,0,graphsim
2020-01-05,0,graphsim
2020-01-06,0,graphsim
2020-01-07,0,graphsim
2020-01-08,0,graphsim
2020-01-09,0,graphsim
2020-01-10,0,graphsim
2020-01-11,0,graphsim
2020-01-12,0,graphsim
2020-01-13,0,graphsim
2020-01-14,0,graphsim
2020-01-15,0,graphsim
2020-01-16,0,graphsim
2020-01-17,0,graphsim
2020-01-18,0,graphsim
2020-01-19,0,graphsim
2020-01-20,0,graphsim
2020-01-21,0,graphsim
2020-01-22,0,graphsim
2020-01-23,0,graphsim
2020-01-24,0,graphsim
2020-01-25,0,graphsim
2020-01-26,0,graphsim
2020-01-27,0,graphsim
2020-01-28,0,graphsim
2020-01-29,0,graphsim
2020-01-30,0,graphsim
2020-01-31,0,graphsim
2020-02-01,0,graphsim
2020-02-02,0,graphsim
2020-02-03,0,graphsim
2020-02-04,0,graphsim
2020-02-05,0,graphsim
2020-02-06,0,graphsim
2020-02-07,0,graphsim
2020-02-08,0,graphsim
2020-02-09,0,graphsim
2020-02-10,0,graphsim
2020-02-11,0,graphsim
2020-02-12,0,graphsim
2020-02-13,0,graphsim
2020-02-14,0,graphsim
2020-02-15,0,graphsim
2020-02-16,0,graphsim
2020-02-17,0,graphsim
2020-02-18,0,graphsim
2020-02-19,0,graphsim
2020-02-20,0,graphsim
2020-02-21,0,graphsim
2020-02-22,0,graphsim
2020-02-23,0,graphsim
2020-02-24,0,graphsim
2020-02-25,0,graphsim
2020-02-26,0,graphsim
2020-02-27,0,graphsim
2020-02-28,0,graphsim
2020-02-29,0,graphsim
2020-03-01,0,graphsim
2020-03-02,0,graphsim
2020-03-03,0,graphsim
2020-03-04,0,graphsim
2020-03-05,0,graphsim
2020-03-06,0,graphsim
2020-03-07,0,graphsim
2020-03-08,0,graphsim
2020-03-09,0,graphsim
2020-03-10,0,graphsim
2020-03-11,0,graphsim
2020-03-12,0,graphsim
2020-03-13,0,graphsim
2020-03-14,0,graphsim
2020-03-15,0,graphsim
2020-03-16,4,graphsim
2020-03-17,12,graphsim
2020-03-18,12,graphsim
2020-03-19,30,graphsim
2020-03-20,25,graphsim
2020-03-21,21,graphsim
2020-03-22,21,graphsim
2020-03-23,26,graphsim
2020-03-24,12,graphsim
2020-03-25,33,graphsim
2020-03-26,24,graphsim
2020-03-27,20,graphsim
2020-03-28,25,graphsim
2020-03-29,30,graphsim
2020-03-30,32,graphsim
2020-03-31,26,graphsim
2020-04-01,14,graphsim
2020-04-02,12,graphsim
2020-04-03,23,graphsim
2020-04-04,15,graphsim
2020-04-05,21,graphsim
2020-04-06,21,graphsim
2020-04-07,25,graphsim
2020-04-08,22,graphsim
2020-04-09,17,graphsim
2020-04-10,9,graphsim
2020-04-11,6,graphsim
2020-04-12,11,graphsim
2020-04-13,10,graphsim
2020-04-14,11,graphsim
2020-04-15,22,graphsim
2020-04-16,15,graphsim
2020-04-17,28,graphsim
2020-04-18,6,graphsim
2020-04-19,3,graphsim
2020-04-20,8,graphsim
2020-04-21,8,graphsim
2020-04-22,26,graphsim
2020-04-23,8,graphsim
2020-04-24,17,graphsim
2020-04-25,28,graphsim
2020-04-26,13,graphsim
2020-04-27,18,graphsim
2020-04-28,23,graphsim
2020-04-29,36,graphsim
2020-04-30,29,graphsim
2020-05-01,25,graphsim
2020-05-02,24,graphsim
2020-05-03,23,graphsim
2020-05-04,22,graphsim
2020-05-05,18,graphsim
2020-05-06,25,graphsim
2020-05-07,27,graphsim
2020-05-08,20,graphsim
2020-05-09,25,graphsim
2020-05-10,53,graphsim
2020-05-11,41,graphsim
2020-05-12,18,graphsim
2020-05-13,15,graphsim
2020-05-14,18,graphsim
2020-05-15,18,graphsim
2020-05-16,16,graphsim
2020-05-17,16,graphsim
2020-05-18,25,graphsim
2020-05-19,20,graphsim
2020-05-20,21,graphsim
2020-05-21,13,graphsim
2020-05-22,15,graphsim
2020-05-23,11,graphsim
2020-05-24,13,graphsim
2020-05-25,14,graphsim
2020-05-26,17,graphsim
2020-05-27,15,graphsim
2020-05-28,25,graphsim
2020-05-29,21,graphsim
2020-05-30,14,graphsim
2020-05-31,15,graphsim
2020-06-01,16,graphsim
2020-06-02,18,graphsim
2020-06-03,15,graphsim
2020-06-04,14,graphsim
2020-06-05,19,graphsim
2020-06-06,14,graphsim
2020-06-07,23,graphsim
2020-06-08,20,graphsim
2020-06-09,15,graphsim
2020-06-10,20,graphsim
2020-06-11,26,graphsim
2020-06-12,14,graphsim
2020-06-13,15,graphsim
2020-06-14,20,graphsim
2020-06-15,13,graphsim
2020-06-16,17,graphsim
2020-06-17,19,graphsim
2020-06-18,28,graphsim
2020-06-19,17,graphsim
2020-06-20,13,graphsim
2020-06-21,20,graphsim
2020-06-22,17,graphsim
2020-06-23,22,graphsim
2020-06-24,15,graphsim
2020-06-25,30,graphsim
2020-06-26,17,graphsim
2020-06-27,12,graphsim
2020-06-28,17,graphsim
2020-06-29,15,graphsim
2020-06-30,13,graphsim
2020-07-01,14,graphsim
2020-07-02,41,graphsim
2020-07-03,20,graphsim
