date,count,package
2020-01-01,0,gsbm
2020-01-02,0,gsbm
2020-01-03,0,gsbm
2020-01-04,0,gsbm
2020-01-05,0,gsbm
2020-01-06,0,gsbm
2020-01-07,0,gsbm
2020-01-08,0,gsbm
2020-01-09,0,gsbm
2020-01-10,0,gsbm
2020-01-11,0,gsbm
2020-01-12,0,gsbm
2020-01-13,0,gsbm
2020-01-14,0,gsbm
2020-01-15,0,gsbm
2020-01-16,0,gsbm
2020-01-17,0,gsbm
2020-01-18,0,gsbm
2020-01-19,0,gsbm
2020-01-20,0,gsbm
2020-01-21,0,gsbm
2020-01-22,0,gsbm
2020-01-23,0,gsbm
2020-01-24,0,gsbm
2020-01-25,0,gsbm
2020-01-26,0,gsbm
2020-01-27,0,gsbm
2020-01-28,0,gsbm
2020-01-29,0,gsbm
2020-01-30,0,gsbm
2020-01-31,0,gsbm
2020-02-01,0,gsbm
2020-02-02,0,gsbm
2020-02-03,0,gsbm
2020-02-04,0,gsbm
2020-02-05,0,gsbm
2020-02-06,0,gsbm
2020-02-07,0,gsbm
2020-02-08,0,gsbm
2020-02-09,0,gsbm
2020-02-10,0,gsbm
2020-02-11,0,gsbm
2020-02-12,0,gsbm
2020-02-13,0,gsbm
2020-02-14,0,gsbm
2020-02-15,0,gsbm
2020-02-16,0,gsbm
2020-02-17,0,gsbm
2020-02-18,0,gsbm
2020-02-19,0,gsbm
2020-02-20,0,gsbm
2020-02-21,0,gsbm
2020-02-22,0,gsbm
2020-02-23,0,gsbm
2020-02-24,0,gsbm
2020-02-25,0,gsbm
2020-02-26,0,gsbm
2020-02-27,0,gsbm
2020-02-28,5,gsbm
2020-02-29,2,gsbm
2020-03-01,24,gsbm
2020-03-02,19,gsbm
2020-03-03,27,gsbm
2020-03-04,28,gsbm
2020-03-05,21,gsbm
2020-03-06,31,gsbm
2020-03-07,23,gsbm
2020-03-08,22,gsbm
2020-03-09,20,gsbm
2020-03-10,18,gsbm
2020-03-11,5,gsbm
2020-03-12,32,gsbm
2020-03-13,19,gsbm
2020-03-14,18,gsbm
2020-03-15,22,gsbm
2020-03-16,24,gsbm
2020-03-17,15,gsbm
2020-03-18,5,gsbm
2020-03-19,12,gsbm
2020-03-20,12,gsbm
2020-03-21,13,gsbm
2020-03-22,9,gsbm
2020-03-23,12,gsbm
2020-03-24,26,gsbm
2020-03-25,13,gsbm
2020-03-26,8,gsbm
2020-03-27,7,gsbm
2020-03-28,8,gsbm
2020-03-29,19,gsbm
2020-03-30,18,gsbm
2020-03-31,16,gsbm
2020-04-01,12,gsbm
2020-04-02,12,gsbm
2020-04-03,14,gsbm
2020-04-04,9,gsbm
2020-04-05,15,gsbm
2020-04-06,18,gsbm
2020-04-07,20,gsbm
2020-04-08,19,gsbm
2020-04-09,17,gsbm
2020-04-10,9,gsbm
2020-04-11,6,gsbm
2020-04-12,11,gsbm
2020-04-13,10,gsbm
2020-04-14,11,gsbm
2020-04-15,27,gsbm
2020-04-16,22,gsbm
2020-04-17,20,gsbm
2020-04-18,6,gsbm
2020-04-19,3,gsbm
2020-04-20,7,gsbm
2020-04-21,7,gsbm
2020-04-22,27,gsbm
2020-04-23,6,gsbm
2020-04-24,15,gsbm
2020-04-25,28,gsbm
2020-04-26,13,gsbm
2020-04-27,16,gsbm
2020-04-28,22,gsbm
2020-04-29,32,gsbm
2020-04-30,19,gsbm
2020-05-01,23,gsbm
2020-05-02,24,gsbm
2020-05-03,21,gsbm
2020-05-04,20,gsbm
2020-05-05,16,gsbm
2020-05-06,24,gsbm
2020-05-07,27,gsbm
2020-05-08,18,gsbm
2020-05-09,25,gsbm
2020-05-10,51,gsbm
2020-05-11,41,gsbm
2020-05-12,18,gsbm
2020-05-13,16,gsbm
2020-05-14,15,gsbm
2020-05-15,14,gsbm
2020-05-16,16,gsbm
2020-05-17,17,gsbm
2020-05-18,25,gsbm
2020-05-19,19,gsbm
2020-05-20,16,gsbm
2020-05-21,12,gsbm
2020-05-22,15,gsbm
2020-05-23,14,gsbm
2020-05-24,16,gsbm
2020-05-25,14,gsbm
2020-05-26,23,gsbm
2020-05-27,22,gsbm
2020-05-28,15,gsbm
2020-05-29,12,gsbm
2020-05-30,15,gsbm
2020-05-31,15,gsbm
2020-06-01,13,gsbm
2020-06-02,16,gsbm
2020-06-03,14,gsbm
2020-06-04,12,gsbm
2020-06-05,20,gsbm
2020-06-06,14,gsbm
2020-06-07,14,gsbm
2020-06-08,19,gsbm
2020-06-09,20,gsbm
2020-06-10,21,gsbm
2020-06-11,19,gsbm
2020-06-12,13,gsbm
2020-06-13,13,gsbm
2020-06-14,16,gsbm
2020-06-15,18,gsbm
2020-06-16,17,gsbm
2020-06-17,12,gsbm
2020-06-18,28,gsbm
2020-06-19,17,gsbm
2020-06-20,13,gsbm
2020-06-21,24,gsbm
2020-06-22,17,gsbm
2020-06-23,20,gsbm
2020-06-24,15,gsbm
2020-06-25,16,gsbm
2020-06-26,17,gsbm
2020-06-27,12,gsbm
2020-06-28,15,gsbm
2020-06-29,15,gsbm
2020-06-30,11,gsbm
2020-07-01,14,gsbm
2020-07-02,15,gsbm
2020-07-03,24,gsbm
2020-07-04,17,gsbm
2020-07-05,10,gsbm
2020-07-06,14,gsbm
2020-07-07,24,gsbm
2020-07-08,11,gsbm
2020-07-09,19,gsbm
2020-07-10,24,gsbm
2020-07-11,27,gsbm
2020-07-12,44,gsbm
2020-07-13,38,gsbm
2020-07-14,37,gsbm
2020-07-15,36,gsbm
2020-07-16,30,gsbm
2020-07-17,31,gsbm
2020-07-18,29,gsbm
2020-07-19,31,gsbm
2020-07-20,26,gsbm
2020-07-21,30,gsbm
2020-07-22,32,gsbm
2020-07-23,24,gsbm
2020-07-24,21,gsbm
2020-07-25,23,gsbm
2020-07-26,21,gsbm
2020-07-27,16,gsbm
