date,count,package
2020-01-01,0,hrcomprisk
2020-01-02,0,hrcomprisk
2020-01-03,0,hrcomprisk
2020-01-04,0,hrcomprisk
2020-01-05,0,hrcomprisk
2020-01-06,0,hrcomprisk
2020-01-07,0,hrcomprisk
2020-01-08,0,hrcomprisk
2020-01-09,0,hrcomprisk
2020-01-10,0,hrcomprisk
2020-01-11,0,hrcomprisk
2020-01-12,0,hrcomprisk
2020-01-13,3,hrcomprisk
2020-01-14,6,hrcomprisk
2020-01-15,32,hrcomprisk
2020-01-16,42,hrcomprisk
2020-01-17,32,hrcomprisk
2020-01-18,22,hrcomprisk
2020-01-19,27,hrcomprisk
2020-01-20,28,hrcomprisk
2020-01-21,28,hrcomprisk
2020-01-22,36,hrcomprisk
2020-01-23,29,hrcomprisk
2020-01-24,26,hrcomprisk
2020-01-25,25,hrcomprisk
2020-01-26,26,hrcomprisk
2020-01-27,36,hrcomprisk
2020-01-28,37,hrcomprisk
2020-01-29,36,hrcomprisk
2020-01-30,30,hrcomprisk
2020-01-31,25,hrcomprisk
2020-02-01,25,hrcomprisk
2020-02-02,17,hrcomprisk
2020-02-03,12,hrcomprisk
2020-02-04,17,hrcomprisk
2020-02-05,23,hrcomprisk
2020-02-06,22,hrcomprisk
2020-02-07,13,hrcomprisk
2020-02-08,21,hrcomprisk
2020-02-09,9,hrcomprisk
2020-02-10,10,hrcomprisk
2020-02-11,11,hrcomprisk
2020-02-12,17,hrcomprisk
2020-02-13,12,hrcomprisk
2020-02-14,15,hrcomprisk
2020-02-15,17,hrcomprisk
2020-02-16,12,hrcomprisk
2020-02-17,9,hrcomprisk
2020-02-18,10,hrcomprisk
2020-02-19,16,hrcomprisk
2020-02-20,13,hrcomprisk
2020-02-21,12,hrcomprisk
2020-02-22,9,hrcomprisk
2020-02-23,14,hrcomprisk
2020-02-24,13,hrcomprisk
2020-02-25,17,hrcomprisk
2020-02-26,15,hrcomprisk
2020-02-27,13,hrcomprisk
2020-02-28,10,hrcomprisk
2020-02-29,2,hrcomprisk
2020-03-01,16,hrcomprisk
2020-03-02,7,hrcomprisk
2020-03-03,13,hrcomprisk
2020-03-04,21,hrcomprisk
2020-03-05,10,hrcomprisk
2020-03-06,15,hrcomprisk
2020-03-07,13,hrcomprisk
2020-03-08,15,hrcomprisk
2020-03-09,14,hrcomprisk
2020-03-10,13,hrcomprisk
2020-03-11,7,hrcomprisk
2020-03-12,18,hrcomprisk
2020-03-13,10,hrcomprisk
2020-03-14,8,hrcomprisk
2020-03-15,9,hrcomprisk
2020-03-16,14,hrcomprisk
2020-03-17,18,hrcomprisk
2020-03-18,5,hrcomprisk
2020-03-19,10,hrcomprisk
2020-03-20,11,hrcomprisk
2020-03-21,13,hrcomprisk
2020-03-22,9,hrcomprisk
2020-03-23,12,hrcomprisk
2020-03-24,6,hrcomprisk
2020-03-25,22,hrcomprisk
2020-03-26,8,hrcomprisk
2020-03-27,5,hrcomprisk
2020-03-28,9,hrcomprisk
2020-03-29,18,hrcomprisk
2020-03-30,18,hrcomprisk
2020-03-31,16,hrcomprisk
2020-04-01,15,hrcomprisk
2020-04-02,12,hrcomprisk
2020-04-03,14,hrcomprisk
2020-04-04,8,hrcomprisk
2020-04-05,15,hrcomprisk
2020-04-06,17,hrcomprisk
2020-04-07,21,hrcomprisk
2020-04-08,21,hrcomprisk
2020-04-09,17,hrcomprisk
2020-04-10,10,hrcomprisk
2020-04-11,7,hrcomprisk
2020-04-12,11,hrcomprisk
2020-04-13,10,hrcomprisk
2020-04-14,11,hrcomprisk
2020-04-15,29,hrcomprisk
2020-04-16,10,hrcomprisk
2020-04-17,20,hrcomprisk
2020-04-18,13,hrcomprisk
2020-04-19,3,hrcomprisk
2020-04-20,8,hrcomprisk
2020-04-21,7,hrcomprisk
2020-04-22,28,hrcomprisk
2020-04-23,8,hrcomprisk
2020-04-24,16,hrcomprisk
2020-04-25,28,hrcomprisk
2020-04-26,12,hrcomprisk
2020-04-27,16,hrcomprisk
2020-04-28,22,hrcomprisk
2020-04-29,34,hrcomprisk
2020-04-30,23,hrcomprisk
2020-05-01,23,hrcomprisk
2020-05-02,24,hrcomprisk
2020-05-03,21,hrcomprisk
2020-05-04,20,hrcomprisk
2020-05-05,16,hrcomprisk
2020-05-06,30,hrcomprisk
2020-05-07,25,hrcomprisk
2020-05-08,17,hrcomprisk
2020-05-09,26,hrcomprisk
2020-05-10,54,hrcomprisk
2020-05-11,41,hrcomprisk
2020-05-12,17,hrcomprisk
2020-05-13,17,hrcomprisk
2020-05-14,19,hrcomprisk
2020-05-15,16,hrcomprisk
2020-05-16,17,hrcomprisk
2020-05-17,15,hrcomprisk
2020-05-18,24,hrcomprisk
2020-05-19,21,hrcomprisk
2020-05-20,19,hrcomprisk
2020-05-21,12,hrcomprisk
2020-05-22,15,hrcomprisk
2020-05-23,12,hrcomprisk
2020-05-24,14,hrcomprisk
2020-05-25,13,hrcomprisk
2020-05-26,17,hrcomprisk
2020-05-27,18,hrcomprisk
2020-05-28,17,hrcomprisk
2020-05-29,18,hrcomprisk
2020-05-30,15,hrcomprisk
2020-05-31,21,hrcomprisk
2020-06-01,16,hrcomprisk
2020-06-02,17,hrcomprisk
2020-06-03,16,hrcomprisk
2020-06-04,14,hrcomprisk
2020-06-05,15,hrcomprisk
2020-06-06,14,hrcomprisk
2020-06-07,16,hrcomprisk
2020-06-08,20,hrcomprisk
2020-06-09,14,hrcomprisk
2020-06-10,22,hrcomprisk
2020-06-11,24,hrcomprisk
2020-06-12,13,hrcomprisk
2020-06-13,14,hrcomprisk
2020-06-14,12,hrcomprisk
2020-06-15,16,hrcomprisk
2020-06-16,17,hrcomprisk
2020-06-17,13,hrcomprisk
2020-06-18,27,hrcomprisk
2020-06-19,23,hrcomprisk
2020-06-20,13,hrcomprisk
2020-06-21,18,hrcomprisk
2020-06-22,16,hrcomprisk
2020-06-23,20,hrcomprisk
2020-06-24,28,hrcomprisk
2020-06-25,18,hrcomprisk
2020-06-26,16,hrcomprisk
2020-06-27,13,hrcomprisk
2020-06-28,18,hrcomprisk
2020-06-29,14,hrcomprisk
2020-06-30,13,hrcomprisk
2020-07-01,14,hrcomprisk
2020-07-02,15,hrcomprisk
2020-07-03,18,hrcomprisk
2020-07-04,12,hrcomprisk
2020-07-05,11,hrcomprisk
2020-07-06,19,hrcomprisk
2020-07-07,23,hrcomprisk
2020-07-08,20,hrcomprisk
2020-07-09,13,hrcomprisk
2020-07-10,12,hrcomprisk
2020-07-11,10,hrcomprisk
2020-07-12,15,hrcomprisk
2020-07-13,15,hrcomprisk
2020-07-14,16,hrcomprisk
2020-07-15,18,hrcomprisk
2020-07-16,15,hrcomprisk
2020-07-17,12,hrcomprisk
2020-07-18,18,hrcomprisk
2020-07-19,20,hrcomprisk
2020-07-20,12,hrcomprisk
2020-07-21,20,hrcomprisk
2020-07-22,20,hrcomprisk
2020-07-23,12,hrcomprisk
2020-07-24,13,hrcomprisk
2020-07-25,23,hrcomprisk
2020-07-26,21,hrcomprisk
2020-07-27,11,hrcomprisk
2020-07-28,14,hrcomprisk
2020-07-29,10,hrcomprisk
2020-07-30,10,hrcomprisk
2020-07-31,3,hrcomprisk
2020-08-01,7,hrcomprisk
2020-08-02,5,hrcomprisk
2020-08-03,14,hrcomprisk
2020-08-04,16,hrcomprisk
2020-08-05,21,hrcomprisk
2020-08-06,18,hrcomprisk
2020-08-07,22,hrcomprisk
2020-08-08,14,hrcomprisk
2020-08-09,16,hrcomprisk
2020-08-10,22,hrcomprisk
2020-08-11,15,hrcomprisk
2020-08-12,15,hrcomprisk
2020-08-13,24,hrcomprisk
2020-08-14,21,hrcomprisk
2020-08-15,11,hrcomprisk
2020-08-16,10,hrcomprisk
2020-08-17,15,hrcomprisk
2020-08-18,18,hrcomprisk
2020-08-19,18,hrcomprisk
2020-08-20,12,hrcomprisk
2020-08-21,16,hrcomprisk
2020-08-22,9,hrcomprisk
2020-08-23,10,hrcomprisk
2020-08-24,14,hrcomprisk
2020-08-25,14,hrcomprisk
2020-08-26,16,hrcomprisk
2020-08-27,21,hrcomprisk
2020-08-28,13,hrcomprisk
2020-08-29,14,hrcomprisk
2020-08-30,12,hrcomprisk
2020-08-31,15,hrcomprisk
2020-09-01,24,hrcomprisk
2020-09-02,18,hrcomprisk
2020-09-03,17,hrcomprisk
2020-09-04,14,hrcomprisk
2020-09-05,18,hrcomprisk
2020-09-06,18,hrcomprisk
2020-09-07,17,hrcomprisk
2020-09-08,28,hrcomprisk
2020-09-09,25,hrcomprisk
2020-09-10,14,hrcomprisk
2020-09-11,23,hrcomprisk
2020-09-12,24,hrcomprisk
2020-09-13,20,hrcomprisk
2020-09-14,30,hrcomprisk
2020-09-15,22,hrcomprisk
2020-09-16,14,hrcomprisk
2020-09-17,30,hrcomprisk
2020-09-18,24,hrcomprisk
2020-09-19,20,hrcomprisk
2020-09-20,19,hrcomprisk
2020-09-21,25,hrcomprisk
2020-09-22,23,hrcomprisk
2020-09-23,20,hrcomprisk
2020-09-24,7,hrcomprisk
2020-09-25,10,hrcomprisk
2020-09-26,12,hrcomprisk
2020-09-27,13,hrcomprisk
2020-09-28,20,hrcomprisk
2020-09-29,21,hrcomprisk
2020-09-30,18,hrcomprisk
2020-10-01,18,hrcomprisk
2020-10-02,19,hrcomprisk
2020-10-03,22,hrcomprisk
2020-10-04,18,hrcomprisk
2020-10-05,13,hrcomprisk
2020-10-06,13,hrcomprisk
2020-10-07,12,hrcomprisk
2020-10-08,12,hrcomprisk
2020-10-09,16,hrcomprisk
2020-10-10,21,hrcomprisk
2020-10-11,11,hrcomprisk
2020-10-12,15,hrcomprisk
2020-10-13,14,hrcomprisk
2020-10-14,17,hrcomprisk
2020-10-15,13,hrcomprisk
2020-10-16,13,hrcomprisk
2020-10-17,4,hrcomprisk
2020-10-18,11,hrcomprisk
2020-10-19,17,hrcomprisk
2020-10-20,17,hrcomprisk
2020-10-21,16,hrcomprisk
2020-10-22,16,hrcomprisk
2020-10-23,15,hrcomprisk
2020-10-24,18,hrcomprisk
2020-10-25,10,hrcomprisk
2020-10-26,14,hrcomprisk
2020-10-27,14,hrcomprisk
2020-10-28,18,hrcomprisk
2020-10-29,28,hrcomprisk
2020-10-30,13,hrcomprisk
2020-10-31,15,hrcomprisk
2020-11-01,9,hrcomprisk
2020-11-02,9,hrcomprisk
2020-11-03,16,hrcomprisk
2020-11-04,8,hrcomprisk
2020-11-05,21,hrcomprisk
2020-11-06,15,hrcomprisk
2020-11-07,22,hrcomprisk
2020-11-08,13,hrcomprisk
2020-11-09,19,hrcomprisk
2020-11-10,16,hrcomprisk
2020-11-11,23,hrcomprisk
2020-11-12,17,hrcomprisk
2020-11-13,17,hrcomprisk
2020-11-14,8,hrcomprisk
2020-11-15,12,hrcomprisk
2020-11-16,13,hrcomprisk
2020-11-17,18,hrcomprisk
2020-11-18,18,hrcomprisk
2020-11-19,15,hrcomprisk
2020-11-20,12,hrcomprisk
2020-11-21,14,hrcomprisk
2020-11-22,12,hrcomprisk
2020-11-23,11,hrcomprisk
2020-11-24,17,hrcomprisk
2020-11-25,15,hrcomprisk
2020-11-26,9,hrcomprisk
2020-11-27,14,hrcomprisk
2020-11-28,14,hrcomprisk
2020-11-29,14,hrcomprisk
2020-11-30,13,hrcomprisk
2020-12-01,16,hrcomprisk
2020-12-02,19,hrcomprisk
2020-12-03,17,hrcomprisk
2020-12-04,16,hrcomprisk
2020-12-05,13,hrcomprisk
2020-12-06,12,hrcomprisk
2020-12-07,12,hrcomprisk
2020-12-08,5,hrcomprisk
2020-12-09,21,hrcomprisk
2020-12-10,20,hrcomprisk
2020-12-11,15,hrcomprisk
2020-12-12,14,hrcomprisk
2020-12-13,13,hrcomprisk
2020-12-14,14,hrcomprisk
2020-12-15,14,hrcomprisk
2020-12-16,38,hrcomprisk
2020-12-17,19,hrcomprisk
2020-12-18,16,hrcomprisk
2020-12-19,12,hrcomprisk
2020-12-20,13,hrcomprisk
2020-12-21,14,hrcomprisk
2020-12-22,19,hrcomprisk
2020-12-23,15,hrcomprisk
2020-12-24,12,hrcomprisk
2020-12-25,14,hrcomprisk
2020-12-26,10,hrcomprisk
2020-12-27,12,hrcomprisk
2020-12-28,18,hrcomprisk
2020-12-29,17,hrcomprisk
2020-12-30,17,hrcomprisk
2020-12-31,14,hrcomprisk
2021-01-01,10,hrcomprisk
2021-01-02,13,hrcomprisk
2021-01-03,12,hrcomprisk
2021-01-04,13,hrcomprisk
2021-01-05,11,hrcomprisk
2021-01-06,15,hrcomprisk
2021-01-07,11,hrcomprisk
2021-01-08,12,hrcomprisk
2021-01-09,11,hrcomprisk
2021-01-10,12,hrcomprisk
2021-01-11,15,hrcomprisk
2021-01-12,15,hrcomprisk
2021-01-13,14,hrcomprisk
2021-01-14,18,hrcomprisk
2021-01-15,12,hrcomprisk
2021-01-16,14,hrcomprisk
2021-01-17,10,hrcomprisk
2021-01-18,12,hrcomprisk
2021-01-19,15,hrcomprisk
2021-01-20,14,hrcomprisk
2021-01-21,10,hrcomprisk
2021-01-22,3,hrcomprisk
2021-01-23,12,hrcomprisk
2021-01-24,8,hrcomprisk
2021-01-25,18,hrcomprisk
2021-01-26,7,hrcomprisk
2021-01-27,20,hrcomprisk
2021-01-28,2,hrcomprisk
2021-01-29,17,hrcomprisk
2021-01-30,13,hrcomprisk
