date,count,package
2020-01-01,0,hystReet
2020-01-02,0,hystReet
2020-01-03,0,hystReet
2020-01-04,0,hystReet
2020-01-05,0,hystReet
2020-01-06,0,hystReet
2020-01-07,0,hystReet
2020-01-08,0,hystReet
2020-01-09,0,hystReet
2020-01-10,0,hystReet
2020-01-11,0,hystReet
2020-01-12,0,hystReet
2020-01-13,0,hystReet
2020-01-14,0,hystReet
2020-01-15,0,hystReet
2020-01-16,0,hystReet
2020-01-17,0,hystReet
2020-01-18,0,hystReet
2020-01-19,0,hystReet
2020-01-20,0,hystReet
2020-01-21,0,hystReet
2020-01-22,0,hystReet
2020-01-23,0,hystReet
2020-01-24,0,hystReet
2020-01-25,0,hystReet
2020-01-26,0,hystReet
2020-01-27,0,hystReet
2020-01-28,0,hystReet
2020-01-29,0,hystReet
2020-01-30,0,hystReet
2020-01-31,0,hystReet
2020-02-01,0,hystReet
2020-02-02,0,hystReet
2020-02-03,0,hystReet
2020-02-04,0,hystReet
2020-02-05,0,hystReet
2020-02-06,0,hystReet
2020-02-07,0,hystReet
2020-02-08,0,hystReet
2020-02-09,0,hystReet
2020-02-10,0,hystReet
2020-02-11,0,hystReet
2020-02-12,0,hystReet
2020-02-13,0,hystReet
2020-02-14,0,hystReet
2020-02-15,0,hystReet
2020-02-16,0,hystReet
2020-02-17,0,hystReet
2020-02-18,0,hystReet
2020-02-19,0,hystReet
2020-02-20,0,hystReet
2020-02-21,0,hystReet
2020-02-22,0,hystReet
2020-02-23,0,hystReet
2020-02-24,0,hystReet
2020-02-25,0,hystReet
2020-02-26,0,hystReet
2020-02-27,0,hystReet
2020-02-28,0,hystReet
2020-02-29,0,hystReet
2020-03-01,0,hystReet
2020-03-02,0,hystReet
2020-03-03,0,hystReet
2020-03-04,0,hystReet
2020-03-05,0,hystReet
2020-03-06,0,hystReet
2020-03-07,0,hystReet
2020-03-08,0,hystReet
2020-03-09,0,hystReet
2020-03-10,0,hystReet
2020-03-11,0,hystReet
2020-03-12,0,hystReet
2020-03-13,0,hystReet
2020-03-14,0,hystReet
2020-03-15,0,hystReet
2020-03-16,0,hystReet
2020-03-17,0,hystReet
2020-03-18,0,hystReet
2020-03-19,0,hystReet
2020-03-20,0,hystReet
2020-03-21,0,hystReet
2020-03-22,0,hystReet
2020-03-23,0,hystReet
2020-03-24,0,hystReet
2020-03-25,0,hystReet
2020-03-26,0,hystReet
2020-03-27,0,hystReet
2020-03-28,0,hystReet
2020-03-29,0,hystReet
2020-03-30,0,hystReet
2020-03-31,0,hystReet
2020-04-01,11,hystReet
2020-04-02,13,hystReet
2020-04-03,25,hystReet
2020-04-04,16,hystReet
2020-04-05,21,hystReet
2020-04-06,23,hystReet
2020-04-07,37,hystReet
2020-04-08,32,hystReet
2020-04-09,26,hystReet
2020-04-10,18,hystReet
2020-04-11,7,hystReet
2020-04-12,24,hystReet
2020-04-13,16,hystReet
2020-04-14,17,hystReet
2020-04-15,37,hystReet
2020-04-16,24,hystReet
2020-04-17,23,hystReet
2020-04-18,6,hystReet
2020-04-19,3,hystReet
2020-04-20,9,hystReet
2020-04-21,10,hystReet
2020-04-22,27,hystReet
2020-04-23,8,hystReet
2020-04-24,16,hystReet
2020-04-25,26,hystReet
2020-04-26,13,hystReet
2020-04-27,17,hystReet
2020-04-28,19,hystReet
2020-04-29,29,hystReet
2020-04-30,26,hystReet
2020-05-01,20,hystReet
2020-05-02,20,hystReet
2020-05-03,18,hystReet
2020-05-04,16,hystReet
2020-05-05,11,hystReet
2020-05-06,24,hystReet
2020-05-07,26,hystReet
2020-05-08,13,hystReet
2020-05-09,21,hystReet
2020-05-10,49,hystReet
2020-05-11,38,hystReet
2020-05-12,14,hystReet
2020-05-13,13,hystReet
2020-05-14,14,hystReet
2020-05-15,12,hystReet
2020-05-16,13,hystReet
2020-05-17,12,hystReet
2020-05-18,28,hystReet
2020-05-19,18,hystReet
2020-05-20,15,hystReet
2020-05-21,9,hystReet
2020-05-22,16,hystReet
2020-05-23,8,hystReet
2020-05-24,10,hystReet
2020-05-25,11,hystReet
2020-05-26,21,hystReet
2020-05-27,14,hystReet
2020-05-28,14,hystReet
2020-05-29,20,hystReet
2020-05-30,11,hystReet
2020-05-31,12,hystReet
2020-06-01,10,hystReet
2020-06-02,15,hystReet
2020-06-03,11,hystReet
2020-06-04,10,hystReet
2020-06-05,11,hystReet
2020-06-06,11,hystReet
2020-06-07,11,hystReet
2020-06-08,16,hystReet
2020-06-09,18,hystReet
2020-06-10,18,hystReet
2020-06-11,21,hystReet
2020-06-12,11,hystReet
2020-06-13,11,hystReet
2020-06-14,24,hystReet
2020-06-15,22,hystReet
2020-06-16,21,hystReet
2020-06-17,34,hystReet
2020-06-18,43,hystReet
2020-06-19,31,hystReet
2020-06-20,26,hystReet
2020-06-21,36,hystReet
2020-06-22,34,hystReet
2020-06-23,30,hystReet
2020-06-24,25,hystReet
2020-06-25,18,hystReet
2020-06-26,27,hystReet
2020-06-27,20,hystReet
2020-06-28,21,hystReet
2020-06-29,18,hystReet
2020-06-30,12,hystReet
2020-07-01,25,hystReet
2020-07-02,21,hystReet
2020-07-03,26,hystReet
2020-07-04,13,hystReet
2020-07-05,10,hystReet
2020-07-06,14,hystReet
2020-07-07,26,hystReet
2020-07-08,14,hystReet
2020-07-09,15,hystReet
2020-07-10,11,hystReet
2020-07-11,13,hystReet
2020-07-12,23,hystReet
2020-07-13,17,hystReet
2020-07-14,19,hystReet
2020-07-15,27,hystReet
2020-07-16,16,hystReet
2020-07-17,12,hystReet
2020-07-18,14,hystReet
2020-07-19,14,hystReet
2020-07-20,12,hystReet
2020-07-21,19,hystReet
2020-07-22,18,hystReet
2020-07-23,12,hystReet
2020-07-24,11,hystReet
2020-07-25,12,hystReet
2020-07-26,14,hystReet
2020-07-27,17,hystReet
2020-07-28,11,hystReet
2020-07-29,11,hystReet
2020-07-30,12,hystReet
2020-07-31,6,hystReet
2020-08-01,6,hystReet
2020-08-02,5,hystReet
2020-08-03,12,hystReet
2020-08-04,12,hystReet
2020-08-05,17,hystReet
2020-08-06,16,hystReet
2020-08-07,27,hystReet
2020-08-08,13,hystReet
2020-08-09,15,hystReet
2020-08-10,19,hystReet
2020-08-11,10,hystReet
2020-08-12,13,hystReet
2020-08-13,14,hystReet
2020-08-14,13,hystReet
2020-08-15,9,hystReet
2020-08-16,7,hystReet
2020-08-17,17,hystReet
2020-08-18,16,hystReet
2020-08-19,20,hystReet
2020-08-20,10,hystReet
2020-08-21,19,hystReet
2020-08-22,9,hystReet
2020-08-23,7,hystReet
2020-08-24,11,hystReet
2020-08-25,10,hystReet
2020-08-26,13,hystReet
2020-08-27,14,hystReet
2020-08-28,8,hystReet
2020-08-29,12,hystReet
2020-08-30,10,hystReet
2020-08-31,14,hystReet
2020-09-01,25,hystReet
2020-09-02,14,hystReet
2020-09-03,15,hystReet
2020-09-04,11,hystReet
2020-09-05,14,hystReet
2020-09-06,15,hystReet
2020-09-07,27,hystReet
2020-09-08,18,hystReet
2020-09-09,22,hystReet
2020-09-10,13,hystReet
2020-09-11,19,hystReet
2020-09-12,20,hystReet
2020-09-13,23,hystReet
2020-09-14,27,hystReet
2020-09-15,17,hystReet
2020-09-16,11,hystReet
2020-09-17,27,hystReet
2020-09-18,18,hystReet
2020-09-19,11,hystReet
2020-09-20,14,hystReet
2020-09-21,16,hystReet
2020-09-22,20,hystReet
2020-09-23,16,hystReet
2020-09-24,13,hystReet
2020-09-25,7,hystReet
2020-09-26,14,hystReet
2020-09-27,11,hystReet
2020-09-28,17,hystReet
2020-09-29,17,hystReet
2020-09-30,16,hystReet
2020-10-01,15,hystReet
2020-10-02,15,hystReet
2020-10-03,11,hystReet
2020-10-04,15,hystReet
2020-10-05,9,hystReet
2020-10-06,16,hystReet
2020-10-07,11,hystReet
2020-10-08,9,hystReet
2020-10-09,8,hystReet
2020-10-10,12,hystReet
2020-10-11,8,hystReet
2020-10-12,8,hystReet
2020-10-13,17,hystReet
2020-10-14,14,hystReet
2020-10-15,8,hystReet
2020-10-16,11,hystReet
2020-10-17,1,hystReet
2020-10-18,8,hystReet
2020-10-19,17,hystReet
2020-10-20,14,hystReet
2020-10-21,14,hystReet
2020-10-22,12,hystReet
2020-10-23,13,hystReet
2020-10-24,14,hystReet
2020-10-25,8,hystReet
2020-10-26,11,hystReet
2020-10-27,10,hystReet
2020-10-28,16,hystReet
2020-10-29,23,hystReet
2020-10-30,11,hystReet
2020-10-31,13,hystReet
2020-11-01,8,hystReet
2020-11-02,8,hystReet
2020-11-03,20,hystReet
2020-11-04,9,hystReet
2020-11-05,17,hystReet
2020-11-06,14,hystReet
2020-11-07,21,hystReet
2020-11-08,10,hystReet
2020-11-09,16,hystReet
2020-11-10,12,hystReet
2020-11-11,22,hystReet
2020-11-12,18,hystReet
2020-11-13,11,hystReet
2020-11-14,7,hystReet
2020-11-15,9,hystReet
2020-11-16,12,hystReet
2020-11-17,16,hystReet
2020-11-18,14,hystReet
2020-11-19,11,hystReet
2020-11-20,11,hystReet
2020-11-21,9,hystReet
2020-11-22,8,hystReet
2020-11-23,10,hystReet
2020-11-24,18,hystReet
2020-11-25,12,hystReet
2020-11-26,8,hystReet
2020-11-27,14,hystReet
2020-11-28,10,hystReet
2020-11-29,10,hystReet
2020-11-30,15,hystReet
2020-12-01,14,hystReet
2020-12-02,15,hystReet
2020-12-03,15,hystReet
2020-12-04,13,hystReet
2020-12-05,10,hystReet
2020-12-06,11,hystReet
2020-12-07,10,hystReet
2020-12-08,6,hystReet
2020-12-09,19,hystReet
2020-12-10,12,hystReet
2020-12-11,12,hystReet
2020-12-12,13,hystReet
2020-12-13,10,hystReet
2020-12-14,11,hystReet
2020-12-15,10,hystReet
2020-12-16,10,hystReet
2020-12-17,44,hystReet
2020-12-18,11,hystReet
2020-12-19,9,hystReet
2020-12-20,13,hystReet
2020-12-21,9,hystReet
2020-12-22,13,hystReet
2020-12-23,12,hystReet
2020-12-24,9,hystReet
2020-12-25,8,hystReet
2020-12-26,7,hystReet
2020-12-27,11,hystReet
2020-12-28,15,hystReet
2020-12-29,11,hystReet
2020-12-30,11,hystReet
2020-12-31,11,hystReet
2021-01-01,9,hystReet
2021-01-02,14,hystReet
2021-01-03,8,hystReet
2021-01-04,8,hystReet
2021-01-05,9,hystReet
2021-01-06,12,hystReet
2021-01-07,10,hystReet
2021-01-08,8,hystReet
2021-01-09,7,hystReet
2021-01-10,9,hystReet
2021-01-11,12,hystReet
2021-01-12,12,hystReet
2021-01-13,11,hystReet
2021-01-14,17,hystReet
2021-01-15,11,hystReet
2021-01-16,7,hystReet
2021-01-17,9,hystReet
2021-01-18,6,hystReet
2021-01-19,10,hystReet
2021-01-20,12,hystReet
2021-01-21,9,hystReet
2021-01-22,2,hystReet
2021-01-23,12,hystReet
2021-01-24,7,hystReet
2021-01-25,12,hystReet
2021-01-26,10,hystReet
2021-01-27,16,hystReet
2021-01-28,3,hystReet
2021-01-29,11,hystReet
2021-01-30,12,hystReet
2021-01-31,11,hystReet
2021-02-01,10,hystReet
2021-02-02,12,hystReet
2021-02-03,14,hystReet
2021-02-04,15,hystReet
2021-02-05,11,hystReet
2021-02-06,17,hystReet
2021-02-07,20,hystReet
2021-02-08,12,hystReet
2021-02-09,19,hystReet
2021-02-10,17,hystReet
2021-02-11,21,hystReet
2021-02-12,18,hystReet
2021-02-13,20,hystReet
2021-02-14,7,hystReet
2021-02-15,19,hystReet
2021-02-16,14,hystReet
2021-02-17,16,hystReet
2021-02-18,23,hystReet
2021-02-19,18,hystReet
2021-02-20,14,hystReet
2021-02-21,16,hystReet
2021-02-22,27,hystReet
2021-02-23,12,hystReet
2021-02-24,25,hystReet
2021-02-25,20,hystReet
2021-02-26,27,hystReet
2021-02-27,12,hystReet
2021-02-28,10,hystReet
2021-03-01,14,hystReet
2021-03-02,16,hystReet
2021-03-03,21,hystReet
2021-03-04,18,hystReet
2021-03-05,17,hystReet
2021-03-06,16,hystReet
2021-03-07,11,hystReet
2021-03-08,22,hystReet
2021-03-09,13,hystReet
2021-03-10,24,hystReet
2021-03-11,15,hystReet
2021-03-12,13,hystReet
2021-03-13,17,hystReet
2021-03-14,18,hystReet
2021-03-15,14,hystReet
2021-03-16,15,hystReet
2021-03-17,17,hystReet
2021-03-18,15,hystReet
2021-03-19,8,hystReet
2021-03-20,12,hystReet
2021-03-21,7,hystReet
2021-03-22,19,hystReet
2021-03-23,10,hystReet
2021-03-24,18,hystReet
2021-03-25,12,hystReet
2021-03-26,16,hystReet
2021-03-27,7,hystReet
2021-03-28,13,hystReet
2021-03-29,12,hystReet
2021-03-30,14,hystReet
2021-03-31,19,hystReet
2021-04-01,11,hystReet
2021-04-02,9,hystReet
2021-04-03,14,hystReet
2021-04-04,11,hystReet
2021-04-05,13,hystReet
2021-04-06,7,hystReet
2021-04-07,17,hystReet
2021-04-08,19,hystReet
2021-04-09,14,hystReet
2021-04-10,15,hystReet
2021-04-11,15,hystReet
2021-04-12,16,hystReet
2021-04-13,11,hystReet
2021-04-14,18,hystReet
2021-04-15,8,hystReet
2021-04-16,16,hystReet
2021-04-17,9,hystReet
2021-04-18,15,hystReet
2021-04-19,12,hystReet
2021-04-20,19,hystReet
2021-04-21,15,hystReet
2021-04-22,23,hystReet
2021-04-23,14,hystReet
2021-04-24,17,hystReet
2021-04-25,11,hystReet
2021-04-26,16,hystReet
2021-04-27,20,hystReet
2021-04-28,20,hystReet
2021-04-29,13,hystReet
2021-04-30,11,hystReet
2021-05-01,13,hystReet
2021-05-02,13,hystReet
2021-05-03,15,hystReet
2021-05-04,24,hystReet
2021-05-05,10,hystReet
2021-05-06,29,hystReet
2021-05-07,10,hystReet
2021-05-08,12,hystReet
2021-05-09,7,hystReet
2021-05-10,16,hystReet
2021-05-11,19,hystReet
2021-05-12,25,hystReet
2021-05-13,12,hystReet
2021-05-14,15,hystReet
2021-05-15,9,hystReet
2021-05-16,13,hystReet
2021-05-17,12,hystReet
2021-05-18,22,hystReet
2021-05-19,17,hystReet
2021-05-20,21,hystReet
2021-05-21,18,hystReet
2021-05-22,15,hystReet
2021-05-23,18,hystReet
2021-05-24,15,hystReet
2021-05-25,18,hystReet
2021-05-26,14,hystReet
2021-05-27,14,hystReet
2021-05-28,12,hystReet
2021-05-29,9,hystReet
2021-05-30,12,hystReet
2021-05-31,13,hystReet
2021-06-01,12,hystReet
2021-06-02,11,hystReet
2021-06-03,10,hystReet
2021-06-04,9,hystReet
2021-06-05,6,hystReet
2021-06-06,12,hystReet
2021-06-07,8,hystReet
2021-06-08,10,hystReet
2021-06-09,13,hystReet
