date,count,package
2020-01-01,0,influenceAUC
2020-01-02,0,influenceAUC
2020-01-03,0,influenceAUC
2020-01-04,0,influenceAUC
2020-01-05,0,influenceAUC
2020-01-06,0,influenceAUC
2020-01-07,0,influenceAUC
2020-01-08,0,influenceAUC
2020-01-09,0,influenceAUC
2020-01-10,0,influenceAUC
2020-01-11,0,influenceAUC
2020-01-12,0,influenceAUC
2020-01-13,0,influenceAUC
2020-01-14,0,influenceAUC
2020-01-15,0,influenceAUC
2020-01-16,0,influenceAUC
2020-01-17,0,influenceAUC
2020-01-18,0,influenceAUC
2020-01-19,0,influenceAUC
2020-01-20,0,influenceAUC
2020-01-21,0,influenceAUC
2020-01-22,0,influenceAUC
2020-01-23,0,influenceAUC
2020-01-24,0,influenceAUC
2020-01-25,0,influenceAUC
2020-01-26,0,influenceAUC
2020-01-27,0,influenceAUC
2020-01-28,0,influenceAUC
2020-01-29,0,influenceAUC
2020-01-30,0,influenceAUC
2020-01-31,7,influenceAUC
2020-02-01,26,influenceAUC
2020-02-02,28,influenceAUC
2020-02-03,17,influenceAUC
2020-02-04,31,influenceAUC
2020-02-05,34,influenceAUC
2020-02-06,32,influenceAUC
2020-02-07,22,influenceAUC
2020-02-08,26,influenceAUC
2020-02-09,15,influenceAUC
2020-02-10,17,influenceAUC
2020-02-11,17,influenceAUC
2020-02-12,14,influenceAUC
2020-02-13,16,influenceAUC
2020-02-14,18,influenceAUC
2020-02-15,13,influenceAUC
2020-02-16,13,influenceAUC
2020-02-17,12,influenceAUC
2020-02-18,14,influenceAUC
2020-02-19,28,influenceAUC
2020-02-20,17,influenceAUC
2020-02-21,37,influenceAUC
2020-02-22,26,influenceAUC
2020-02-23,25,influenceAUC
2020-02-24,27,influenceAUC
2020-02-25,23,influenceAUC
2020-02-26,29,influenceAUC
2020-02-27,30,influenceAUC
2020-02-28,23,influenceAUC
2020-02-29,10,influenceAUC
2020-03-01,26,influenceAUC
2020-03-02,16,influenceAUC
2020-03-03,22,influenceAUC
2020-03-04,27,influenceAUC
2020-03-05,17,influenceAUC
2020-03-06,32,influenceAUC
2020-03-07,19,influenceAUC
2020-03-08,21,influenceAUC
2020-03-09,20,influenceAUC
2020-03-10,19,influenceAUC
2020-03-11,7,influenceAUC
2020-03-12,25,influenceAUC
2020-03-13,16,influenceAUC
2020-03-14,15,influenceAUC
2020-03-15,11,influenceAUC
2020-03-16,18,influenceAUC
2020-03-17,20,influenceAUC
2020-03-18,5,influenceAUC
2020-03-19,12,influenceAUC
2020-03-20,18,influenceAUC
2020-03-21,14,influenceAUC
2020-03-22,9,influenceAUC
2020-03-23,12,influenceAUC
2020-03-24,13,influenceAUC
2020-03-25,15,influenceAUC
2020-03-26,8,influenceAUC
2020-03-27,6,influenceAUC
2020-03-28,8,influenceAUC
2020-03-29,17,influenceAUC
2020-03-30,18,influenceAUC
2020-03-31,16,influenceAUC
2020-04-01,16,influenceAUC
2020-04-02,11,influenceAUC
2020-04-03,15,influenceAUC
2020-04-04,8,influenceAUC
2020-04-05,15,influenceAUC
2020-04-06,17,influenceAUC
2020-04-07,21,influenceAUC
2020-04-08,20,influenceAUC
2020-04-09,17,influenceAUC
2020-04-10,9,influenceAUC
2020-04-11,6,influenceAUC
2020-04-12,11,influenceAUC
2020-04-13,12,influenceAUC
2020-04-14,11,influenceAUC
2020-04-15,28,influenceAUC
2020-04-16,12,influenceAUC
2020-04-17,20,influenceAUC
2020-04-18,6,influenceAUC
2020-04-19,3,influenceAUC
2020-04-20,15,influenceAUC
2020-04-21,14,influenceAUC
2020-04-22,29,influenceAUC
2020-04-23,8,influenceAUC
2020-04-24,23,influenceAUC
2020-04-25,28,influenceAUC
2020-04-26,13,influenceAUC
2020-04-27,17,influenceAUC
2020-04-28,22,influenceAUC
2020-04-29,34,influenceAUC
2020-04-30,33,influenceAUC
2020-05-01,24,influenceAUC
2020-05-02,24,influenceAUC
2020-05-03,21,influenceAUC
2020-05-04,20,influenceAUC
2020-05-05,14,influenceAUC
2020-05-06,29,influenceAUC
2020-05-07,24,influenceAUC
2020-05-08,16,influenceAUC
2020-05-09,24,influenceAUC
2020-05-10,52,influenceAUC
2020-05-11,41,influenceAUC
2020-05-12,19,influenceAUC
2020-05-13,20,influenceAUC
2020-05-14,17,influenceAUC
2020-05-15,15,influenceAUC
2020-05-16,16,influenceAUC
2020-05-17,21,influenceAUC
2020-05-18,24,influenceAUC
2020-05-19,22,influenceAUC
2020-05-20,20,influenceAUC
2020-05-21,13,influenceAUC
2020-05-22,15,influenceAUC
2020-05-23,11,influenceAUC
2020-05-24,13,influenceAUC
2020-05-25,13,influenceAUC
