date,count,package
2020-01-01,0,klic
2020-01-02,0,klic
2020-01-03,0,klic
2020-01-04,0,klic
2020-01-05,0,klic
2020-01-06,0,klic
2020-01-07,0,klic
2020-01-08,0,klic
2020-01-09,0,klic
2020-01-10,0,klic
2020-01-11,0,klic
2020-01-12,0,klic
2020-01-13,0,klic
2020-01-14,0,klic
2020-01-15,0,klic
2020-01-16,0,klic
2020-01-17,0,klic
2020-01-18,0,klic
2020-01-19,0,klic
2020-01-20,0,klic
2020-01-21,0,klic
2020-01-22,0,klic
2020-01-23,0,klic
2020-01-24,0,klic
2020-01-25,0,klic
2020-01-26,0,klic
2020-01-27,0,klic
2020-01-28,0,klic
2020-01-29,0,klic
2020-01-30,0,klic
2020-01-31,0,klic
2020-02-01,0,klic
2020-02-02,0,klic
2020-02-03,0,klic
2020-02-04,0,klic
2020-02-05,0,klic
2020-02-06,0,klic
2020-02-07,0,klic
2020-02-08,0,klic
2020-02-09,0,klic
2020-02-10,0,klic
2020-02-11,0,klic
2020-02-12,0,klic
2020-02-13,0,klic
2020-02-14,0,klic
2020-02-15,0,klic
2020-02-16,0,klic
2020-02-17,0,klic
2020-02-18,0,klic
2020-02-19,0,klic
2020-02-20,0,klic
2020-02-21,0,klic
2020-02-22,0,klic
2020-02-23,0,klic
2020-02-24,0,klic
2020-02-25,0,klic
2020-02-26,0,klic
2020-02-27,0,klic
2020-02-28,0,klic
2020-02-29,0,klic
2020-03-01,0,klic
2020-03-02,0,klic
2020-03-03,0,klic
2020-03-04,0,klic
2020-03-05,0,klic
2020-03-06,0,klic
2020-03-07,0,klic
2020-03-08,0,klic
2020-03-09,0,klic
2020-03-10,0,klic
2020-03-11,0,klic
2020-03-12,0,klic
2020-03-13,0,klic
2020-03-14,0,klic
2020-03-15,0,klic
2020-03-16,0,klic
2020-03-17,0,klic
2020-03-18,0,klic
2020-03-19,0,klic
2020-03-20,0,klic
2020-03-21,0,klic
2020-03-22,0,klic
2020-03-23,0,klic
2020-03-24,0,klic
2020-03-25,0,klic
2020-03-26,0,klic
2020-03-27,0,klic
2020-03-28,0,klic
2020-03-29,0,klic
2020-03-30,0,klic
2020-03-31,0,klic
2020-04-01,0,klic
2020-04-02,0,klic
2020-04-03,2,klic
2020-04-04,8,klic
2020-04-05,8,klic
2020-04-06,20,klic
2020-04-07,24,klic
2020-04-08,25,klic
2020-04-09,20,klic
2020-04-10,22,klic
2020-04-11,7,klic
2020-04-12,24,klic
2020-04-13,19,klic
2020-04-14,19,klic
2020-04-15,36,klic
2020-04-16,13,klic
2020-04-17,29,klic
2020-04-18,5,klic
2020-04-19,3,klic
2020-04-20,6,klic
2020-04-21,8,klic
2020-04-22,33,klic
2020-04-23,8,klic
2020-04-24,16,klic
2020-04-25,26,klic
2020-04-26,11,klic
2020-04-27,15,klic
2020-04-28,20,klic
2020-04-29,28,klic
2020-04-30,20,klic
2020-05-01,25,klic
2020-05-02,20,klic
2020-05-03,18,klic
2020-05-04,16,klic
2020-05-05,18,klic
2020-05-06,24,klic
2020-05-07,20,klic
2020-05-08,15,klic
2020-05-09,24,klic
2020-05-10,49,klic
2020-05-11,39,klic
2020-05-12,14,klic
2020-05-13,12,klic
2020-05-14,12,klic
2020-05-15,11,klic
2020-05-16,13,klic
2020-05-17,12,klic
2020-05-18,19,klic
2020-05-19,18,klic
2020-05-20,13,klic
2020-05-21,9,klic
2020-05-22,13,klic
