date,count,package
2020-01-01,0,metapower
2020-01-02,0,metapower
2020-01-03,0,metapower
2020-01-04,0,metapower
2020-01-05,0,metapower
2020-01-06,0,metapower
2020-01-07,0,metapower
2020-01-08,0,metapower
2020-01-09,0,metapower
2020-01-10,0,metapower
2020-01-11,0,metapower
2020-01-12,0,metapower
2020-01-13,0,metapower
2020-01-14,0,metapower
2020-01-15,0,metapower
2020-01-16,0,metapower
2020-01-17,0,metapower
2020-01-18,0,metapower
2020-01-19,0,metapower
2020-01-20,0,metapower
2020-01-21,0,metapower
2020-01-22,0,metapower
2020-01-23,0,metapower
2020-01-24,0,metapower
2020-01-25,0,metapower
2020-01-26,0,metapower
2020-01-27,0,metapower
2020-01-28,0,metapower
2020-01-29,0,metapower
2020-01-30,0,metapower
2020-01-31,0,metapower
2020-02-01,0,metapower
2020-02-02,0,metapower
2020-02-03,0,metapower
2020-02-04,0,metapower
2020-02-05,0,metapower
2020-02-06,0,metapower
2020-02-07,0,metapower
2020-02-08,0,metapower
2020-02-09,0,metapower
2020-02-10,0,metapower
2020-02-11,0,metapower
2020-02-12,0,metapower
2020-02-13,0,metapower
2020-02-14,0,metapower
2020-02-15,0,metapower
2020-02-16,0,metapower
2020-02-17,0,metapower
2020-02-18,0,metapower
2020-02-19,0,metapower
2020-02-20,0,metapower
2020-02-21,0,metapower
2020-02-22,0,metapower
2020-02-23,0,metapower
2020-02-24,0,metapower
2020-02-25,0,metapower
2020-02-26,0,metapower
2020-02-27,0,metapower
2020-02-28,0,metapower
2020-02-29,0,metapower
2020-03-01,0,metapower
2020-03-02,0,metapower
2020-03-03,0,metapower
2020-03-04,0,metapower
2020-03-05,0,metapower
2020-03-06,0,metapower
2020-03-07,0,metapower
2020-03-08,0,metapower
2020-03-09,0,metapower
2020-03-10,0,metapower
2020-03-11,0,metapower
2020-03-12,0,metapower
2020-03-13,0,metapower
2020-03-14,0,metapower
2020-03-15,0,metapower
2020-03-16,0,metapower
2020-03-17,0,metapower
2020-03-18,0,metapower
2020-03-19,0,metapower
2020-03-20,0,metapower
2020-03-21,0,metapower
2020-03-22,0,metapower
2020-03-23,0,metapower
2020-03-24,0,metapower
2020-03-25,0,metapower
2020-03-26,0,metapower
2020-03-27,0,metapower
2020-03-28,0,metapower
2020-03-29,0,metapower
2020-03-30,0,metapower
2020-03-31,0,metapower
2020-04-01,0,metapower
2020-04-02,0,metapower
2020-04-03,0,metapower
2020-04-04,0,metapower
2020-04-05,0,metapower
2020-04-06,0,metapower
2020-04-07,6,metapower
2020-04-08,27,metapower
2020-04-09,14,metapower
2020-04-10,10,metapower
2020-04-11,9,metapower
2020-04-12,14,metapower
2020-04-13,13,metapower
2020-04-14,15,metapower
2020-04-15,20,metapower
2020-04-16,13,metapower
2020-04-17,30,metapower
2020-04-18,8,metapower
2020-04-19,6,metapower
2020-04-20,8,metapower
2020-04-21,10,metapower
2020-04-22,26,metapower
2020-04-23,8,metapower
2020-04-24,17,metapower
2020-04-25,32,metapower
2020-04-26,11,metapower
2020-04-27,20,metapower
2020-04-28,32,metapower
2020-04-29,27,metapower
2020-04-30,20,metapower
2020-05-01,22,metapower
2020-05-02,24,metapower
2020-05-03,17,metapower
2020-05-04,17,metapower
2020-05-05,21,metapower
2020-05-06,25,metapower
2020-05-07,25,metapower
2020-05-08,21,metapower
2020-05-09,22,metapower
2020-05-10,49,metapower
2020-05-11,44,metapower
2020-05-12,17,metapower
2020-05-13,14,metapower
2020-05-14,13,metapower
2020-05-15,14,metapower
2020-05-16,13,metapower
2020-05-17,14,metapower
2020-05-18,20,metapower
2020-05-19,23,metapower
2020-05-20,14,metapower
2020-05-21,12,metapower
2020-05-22,13,metapower
2020-05-23,8,metapower
2020-05-24,10,metapower
2020-05-25,10,metapower
2020-05-26,15,metapower
2020-05-27,15,metapower
2020-05-28,19,metapower
2020-05-29,19,metapower
2020-05-30,17,metapower
2020-05-31,13,metapower
2020-06-01,15,metapower
2020-06-02,15,metapower
2020-06-03,11,metapower
