date,count,package
2020-01-01,0,misty
2020-01-02,0,misty
2020-01-03,0,misty
2020-01-04,0,misty
2020-01-05,0,misty
2020-01-06,0,misty
2020-01-07,0,misty
2020-01-08,0,misty
2020-01-09,0,misty
2020-01-10,0,misty
2020-01-11,0,misty
2020-01-12,0,misty
2020-01-13,0,misty
2020-01-14,0,misty
2020-01-15,0,misty
2020-01-16,0,misty
2020-01-17,0,misty
2020-01-18,0,misty
2020-01-19,0,misty
2020-01-20,0,misty
2020-01-21,0,misty
2020-01-22,0,misty
2020-01-23,0,misty
2020-01-24,0,misty
2020-01-25,0,misty
2020-01-26,0,misty
2020-01-27,0,misty
2020-01-28,0,misty
2020-01-29,0,misty
2020-01-30,0,misty
2020-01-31,0,misty
2020-02-01,0,misty
2020-02-02,0,misty
2020-02-03,0,misty
2020-02-04,0,misty
2020-02-05,0,misty
2020-02-06,0,misty
2020-02-07,0,misty
2020-02-08,0,misty
2020-02-09,4,misty
2020-02-10,37,misty
2020-02-11,24,misty
2020-02-12,27,misty
2020-02-13,23,misty
2020-02-14,30,misty
2020-02-15,20,misty
2020-02-16,28,misty
2020-02-17,24,misty
2020-02-18,27,misty
2020-02-19,30,misty
2020-02-20,22,misty
2020-02-21,30,misty
2020-02-22,22,misty
2020-02-23,24,misty
2020-02-24,22,misty
2020-02-25,17,misty
2020-02-26,31,misty
2020-02-27,31,misty
2020-02-28,27,misty
2020-02-29,6,misty
2020-03-01,23,misty
2020-03-02,32,misty
2020-03-03,29,misty
2020-03-04,49,misty
2020-03-05,29,misty
2020-03-06,47,misty
2020-03-07,29,misty
2020-03-08,28,misty
2020-03-09,28,misty
2020-03-10,27,misty
2020-03-11,9,misty
2020-03-12,31,misty
2020-03-13,19,misty
2020-03-14,18,misty
2020-03-15,23,misty
2020-03-16,26,misty
2020-03-17,25,misty
2020-03-18,9,misty
2020-03-19,18,misty
2020-03-20,19,misty
2020-03-21,20,misty
2020-03-22,14,misty
2020-03-23,21,misty
2020-03-24,11,misty
2020-03-25,22,misty
2020-03-26,14,misty
2020-03-27,14,misty
2020-03-28,15,misty
2020-03-29,23,misty
2020-03-30,25,misty
2020-03-31,24,misty
2020-04-01,16,misty
2020-04-02,11,misty
2020-04-03,23,misty
2020-04-04,15,misty
2020-04-05,20,misty
2020-04-06,41,misty
2020-04-07,39,misty
2020-04-08,50,misty
2020-04-09,29,misty
2020-04-10,28,misty
2020-04-11,10,misty
2020-04-12,30,misty
2020-04-13,27,misty
2020-04-14,34,misty
2020-04-15,44,misty
2020-04-16,23,misty
2020-04-17,41,misty
2020-04-18,7,misty
2020-04-19,3,misty
2020-04-20,22,misty
2020-04-21,9,misty
2020-04-22,44,misty
2020-04-23,13,misty
2020-04-24,27,misty
2020-04-25,38,misty
2020-04-26,21,misty
2020-04-27,35,misty
2020-04-28,28,misty
2020-04-29,39,misty
2020-04-30,59,misty
2020-05-01,41,misty
2020-05-02,41,misty
2020-05-03,32,misty
2020-05-04,36,misty
2020-05-05,30,misty
2020-05-06,43,misty
2020-05-07,34,misty
2020-05-08,26,misty
2020-05-09,30,misty
2020-05-10,60,misty
2020-05-11,49,misty
2020-05-12,32,misty
2020-05-13,35,misty
2020-05-14,34,misty
2020-05-15,22,misty
2020-05-16,15,misty
2020-05-17,23,misty
2020-05-18,32,misty
2020-05-19,21,misty
2020-05-20,28,misty
2020-05-21,14,misty
2020-05-22,16,misty
2020-05-23,11,misty
2020-05-24,19,misty
2020-05-25,16,misty
2020-05-26,26,misty
2020-05-27,36,misty
2020-05-28,18,misty
2020-05-29,14,misty
2020-05-30,15,misty
2020-05-31,18,misty
2020-06-01,15,misty
2020-06-02,18,misty
2020-06-03,35,misty
2020-06-04,17,misty
2020-06-05,19,misty
2020-06-06,21,misty
2020-06-07,19,misty
2020-06-08,38,misty
2020-06-09,38,misty
2020-06-10,56,misty
2020-06-11,44,misty
2020-06-12,31,misty
2020-06-13,41,misty
2020-06-14,36,misty
2020-06-15,59,misty
2020-06-16,27,misty
2020-06-17,33,misty
2020-06-18,37,misty
2020-06-19,23,misty
2020-06-20,21,misty
2020-06-21,22,misty
2020-06-22,28,misty
2020-06-23,29,misty
2020-06-24,33,misty
2020-06-25,19,misty
2020-06-26,27,misty
2020-06-27,21,misty
2020-06-28,26,misty
2020-06-29,29,misty
2020-06-30,17,misty
2020-07-01,31,misty
2020-07-02,32,misty
2020-07-03,22,misty
2020-07-04,17,misty
2020-07-05,20,misty
2020-07-06,19,misty
2020-07-07,29,misty
2020-07-08,30,misty
2020-07-09,18,misty
2020-07-10,16,misty
2020-07-11,16,misty
2020-07-12,38,misty
2020-07-13,26,misty
2020-07-14,20,misty
2020-07-15,34,misty
2020-07-16,22,misty
2020-07-17,16,misty
2020-07-18,18,misty
2020-07-19,19,misty
2020-07-20,22,misty
2020-07-21,28,misty
2020-07-22,29,misty
2020-07-23,26,misty
2020-07-24,16,misty
2020-07-25,17,misty
2020-07-26,18,misty
2020-07-27,11,misty
2020-07-28,16,misty
2020-07-29,20,misty
2020-07-30,21,misty
2020-07-31,4,misty
2020-08-01,3,misty
2020-08-02,9,misty
2020-08-03,25,misty
2020-08-04,23,misty
2020-08-05,34,misty
2020-08-06,20,misty
2020-08-07,26,misty
2020-08-08,22,misty
2020-08-09,25,misty
2020-08-10,30,misty
2020-08-11,18,misty
2020-08-12,25,misty
2020-08-13,24,misty
2020-08-14,17,misty
2020-08-15,11,misty
2020-08-16,11,misty
2020-08-17,25,misty
2020-08-18,24,misty
2020-08-19,25,misty
2020-08-20,14,misty
2020-08-21,21,misty
2020-08-22,12,misty
2020-08-23,12,misty
2020-08-24,17,misty
2020-08-25,13,misty
2020-08-26,33,misty
2020-08-27,21,misty
2020-08-28,16,misty
2020-08-29,17,misty
2020-08-30,19,misty
2020-08-31,22,misty
2020-09-01,21,misty
2020-09-02,30,misty
2020-09-03,22,misty
2020-09-04,16,misty
2020-09-05,22,misty
2020-09-06,17,misty
2020-09-07,23,misty
2020-09-08,34,misty
