date,count,package
2020-01-01,0,neatStats
2020-01-02,0,neatStats
2020-01-03,0,neatStats
2020-01-04,0,neatStats
2020-01-05,0,neatStats
2020-01-06,0,neatStats
2020-01-07,0,neatStats
2020-01-08,0,neatStats
2020-01-09,0,neatStats
2020-01-10,0,neatStats
2020-01-11,0,neatStats
2020-01-12,0,neatStats
2020-01-13,0,neatStats
2020-01-14,0,neatStats
2020-01-15,0,neatStats
2020-01-16,0,neatStats
2020-01-17,0,neatStats
2020-01-18,0,neatStats
2020-01-19,0,neatStats
2020-01-20,0,neatStats
2020-01-21,0,neatStats
2020-01-22,0,neatStats
2020-01-23,0,neatStats
2020-01-24,0,neatStats
2020-01-25,0,neatStats
2020-01-26,0,neatStats
2020-01-27,0,neatStats
2020-01-28,0,neatStats
2020-01-29,0,neatStats
2020-01-30,0,neatStats
2020-01-31,0,neatStats
2020-02-01,0,neatStats
2020-02-02,0,neatStats
2020-02-03,0,neatStats
2020-02-04,0,neatStats
2020-02-05,0,neatStats
2020-02-06,0,neatStats
2020-02-07,0,neatStats
2020-02-08,0,neatStats
2020-02-09,0,neatStats
2020-02-10,0,neatStats
2020-02-11,0,neatStats
2020-02-12,0,neatStats
2020-02-13,0,neatStats
2020-02-14,0,neatStats
2020-02-15,0,neatStats
2020-02-16,0,neatStats
2020-02-17,0,neatStats
2020-02-18,0,neatStats
2020-02-19,0,neatStats
2020-02-20,6,neatStats
2020-02-21,7,neatStats
2020-02-22,21,neatStats
2020-02-23,15,neatStats
2020-02-24,15,neatStats
2020-02-25,11,neatStats
2020-02-26,19,neatStats
2020-02-27,19,neatStats
2020-02-28,20,neatStats
2020-02-29,9,neatStats
2020-03-01,25,neatStats
2020-03-02,13,neatStats
2020-03-03,20,neatStats
2020-03-04,35,neatStats
2020-03-05,16,neatStats
2020-03-06,27,neatStats
2020-03-07,18,neatStats
2020-03-08,16,neatStats
2020-03-09,15,neatStats
2020-03-10,15,neatStats
2020-03-11,11,neatStats
2020-03-12,22,neatStats
2020-03-13,15,neatStats
2020-03-14,12,neatStats
2020-03-15,8,neatStats
2020-03-16,17,neatStats
2020-03-17,11,neatStats
2020-03-18,5,neatStats
2020-03-19,10,neatStats
2020-03-20,8,neatStats
2020-03-21,11,neatStats
2020-03-22,5,neatStats
2020-03-23,7,neatStats
2020-03-24,12,neatStats
2020-03-25,8,neatStats
2020-03-26,7,neatStats
2020-03-27,5,neatStats
2020-03-28,5,neatStats
2020-03-29,12,neatStats
2020-03-30,14,neatStats
2020-03-31,11,neatStats
2020-04-01,11,neatStats
2020-04-02,10,neatStats
2020-04-03,11,neatStats
2020-04-04,5,neatStats
2020-04-05,11,neatStats
2020-04-06,15,neatStats
2020-04-07,19,neatStats
2020-04-08,15,neatStats
2020-04-09,14,neatStats
2020-04-10,6,neatStats
2020-04-11,6,neatStats
2020-04-12,7,neatStats
2020-04-13,6,neatStats
2020-04-14,7,neatStats
2020-04-15,17,neatStats
2020-04-16,21,neatStats
2020-04-17,15,neatStats
2020-04-18,9,neatStats
2020-04-19,1,neatStats
2020-04-20,9,neatStats
2020-04-21,9,neatStats
2020-04-22,21,neatStats
2020-04-23,6,neatStats
2020-04-24,14,neatStats
