date,count,package
2020-01-01,0,onemapsgapi
2020-01-02,0,onemapsgapi
2020-01-03,0,onemapsgapi
2020-01-04,0,onemapsgapi
2020-01-05,0,onemapsgapi
2020-01-06,0,onemapsgapi
2020-01-07,0,onemapsgapi
2020-01-08,0,onemapsgapi
2020-01-09,0,onemapsgapi
2020-01-10,0,onemapsgapi
2020-01-11,0,onemapsgapi
2020-01-12,0,onemapsgapi
2020-01-13,0,onemapsgapi
2020-01-14,0,onemapsgapi
2020-01-15,0,onemapsgapi
2020-01-16,0,onemapsgapi
2020-01-17,0,onemapsgapi
2020-01-18,0,onemapsgapi
2020-01-19,0,onemapsgapi
2020-01-20,0,onemapsgapi
2020-01-21,0,onemapsgapi
2020-01-22,0,onemapsgapi
2020-01-23,0,onemapsgapi
2020-01-24,0,onemapsgapi
2020-01-25,0,onemapsgapi
2020-01-26,0,onemapsgapi
2020-01-27,0,onemapsgapi
2020-01-28,0,onemapsgapi
2020-01-29,0,onemapsgapi
2020-01-30,0,onemapsgapi
2020-01-31,0,onemapsgapi
2020-02-01,0,onemapsgapi
2020-02-02,0,onemapsgapi
2020-02-03,0,onemapsgapi
2020-02-04,0,onemapsgapi
2020-02-05,0,onemapsgapi
2020-02-06,4,onemapsgapi
2020-02-07,9,onemapsgapi
2020-02-08,17,onemapsgapi
2020-02-09,20,onemapsgapi
2020-02-10,14,onemapsgapi
2020-02-11,29,onemapsgapi
2020-02-12,25,onemapsgapi
2020-02-13,23,onemapsgapi
2020-02-14,27,onemapsgapi
2020-02-15,26,onemapsgapi
2020-02-16,24,onemapsgapi
2020-02-17,20,onemapsgapi
2020-02-18,23,onemapsgapi
2020-02-19,24,onemapsgapi
2020-02-20,14,onemapsgapi
2020-02-21,25,onemapsgapi
2020-02-22,19,onemapsgapi
2020-02-23,18,onemapsgapi
2020-02-24,15,onemapsgapi
2020-02-25,13,onemapsgapi
2020-02-26,19,onemapsgapi
2020-02-27,17,onemapsgapi
2020-02-28,11,onemapsgapi
