date,count,package
2020-01-01,0,openmetrics
2020-01-02,0,openmetrics
2020-01-03,0,openmetrics
2020-01-04,0,openmetrics
2020-01-05,0,openmetrics
2020-01-06,0,openmetrics
2020-01-07,0,openmetrics
2020-01-08,0,openmetrics
2020-01-09,0,openmetrics
2020-01-10,0,openmetrics
2020-01-11,0,openmetrics
2020-01-12,0,openmetrics
2020-01-13,0,openmetrics
2020-01-14,0,openmetrics
2020-01-15,0,openmetrics
2020-01-16,0,openmetrics
2020-01-17,0,openmetrics
2020-01-18,0,openmetrics
2020-01-19,0,openmetrics
2020-01-20,0,openmetrics
2020-01-21,0,openmetrics
2020-01-22,0,openmetrics
2020-01-23,0,openmetrics
2020-01-24,0,openmetrics
2020-01-25,0,openmetrics
2020-01-26,0,openmetrics
2020-01-27,0,openmetrics
2020-01-28,0,openmetrics
2020-01-29,0,openmetrics
2020-01-30,0,openmetrics
2020-01-31,0,openmetrics
2020-02-01,0,openmetrics
2020-02-02,0,openmetrics
2020-02-03,0,openmetrics
2020-02-04,0,openmetrics
2020-02-05,0,openmetrics
2020-02-06,0,openmetrics
2020-02-07,0,openmetrics
2020-02-08,0,openmetrics
2020-02-09,0,openmetrics
2020-02-10,0,openmetrics
2020-02-11,0,openmetrics
2020-02-12,0,openmetrics
2020-02-13,0,openmetrics
2020-02-14,0,openmetrics
2020-02-15,0,openmetrics
2020-02-16,0,openmetrics
2020-02-17,0,openmetrics
2020-02-18,0,openmetrics
2020-02-19,0,openmetrics
2020-02-20,0,openmetrics
2020-02-21,0,openmetrics
2020-02-22,0,openmetrics
2020-02-23,0,openmetrics
2020-02-24,0,openmetrics
2020-02-25,0,openmetrics
2020-02-26,0,openmetrics
2020-02-27,0,openmetrics
2020-02-28,0,openmetrics
2020-02-29,0,openmetrics
2020-03-01,0,openmetrics
2020-03-02,0,openmetrics
2020-03-03,0,openmetrics
2020-03-04,0,openmetrics
2020-03-05,0,openmetrics
2020-03-06,0,openmetrics
2020-03-07,0,openmetrics
2020-03-08,0,openmetrics
2020-03-09,0,openmetrics
2020-03-10,0,openmetrics
2020-03-11,0,openmetrics
2020-03-12,0,openmetrics
2020-03-13,0,openmetrics
2020-03-14,0,openmetrics
2020-03-15,0,openmetrics
2020-03-16,0,openmetrics
2020-03-17,0,openmetrics
2020-03-18,0,openmetrics
2020-03-19,0,openmetrics
2020-03-20,0,openmetrics
2020-03-21,0,openmetrics
2020-03-22,0,openmetrics
2020-03-23,0,openmetrics
2020-03-24,0,openmetrics
2020-03-25,0,openmetrics
2020-03-26,0,openmetrics
2020-03-27,0,openmetrics
2020-03-28,0,openmetrics
2020-03-29,0,openmetrics
2020-03-30,0,openmetrics
2020-03-31,0,openmetrics
2020-04-01,0,openmetrics
2020-04-02,0,openmetrics
2020-04-03,0,openmetrics
2020-04-04,0,openmetrics
2020-04-05,0,openmetrics
2020-04-06,0,openmetrics
2020-04-07,0,openmetrics
2020-04-08,0,openmetrics
2020-04-09,0,openmetrics
2020-04-10,0,openmetrics
2020-04-11,0,openmetrics
2020-04-12,0,openmetrics
2020-04-13,0,openmetrics
2020-04-14,4,openmetrics
2020-04-15,23,openmetrics
2020-04-16,10,openmetrics
2020-04-17,23,openmetrics
2020-04-18,5,openmetrics
2020-04-19,6,openmetrics
2020-04-20,13,openmetrics
2020-04-21,16,openmetrics
2020-04-22,45,openmetrics
2020-04-23,28,openmetrics
2020-04-24,37,openmetrics
2020-04-25,37,openmetrics
2020-04-26,10,openmetrics
2020-04-27,23,openmetrics
2020-04-28,40,openmetrics
2020-04-29,37,openmetrics
2020-04-30,43,openmetrics
2020-05-01,27,openmetrics
2020-05-02,32,openmetrics
2020-05-03,20,openmetrics
2020-05-04,25,openmetrics
2020-05-05,21,openmetrics
2020-05-06,29,openmetrics
2020-05-07,27,openmetrics
2020-05-08,15,openmetrics
2020-05-09,23,openmetrics
2020-05-10,46,openmetrics
2020-05-11,37,openmetrics
2020-05-12,19,openmetrics
2020-05-13,18,openmetrics
2020-05-14,17,openmetrics
2020-05-15,18,openmetrics
2020-05-16,9,openmetrics
2020-05-17,17,openmetrics
2020-05-18,18,openmetrics
2020-05-19,13,openmetrics
2020-05-20,14,openmetrics
2020-05-21,8,openmetrics
2020-05-22,9,openmetrics
2020-05-23,10,openmetrics
2020-05-24,5,openmetrics
2020-05-25,9,openmetrics
2020-05-26,11,openmetrics
2020-05-27,23,openmetrics
2020-05-28,17,openmetrics
2020-05-29,15,openmetrics
2020-05-30,9,openmetrics
2020-05-31,12,openmetrics
2020-06-01,7,openmetrics
2020-06-02,10,openmetrics
2020-06-03,11,openmetrics
2020-06-04,9,openmetrics
2020-06-05,12,openmetrics
2020-06-06,5,openmetrics
2020-06-07,8,openmetrics
2020-06-08,17,openmetrics
2020-06-09,12,openmetrics
2020-06-10,16,openmetrics
2020-06-11,25,openmetrics
2020-06-12,7,openmetrics
2020-06-13,8,openmetrics
2020-06-14,11,openmetrics
2020-06-15,8,openmetrics
2020-06-16,10,openmetrics
2020-06-17,29,openmetrics
2020-06-18,23,openmetrics
2020-06-19,14,openmetrics
2020-06-20,5,openmetrics
2020-06-21,8,openmetrics
2020-06-22,15,openmetrics
2020-06-23,29,openmetrics
2020-06-24,16,openmetrics
2020-06-25,9,openmetrics
2020-06-26,16,openmetrics
2020-06-27,8,openmetrics
2020-06-28,8,openmetrics
2020-06-29,15,openmetrics
2020-06-30,6,openmetrics
2020-07-01,9,openmetrics
2020-07-02,8,openmetrics
2020-07-03,13,openmetrics
2020-07-04,5,openmetrics
2020-07-05,10,openmetrics
2020-07-06,8,openmetrics
2020-07-07,21,openmetrics
2020-07-08,15,openmetrics
2020-07-09,12,openmetrics
2020-07-10,6,openmetrics
2020-07-11,4,openmetrics
2020-07-12,8,openmetrics
2020-07-13,10,openmetrics
2020-07-14,31,openmetrics
2020-07-15,33,openmetrics
2020-07-16,14,openmetrics
2020-07-17,38,openmetrics
2020-07-18,22,openmetrics
2020-07-19,22,openmetrics
2020-07-20,28,openmetrics
2020-07-21,31,openmetrics
2020-07-22,30,openmetrics
2020-07-23,25,openmetrics
2020-07-24,27,openmetrics
2020-07-25,21,openmetrics
2020-07-26,21,openmetrics
2020-07-27,15,openmetrics
2020-07-28,19,openmetrics
2020-07-29,19,openmetrics
2020-07-30,23,openmetrics
2020-07-31,8,openmetrics
2020-08-01,3,openmetrics
2020-08-02,10,openmetrics
2020-08-03,17,openmetrics
2020-08-04,21,openmetrics
2020-08-05,24,openmetrics
2020-08-06,18,openmetrics
2020-08-07,30,openmetrics
2020-08-08,14,openmetrics
2020-08-09,15,openmetrics
2020-08-10,24,openmetrics
2020-08-11,29,openmetrics
2020-08-12,21,openmetrics
2020-08-13,20,openmetrics
2020-08-14,18,openmetrics
2020-08-15,11,openmetrics
2020-08-16,14,openmetrics
2020-08-17,22,openmetrics
2020-08-18,24,openmetrics
2020-08-19,24,openmetrics
2020-08-20,19,openmetrics
2020-08-21,17,openmetrics
2020-08-22,10,openmetrics
2020-08-23,14,openmetrics
2020-08-24,30,openmetrics
2020-08-25,17,openmetrics
2020-08-26,21,openmetrics
2020-08-27,22,openmetrics
2020-08-28,13,openmetrics
2020-08-29,12,openmetrics
2020-08-30,10,openmetrics
2020-08-31,16,openmetrics
2020-09-01,14,openmetrics
2020-09-02,18,openmetrics
2020-09-03,19,openmetrics
2020-09-04,14,openmetrics
2020-09-05,17,openmetrics
2020-09-06,15,openmetrics
2020-09-07,21,openmetrics
2020-09-08,24,openmetrics
2020-09-09,29,openmetrics
2020-09-10,29,openmetrics
2020-09-11,29,openmetrics
2020-09-12,23,openmetrics
2020-09-13,18,openmetrics
2020-09-14,38,openmetrics
2020-09-15,23,openmetrics
2020-09-16,17,openmetrics
2020-09-17,37,openmetrics
2020-09-18,30,openmetrics
2020-09-19,12,openmetrics
2020-09-20,13,openmetrics
2020-09-21,22,openmetrics
2020-09-22,20,openmetrics
2020-09-23,44,openmetrics
2020-09-24,12,openmetrics
2020-09-25,13,openmetrics
2020-09-26,9,openmetrics
2020-09-27,9,openmetrics
2020-09-28,23,openmetrics
2020-09-29,26,openmetrics
2020-09-30,23,openmetrics
2020-10-01,26,openmetrics
2020-10-02,16,openmetrics
2020-10-03,12,openmetrics
2020-10-04,14,openmetrics
2020-10-05,12,openmetrics
2020-10-06,11,openmetrics
2020-10-07,20,openmetrics
2020-10-08,15,openmetrics
2020-10-09,22,openmetrics
2020-10-10,12,openmetrics
2020-10-11,13,openmetrics
2020-10-12,17,openmetrics
2020-10-13,19,openmetrics
2020-10-14,21,openmetrics
2020-10-15,11,openmetrics
2020-10-16,30,openmetrics
2020-10-17,1,openmetrics
2020-10-18,9,openmetrics
2020-10-19,26,openmetrics
2020-10-20,26,openmetrics
2020-10-21,25,openmetrics
2020-10-22,28,openmetrics
2020-10-23,26,openmetrics
2020-10-24,13,openmetrics
2020-10-25,10,openmetrics
2020-10-26,18,openmetrics
2020-10-27,23,openmetrics
2020-10-28,22,openmetrics
2020-10-29,24,openmetrics
2020-10-30,15,openmetrics
2020-10-31,10,openmetrics
2020-11-01,8,openmetrics
2020-11-02,10,openmetrics
2020-11-03,20,openmetrics
2020-11-04,13,openmetrics
2020-11-05,31,openmetrics
2020-11-06,20,openmetrics
2020-11-07,15,openmetrics
2020-11-08,11,openmetrics
2020-11-09,24,openmetrics
2020-11-10,35,openmetrics
2020-11-11,45,openmetrics
2020-11-12,43,openmetrics
2020-11-13,21,openmetrics
