date,count,package
2020-01-01,0,pcds
2020-01-02,0,pcds
2020-01-03,0,pcds
2020-01-04,0,pcds
2020-01-05,0,pcds
2020-01-06,0,pcds
2020-01-07,0,pcds
2020-01-08,0,pcds
2020-01-09,0,pcds
2020-01-10,0,pcds
2020-01-11,0,pcds
2020-01-12,0,pcds
2020-01-13,0,pcds
2020-01-14,0,pcds
2020-01-15,0,pcds
2020-01-16,0,pcds
2020-01-17,0,pcds
2020-01-18,0,pcds
2020-01-19,0,pcds
2020-01-20,0,pcds
2020-01-21,0,pcds
2020-01-22,0,pcds
2020-01-23,0,pcds
2020-01-24,0,pcds
2020-01-25,0,pcds
2020-01-26,0,pcds
2020-01-27,0,pcds
2020-01-28,0,pcds
2020-01-29,0,pcds
2020-01-30,0,pcds
2020-01-31,0,pcds
2020-02-01,0,pcds
2020-02-02,0,pcds
2020-02-03,0,pcds
2020-02-04,0,pcds
2020-02-05,0,pcds
2020-02-06,0,pcds
2020-02-07,0,pcds
2020-02-08,0,pcds
2020-02-09,0,pcds
2020-02-10,0,pcds
2020-02-11,0,pcds
2020-02-12,0,pcds
2020-02-13,0,pcds
2020-02-14,0,pcds
2020-02-15,0,pcds
2020-02-16,0,pcds
2020-02-17,0,pcds
2020-02-18,0,pcds
2020-02-19,0,pcds
2020-02-20,0,pcds
2020-02-21,0,pcds
2020-02-22,0,pcds
2020-02-23,0,pcds
2020-02-24,0,pcds
2020-02-25,0,pcds
2020-02-26,0,pcds
2020-02-27,0,pcds
2020-02-28,0,pcds
2020-02-29,1,pcds
2020-03-01,9,pcds
2020-03-02,26,pcds
2020-03-03,23,pcds
2020-03-04,30,pcds
2020-03-05,20,pcds
2020-03-06,36,pcds
2020-03-07,24,pcds
2020-03-08,22,pcds
2020-03-09,19,pcds
2020-03-10,20,pcds
2020-03-11,4,pcds
2020-03-12,33,pcds
2020-03-13,19,pcds
2020-03-14,19,pcds
2020-03-15,13,pcds
2020-03-16,25,pcds
2020-03-17,17,pcds
2020-03-18,5,pcds
2020-03-19,13,pcds
2020-03-20,15,pcds
2020-03-21,12,pcds
2020-03-22,10,pcds
2020-03-23,10,pcds
2020-03-24,12,pcds
2020-03-25,28,pcds
2020-03-26,16,pcds
2020-03-27,5,pcds
2020-03-28,17,pcds
2020-03-29,18,pcds
2020-03-30,20,pcds
2020-03-31,26,pcds
2020-04-01,17,pcds
2020-04-02,9,pcds
2020-04-03,28,pcds
2020-04-04,28,pcds
2020-04-05,30,pcds
2020-04-06,30,pcds
2020-04-07,34,pcds
2020-04-08,31,pcds
2020-04-09,26,pcds
2020-04-10,15,pcds
2020-04-11,6,pcds
2020-04-12,15,pcds
2020-04-13,13,pcds
2020-04-14,14,pcds
2020-04-15,24,pcds
2020-04-16,17,pcds
2020-04-17,21,pcds
2020-04-18,6,pcds
2020-04-19,1,pcds
2020-04-20,8,pcds
2020-04-21,9,pcds
2020-04-22,28,pcds
2020-04-23,11,pcds
2020-04-24,13,pcds
2020-04-25,22,pcds
2020-04-26,11,pcds
2020-04-27,15,pcds
2020-04-28,19,pcds
2020-04-29,32,pcds
2020-04-30,15,pcds
2020-05-01,16,pcds
2020-05-02,26,pcds
2020-05-03,17,pcds
2020-05-04,19,pcds
2020-05-05,12,pcds
2020-05-06,25,pcds
2020-05-07,21,pcds
2020-05-08,15,pcds
2020-05-09,21,pcds
2020-05-10,44,pcds
2020-05-11,38,pcds
2020-05-12,16,pcds
2020-05-13,17,pcds
2020-05-14,12,pcds
2020-05-15,12,pcds
2020-05-16,12,pcds
2020-05-17,15,pcds
2020-05-18,20,pcds
2020-05-19,16,pcds
2020-05-20,17,pcds
2020-05-21,9,pcds
2020-05-22,11,pcds
2020-05-23,7,pcds
2020-05-24,8,pcds
2020-05-25,15,pcds
2020-05-26,19,pcds
2020-05-27,14,pcds
2020-05-28,12,pcds
2020-05-29,16,pcds
2020-05-30,10,pcds
2020-05-31,13,pcds
2020-06-01,10,pcds
2020-06-02,12,pcds
2020-06-03,12,pcds
2020-06-04,11,pcds
2020-06-05,11,pcds
2020-06-06,23,pcds
2020-06-07,12,pcds
2020-06-08,21,pcds
2020-06-09,12,pcds
2020-06-10,18,pcds
2020-06-11,14,pcds
2020-06-12,10,pcds
2020-06-13,10,pcds
2020-06-14,13,pcds
2020-06-15,11,pcds
2020-06-16,13,pcds
2020-06-17,20,pcds
2020-06-18,22,pcds
2020-06-19,16,pcds
2020-06-20,11,pcds
2020-06-21,19,pcds
2020-06-22,14,pcds
2020-06-23,17,pcds
2020-06-24,13,pcds
2020-06-25,10,pcds
2020-06-26,17,pcds
2020-06-27,10,pcds
2020-06-28,11,pcds
2020-06-29,12,pcds
2020-06-30,8,pcds
2020-07-01,11,pcds
2020-07-02,10,pcds
2020-07-03,14,pcds
2020-07-04,14,pcds
2020-07-05,14,pcds
2020-07-06,8,pcds
2020-07-07,16,pcds
2020-07-08,14,pcds
2020-07-09,8,pcds
2020-07-10,9,pcds
2020-07-11,7,pcds
2020-07-12,11,pcds
2020-07-13,13,pcds
2020-07-14,12,pcds
2020-07-15,15,pcds
2020-07-16,12,pcds
2020-07-17,15,pcds
2020-07-18,14,pcds
2020-07-19,11,pcds
2020-07-20,10,pcds
2020-07-21,16,pcds
2020-07-22,15,pcds
2020-07-23,10,pcds
2020-07-24,11,pcds
2020-07-25,13,pcds
2020-07-26,11,pcds
2020-07-27,7,pcds
2020-07-28,16,pcds
2020-07-29,16,pcds
2020-07-30,9,pcds
2020-07-31,4,pcds
2020-08-01,0,pcds
2020-08-02,5,pcds
2020-08-03,12,pcds
2020-08-04,13,pcds
2020-08-05,16,pcds
2020-08-06,14,pcds
2020-08-07,18,pcds
2020-08-08,12,pcds
2020-08-09,13,pcds
2020-08-10,17,pcds
2020-08-11,18,pcds
2020-08-12,12,pcds
2020-08-13,15,pcds
2020-08-14,12,pcds
2020-08-15,9,pcds
2020-08-16,13,pcds
2020-08-17,12,pcds
2020-08-18,15,pcds
2020-08-19,15,pcds
2020-08-20,9,pcds
2020-08-21,13,pcds
