date,count,package
2020-01-01,0,pould
2020-01-02,0,pould
2020-01-03,0,pould
2020-01-04,0,pould
2020-01-05,0,pould
2020-01-06,0,pould
2020-01-07,0,pould
2020-01-08,0,pould
2020-01-09,0,pould
2020-01-10,0,pould
2020-01-11,0,pould
2020-01-12,0,pould
2020-01-13,0,pould
2020-01-14,0,pould
2020-01-15,0,pould
2020-01-16,0,pould
2020-01-17,0,pould
2020-01-18,0,pould
2020-01-19,0,pould
2020-01-20,0,pould
2020-01-21,0,pould
2020-01-22,0,pould
2020-01-23,0,pould
2020-01-24,0,pould
2020-01-25,0,pould
2020-01-26,0,pould
2020-01-27,0,pould
2020-01-28,0,pould
2020-01-29,0,pould
2020-01-30,0,pould
2020-01-31,0,pould
2020-02-01,0,pould
2020-02-02,0,pould
2020-02-03,0,pould
2020-02-04,0,pould
2020-02-05,0,pould
2020-02-06,0,pould
2020-02-07,0,pould
2020-02-08,0,pould
2020-02-09,0,pould
2020-02-10,0,pould
2020-02-11,0,pould
2020-02-12,0,pould
2020-02-13,0,pould
2020-02-14,0,pould
2020-02-15,0,pould
2020-02-16,0,pould
2020-02-17,0,pould
2020-02-18,0,pould
2020-02-19,0,pould
2020-02-20,0,pould
2020-02-21,0,pould
2020-02-22,0,pould
2020-02-23,0,pould
2020-02-24,0,pould
2020-02-25,0,pould
2020-02-26,0,pould
2020-02-27,0,pould
2020-02-28,0,pould
2020-02-29,0,pould
2020-03-01,0,pould
2020-03-02,0,pould
2020-03-03,0,pould
2020-03-04,0,pould
2020-03-05,0,pould
2020-03-06,0,pould
2020-03-07,0,pould
2020-03-08,0,pould
2020-03-09,0,pould
2020-03-10,0,pould
2020-03-11,0,pould
2020-03-12,0,pould
2020-03-13,0,pould
2020-03-14,0,pould
2020-03-15,0,pould
2020-03-16,0,pould
2020-03-17,0,pould
2020-03-18,0,pould
2020-03-19,0,pould
2020-03-20,0,pould
2020-03-21,0,pould
2020-03-22,0,pould
2020-03-23,0,pould
2020-03-24,0,pould
2020-03-25,0,pould
2020-03-26,0,pould
2020-03-27,0,pould
2020-03-28,0,pould
2020-03-29,0,pould
2020-03-30,0,pould
2020-03-31,0,pould
2020-04-01,0,pould
2020-04-02,0,pould
2020-04-03,0,pould
2020-04-04,0,pould
2020-04-05,0,pould
2020-04-06,0,pould
2020-04-07,0,pould
2020-04-08,0,pould
2020-04-09,0,pould
2020-04-10,0,pould
2020-04-11,0,pould
2020-04-12,0,pould
2020-04-13,0,pould
2020-04-14,0,pould
2020-04-15,9,pould
2020-04-16,11,pould
2020-04-17,24,pould
2020-04-18,5,pould
2020-04-19,3,pould
2020-04-20,11,pould
2020-04-21,9,pould
2020-04-22,49,pould
2020-04-23,11,pould
2020-04-24,30,pould
2020-04-25,28,pould
2020-04-26,11,pould
2020-04-27,22,pould
2020-04-28,24,pould
2020-04-29,35,pould
2020-04-30,18,pould
2020-05-01,16,pould
2020-05-02,23,pould
2020-05-03,17,pould
2020-05-04,18,pould
2020-05-05,15,pould
2020-05-06,25,pould
2020-05-07,22,pould
2020-05-08,17,pould
2020-05-09,23,pould
2020-05-10,51,pould
2020-05-11,40,pould
2020-05-12,18,pould
2020-05-13,17,pould
2020-05-14,13,pould
2020-05-15,15,pould
2020-05-16,15,pould
2020-05-17,17,pould
2020-05-18,22,pould
2020-05-19,20,pould
2020-05-20,18,pould
2020-05-21,11,pould
2020-05-22,15,pould
2020-05-23,10,pould
2020-05-24,11,pould
2020-05-25,12,pould
2020-05-26,28,pould
2020-05-27,15,pould
2020-05-28,15,pould
2020-05-29,13,pould
2020-05-30,13,pould
2020-05-31,16,pould
2020-06-01,15,pould
2020-06-02,16,pould
2020-06-03,13,pould
2020-06-04,12,pould
2020-06-05,13,pould
2020-06-06,18,pould
2020-06-07,15,pould
2020-06-08,17,pould
2020-06-09,21,pould
2020-06-10,19,pould
2020-06-11,17,pould
2020-06-12,13,pould
2020-06-13,20,pould
2020-06-14,17,pould
2020-06-15,12,pould
2020-06-16,15,pould
2020-06-17,16,pould
2020-06-18,25,pould
2020-06-19,19,pould
2020-06-20,11,pould
2020-06-21,14,pould
2020-06-22,22,pould
2020-06-23,20,pould
2020-06-24,16,pould
2020-06-25,13,pould
2020-06-26,18,pould
2020-06-27,14,pould
2020-06-28,13,pould
2020-06-29,15,pould
2020-06-30,10,pould
2020-07-01,15,pould
2020-07-02,19,pould
2020-07-03,17,pould
2020-07-04,17,pould
2020-07-05,14,pould
2020-07-06,12,pould
2020-07-07,19,pould
2020-07-08,14,pould
2020-07-09,18,pould
2020-07-10,12,pould
2020-07-11,10,pould
2020-07-12,14,pould
2020-07-13,17,pould
2020-07-14,12,pould
2020-07-15,10,pould
2020-07-16,12,pould
2020-07-17,15,pould
2020-07-18,14,pould
2020-07-19,17,pould
2020-07-20,10,pould
2020-07-21,16,pould
2020-07-22,12,pould
2020-07-23,9,pould
2020-07-24,11,pould
2020-07-25,14,pould
2020-07-26,12,pould
2020-07-27,8,pould
2020-07-28,10,pould
