date,count,package
2020-01-01,0,riceidconverter
2020-01-02,0,riceidconverter
2020-01-03,0,riceidconverter
2020-01-04,0,riceidconverter
2020-01-05,0,riceidconverter
2020-01-06,0,riceidconverter
2020-01-07,0,riceidconverter
2020-01-08,0,riceidconverter
2020-01-09,3,riceidconverter
2020-01-10,18,riceidconverter
2020-01-11,25,riceidconverter
2020-01-12,13,riceidconverter
2020-01-13,34,riceidconverter
2020-01-14,34,riceidconverter
2020-01-15,33,riceidconverter
2020-01-16,32,riceidconverter
2020-01-17,22,riceidconverter
2020-01-18,16,riceidconverter
2020-01-19,17,riceidconverter
2020-01-20,13,riceidconverter
2020-01-21,19,riceidconverter
2020-01-22,12,riceidconverter
2020-01-23,9,riceidconverter
2020-01-24,16,riceidconverter
2020-01-25,21,riceidconverter
2020-01-26,24,riceidconverter
2020-01-27,24,riceidconverter
2020-01-28,37,riceidconverter
2020-01-29,42,riceidconverter
2020-01-30,27,riceidconverter
2020-01-31,29,riceidconverter
2020-02-01,24,riceidconverter
2020-02-02,19,riceidconverter
2020-02-03,16,riceidconverter
2020-02-04,14,riceidconverter
2020-02-05,21,riceidconverter
2020-02-06,20,riceidconverter
2020-02-07,13,riceidconverter
2020-02-08,16,riceidconverter
2020-02-09,24,riceidconverter
2020-02-10,26,riceidconverter
2020-02-11,30,riceidconverter
2020-02-12,31,riceidconverter
2020-02-13,24,riceidconverter
2020-02-14,31,riceidconverter
2020-02-15,29,riceidconverter
2020-02-16,35,riceidconverter
2020-02-17,22,riceidconverter
2020-02-18,30,riceidconverter
2020-02-19,40,riceidconverter
2020-02-20,22,riceidconverter
2020-02-21,32,riceidconverter
2020-02-22,25,riceidconverter
2020-02-23,23,riceidconverter
2020-02-24,25,riceidconverter
2020-02-25,22,riceidconverter
2020-02-26,29,riceidconverter
2020-02-27,16,riceidconverter
2020-02-28,14,riceidconverter
2020-02-29,6,riceidconverter
2020-03-01,13,riceidconverter
2020-03-02,8,riceidconverter
2020-03-03,13,riceidconverter
2020-03-04,25,riceidconverter
2020-03-05,10,riceidconverter
2020-03-06,13,riceidconverter
2020-03-07,11,riceidconverter
2020-03-08,13,riceidconverter
2020-03-09,20,riceidconverter
2020-03-10,14,riceidconverter
2020-03-11,10,riceidconverter
2020-03-12,20,riceidconverter
2020-03-13,12,riceidconverter
2020-03-14,8,riceidconverter
2020-03-15,7,riceidconverter
2020-03-16,12,riceidconverter
2020-03-17,11,riceidconverter
2020-03-18,9,riceidconverter
2020-03-19,12,riceidconverter
2020-03-20,9,riceidconverter
2020-03-21,11,riceidconverter
2020-03-22,15,riceidconverter
2020-03-23,10,riceidconverter
2020-03-24,7,riceidconverter
2020-03-25,17,riceidconverter
2020-03-26,9,riceidconverter
2020-03-27,4,riceidconverter
2020-03-28,10,riceidconverter
2020-03-29,17,riceidconverter
2020-03-30,18,riceidconverter
2020-03-31,18,riceidconverter
2020-04-01,22,riceidconverter
2020-04-02,8,riceidconverter
2020-04-03,14,riceidconverter
2020-04-04,10,riceidconverter
2020-04-05,12,riceidconverter
2020-04-06,19,riceidconverter
2020-04-07,18,riceidconverter
2020-04-08,26,riceidconverter
2020-04-09,20,riceidconverter
2020-04-10,10,riceidconverter
2020-04-11,6,riceidconverter
2020-04-12,13,riceidconverter
2020-04-13,10,riceidconverter
2020-04-14,12,riceidconverter
2020-04-15,25,riceidconverter
2020-04-16,19,riceidconverter
2020-04-17,20,riceidconverter
2020-04-18,7,riceidconverter
2020-04-19,2,riceidconverter
2020-04-20,12,riceidconverter
2020-04-21,10,riceidconverter
2020-04-22,29,riceidconverter
2020-04-23,11,riceidconverter
2020-04-24,12,riceidconverter
2020-04-25,24,riceidconverter
2020-04-26,10,riceidconverter
2020-04-27,15,riceidconverter
2020-04-28,18,riceidconverter
2020-04-29,36,riceidconverter
2020-04-30,13,riceidconverter
2020-05-01,16,riceidconverter
2020-05-02,25,riceidconverter
2020-05-03,17,riceidconverter
2020-05-04,17,riceidconverter
2020-05-05,11,riceidconverter
2020-05-06,28,riceidconverter
2020-05-07,22,riceidconverter
2020-05-08,13,riceidconverter
2020-05-09,20,riceidconverter
2020-05-10,50,riceidconverter
2020-05-11,43,riceidconverter
2020-05-12,15,riceidconverter
2020-05-13,23,riceidconverter
2020-05-14,11,riceidconverter
2020-05-15,13,riceidconverter
2020-05-16,12,riceidconverter
2020-05-17,14,riceidconverter
2020-05-18,20,riceidconverter
2020-05-19,14,riceidconverter
2020-05-20,21,riceidconverter
2020-05-21,10,riceidconverter
2020-05-22,13,riceidconverter
2020-05-23,9,riceidconverter
2020-05-24,9,riceidconverter
2020-05-25,9,riceidconverter
2020-05-26,13,riceidconverter
2020-05-27,21,riceidconverter
2020-05-28,19,riceidconverter
2020-05-29,16,riceidconverter
2020-05-30,11,riceidconverter
2020-05-31,21,riceidconverter
2020-06-01,13,riceidconverter
2020-06-02,13,riceidconverter
2020-06-03,19,riceidconverter
2020-06-04,9,riceidconverter
2020-06-05,11,riceidconverter
2020-06-06,8,riceidconverter
2020-06-07,13,riceidconverter
2020-06-08,14,riceidconverter
2020-06-09,11,riceidconverter
2020-06-10,29,riceidconverter
2020-06-11,11,riceidconverter
2020-06-12,10,riceidconverter
2020-06-13,11,riceidconverter
2020-06-14,13,riceidconverter
2020-06-15,10,riceidconverter
2020-06-16,13,riceidconverter
2020-06-17,16,riceidconverter
2020-06-18,35,riceidconverter
2020-06-19,16,riceidconverter
2020-06-20,11,riceidconverter
2020-06-21,14,riceidconverter
2020-06-22,14,riceidconverter
2020-06-23,25,riceidconverter
2020-06-24,18,riceidconverter
2020-06-25,10,riceidconverter
