date,count,package
2020-01-01,0,rspiro
2020-01-02,0,rspiro
2020-01-03,0,rspiro
2020-01-04,0,rspiro
2020-01-05,0,rspiro
2020-01-06,0,rspiro
2020-01-07,0,rspiro
2020-01-08,0,rspiro
2020-01-09,0,rspiro
2020-01-10,0,rspiro
2020-01-11,0,rspiro
2020-01-12,0,rspiro
2020-01-13,0,rspiro
2020-01-14,0,rspiro
2020-01-15,0,rspiro
2020-01-16,0,rspiro
2020-01-17,0,rspiro
2020-01-18,0,rspiro
2020-01-19,0,rspiro
2020-01-20,0,rspiro
2020-01-21,0,rspiro
2020-01-22,0,rspiro
2020-01-23,0,rspiro
2020-01-24,0,rspiro
2020-01-25,0,rspiro
2020-01-26,0,rspiro
2020-01-27,0,rspiro
2020-01-28,0,rspiro
2020-01-29,0,rspiro
2020-01-30,0,rspiro
2020-01-31,0,rspiro
2020-02-01,0,rspiro
2020-02-02,0,rspiro
2020-02-03,0,rspiro
2020-02-04,0,rspiro
2020-02-05,0,rspiro
2020-02-06,0,rspiro
2020-02-07,0,rspiro
2020-02-08,0,rspiro
2020-02-09,0,rspiro
2020-02-10,0,rspiro
2020-02-11,0,rspiro
2020-02-12,0,rspiro
2020-02-13,0,rspiro
2020-02-14,0,rspiro
2020-02-15,0,rspiro
2020-02-16,0,rspiro
2020-02-17,0,rspiro
2020-02-18,0,rspiro
2020-02-19,0,rspiro
2020-02-20,0,rspiro
2020-02-21,0,rspiro
2020-02-22,0,rspiro
2020-02-23,0,rspiro
2020-02-24,0,rspiro
2020-02-25,0,rspiro
2020-02-26,0,rspiro
2020-02-27,0,rspiro
2020-02-28,0,rspiro
2020-02-29,0,rspiro
2020-03-01,0,rspiro
2020-03-02,0,rspiro
2020-03-03,0,rspiro
2020-03-04,0,rspiro
2020-03-05,0,rspiro
2020-03-06,0,rspiro
2020-03-07,0,rspiro
2020-03-08,0,rspiro
2020-03-09,0,rspiro
2020-03-10,0,rspiro
2020-03-11,0,rspiro
2020-03-12,0,rspiro
2020-03-13,0,rspiro
2020-03-14,0,rspiro
2020-03-15,0,rspiro
2020-03-16,0,rspiro
2020-03-17,0,rspiro
2020-03-18,0,rspiro
2020-03-19,0,rspiro
2020-03-20,0,rspiro
2020-03-21,0,rspiro
2020-03-22,0,rspiro
2020-03-23,0,rspiro
2020-03-24,0,rspiro
2020-03-25,0,rspiro
2020-03-26,3,rspiro
2020-03-27,12,rspiro
2020-03-28,12,rspiro
2020-03-29,15,rspiro
2020-03-30,18,rspiro
2020-03-31,23,rspiro
2020-04-01,14,rspiro
2020-04-02,8,rspiro
2020-04-03,24,rspiro
2020-04-04,23,rspiro
2020-04-05,25,rspiro
2020-04-06,32,rspiro
2020-04-07,32,rspiro
2020-04-08,31,rspiro
2020-04-09,30,rspiro
2020-04-10,22,rspiro
2020-04-11,9,rspiro
2020-04-12,25,rspiro
2020-04-13,22,rspiro
2020-04-14,25,rspiro
2020-04-15,27,rspiro
2020-04-16,12,rspiro
2020-04-17,30,rspiro
2020-04-18,6,rspiro
2020-04-19,1,rspiro
2020-04-20,5,rspiro
2020-04-21,9,rspiro
2020-04-22,37,rspiro
2020-04-23,11,rspiro
2020-04-24,25,rspiro
2020-04-25,34,rspiro
2020-04-26,12,rspiro
2020-04-27,29,rspiro
2020-04-28,31,rspiro
2020-04-29,42,rspiro
2020-04-30,26,rspiro
2020-05-01,27,rspiro
2020-05-02,32,rspiro
2020-05-03,25,rspiro
2020-05-04,27,rspiro
2020-05-05,22,rspiro
2020-05-06,34,rspiro
2020-05-07,27,rspiro
2020-05-08,22,rspiro
2020-05-09,29,rspiro
2020-05-10,57,rspiro
2020-05-11,45,rspiro
2020-05-12,25,rspiro
2020-05-13,23,rspiro
2020-05-14,22,rspiro
2020-05-15,22,rspiro
2020-05-16,23,rspiro
2020-05-17,23,rspiro
2020-05-18,35,rspiro
2020-05-19,25,rspiro
2020-05-20,23,rspiro
2020-05-21,18,rspiro
2020-05-22,19,rspiro
2020-05-23,16,rspiro
2020-05-24,19,rspiro
2020-05-25,20,rspiro
2020-05-26,22,rspiro
2020-05-27,23,rspiro
2020-05-28,22,rspiro
2020-05-29,20,rspiro
2020-05-30,20,rspiro
2020-05-31,25,rspiro
2020-06-01,20,rspiro
2020-06-02,21,rspiro
2020-06-03,26,rspiro
2020-06-04,25,rspiro
2020-06-05,20,rspiro
2020-06-06,19,rspiro
2020-06-07,21,rspiro
2020-06-08,25,rspiro
2020-06-09,22,rspiro
2020-06-10,26,rspiro
2020-06-11,21,rspiro
2020-06-12,20,rspiro
2020-06-13,20,rspiro
2020-06-14,23,rspiro
2020-06-15,18,rspiro
2020-06-16,25,rspiro
2020-06-17,18,rspiro
2020-06-18,38,rspiro
2020-06-19,25,rspiro
2020-06-20,17,rspiro
2020-06-21,20,rspiro
2020-06-22,23,rspiro
2020-06-23,28,rspiro
2020-06-24,20,rspiro
2020-06-25,20,rspiro
2020-06-26,24,rspiro
2020-06-27,22,rspiro
2020-06-28,19,rspiro
2020-06-29,21,rspiro
2020-06-30,22,rspiro
2020-07-01,19,rspiro
2020-07-02,20,rspiro
2020-07-03,23,rspiro
2020-07-04,17,rspiro
2020-07-05,16,rspiro
2020-07-06,18,rspiro
2020-07-07,26,rspiro
2020-07-08,20,rspiro
2020-07-09,18,rspiro
2020-07-10,19,rspiro
2020-07-11,16,rspiro
2020-07-12,20,rspiro
2020-07-13,29,rspiro
2020-07-14,22,rspiro
2020-07-15,19,rspiro
2020-07-16,20,rspiro
2020-07-17,19,rspiro
2020-07-18,25,rspiro
2020-07-19,20,rspiro
2020-07-20,19,rspiro
2020-07-21,26,rspiro
2020-07-22,24,rspiro
2020-07-23,19,rspiro
2020-07-24,19,rspiro
2020-07-25,24,rspiro
2020-07-26,20,rspiro
2020-07-27,18,rspiro
2020-07-28,17,rspiro
2020-07-29,8,rspiro
2020-07-30,7,rspiro
2020-07-31,4,rspiro
2020-08-01,0,rspiro
2020-08-02,7,rspiro
2020-08-03,20,rspiro
2020-08-04,21,rspiro
2020-08-05,22,rspiro
2020-08-06,22,rspiro
2020-08-07,33,rspiro
2020-08-08,21,rspiro
2020-08-09,21,rspiro
2020-08-10,26,rspiro
2020-08-11,23,rspiro
2020-08-12,20,rspiro
2020-08-13,28,rspiro
2020-08-14,21,rspiro
