date,count,package
2020-01-01,0,s2net
2020-01-02,0,s2net
2020-01-03,0,s2net
2020-01-04,0,s2net
2020-01-05,0,s2net
2020-01-06,0,s2net
2020-01-07,0,s2net
2020-01-08,0,s2net
2020-01-09,0,s2net
2020-01-10,0,s2net
2020-01-11,0,s2net
2020-01-12,0,s2net
2020-01-13,6,s2net
2020-01-14,8,s2net
2020-01-15,23,s2net
2020-01-16,39,s2net
2020-01-17,35,s2net
2020-01-18,35,s2net
2020-01-19,34,s2net
2020-01-20,33,s2net
2020-01-21,39,s2net
2020-01-22,33,s2net
2020-01-23,28,s2net
2020-01-24,29,s2net
2020-01-25,26,s2net
2020-01-26,28,s2net
2020-01-27,28,s2net
2020-01-28,32,s2net
2020-01-29,34,s2net
2020-01-30,24,s2net
2020-01-31,24,s2net
2020-02-01,21,s2net
2020-02-02,14,s2net
2020-02-03,10,s2net
2020-02-04,11,s2net
2020-02-05,17,s2net
2020-02-06,16,s2net
2020-02-07,15,s2net
2020-02-08,19,s2net
2020-02-09,9,s2net
2020-02-10,11,s2net
2020-02-11,11,s2net
2020-02-12,14,s2net
2020-02-13,12,s2net
2020-02-14,10,s2net
2020-02-15,14,s2net
2020-02-16,14,s2net
2020-02-17,8,s2net
2020-02-18,10,s2net
2020-02-19,15,s2net
2020-02-20,9,s2net
2020-02-21,14,s2net
2020-02-22,16,s2net
2020-02-23,13,s2net
2020-02-24,12,s2net
2020-02-25,9,s2net
2020-02-26,16,s2net
2020-02-27,11,s2net
2020-02-28,10,s2net
2020-02-29,4,s2net
2020-03-01,13,s2net
2020-03-02,8,s2net
2020-03-03,12,s2net
2020-03-04,18,s2net
2020-03-05,11,s2net
2020-03-06,14,s2net
2020-03-07,11,s2net
2020-03-08,14,s2net
2020-03-09,13,s2net
2020-03-10,15,s2net
2020-03-11,5,s2net
2020-03-12,19,s2net
2020-03-13,12,s2net
2020-03-14,8,s2net
2020-03-15,14,s2net
2020-03-16,11,s2net
2020-03-17,10,s2net
2020-03-18,7,s2net
2020-03-19,11,s2net
2020-03-20,11,s2net
2020-03-21,11,s2net
2020-03-22,9,s2net
2020-03-23,10,s2net
2020-03-24,14,s2net
2020-03-25,13,s2net
2020-03-26,9,s2net
2020-03-27,6,s2net
2020-03-28,9,s2net
2020-03-29,17,s2net
2020-03-30,18,s2net
2020-03-31,17,s2net
2020-04-01,14,s2net
2020-04-02,8,s2net
2020-04-03,14,s2net
2020-04-04,9,s2net
2020-04-05,13,s2net
2020-04-06,19,s2net
2020-04-07,18,s2net
2020-04-08,21,s2net
2020-04-09,18,s2net
2020-04-10,13,s2net
2020-04-11,6,s2net
2020-04-12,12,s2net
2020-04-13,9,s2net
2020-04-14,10,s2net
2020-04-15,22,s2net
2020-04-16,24,s2net
2020-04-17,22,s2net
2020-04-18,5,s2net
2020-04-19,2,s2net
2020-04-20,6,s2net
2020-04-21,8,s2net
2020-04-22,26,s2net
2020-04-23,11,s2net
2020-04-24,14,s2net
2020-04-25,22,s2net
2020-04-26,11,s2net
2020-04-27,16,s2net
2020-04-28,19,s2net
2020-04-29,32,s2net
2020-04-30,15,s2net
2020-05-01,17,s2net
2020-05-02,25,s2net
2020-05-03,17,s2net
2020-05-04,19,s2net
2020-05-05,14,s2net
2020-05-06,25,s2net
2020-05-07,20,s2net
2020-05-08,15,s2net
2020-05-09,23,s2net
2020-05-10,51,s2net
2020-05-11,37,s2net
2020-05-12,15,s2net
2020-05-13,16,s2net
2020-05-14,11,s2net
2020-05-15,12,s2net
2020-05-16,13,s2net
2020-05-17,14,s2net
2020-05-18,19,s2net
2020-05-19,16,s2net
2020-05-20,19,s2net
2020-05-21,10,s2net
2020-05-22,11,s2net
2020-05-23,7,s2net
2020-05-24,9,s2net
2020-05-25,9,s2net
2020-05-26,13,s2net
2020-05-27,20,s2net
2020-05-28,17,s2net
2020-05-29,11,s2net
2020-05-30,9,s2net
2020-05-31,13,s2net
2020-06-01,11,s2net
2020-06-02,12,s2net
2020-06-03,13,s2net
2020-06-04,10,s2net
2020-06-05,11,s2net
2020-06-06,8,s2net
2020-06-07,13,s2net
2020-06-08,14,s2net
2020-06-09,11,s2net
2020-06-10,24,s2net
2020-06-11,21,s2net
2020-06-12,11,s2net
2020-06-13,10,s2net
2020-06-14,9,s2net
2020-06-15,14,s2net
2020-06-16,13,s2net
2020-06-17,20,s2net
2020-06-18,23,s2net
2020-06-19,14,s2net
2020-06-20,9,s2net
2020-06-21,13,s2net
2020-06-22,14,s2net
2020-06-23,23,s2net
2020-06-24,13,s2net
2020-06-25,10,s2net
2020-06-26,16,s2net
2020-06-27,11,s2net
2020-06-28,11,s2net
2020-06-29,15,s2net
2020-06-30,8,s2net
2020-07-01,12,s2net
2020-07-02,11,s2net
2020-07-03,13,s2net
2020-07-04,8,s2net
2020-07-05,9,s2net
2020-07-06,16,s2net
2020-07-07,21,s2net
2020-07-08,15,s2net
2020-07-09,9,s2net
2020-07-10,9,s2net
2020-07-11,7,s2net
2020-07-12,11,s2net
2020-07-13,13,s2net
2020-07-14,12,s2net
2020-07-15,11,s2net
2020-07-16,12,s2net
2020-07-17,10,s2net
2020-07-18,14,s2net
2020-07-19,17,s2net
2020-07-20,10,s2net
2020-07-21,16,s2net
2020-07-22,15,s2net
2020-07-23,11,s2net
2020-07-24,17,s2net
2020-07-25,9,s2net
2020-07-26,10,s2net
2020-07-27,7,s2net
2020-07-28,10,s2net
2020-07-29,10,s2net
2020-07-30,10,s2net
2020-07-31,4,s2net
2020-08-01,0,s2net
2020-08-02,13,s2net
2020-08-03,12,s2net
2020-08-04,13,s2net
2020-08-05,16,s2net
2020-08-06,13,s2net
2020-08-07,16,s2net
2020-08-08,12,s2net
2020-08-09,10,s2net
2020-08-10,19,s2net
2020-08-11,11,s2net
2020-08-12,12,s2net
2020-08-13,21,s2net
2020-08-14,12,s2net
2020-08-15,14,s2net
2020-08-16,7,s2net
2020-08-17,12,s2net
2020-08-18,15,s2net
2020-08-19,19,s2net
2020-08-20,9,s2net
2020-08-21,13,s2net
2020-08-22,7,s2net
2020-08-23,7,s2net
2020-08-24,10,s2net
2020-08-25,9,s2net
2020-08-26,12,s2net
2020-08-27,15,s2net
2020-08-28,10,s2net
2020-08-29,11,s2net
2020-08-30,9,s2net
2020-08-31,11,s2net
2020-09-01,15,s2net
2020-09-02,19,s2net
2020-09-03,15,s2net
2020-09-04,9,s2net
2020-09-05,13,s2net
2020-09-06,13,s2net
2020-09-07,20,s2net
2020-09-08,21,s2net
2020-09-09,17,s2net
2020-09-10,21,s2net
2020-09-11,19,s2net
2020-09-12,19,s2net
2020-09-13,15,s2net
2020-09-14,25,s2net
2020-09-15,16,s2net
2020-09-16,13,s2net
2020-09-17,27,s2net
2020-09-18,18,s2net
2020-09-19,12,s2net
2020-09-20,20,s2net
2020-09-21,16,s2net
2020-09-22,17,s2net
2020-09-23,27,s2net
2020-09-24,7,s2net
2020-09-25,9,s2net
2020-09-26,9,s2net
2020-09-27,10,s2net
2020-09-28,16,s2net
2020-09-29,14,s2net
2020-09-30,14,s2net
2020-10-01,16,s2net
2020-10-02,16,s2net
2020-10-03,13,s2net
2020-10-04,14,s2net
2020-10-05,9,s2net
2020-10-06,16,s2net
2020-10-07,7,s2net
2020-10-08,9,s2net
2020-10-09,16,s2net
2020-10-10,12,s2net
2020-10-11,8,s2net
2020-10-12,13,s2net
2020-10-13,11,s2net
2020-10-14,14,s2net
2020-10-15,7,s2net
2020-10-16,11,s2net
2020-10-17,3,s2net
2020-10-18,6,s2net
2020-10-19,16,s2net
2020-10-20,14,s2net
2020-10-21,14,s2net
2020-10-22,14,s2net
2020-10-23,13,s2net
2020-10-24,11,s2net
2020-10-25,10,s2net
2020-10-26,10,s2net
2020-10-27,12,s2net
2020-10-28,14,s2net
2020-10-29,24,s2net
2020-10-30,11,s2net
2020-10-31,9,s2net
2020-11-01,10,s2net
2020-11-02,6,s2net
2020-11-03,16,s2net
2020-11-04,9,s2net
2020-11-05,17,s2net
2020-11-06,13,s2net
2020-11-07,14,s2net
2020-11-08,11,s2net
2020-11-09,17,s2net
2020-11-10,13,s2net
2020-11-11,22,s2net
2020-11-12,17,s2net
2020-11-13,12,s2net
2020-11-14,5,s2net
2020-11-15,10,s2net
2020-11-16,9,s2net
2020-11-17,16,s2net
2020-11-18,17,s2net
2020-11-19,11,s2net
2020-11-20,10,s2net
2020-11-21,8,s2net
2020-11-22,11,s2net
2020-11-23,9,s2net
2020-11-24,12,s2net
2020-11-25,14,s2net
2020-11-26,5,s2net
2020-11-27,9,s2net
2020-11-28,13,s2net
2020-11-29,9,s2net
2020-11-30,13,s2net
2020-12-01,11,s2net
2020-12-02,15,s2net
2020-12-03,12,s2net
2020-12-04,10,s2net
2020-12-05,10,s2net
2020-12-06,8,s2net
2020-12-07,13,s2net
2020-12-08,5,s2net
2020-12-09,15,s2net
2020-12-10,14,s2net
2020-12-11,18,s2net
2020-12-12,10,s2net
