date,count,package
2020-01-01,0,specr
2020-01-02,0,specr
2020-01-03,0,specr
2020-01-04,0,specr
2020-01-05,0,specr
2020-01-06,0,specr
2020-01-07,0,specr
2020-01-08,0,specr
2020-01-09,0,specr
2020-01-10,0,specr
2020-01-11,0,specr
2020-01-12,0,specr
2020-01-13,0,specr
2020-01-14,0,specr
2020-01-15,0,specr
2020-01-16,0,specr
2020-01-17,0,specr
2020-01-18,0,specr
2020-01-19,0,specr
2020-01-20,0,specr
2020-01-21,0,specr
2020-01-22,0,specr
2020-01-23,0,specr
2020-01-24,0,specr
2020-01-25,0,specr
2020-01-26,0,specr
2020-01-27,0,specr
2020-01-28,0,specr
2020-01-29,0,specr
2020-01-30,0,specr
2020-01-31,0,specr
2020-02-01,0,specr
2020-02-02,0,specr
2020-02-03,0,specr
2020-02-04,0,specr
2020-02-05,0,specr
2020-02-06,0,specr
2020-02-07,0,specr
2020-02-08,0,specr
2020-02-09,0,specr
2020-02-10,0,specr
2020-02-11,0,specr
2020-02-12,0,specr
2020-02-13,0,specr
2020-02-14,0,specr
2020-02-15,0,specr
2020-02-16,0,specr
2020-02-17,0,specr
2020-02-18,0,specr
2020-02-19,0,specr
2020-02-20,0,specr
2020-02-21,0,specr
2020-02-22,0,specr
2020-02-23,0,specr
2020-02-24,0,specr
2020-02-25,0,specr
2020-02-26,0,specr
2020-02-27,0,specr
2020-02-28,0,specr
2020-02-29,0,specr
2020-03-01,0,specr
2020-03-02,0,specr
2020-03-03,0,specr
2020-03-04,0,specr
2020-03-05,0,specr
2020-03-06,0,specr
2020-03-07,0,specr
2020-03-08,0,specr
2020-03-09,0,specr
2020-03-10,0,specr
2020-03-11,0,specr
2020-03-12,0,specr
2020-03-13,0,specr
2020-03-14,0,specr
2020-03-15,0,specr
2020-03-16,0,specr
2020-03-17,0,specr
2020-03-18,0,specr
2020-03-19,0,specr
2020-03-20,0,specr
2020-03-21,0,specr
2020-03-22,0,specr
2020-03-23,0,specr
2020-03-24,0,specr
2020-03-25,0,specr
2020-03-26,4,specr
2020-03-27,13,specr
2020-03-28,11,specr
2020-03-29,17,specr
2020-03-30,19,specr
2020-03-31,25,specr
2020-04-01,17,specr
2020-04-02,9,specr
2020-04-03,24,specr
2020-04-04,23,specr
2020-04-05,26,specr
2020-04-06,29,specr
2020-04-07,28,specr
2020-04-08,27,specr
2020-04-09,26,specr
2020-04-10,16,specr
2020-04-11,6,specr
2020-04-12,13,specr
2020-04-13,10,specr
2020-04-14,11,specr
2020-04-15,23,specr
2020-04-16,15,specr
2020-04-17,27,specr
2020-04-18,5,specr
2020-04-19,1,specr
2020-04-20,10,specr
2020-04-21,9,specr
2020-04-22,26,specr
2020-04-23,12,specr
2020-04-24,11,specr
2020-04-25,24,specr
2020-04-26,13,specr
2020-04-27,14,specr
2020-04-28,17,specr
2020-04-29,30,specr
2020-04-30,10,specr
2020-05-01,15,specr
2020-05-02,26,specr
2020-05-03,25,specr
2020-05-04,17,specr
2020-05-05,17,specr
2020-05-06,24,specr
2020-05-07,20,specr
2020-05-08,10,specr
2020-05-09,20,specr
2020-05-10,48,specr
2020-05-11,35,specr
2020-05-12,12,specr
2020-05-13,11,specr
2020-05-14,10,specr
2020-05-15,14,specr
2020-05-16,10,specr
2020-05-17,14,specr
2020-05-18,16,specr
2020-05-19,22,specr
2020-05-20,15,specr
2020-05-21,5,specr
2020-05-22,7,specr
2020-05-23,4,specr
2020-05-24,4,specr
2020-05-25,8,specr
2020-05-26,11,specr
2020-05-27,12,specr
2020-05-28,9,specr
2020-05-29,19,specr
2020-05-30,13,specr
2020-05-31,11,specr
2020-06-01,7,specr
2020-06-02,9,specr
2020-06-03,8,specr
2020-06-04,6,specr
2020-06-05,7,specr
2020-06-06,5,specr
2020-06-07,11,specr
2020-06-08,11,specr
2020-06-09,8,specr
2020-06-10,15,specr
2020-06-11,12,specr
2020-06-12,9,specr
2020-06-13,19,specr
2020-06-14,10,specr
2020-06-15,7,specr
2020-06-16,13,specr
2020-06-17,11,specr
2020-06-18,20,specr
2020-06-19,13,specr
2020-06-20,7,specr
2020-06-21,13,specr
2020-06-22,11,specr
2020-06-23,15,specr
2020-06-24,12,specr
2020-06-25,8,specr
2020-06-26,14,specr
2020-06-27,9,specr
2020-06-28,13,specr
2020-06-29,11,specr
2020-06-30,4,specr
2020-07-01,10,specr
2020-07-02,10,specr
2020-07-03,9,specr
2020-07-04,6,specr
2020-07-05,5,specr
2020-07-06,6,specr
2020-07-07,15,specr
2020-07-08,10,specr
2020-07-09,5,specr
2020-07-10,6,specr
2020-07-11,4,specr
2020-07-12,16,specr
2020-07-13,17,specr
2020-07-14,9,specr
2020-07-15,9,specr
2020-07-16,10,specr
2020-07-17,8,specr
2020-07-18,11,specr
2020-07-19,10,specr
2020-07-20,10,specr
2020-07-21,16,specr
2020-07-22,11,specr
2020-07-23,8,specr
2020-07-24,8,specr
2020-07-25,17,specr
2020-07-26,7,specr
2020-07-27,7,specr
2020-07-28,16,specr
2020-07-29,15,specr
2020-07-30,8,specr
2020-07-31,5,specr
2020-08-01,0,specr
2020-08-02,6,specr
2020-08-03,15,specr
2020-08-04,9,specr
2020-08-05,12,specr
2020-08-06,12,specr
2020-08-07,19,specr
2020-08-08,8,specr
2020-08-09,10,specr
2020-08-10,14,specr
2020-08-11,12,specr
2020-08-12,8,specr
2020-08-13,13,specr
2020-08-14,10,specr
2020-08-15,5,specr
2020-08-16,4,specr
2020-08-17,16,specr
2020-08-18,14,specr
2020-08-19,21,specr
2020-08-20,14,specr
2020-08-21,19,specr
2020-08-22,6,specr
2020-08-23,9,specr
2020-08-24,12,specr
2020-08-25,6,specr
2020-08-26,10,specr
2020-08-27,8,specr
2020-08-28,4,specr
2020-08-29,8,specr
2020-08-30,6,specr
2020-08-31,9,specr
2020-09-01,14,specr
2020-09-02,7,specr
2020-09-03,13,specr
2020-09-04,12,specr
2020-09-05,10,specr
2020-09-06,12,specr
2020-09-07,27,specr
2020-09-08,17,specr
2020-09-09,12,specr
2020-09-10,16,specr
2020-09-11,15,specr
2020-09-12,25,specr
2020-09-13,14,specr
2020-09-14,22,specr
2020-09-15,14,specr
2020-09-16,12,specr
2020-09-17,31,specr
2020-09-18,29,specr
2020-09-19,6,specr
2020-09-20,12,specr
