date,count,package
2020-01-01,0,spork
2020-01-02,0,spork
2020-01-03,0,spork
2020-01-04,0,spork
2020-01-05,0,spork
2020-01-06,0,spork
2020-01-07,0,spork
2020-01-08,0,spork
2020-01-09,0,spork
2020-01-10,0,spork
2020-01-11,0,spork
2020-01-12,0,spork
2020-01-13,0,spork
2020-01-14,0,spork
2020-01-15,0,spork
2020-01-16,0,spork
2020-01-17,0,spork
2020-01-18,0,spork
2020-01-19,0,spork
2020-01-20,0,spork
2020-01-21,0,spork
2020-01-22,0,spork
2020-01-23,0,spork
2020-01-24,0,spork
2020-01-25,0,spork
2020-01-26,0,spork
2020-01-27,0,spork
2020-01-28,0,spork
2020-01-29,0,spork
2020-01-30,0,spork
2020-01-31,0,spork
2020-02-01,0,spork
2020-02-02,0,spork
2020-02-03,0,spork
2020-02-04,0,spork
2020-02-05,0,spork
2020-02-06,0,spork
2020-02-07,0,spork
2020-02-08,0,spork
2020-02-09,0,spork
2020-02-10,0,spork
2020-02-11,0,spork
2020-02-12,0,spork
2020-02-13,0,spork
2020-02-14,0,spork
2020-02-15,0,spork
2020-02-16,0,spork
2020-02-17,0,spork
2020-02-18,0,spork
2020-02-19,0,spork
2020-02-20,0,spork
2020-02-21,0,spork
2020-02-22,0,spork
2020-02-23,0,spork
2020-02-24,0,spork
2020-02-25,0,spork
2020-02-26,0,spork
2020-02-27,13,spork
2020-02-28,12,spork
2020-02-29,9,spork
2020-03-01,28,spork
2020-03-02,23,spork
2020-03-03,25,spork
2020-03-04,36,spork
2020-03-05,25,spork
2020-03-06,31,spork
2020-03-07,21,spork
2020-03-08,22,spork
2020-03-09,18,spork
2020-03-10,24,spork
2020-03-11,8,spork
2020-03-12,36,spork
2020-03-13,21,spork
2020-03-14,22,spork
2020-03-15,15,spork
2020-03-16,23,spork
2020-03-17,20,spork
2020-03-18,8,spork
2020-03-19,24,spork
2020-03-20,18,spork
2020-03-21,13,spork
2020-03-22,8,spork
2020-03-23,17,spork
2020-03-24,6,spork
2020-03-25,14,spork
2020-03-26,8,spork
2020-03-27,5,spork
2020-03-28,9,spork
2020-03-29,16,spork
2020-03-30,20,spork
2020-03-31,19,spork
2020-04-01,18,spork
2020-04-02,9,spork
2020-04-03,14,spork
2020-04-04,9,spork
2020-04-05,13,spork
2020-04-06,19,spork
2020-04-07,19,spork
2020-04-08,20,spork
2020-04-09,19,spork
2020-04-10,10,spork
2020-04-11,6,spork
2020-04-12,12,spork
2020-04-13,10,spork
2020-04-14,12,spork
2020-04-15,31,spork
2020-04-16,14,spork
2020-04-17,29,spork
2020-04-18,7,spork
2020-04-19,2,spork
2020-04-20,7,spork
2020-04-21,8,spork
2020-04-22,26,spork
2020-04-23,9,spork
2020-04-24,14,spork
2020-04-25,23,spork
2020-04-26,13,spork
2020-04-27,17,spork
2020-04-28,21,spork
2020-04-29,33,spork
2020-04-30,18,spork
2020-05-01,20,spork
2020-05-02,27,spork
2020-05-03,27,spork
2020-05-04,25,spork
2020-05-05,15,spork
2020-05-06,24,spork
2020-05-07,23,spork
2020-05-08,13,spork
2020-05-09,24,spork
2020-05-10,49,spork
2020-05-11,37,spork
2020-05-12,17,spork
2020-05-13,16,spork
2020-05-14,10,spork
2020-05-15,14,spork
2020-05-16,13,spork
2020-05-17,15,spork
2020-05-18,19,spork
2020-05-19,19,spork
2020-05-20,18,spork
2020-05-21,9,spork
2020-05-22,19,spork
2020-05-23,10,spork
2020-05-24,7,spork
