date,count,package
2020-01-01,0,stokes
2020-01-02,0,stokes
2020-01-03,0,stokes
2020-01-04,0,stokes
2020-01-05,0,stokes
2020-01-06,0,stokes
2020-01-07,0,stokes
2020-01-08,0,stokes
2020-01-09,0,stokes
2020-01-10,0,stokes
2020-01-11,0,stokes
2020-01-12,0,stokes
2020-01-13,0,stokes
2020-01-14,0,stokes
2020-01-15,0,stokes
2020-01-16,0,stokes
2020-01-17,0,stokes
2020-01-18,0,stokes
2020-01-19,0,stokes
2020-01-20,0,stokes
2020-01-21,0,stokes
2020-01-22,0,stokes
2020-01-23,0,stokes
2020-01-24,0,stokes
2020-01-25,0,stokes
2020-01-26,0,stokes
2020-01-27,0,stokes
2020-01-28,0,stokes
2020-01-29,0,stokes
2020-01-30,0,stokes
2020-01-31,0,stokes
2020-02-01,0,stokes
2020-02-02,0,stokes
2020-02-03,0,stokes
2020-02-04,0,stokes
2020-02-05,0,stokes
2020-02-06,0,stokes
2020-02-07,0,stokes
2020-02-08,0,stokes
2020-02-09,0,stokes
2020-02-10,0,stokes
2020-02-11,0,stokes
2020-02-12,0,stokes
2020-02-13,0,stokes
2020-02-14,0,stokes
2020-02-15,0,stokes
2020-02-16,0,stokes
2020-02-17,0,stokes
2020-02-18,0,stokes
2020-02-19,0,stokes
2020-02-20,0,stokes
2020-02-21,0,stokes
2020-02-22,0,stokes
2020-02-23,0,stokes
2020-02-24,0,stokes
2020-02-25,0,stokes
2020-02-26,0,stokes
2020-02-27,0,stokes
2020-02-28,0,stokes
2020-02-29,0,stokes
2020-03-01,0,stokes
2020-03-02,0,stokes
2020-03-03,0,stokes
2020-03-04,0,stokes
2020-03-05,0,stokes
2020-03-06,0,stokes
2020-03-07,0,stokes
2020-03-08,0,stokes
2020-03-09,0,stokes
2020-03-10,0,stokes
2020-03-11,0,stokes
2020-03-12,0,stokes
2020-03-13,0,stokes
2020-03-14,0,stokes
2020-03-15,0,stokes
2020-03-16,0,stokes
2020-03-17,0,stokes
2020-03-18,0,stokes
2020-03-19,0,stokes
2020-03-20,8,stokes
2020-03-21,5,stokes
2020-03-22,16,stokes
2020-03-23,10,stokes
2020-03-24,13,stokes
2020-03-25,30,stokes
2020-03-26,19,stokes
2020-03-27,12,stokes
2020-03-28,22,stokes
2020-03-29,25,stokes
2020-03-30,27,stokes
2020-03-31,23,stokes
2020-04-01,13,stokes
2020-04-02,7,stokes
2020-04-03,20,stokes
2020-04-04,21,stokes
2020-04-05,22,stokes
2020-04-06,28,stokes
2020-04-07,28,stokes
2020-04-08,27,stokes
2020-04-09,24,stokes
2020-04-10,12,stokes
2020-04-11,6,stokes
2020-04-12,14,stokes
2020-04-13,14,stokes
2020-04-14,13,stokes
2020-04-15,29,stokes
2020-04-16,11,stokes
2020-04-17,26,stokes
2020-04-18,5,stokes
2020-04-19,2,stokes
2020-04-20,7,stokes
2020-04-21,8,stokes
2020-04-22,24,stokes
2020-04-23,9,stokes
2020-04-24,15,stokes
2020-04-25,21,stokes
2020-04-26,12,stokes
2020-04-27,16,stokes
2020-04-28,19,stokes
2020-04-29,34,stokes
2020-04-30,17,stokes
2020-05-01,17,stokes
2020-05-02,28,stokes
2020-05-03,25,stokes
2020-05-04,22,stokes
2020-05-05,20,stokes
2020-05-06,20,stokes
2020-05-07,19,stokes
2020-05-08,13,stokes
2020-05-09,21,stokes
2020-05-10,48,stokes
2020-05-11,37,stokes
2020-05-12,13,stokes
2020-05-13,15,stokes
2020-05-14,10,stokes
2020-05-15,12,stokes
2020-05-16,13,stokes
2020-05-17,15,stokes
2020-05-18,18,stokes
2020-05-19,16,stokes
2020-05-20,17,stokes
2020-05-21,8,stokes
2020-05-22,13,stokes
2020-05-23,7,stokes
2020-05-24,13,stokes
2020-05-25,9,stokes
2020-05-26,20,stokes
2020-05-27,18,stokes
2020-05-28,12,stokes
2020-05-29,11,stokes
2020-05-30,10,stokes
2020-05-31,16,stokes
2020-06-01,10,stokes
2020-06-02,12,stokes
2020-06-03,10,stokes
2020-06-04,10,stokes
2020-06-05,10,stokes
2020-06-06,25,stokes
2020-06-07,12,stokes
2020-06-08,20,stokes
2020-06-09,11,stokes
2020-06-10,17,stokes
2020-06-11,12,stokes
2020-06-12,10,stokes
2020-06-13,11,stokes
2020-06-14,19,stokes
2020-06-15,9,stokes
2020-06-16,12,stokes
2020-06-17,12,stokes
2020-06-18,23,stokes
2020-06-19,14,stokes
2020-06-20,9,stokes
2020-06-21,18,stokes
2020-06-22,15,stokes
2020-06-23,17,stokes
2020-06-24,11,stokes
2020-06-25,10,stokes
2020-06-26,15,stokes
2020-06-27,11,stokes
2020-06-28,11,stokes
2020-06-29,13,stokes
2020-06-30,7,stokes
2020-07-01,12,stokes
2020-07-02,10,stokes
2020-07-03,18,stokes
2020-07-04,16,stokes
2020-07-05,8,stokes
2020-07-06,9,stokes
2020-07-07,16,stokes
2020-07-08,14,stokes
2020-07-09,9,stokes
2020-07-10,9,stokes
2020-07-11,8,stokes
2020-07-12,11,stokes
2020-07-13,12,stokes
2020-07-14,12,stokes
2020-07-15,11,stokes
2020-07-16,19,stokes
2020-07-17,11,stokes
2020-07-18,14,stokes
2020-07-19,12,stokes
2020-07-20,10,stokes
2020-07-21,22,stokes
2020-07-22,13,stokes
2020-07-23,9,stokes
2020-07-24,10,stokes
2020-07-25,14,stokes
2020-07-26,9,stokes
2020-07-27,11,stokes
2020-07-28,7,stokes
2020-07-29,14,stokes
2020-07-30,6,stokes
2020-07-31,4,stokes
2020-08-01,0,stokes
2020-08-02,7,stokes
2020-08-03,10,stokes
2020-08-04,12,stokes
2020-08-05,15,stokes
2020-08-06,13,stokes
2020-08-07,16,stokes
2020-08-08,17,stokes
2020-08-09,12,stokes
2020-08-10,18,stokes
2020-08-11,16,stokes
2020-08-12,10,stokes
2020-08-13,13,stokes
2020-08-14,12,stokes
2020-08-15,8,stokes
2020-08-16,7,stokes
2020-08-17,12,stokes
2020-08-18,17,stokes
2020-08-19,23,stokes
2020-08-20,9,stokes
2020-08-21,14,stokes
2020-08-22,9,stokes
2020-08-23,10,stokes
2020-08-24,30,stokes
2020-08-25,11,stokes
2020-08-26,17,stokes
2020-08-27,11,stokes
2020-08-28,9,stokes
2020-08-29,11,stokes
2020-08-30,9,stokes
2020-08-31,10,stokes
2020-09-01,15,stokes
2020-09-02,10,stokes
2020-09-03,14,stokes
2020-09-04,9,stokes
2020-09-05,13,stokes
2020-09-06,19,stokes
2020-09-07,23,stokes
2020-09-08,19,stokes
2020-09-09,15,stokes
2020-09-10,15,stokes
2020-09-11,17,stokes
2020-09-12,19,stokes
2020-09-13,15,stokes
2020-09-14,30,stokes
2020-09-15,17,stokes
2020-09-16,11,stokes
2020-09-17,25,stokes
2020-09-18,19,stokes
