date,count,package
2020-01-01,0,vdar
2020-01-02,0,vdar
2020-01-03,0,vdar
2020-01-04,0,vdar
2020-01-05,0,vdar
2020-01-06,0,vdar
2020-01-07,0,vdar
2020-01-08,0,vdar
2020-01-09,0,vdar
2020-01-10,0,vdar
2020-01-11,0,vdar
2020-01-12,0,vdar
2020-01-13,0,vdar
2020-01-14,0,vdar
2020-01-15,0,vdar
2020-01-16,0,vdar
2020-01-17,0,vdar
2020-01-18,0,vdar
2020-01-19,0,vdar
2020-01-20,0,vdar
2020-01-21,0,vdar
2020-01-22,0,vdar
2020-01-23,0,vdar
2020-01-24,0,vdar
2020-01-25,0,vdar
2020-01-26,0,vdar
2020-01-27,0,vdar
2020-01-28,0,vdar
2020-01-29,0,vdar
2020-01-30,0,vdar
2020-01-31,0,vdar
2020-02-01,0,vdar
2020-02-02,0,vdar
2020-02-03,0,vdar
2020-02-04,0,vdar
2020-02-05,0,vdar
2020-02-06,0,vdar
2020-02-07,0,vdar
2020-02-08,0,vdar
2020-02-09,0,vdar
2020-02-10,0,vdar
2020-02-11,0,vdar
2020-02-12,0,vdar
2020-02-13,0,vdar
2020-02-14,0,vdar
2020-02-15,0,vdar
2020-02-16,0,vdar
2020-02-17,0,vdar
2020-02-18,0,vdar
2020-02-19,0,vdar
2020-02-20,0,vdar
2020-02-21,0,vdar
2020-02-22,0,vdar
2020-02-23,0,vdar
2020-02-24,0,vdar
2020-02-25,0,vdar
2020-02-26,0,vdar
2020-02-27,0,vdar
2020-02-28,0,vdar
2020-02-29,0,vdar
2020-03-01,0,vdar
2020-03-02,0,vdar
2020-03-03,0,vdar
2020-03-04,0,vdar
2020-03-05,0,vdar
2020-03-06,0,vdar
2020-03-07,0,vdar
2020-03-08,0,vdar
2020-03-09,0,vdar
2020-03-10,11,vdar
2020-03-11,9,vdar
2020-03-12,9,vdar
2020-03-13,7,vdar
2020-03-14,3,vdar
2020-03-15,0,vdar
2020-03-16,7,vdar
2020-03-17,4,vdar
2020-03-18,4,vdar
2020-03-19,5,vdar
2020-03-20,7,vdar
2020-03-21,8,vdar
2020-03-22,7,vdar
2020-03-23,8,vdar
2020-03-24,11,vdar
2020-03-25,15,vdar
2020-03-26,12,vdar
2020-03-27,6,vdar
2020-03-28,13,vdar
2020-03-29,14,vdar
2020-03-30,18,vdar
2020-03-31,12,vdar
2020-04-01,18,vdar
2020-04-02,7,vdar
2020-04-03,10,vdar
2020-04-04,15,vdar
2020-04-05,16,vdar
2020-04-06,23,vdar
2020-04-07,21,vdar
2020-04-08,21,vdar
2020-04-09,18,vdar
2020-04-10,9,vdar
2020-04-11,6,vdar
2020-04-12,8,vdar
2020-04-13,4,vdar
2020-04-14,7,vdar
2020-04-15,19,vdar
2020-04-16,11,vdar
2020-04-17,16,vdar
2020-04-18,5,vdar
2020-04-19,1,vdar
2020-04-20,6,vdar
2020-04-21,8,vdar
2020-04-22,20,vdar
2020-04-23,6,vdar
2020-04-24,10,vdar
2020-04-25,24,vdar
2020-04-26,17,vdar
