date,count,package
2020-01-01,0,wk
2020-01-02,0,wk
2020-01-03,0,wk
2020-01-04,0,wk
2020-01-05,0,wk
2020-01-06,0,wk
2020-01-07,0,wk
2020-01-08,0,wk
2020-01-09,0,wk
2020-01-10,0,wk
2020-01-11,0,wk
2020-01-12,0,wk
2020-01-13,0,wk
2020-01-14,0,wk
2020-01-15,0,wk
2020-01-16,0,wk
2020-01-17,0,wk
2020-01-18,0,wk
2020-01-19,0,wk
2020-01-20,0,wk
2020-01-21,0,wk
2020-01-22,0,wk
2020-01-23,0,wk
2020-01-24,0,wk
2020-01-25,0,wk
2020-01-26,0,wk
2020-01-27,0,wk
2020-01-28,0,wk
2020-01-29,0,wk
2020-01-30,0,wk
2020-01-31,0,wk
2020-02-01,0,wk
2020-02-02,0,wk
2020-02-03,0,wk
2020-02-04,0,wk
2020-02-05,0,wk
2020-02-06,0,wk
2020-02-07,0,wk
2020-02-08,0,wk
2020-02-09,0,wk
2020-02-10,0,wk
2020-02-11,0,wk
2020-02-12,0,wk
2020-02-13,0,wk
2020-02-14,0,wk
2020-02-15,0,wk
2020-02-16,0,wk
2020-02-17,0,wk
2020-02-18,0,wk
2020-02-19,0,wk
2020-02-20,0,wk
2020-02-21,0,wk
2020-02-22,0,wk
2020-02-23,0,wk
2020-02-24,0,wk
2020-02-25,0,wk
2020-02-26,0,wk
2020-02-27,0,wk
2020-02-28,0,wk
2020-02-29,0,wk
2020-03-01,0,wk
2020-03-02,0,wk
2020-03-03,0,wk
2020-03-04,0,wk
2020-03-05,0,wk
2020-03-06,0,wk
2020-03-07,0,wk
2020-03-08,0,wk
2020-03-09,0,wk
2020-03-10,0,wk
2020-03-11,0,wk
2020-03-12,0,wk
2020-03-13,0,wk
2020-03-14,0,wk
2020-03-15,0,wk
2020-03-16,0,wk
2020-03-17,0,wk
2020-03-18,0,wk
2020-03-19,0,wk
2020-03-20,0,wk
2020-03-21,0,wk
2020-03-22,0,wk
2020-03-23,0,wk
2020-03-24,0,wk
2020-03-25,0,wk
2020-03-26,0,wk
2020-03-27,0,wk
2020-03-28,0,wk
2020-03-29,0,wk
2020-03-30,0,wk
2020-03-31,0,wk
2020-04-01,0,wk
2020-04-02,0,wk
2020-04-03,0,wk
2020-04-04,0,wk
2020-04-05,0,wk
2020-04-06,0,wk
2020-04-07,0,wk
2020-04-08,0,wk
2020-04-09,0,wk
2020-04-10,0,wk
2020-04-11,0,wk
2020-04-12,0,wk
2020-04-13,0,wk
2020-04-14,0,wk
2020-04-15,0,wk
2020-04-16,0,wk
2020-04-17,0,wk
2020-04-18,0,wk
2020-04-19,0,wk
2020-04-20,0,wk
2020-04-21,0,wk
2020-04-22,0,wk
2020-04-23,0,wk
2020-04-24,0,wk
2020-04-25,0,wk
2020-04-26,0,wk
2020-04-27,0,wk
2020-04-28,0,wk
2020-04-29,0,wk
2020-04-30,0,wk
2020-05-01,0,wk
2020-05-02,0,wk
2020-05-03,0,wk
2020-05-04,0,wk
2020-05-05,0,wk
2020-05-06,0,wk
2020-05-07,0,wk
2020-05-08,0,wk
2020-05-09,0,wk
2020-05-10,0,wk
2020-05-11,4,wk
2020-05-12,15,wk
2020-05-13,30,wk
2020-05-14,23,wk
2020-05-15,31,wk
2020-05-16,26,wk
2020-05-17,28,wk
2020-05-18,31,wk
2020-05-19,22,wk
2020-05-20,19,wk
2020-05-21,14,wk
2020-05-22,13,wk
2020-05-23,13,wk
2020-05-24,13,wk
2020-05-25,15,wk
2020-05-26,17,wk
2020-05-27,16,wk
2020-05-28,11,wk
2020-05-29,18,wk
2020-05-30,9,wk
2020-05-31,15,wk
2020-06-01,17,wk
2020-06-02,12,wk
2020-06-03,10,wk
2020-06-04,9,wk
2020-06-05,15,wk
2020-06-06,8,wk
2020-06-07,9,wk
2020-06-08,14,wk
2020-06-09,11,wk
2020-06-10,17,wk
2020-06-11,18,wk
2020-06-12,10,wk
2020-06-13,11,wk
2020-06-14,24,wk
2020-06-15,151,wk
2020-06-16,27,wk
2020-06-17,65,wk
2020-06-18,79,wk
2020-06-19,75,wk
2020-06-20,55,wk
2020-06-21,21,wk
2020-06-22,28,wk
2020-06-23,37,wk
2020-06-24,66,wk
2020-06-25,114,wk
2020-06-26,45,wk
2020-06-27,50,wk
2020-06-28,64,wk
2020-06-29,59,wk
2020-06-30,52,wk
2020-07-01,96,wk
2020-07-02,75,wk
2020-07-03,40,wk
2020-07-04,41,wk
2020-07-05,19,wk
2020-07-06,56,wk
2020-07-07,106,wk
2020-07-08,89,wk
2020-07-09,145,wk
2020-07-10,53,wk
2020-07-11,28,wk
2020-07-12,59,wk
2020-07-13,94,wk
2020-07-14,156,wk
2020-07-15,201,wk
2020-07-16,169,wk
2020-07-17,159,wk
2020-07-18,134,wk
2020-07-19,156,wk
2020-07-20,231,wk
2020-07-21,256,wk
2020-07-22,232,wk
2020-07-23,236,wk
2020-07-24,260,wk
2020-07-25,175,wk
2020-07-26,193,wk
2020-07-27,202,wk
2020-07-28,205,wk
2020-07-29,225,wk
2020-07-30,242,wk
2020-07-31,255,wk
2020-08-01,197,wk
2020-08-02,158,wk
2020-08-03,232,wk
2020-08-04,230,wk
2020-08-05,225,wk
2020-08-06,221,wk
2020-08-07,221,wk
2020-08-08,160,wk
2020-08-09,191,wk
2020-08-10,264,wk
2020-08-11,286,wk
2020-08-12,281,wk
2020-08-13,247,wk
2020-08-14,214,wk
2020-08-15,151,wk
2020-08-16,145,wk
2020-08-17,204,wk
2020-08-18,239,wk
2020-08-19,262,wk
2020-08-20,214,wk
2020-08-21,196,wk
2020-08-22,144,wk
2020-08-23,143,wk
2020-08-24,211,wk
2020-08-25,214,wk
2020-08-26,242,wk
2020-08-27,253,wk
2020-08-28,237,wk
2020-08-29,186,wk
2020-08-30,149,wk
2020-08-31,241,wk
2020-09-01,270,wk
2020-09-02,284,wk
2020-09-03,322,wk
2020-09-04,256,wk
2020-09-05,163,wk
2020-09-06,189,wk
2020-09-07,267,wk
2020-09-08,229,wk
2020-09-09,252,wk
2020-09-10,249,wk
2020-09-11,252,wk
2020-09-12,189,wk
2020-09-13,187,wk
2020-09-14,223,wk
2020-09-15,259,wk
2020-09-16,261,wk
2020-09-17,253,wk
2020-09-18,236,wk
2020-09-19,185,wk
2020-09-20,194,wk
2020-09-21,303,wk
2020-09-22,284,wk
2020-09-23,295,wk
2020-09-24,291,wk
2020-09-25,242,wk
2020-09-26,243,wk
2020-09-27,194,wk
2020-09-28,238,wk
2020-09-29,259,wk
2020-09-30,264,wk
2020-10-01,256,wk
2020-10-02,231,wk
2020-10-03,181,wk
2020-10-04,211,wk
2020-10-05,237,wk
2020-10-06,237,wk
2020-10-07,266,wk
2020-10-08,237,wk
2020-10-09,224,wk
2020-10-10,176,wk
2020-10-11,192,wk
2020-10-12,269,wk
2020-10-13,381,wk
2020-10-14,356,wk
2020-10-15,304,wk
2020-10-16,332,wk
2020-10-17,210,wk
2020-10-18,238,wk
2020-10-19,308,wk
2020-10-20,340,wk
2020-10-21,304,wk
2020-10-22,330,wk
2020-10-23,296,wk
2020-10-24,212,wk
2020-10-25,207,wk
2020-10-26,291,wk
2020-10-27,286,wk
2020-10-28,264,wk
2020-10-29,265,wk
2020-10-30,239,wk
2020-10-31,149,wk
2020-11-01,141,wk
2020-11-02,202,wk
2020-11-03,238,wk
2020-11-04,217,wk
2020-11-05,238,wk
2020-11-06,209,wk
2020-11-07,163,wk
2020-11-08,183,wk
2020-11-09,212,wk
2020-11-10,326,wk
2020-11-11,250,wk
2020-11-12,208,wk
2020-11-13,157,wk
2020-11-14,87,wk
2020-11-15,111,wk
2020-11-16,196,wk
2020-11-17,177,wk
2020-11-18,229,wk
2020-11-19,269,wk
2020-11-20,156,wk
2020-11-21,102,wk
2020-11-22,107,wk
2020-11-23,211,wk
2020-11-24,207,wk
2020-11-25,152,wk
2020-11-26,150,wk
2020-11-27,144,wk
2020-11-28,135,wk
2020-11-29,104,wk
2020-11-30,174,wk
2020-12-01,157,wk
2020-12-02,199,wk
2020-12-03,161,wk
2020-12-04,179,wk
2020-12-05,85,wk
2020-12-06,101,wk
2020-12-07,143,wk
2020-12-08,146,wk
2020-12-09,166,wk
2020-12-10,188,wk
2020-12-11,148,wk
2020-12-12,70,wk
2020-12-13,57,wk
2020-12-14,97,wk
2020-12-15,132,wk
2020-12-16,132,wk
2020-12-17,144,wk
2020-12-18,143,wk
2020-12-19,114,wk
2020-12-20,83,wk
2020-12-21,136,wk
2020-12-22,179,wk
2020-12-23,110,wk
2020-12-24,72,wk
2020-12-25,55,wk
2020-12-26,54,wk
2020-12-27,63,wk
2020-12-28,105,wk
2020-12-29,142,wk
2020-12-30,137,wk
2020-12-31,101,wk
2021-01-01,85,wk
2021-01-02,218,wk
2021-01-03,196,wk
2021-01-04,180,wk
2021-01-05,184,wk
2021-01-06,283,wk
2021-01-07,252,wk
2021-01-08,139,wk
2021-01-09,131,wk
2021-01-10,167,wk
2021-01-11,202,wk
2021-01-12,217,wk
2021-01-13,218,wk
2021-01-14,278,wk
2021-01-15,227,wk
2021-01-16,269,wk
2021-01-17,307,wk
2021-01-18,408,wk
2021-01-19,327,wk
2021-01-20,377,wk
2021-01-21,343,wk
2021-01-22,316,wk
2021-01-23,248,wk
2021-01-24,203,wk
2021-01-25,364,wk
2021-01-26,295,wk
2021-01-27,334,wk
2021-01-28,245,wk
2021-01-29,258,wk
2021-01-30,179,wk
2021-01-31,202,wk
2021-02-01,387,wk
2021-02-02,352,wk
2021-02-03,314,wk
2021-02-04,277,wk
2021-02-05,311,wk
2021-02-06,155,wk
2021-02-07,155,wk
2021-02-08,283,wk
2021-02-09,339,wk
2021-02-10,313,wk
2021-02-11,270,wk
2021-02-12,233,wk
2021-02-13,133,wk
2021-02-14,164,wk
2021-02-15,334,wk
2021-02-16,294,wk
2021-02-17,338,wk
2021-02-18,307,wk
2021-02-19,284,wk
2021-02-20,166,wk
2021-02-21,157,wk
2021-02-22,380,wk
2021-02-23,329,wk
2021-02-24,357,wk
2021-02-25,261,wk
2021-02-26,319,wk
2021-02-27,177,wk
2021-02-28,148,wk
2021-03-01,282,wk
2021-03-02,289,wk
2021-03-03,310,wk
2021-03-04,266,wk
2021-03-05,302,wk
2021-03-06,249,wk
2021-03-07,315,wk
2021-03-08,518,wk
2021-03-09,452,wk
2021-03-10,447,wk
2021-03-11,502,wk
2021-03-12,366,wk
2021-03-13,216,wk
2021-03-14,212,wk
2021-03-15,387,wk
2021-03-16,456,wk
2021-03-17,616,wk
2021-03-18,476,wk
2021-03-19,363,wk
2021-03-20,265,wk
2021-03-21,233,wk
2021-03-22,388,wk
2021-03-23,330,wk
2021-03-24,335,wk
2021-03-25,342,wk
2021-03-26,272,wk
2021-03-27,180,wk
2021-03-28,197,wk
2021-03-29,286,wk
2021-03-30,310,wk
2021-03-31,335,wk
2021-04-01,312,wk
2021-04-02,216,wk
2021-04-03,154,wk
2021-04-04,140,wk
2021-04-05,211,wk
2021-04-06,334,wk
2021-04-07,354,wk
2021-04-08,355,wk
2021-04-09,301,wk
2021-04-10,165,wk
2021-04-11,155,wk
2021-04-12,341,wk
2021-04-13,304,wk
2021-04-14,295,wk
2021-04-15,317,wk
2021-04-16,285,wk
2021-04-17,102,wk
2021-04-18,147,wk
2021-04-19,335,wk
2021-04-20,307,wk
2021-04-21,308,wk
2021-04-22,270,wk
2021-04-23,246,wk
2021-04-24,150,wk
2021-04-25,137,wk
2021-04-26,251,wk
2021-04-27,303,wk
2021-04-28,355,wk
2021-04-29,293,wk
2021-04-30,184,wk
2021-05-01,170,wk
2021-05-02,165,wk
2021-05-03,323,wk
2021-05-04,319,wk
2021-05-05,318,wk
2021-05-06,270,wk
2021-05-07,247,wk
2021-05-08,171,wk
2021-05-09,141,wk
2021-05-10,300,wk
2021-05-11,277,wk
2021-05-12,305,wk
2021-05-13,262,wk
2021-05-14,218,wk
2021-05-15,126,wk
2021-05-16,130,wk
2021-05-17,273,wk
2021-05-18,300,wk
2021-05-19,302,wk
2021-05-20,282,wk
2021-05-21,275,wk
2021-05-22,153,wk
2021-05-23,138,wk
2021-05-24,246,wk
2021-05-25,331,wk
2021-05-26,321,wk
2021-05-27,282,wk
2021-05-28,272,wk
2021-05-29,159,wk
2021-05-30,142,wk
2021-05-31,274,wk
2021-06-01,300,wk
2021-06-02,303,wk
2021-06-03,245,wk
2021-06-04,218,wk
2021-06-05,160,wk
2021-06-06,184,wk
2021-06-07,265,wk
2021-06-08,407,wk
2021-06-09,1581,wk
